Gene = Fis1
index = 410
Annotated 5SS: [ 152 1055 3093 3594]
Annotated 3SS: [ 921 3015 3487 3839]
SMsplice 5SS: [ 152 1055 3093 3594]
SMsplice 3SS: [ 921 3015 3487 3839]
top_k =  500
Partition function (log Z): 3.6840257733842554

Sorted 5' Splice Sites (High to Low Probability):
Position 152: 0.9752530549343879
Position 3093: 0.9616526015413374
Position 3594: 0.9178272369780588
Position 1055: 0.912647555911798
Position 2010: 0.1356501679202544
Position 2897: 0.12239667397642794
Position 627: 0.09732425253469983
Position 1386: 0.09606454114136741
Position 793: 0.09375645852299068
Position 2319: 0.06749930987923493
Position 2748: 0.04395294333529499
Position 2884: 0.04032219581891898
Position 1781: 0.02054294425410235
Position 692: 0.020474104867605328
Position 157: 0.019165426472391844
Position 2942: 0.016138258452706652
Position 601: 0.014783076968507319
Position 3141: 0.014208833076973966
Position 653: 0.013983299809297708
Position 1735: 0.012419281527094816
Position 860: 0.012119285681861427
Position 535: 0.011565568278837843
Position 3227: 0.01131686625561035
Position 3758: 0.010968862375074032
Position 608: 0.009865423186667001
Position 708: 0.007319191207110637
Position 3508: 0.007209951521745345
Position 3419: 0.004893265488904857
Position 410: 0.0038123020013720015
Position 1969: 0.00359572818485543
Position 1978: 0.003417730958221985
Position 1544: 0.0032474203681989145
Position 338: 0.0026409113367242116
Position 83: 0.0022946929624689996
Position 3752: 0.0020790820828071885
Position 2906: 0.002015802699013675
Position 1432: 0.0018516419055524607
Position 2051: 0.0012605812653494232
Position 3465: 0.0011932024462746676
Position 314: 0.0007707802681068206
Position 3189: 0.0007299896670621421
Position 565: 0.0007237141451624754
Position 661: 0.0006864387946818885
Position 3848: 0.0006571021677788167
Position 2043: 0.0005877764687217595
Position 2834: 0.0005071844114473727
Position 2948: 0.0004546368900695768
Position 350: 0.000434542297630606
Position 560: 0.000433859120773694
Position 386: 0.0002674036245187077
Position 378: 0.00023152756003064594
Position 899: 0.00022662935230531147
Position 12: 0.0002107500700188448
Position 1674: 0.00019451240271990133
Position 3917: 0.00018602256876899738
Position 3460: 0.0001853680824873665
Position 770: 0.0001804033149123522
Position 3608: 0.0001547931108451291
Position 3267: 0.00015361119663982753
Position 3714: 0.00013497543651591872
Position 431: 0.00012868843132740314
Position 3357: 0.00012570905589047373
Position 316: 0.00011641757706398135
Position 448: 0.0001010041810299185
Position 299: 9.151904015092569e-05
Position 3133: 9.041284670472481e-05
Position 3925: 8.425296917268253e-05
Position 1373: 7.457064857945551e-05
Position 3207: 7.33586018906083e-05
Position 479: 7.105809075581229e-05
Position 69: 6.897112307252517e-05
Position 3203: 6.878878084759223e-05
Position 1263: 5.7015703699593024e-05
Position 3512: 5.650599371900295e-05
Position 725: 5.231444138210626e-05
Position 3148: 4.5100905346808175e-05
Position 3615: 4.3049824021421715e-05
Position 1175: 3.8363327110812245e-05
Position 888: 3.8243822799738546e-05
Position 1377: 2.7594354776881227e-05
Position 434: 2.3859033792643478e-05
Position 418: 1.7030287432640997e-05
Position 236: 1.6724232564224336e-05
Position 384: 9.471271633933441e-06
Position 416: 8.73155434545819e-06
Position 131: 8.561691213734414e-06
Position 4004: 5.254839192523753e-06
Position 631: 4.546256994452499e-06
Position 439: 4.545985803426224e-06
Position 199: 4.03562102317382e-06
Position 61: 4.020545160860923e-06
Position 464: 3.313566143082051e-06
Position 133: 3.1587335572516446e-06
Position 611: 2.8671618961831087e-06
Position 446: 2.6373651363048866e-06
Position 116: 2.0991256051157326e-06
Position 137: 1.9396593683576874e-06
Position 81: 1.695135191791811e-06
Position 25: 1.429750959341099e-06
Position 501: 8.549764880114268e-07
Position 230: 4.915704716020647e-07
Position 241: 1.5295472948764825e-07
Position 462: 8.691410340661632e-08
Position 1042: 7.907136845976427e-09
Position 1003: 7.189453876374957e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3487: 0.9650806759248561
Position 3839: 0.9562621786552011
Position 3015: 0.9143766501914092
Position 921: 0.802196150657691
Position 2833: 0.23525288325232727
Position 527: 0.19062636445118816
Position 1874: 0.14966548062461535
Position 717: 0.09895371038619497
Position 1231: 0.049062144831010776
Position 2650: 0.04537482253742772
Position 972: 0.041235050633764495
Position 2118: 0.034362567914763
Position 942: 0.02955706570900342
Position 1613: 0.01725177407586429
Position 1159: 0.012561333086623439
Position 504: 0.011780307664749015
Position 255: 0.009680871248396731
Position 2131: 0.009443171439901995
Position 1175: 0.008902323216268661
Position 1663: 0.00852401866778305
Position 1311: 0.007663913124249305
Position 1339: 0.007503182876455932
Position 3326: 0.007191819051944281
Position 2105: 0.006070359624858312
Position 3529: 0.004651209615136984
Position 1595: 0.003932713166650173
Position 1143: 0.0036661962160284595
Position 3030: 0.003423126895983702
Position 643: 0.003401592337977198
Position 1126: 0.0033971818078500963
Position 2844: 0.0033344590116856495
Position 932: 0.0032202871388061173
Position 3017: 0.003041434488948189
Position 2627: 0.003005461772874175
Position 2185: 0.0029351754631225485
Position 1266: 0.0026389627218500007
Position 4048: 0.0025132987172334343
Position 2883: 0.0023910052749622087
Position 1902: 0.0021472828658602263
Position 2025: 0.002112407272562461
Position 974: 0.0016926067420649639
Position 951: 0.0016893166182256805
Position 3974: 0.0015372816045174861
Position 1282: 0.0014863164225175352
Position 1571: 0.0013833177199023589
Position 4077: 0.0013352385542217964
Position 1840: 0.0013026342277221682
Position 3890: 0.0012315545574172549
Position 743: 0.0012302703106043113
Position 2134: 0.0011496983774104542
Position 462: 0.0011481023847818481
Position 1426: 0.0011393245309595386
Position 1242: 0.001076172064902806
Position 323: 0.0010748600707151397
Position 2801: 0.0010723443570983134
Position 1010: 0.0010251141684349471
Position 2936: 0.0008474564913374736
Position 1204: 0.0008353032724532932
Position 1997: 0.0008329833136823178
Position 2179: 0.0008318841720000625
Position 2688: 0.0008191857157245101
Position 691: 0.0008143179032484286
Position 2208: 0.0007938167764835369
Position 2928: 0.0007930339577914945
Position 1250: 0.0007719074404585032
Position 3308: 0.000771043284181277
Position 3757: 0.0007260920604949357
Position 1615: 0.0007260325817555253
Position 3744: 0.0007191993913432584
Position 3383: 0.0006230004599118669
Position 3699: 0.0006114028065520401
Position 3713: 0.0005580081644439301
Position 276: 0.0004641737561601024
Position 1673: 0.00042317283412522525
Position 1431: 0.0004043872902423902
Position 3723: 0.0003568319938508574
Position 1924: 0.0003270789214747817
Position 1034: 0.000303589886140316
Position 681: 0.00028894902358642414
Position 3851: 0.0002832603539717929
Position 356: 0.00027172883714311996
Position 852: 0.0002653316526055519
Position 3925: 0.00026530154821233145
Position 1456: 0.0002612835495802464
Position 423: 0.00024201109672127914
Position 3161: 0.00020340349122616928
Position 955: 0.000194941158992361
Position 3432: 0.000192146991743716
Position 3211: 0.00018607312657053463
Position 1638: 0.0001795646607965967
Position 748: 0.00017941709477147723
Position 1724: 0.0001652884053374814
Position 672: 0.0001579615751937974
Position 3632: 0.00013071365189576027
Position 3939: 0.000130155960193526
Position 1549: 0.00012276097000816138
Position 3387: 0.00010397769742051905
Position 273: 9.510708307226988e-05
Position 755: 9.159396043156512e-05
Position 4061: 8.353465672469312e-05
Position 1348: 7.233326296513555e-05
Position 469: 6.604428163384947e-05
Position 3092: 5.774236591498122e-05
Position 3686: 5.335238874267037e-05
Position 3943: 5.286552151933579e-05
Position 1930: 5.160195568815951e-05
Position 3508: 4.960239159221087e-05
Position 3729: 4.723104225261384e-05
Position 3550: 3.911364340865496e-05
Position 1185: 3.256907055990666e-05
Position 1685: 3.2026800354616974e-05
Position 627: 3.0378943920148342e-05
Position 1648: 2.9824435831405197e-05
Position 3499: 2.8506088781050824e-05
Position 657: 2.812332209016626e-05
Position 800: 2.7138045325353205e-05
Position 4085: 2.688551406059666e-05
Position 1319: 2.5487789726451522e-05
Position 3781: 2.025907126700274e-05
Position 384: 1.977049889265829e-05
Position 1080: 1.8786393043633616e-05
Position 3541: 1.8172744616587385e-05
Position 1200: 1.803683680352899e-05
Position 948: 1.7668869589403717e-05
Position 3380: 1.6815444018840658e-05
Position 1297: 1.651259834566224e-05
Position 341: 1.6397449125904536e-05
Position 1524: 1.3354872498515991e-05
Position 3776: 1.2531879361551857e-05
Position 1351: 9.651718884198666e-06
Position 95: 9.32000028584778e-06
Position 767: 9.266191257780195e-06
Position 616: 9.133449198041633e-06
Position 535: 8.965168952512823e-06
Position 230: 6.1991081444021335e-06
Position 3518: 4.81377799309359e-06
Position 4127: 4.460380558165519e-06
Position 815: 2.075222451834642e-06
Position 809: 1.123594357615161e-06
Position 1053: 8.374174157842487e-07
Position 782: 8.21350545748969e-07
Position 3266: 7.025430138793736e-07
Position 775: 6.47835023210344e-07
Position 394: 4.3291764899783867e-07
Position 221: 2.62921398149086e-07
Position 3377: 2.5456844057366237e-07
Position 434: 2.2643226578542348e-07
Position 364: 1.953182253215293e-07
Position 370: 1.9137152664580323e-07
Position 2725: 1.2404102801747415e-07
Position 142: 4.341709500011092e-08
Position 112: 3.516219200314933e-08
Position 3535: 2.3490702705029425e-08
Position 151: 2.0598987076023868e-08
Position 179: 1.393658317793782e-08
Position 176: 1.2236196922400758e-08
Position 81: 1.0194262773156647e-08
Position 74: 9.976494353590223e-09
Position 87: 5.972286279828417e-09
Position 431: 4.720124074198311e-09
Position 1210: 3.1838222643587865e-09
Position 156: 2.7861033751002303e-09
Position 127: 2.4448521018335092e-09
Position 589: 5.626243694676654e-10
Position 595: 4.757642473547059e-10
Position 549: 4.639594757469354e-10
Position 173: 1.8527187465564735e-10
Position 184: 3.2750910988126066e-12
Position 199: 2.9477813950334244e-12
Position 169: 1.3994294095603214e-12
Position 212: 1.3321538347644452e-12
Position 210: 1.844392764246673e-14
Position 207: 3.556423286304975e-15
