Gene = oaf
index = 1828
Annotated 5SS: [ 342 2533 2934]
Annotated 3SS: [2418 2614 3443]
SMsplice 5SS: [ 342 2533 2934]
SMsplice 3SS: [2418 2614 4761]
top_k =  100
Partition function (log Z): -2.068070805208965

Sorted 5' Splice Sites (High to Low Probability):
Position 2934: 0.997398625800318
Position 2533: 0.9971890936696228
Position 342: 0.56702994847024
Position 580: 0.07450693361682734
Position 1329: 0.07246703019866185
Position 2275: 0.05433815604918778
Position 1218: 0.05294901074268726
Position 3515: 0.04048001764935328
Position 28: 0.03805768816702771
Position 144: 0.03553331935867559
Position 896: 0.03355547399092965
Position 222: 0.02727660032970175
Position 4347: 0.027000514034423332
Position 1020: 0.02413036594188822
Position 4385: 0.021124313933954475
Position 626: 0.014751975402103823
Position 226: 0.011010686359420981
Position 938: 0.009984730455561865
Position 2793: 0.009542913038786778
Position 1370: 0.00825952548333032
Position 773: 0.006750738774156596
Position 4369: 0.005011275736322984
Position 365: 0.004291076279393093
Position 523: 0.004200268214245664
Position 4204: 0.004092623856626656
Position 1348: 0.003641020444149664
Position 665: 0.0035211582315673898
Position 1114: 0.0032007477914308587
Position 1356: 0.0025854405449894213
Position 1212: 0.0024165872521906186
Position 612: 0.0021492501892841714
Position 709: 0.0018181415010130526
Position 1012: 0.001635955722325334
Position 904: 0.0014790318754647723
Position 632: 0.0013888950203718982
Position 257: 0.001251145708103794
Position 11: 0.001217203709942127
Position 266: 0.001142191050697575
Position 594: 0.0007901693425922015
Position 263: 0.0007462263167119685
Position 2537: 0.0007103657679507279
Position 45: 0.0004931241590010039
Position 2972: 0.0004518057507349035
Position 2515: 0.0002795672016081882
Position 2959: 9.577518021501375e-05
Position 25: 3.6461059229148725e-06
Position 35: 5.039532212887222e-07
Position 32: 2.80645868260906e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2418: 0.9985712869697863
Position 2614: 0.9816363700294608
Position 4761: 0.2979739139352908
Position 4706: 0.22589097247171563
Position 3443: 0.16150277297553042
Position 4875: 0.10208681417211338
Position 3459: 0.052411514176042756
Position 4302: 0.04829067981954494
Position 4108: 0.039359884954825
Position 4729: 0.039180425298568
Position 2062: 0.037490010174526696
Position 4669: 0.031252215988806786
Position 692: 0.021742174769037444
Position 5365: 0.015392512566484785
Position 5569: 0.014197778146913637
Position 3331: 0.012481675964128755
Position 4746: 0.01206854291567208
Position 2850: 0.01112884746345569
Position 2617: 0.009251807915142157
Position 4594: 0.006337345958286474
Position 4635: 0.0062805673513405685
Position 4941: 0.004560698828067545
Position 3293: 0.004346526569688112
Position 4932: 0.0038865706504841147
Position 3235: 0.003785220829093353
Position 2653: 0.003370406328047728
Position 5886: 0.003038272862748243
Position 3099: 0.0028084380901001256
Position 870: 0.0027935866624364007
Position 1296: 0.002407849920466544
Position 4015: 0.0020284661501592614
Position 3115: 0.0017804637580339782
Position 730: 0.0017743440608961193
Position 414: 0.0015339015217554343
Position 4027: 0.0014944260047618351
Position 3715: 0.0011555569718257903
Position 1042: 0.0011304993692606217
Position 2698: 0.0009137561866964471
Position 3289: 0.0008507051391108395
Position 2814: 0.0007413095868517942
Position 86: 0.0006770365270695764
Position 3012: 0.0006124834308895356
Position 2860: 0.000585554987908181
Position 3001: 0.0005819082417820768
Position 1517: 0.0002399320288884487
Position 1598: 0.00020418734451402496
Position 2632: 0.00010332523065547777
Position 3250: 1.3113404583254538e-05
Position 3188: 4.484315354815283e-06
