Gene = Sbspon
index = 947
Annotated 5SS: [  284  9077 32462 33834]
Annotated 3SS: [ 8881 32370 33656 36859]
SMsplice 5SS: [  284  4418  8930 25831 33834]
SMsplice 3SS: [ 4316  8881 25729 33656 36859]
length: 38861
Partition function (logZ) = -22.238051070960612
#Exons = 1083
3SS, 5SS, prob
0, 284, 0.9804481149150243
4316, 4418, 0.6927383675687553
17051, -1, 0.5752610066004326
8881, 8930, 0.5497952288874783
7628, 7863, 0.36882664986774727
1536, 1707, 0.28096377342719325
5766, 5911, 0.2545945007068366
8097, 8199, 0.20913929596115574
11628, 11826, 0.19804302205773788
7724, 7863, 0.1944591198041323
18649, -1, 0.19418239411648677
8881, 9077, 0.10611080571444086
7485, 7587, 0.10548970445931054
5157, 5251, 0.10135640754303715
11595, 11826, 0.08574274103421456
5157, 5277, 0.08442673642791354
908, 1185, 0.07507414243428001
5157, 5239, 0.07234793994216011
1536, 1764, 0.05493673494740569
16668, -1, 0.050818252543009285
7945, 8199, 0.039992166690395646
8881, -1, 0.03624696231762359
7485, 7863, 0.03408660029949109
14581, -1, 0.03290814453665513
7684, 7863, 0.029193005561144608
8752, 8930, 0.028329762062264185
7973, 8199, 0.026357476392679085
1607, 1707, 0.02481668520171524
1021, 1185, 0.022755348392097027
16668, 16763, 0.021413280204562478
16668, 16785, 0.021223407500974047
13672, -1, 0.01978446444868845
908, 1051, 0.0192812063054015
13244, -1, 0.0181186758317254
8881, 8968, 0.016375683152540406
8752, 8833, 0.016018949154279413
5326, 5434, 0.015759118957661612
8960, 9077, 0.015356885475773699
1685, 1764, 0.014837603275849463
12054, 12227, 0.014168829683823936
2786, 2884, 0.01280810751762376
4316, 4459, 0.011379335639855446
12110, 12227, 0.009469502244293302
1049, 1185, 0.00908331984667296
1607, 1764, 0.008865508059432326
8111, 8199, 0.008616776342345173
7433, 7587, 0.008386344057599126
926, 1185, 0.007888063734731417
8242, -1, 0.007865688379789279
0, 1185, 0.007726709669913745
5157, 5434, 0.0077098349830126665
6097, 6221, 0.007289535209006041
4316, 4366, 0.007180285761284084
6119, 6221, 0.0070366432377367795
12713, -1, 0.006829311154773778
13032, -1, 0.006609884014727272
1266, 1345, 0.006545263894090145
4276, 4418, 0.006211011881855428
1164, 1345, 0.005136601428236106
1180, 1345, 0.0051205011207468495
6097, 6176, 0.0051046734343394755
9316, -1, 0.004873154016510979
1073, 1185, 0.004698873562011027
10725, -1, 0.004628810164806459
908, 1345, 0.00459035237266344
12416, -1, 0.0045026613617772234
411, 559, 0.004405231241311701
1536, 1685, 0.004371990342471011
1304, 1345, 0.00406781208273862
1184, 1345, 0.003948581198895091
12054, -1, 0.003838834983271543
1685, 1707, 0.0038143251433636707
11628, -1, 0.00351772435191198
0, 1345, 0.00349760240996338
10085, -1, 0.0034889587103344353
8161, 8199, 0.0032601251422753864
12030, 12227, 0.003199017247457173
7628, -1, 0.0031379023064222805
6970, 7058, 0.0030712506409898417
908, 927, 0.003025637080803634
12356, -1, 0.0028755791291647887
5766, 5983, 0.002785511726525585
7485, -1, 0.0027779468496719967
8665, 8833, 0.002656853230364691
6919, 7058, 0.0026060563101765067
6119, 6176, 0.0025846836392807446
1067, 1185, 0.0025346628388142867
7628, 8199, 0.0025082670611455715
3627, 3739, 0.0023060371282670783
3258, 3341, 0.002117220220184336
9956, -1, 0.0020853615007496744
965, 1185, 0.002078822513373001
11595, -1, 0.002068409736035881
892, 1185, 0.0020529055968154164
1237, 1345, 0.0020422741784725867
4658, 4855, 0.0020347454328523253
6145, 6221, 0.0019317313116097817
5977, 6176, 0.0019085417813551856
5323, 5434, 0.001845791371639179
926, 1051, 0.0018184449868254558
6124, 6221, 0.0017830078573705954
3232, 3341, 0.0016785489187024893
3124, 3341, 0.0016768839227171472
3795, 3914, 0.0016489371851818961
