Gene = ABCF2
index = 2
Annotated 5SS: [   68   926  2455  3299  3553  4710  5653  8167  8477  8670  9150 11264
 11627 12352]
Annotated 3SS: [  729  2241  3115  3380  4613  5549  8070  8356  8579  9038 11200 11497
 12147 13038]
SMsplice 5SS: [   68   926  2455  3299  3553  4478  4710  5653  8167  8477  8670 11264
 11627 12352]
SMsplice 3SS: [  729  2241  3115  3380  4324  4613  5586  8070  8356  8579 11200 11497
 12216 13769]
top_k =  100
Partition function (log Z): 24.492817348396642

Sorted 5' Splice Sites (High to Low Probability):
Position 11627: 0.9999678282037785
Position 5653: 0.9936068523899975
Position 4710: 0.9930072866540836
Position 8670: 0.9832161200905188
Position 12352: 0.9527721229425443
Position 8477: 0.9281552250041036
Position 3299: 0.9075526638000475
Position 68: 0.8833256184483586
Position 11264: 0.7985886361399923
Position 8167: 0.7772909209178656
Position 3553: 0.7632230267656535
Position 4478: 0.6303574309031155
Position 2455: 0.6219942171883532
Position 926: 0.5673741419991589
Position 2892: 0.4818433468110863
Position 13173: 0.4131024556173795
Position 13636: 0.3924255823352197
Position 942: 0.38039613057439264
Position 2045: 0.25062224539916544
Position 9163: 0.2257267626037189
Position 4017: 0.2150225907409168
Position 3648: 0.2068270260947356
Position 3962: 0.2056113135076236
Position 9150: 0.20482852508317997
Position 13196: 0.19498353401555565
Position 1489: 0.12002713668794855
Position 11407: 0.10503945518245894
Position 5453: 0.10430197342175224
Position 2482: 0.07708122983708193
Position 111: 0.061168836324513066
Position 8465: 0.0569799954140902
Position 886: 0.0450083440165111
Position 2475: 0.038080998368996144
Position 5149: 0.036801448680636166
Position 13190: 0.03396011497859134
Position 493: 0.031004440957346537
Position 8871: 0.028534622158001854
Position 12311: 0.025797684081328556
Position 12919: 0.02365203218139767
Position 8713: 0.015994763465646773
Position 13480: 0.01367883955591085
Position 1142: 0.010733861972614327
Position 2335: 0.01047038964412401
Position 374: 0.00940733456229042
Position 1870: 0.007961910600413437
Position 4732: 0.006992713345915176
Position 277: 0.006983453930715908
Position 2741: 0.006394426569227191
Position 12322: 0.006386779378042039
Position 8482: 0.006375707763088937
Position 8875: 0.006312220171880073
Position 1180: 0.00467344994033094
Position 8492: 0.004656761517447848
Position 3001: 0.0041895308492609275
Position 312: 0.003813168899897682
Position 2818: 0.002447030810335562
Position 5677: 0.0022121121126842296
Position 689: 0.002036489000319577
Position 2029: 0.0016913366456123183
Position 2765: 0.001626963764611647
Position 2049: 0.001492986414747106
Position 8497: 0.001123099446023164
Position 8462: 0.0010657850916066369
Position 501: 0.000990943386436368
Position 11948: 0.0009373496481002389
Position 12371: 0.0009245598541710591
Position 72: 0.0007198510377142194
Position 8643: 0.0004968119995442099
Position 8484: 0.0004021971328431593
Position 90: 0.0003542822779431868
Position 391: 0.00032552805261596644
Position 516: 0.0001619315802299114
Position 405: 0.00015086137481369217
Position 1314: 0.00010100107345883623
Position 569: 7.826866671447714e-05
Position 151: 6.856302727685566e-05
Position 408: 5.644596604235146e-05
Position 213: 4.89908452161687e-05
Position 534: 4.009712975504327e-05
Position 8654: 2.394818519990115e-05
Position 11646: 2.389937314087361e-05
Position 589: 1.7344129572497072e-05
Position 8703: 8.065536871871061e-06
Position 101: 4.294057705787567e-10
Position 38: 1.669802798888001e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 8579: 0.9996965930211771
Position 8356: 0.9988018876258109
Position 4613: 0.9972409918338423
Position 11497: 0.9804840984593683
Position 729: 0.9555406166128294
Position 3115: 0.9088313050026067
Position 11200: 0.8854852756082382
Position 3380: 0.8750130580034746
Position 12216: 0.822237566323876
Position 2241: 0.7200802541174693
Position 8070: 0.6924416957133904
Position 13038: 0.6805555202476407
Position 13769: 0.6343944119346434
Position 4324: 0.6331164390692725
Position 5586: 0.531246986785494
Position 2811: 0.46392698658579773
Position 5549: 0.45847137211140326
Position 13384: 0.3791307481576155
Position 13347: 0.30296256649997555
Position 3845: 0.28333237707192355
Position 1869: 0.25098180124830366
Position 8791: 0.23533665215710034
Position 9038: 0.19553779766944548
Position 3875: 0.13730152717661692
Position 1403: 0.1108917816387156
Position 12286: 0.0934410653660691
Position 5323: 0.09068572571095421
Position 3601: 0.08478618047254913
Position 7955: 0.08053694488516806
Position 11359: 0.03765044483176332
Position 12172: 0.035645299409583164
Position 9060: 0.03396373305403198
Position 2628: 0.03257431221872467
Position 12147: 0.029102250513260364
Position 2335: 0.02646315835937672
Position 13071: 0.023833432007161683
Position 12738: 0.02365203218139767
Position 5039: 0.02097071893594214
Position 5229: 0.019716853316582277
Position 795: 0.01914732153144655
Position 13068: 0.01523343463326886
Position 792: 0.01468971178940244
Position 5015: 0.014234364903597883
Position 13791: 0.012040413022351879
Position 1764: 0.009016339258071132
Position 1061: 0.006582648783903781
Position 12130: 0.005446547241114088
Position 7913: 0.004312280319306964
Position 1098: 0.004295095002313532
Position 3638: 0.004209604197476622
Position 1064: 0.004209507402225177
Position 1214: 0.004093148970475538
Position 3385: 0.004044534146845122
Position 1409: 0.003081664788607904
Position 746: 0.002919159186081507
Position 4974: 0.0015963648410961422
Position 1465: 0.0011783859369357726
Position 2244: 0.00108342256170911
Position 1681: 0.0009831154978666825
Position 1658: 0.0007872230556967627
Position 1294: 0.0007802349073605839
Position 291: 0.000777306151764254
Position 11786: 0.0007484866364481205
Position 3620: 0.0007180348374827034
Position 8766: 0.0005639471362029335
Position 1012: 0.0003931792925132815
Position 11858: 0.00019728041383468888
Position 293: 0.00014474886414802353
Position 798: 7.554335987358662e-05
Position 277: 5.25839447725013e-05
Position 180: 4.42263564299768e-05
Position 184: 3.476580140606358e-05
Position 446: 2.337887049947479e-05
Position 411: 1.7711100874995643e-05
Position 322: 1.6602707613964153e-05
Position 245: 1.2816422543632381e-05
Position 1102: 1.0402168057138385e-05
Position 253: 9.911488672438949e-06
Position 1176: 9.23815949123887e-06
Position 460: 8.418235828736569e-06
Position 986: 6.852232497911298e-06
Position 405: 5.895887319140927e-06
Position 361: 4.145709720142313e-06
Position 162: 3.5608430424342737e-06
Position 982: 3.3103912554560678e-06
Position 826: 1.9514417833264326e-06
Position 842: 4.904137538146509e-07
Position 877: 1.744245272195876e-07
Position 598: 2.5639885040806904e-08
