Gene = Nrgn
index = 766
Annotated 5SS: [ 368 6957 7205]
Annotated 3SS: [6729 7186 7572]
SMsplice 5SS: [ 368 6817]
SMsplice 3SS: [6729 7572]
top_k =  1000
Partition function (log Z): -4.653768797225988

Sorted 5' Splice Sites (High to Low Probability):
Position 368: 0.990414285295211
Position 6957: 0.7151884934420543
Position 5725: 0.14629101248741253
Position 7479: 0.1055032059075573
Position 1426: 0.10265075872962177
Position 3523: 0.07640190012040655
Position 5318: 0.05826870991770237
Position 3062: 0.05538292382025423
Position 5515: 0.05253326778259663
Position 936: 0.04890137170911519
Position 6233: 0.04641563706816867
Position 7205: 0.04179571599493928
Position 4299: 0.03673371081614128
Position 2679: 0.029268327253086472
Position 5622: 0.028691955479214434
Position 2932: 0.02726537318741082
Position 6341: 0.021639526716726823
Position 1309: 0.0199424370863502
Position 3734: 0.018834783780398677
Position 1430: 0.015424483908136574
Position 7066: 0.012826793875478158
Position 429: 0.009300614322926538
Position 7742: 0.007805649894649287
Position 6821: 0.006941559866417201
Position 4620: 0.006738960754731068
Position 3012: 0.006432659651231514
Position 7036: 0.006268302982699861
Position 1051: 0.006105955357387165
Position 4326: 0.004589130493375568
Position 49: 0.004400132503687956
Position 7330: 0.00412515706468194
Position 2576: 0.004104447736089278
Position 7634: 0.004006553130631165
Position 5555: 0.003910544610327988
Position 170: 0.00385970250739053
Position 929: 0.003729180479439566
Position 1218: 0.0035049620858653516
Position 10: 0.0034504508063746588
Position 4927: 0.003386652985222597
Position 2158: 0.0033811649812184627
Position 5162: 0.0033691978906083657
Position 37: 0.0028443006838932295
Position 249: 0.002762982245554207
Position 1908: 0.002242090288860984
Position 4006: 0.00205048349693363
Position 7734: 0.0020272881881081015
Position 2907: 0.0018429831511679188
Position 2347: 0.0017967833555878044
Position 33: 0.0017329030631065261
Position 2899: 0.0017206645418149167
Position 4340: 0.001646807583916405
Position 3265: 0.001599403954518752
Position 4923: 0.0014453983657231218
Position 3538: 0.0014348082607152824
Position 872: 0.0013212153092293252
Position 1343: 0.0011180526165558695
Position 946: 0.0010244207477136903
Position 850: 0.0009920707250728657
Position 1072: 0.0009388165266356729
Position 5530: 0.0009302631870570538
Position 41: 0.0008608084215961164
Position 5347: 0.0007952838390306968
Position 1014: 0.0007263680168618413
Position 7101: 0.0007016036796547679
Position 1572: 0.000525077369209539
Position 2938: 0.0005156639668452978
Position 1038: 0.0004878450690262371
Position 2793: 0.00045591248539519674
Position 5684: 0.00041787420299303546
Position 5285: 0.0004044229741232632
Position 134: 0.0004002326512508692
Position 3499: 0.0003774313778987207
Position 5630: 0.0003646043832727935
Position 7379: 0.00036079295634494895
Position 227: 0.0003229961875865503
Position 2198: 0.00029422772035901857
Position 695: 0.00024893819653562554
Position 14: 0.0002445262729203621
Position 3639: 0.00019330380808817805
Position 7694: 0.0001869242709821827
Position 1588: 0.00018137866304708306
Position 185: 0.0001394732617742923
Position 3633: 0.00012666813612848294
Position 3748: 0.0001111619445770771
Position 97: 9.725788703142305e-05
Position 81: 5.617843163253593e-05
Position 136: 5.5234521809932876e-05
Position 847: 4.4225760523385226e-05
Position 716: 2.9288239159779516e-05
Position 658: 1.9616771951683975e-05
Position 109: 1.7388246392120984e-05
Position 1745: 1.4112219442464796e-05
Position 841: 1.2982750121730288e-05
Position 1103: 1.2040641972922316e-05
Position 1259: 1.1836486585636136e-05
Position 813: 9.438851884741671e-06
Position 94: 9.373242889497022e-06
Position 688: 8.482004015037117e-06
Position 898: 7.443483275234328e-06
Position 35: 6.697090105940472e-06
Position 940: 6.261821438275237e-06
Position 821: 5.460139803152885e-06
Position 450: 5.019786264446985e-06
Position 601: 4.567535737835865e-06
Position 1098: 4.320816979573611e-06
Position 446: 4.253582247677488e-06
Position 433: 4.112010810290633e-06
Position 959: 3.749988922019728e-06
Position 7060: 3.7137661184770185e-06
Position 257: 3.6444697755113124e-06
Position 604: 3.222946864273328e-06
Position 976: 2.413129808405556e-06
Position 889: 2.3465891778080907e-06
Position 12: 1.8350633429300102e-06
Position 485: 1.5565965957272058e-06
Position 881: 1.1673180403645014e-06
Position 6864: 1.128218810437802e-06
Position 372: 1.0929214398801518e-06
Position 3448: 1.0073635724878913e-06
Position 876: 9.809726386087446e-07
Position 703: 5.031218763326379e-07
Position 291: 4.539727288201513e-07
Position 393: 4.283394647057125e-07
Position 697: 3.3090969381996494e-07
Position 472: 2.3018960215174104e-07
Position 978: 5.5429942379242375e-08
Position 391: 4.4218390015609604e-08
Position 758: 3.8890390431882954e-08
Position 799: 2.0742652278485435e-08
Position 498: 1.5856774904821295e-08
Position 1274: 5.736526348993838e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6729: 0.9321419531094596
Position 7572: 0.32110678821770755
Position 7888: 0.23896678337413949
Position 5503: 0.16430521734612927
Position 1142: 0.0948051604939514
Position 7322: 0.08250861552518796
Position 6121: 0.07182713727091682
Position 2872: 0.06573286048955868
Position 7867: 0.06203019455853772
Position 5419: 0.06035973385159638
Position 5220: 0.05941464151662365
Position 7284: 0.05302491504277996
Position 3365: 0.048732681682302506
Position 3498: 0.03682205960715053
Position 792: 0.03644764187199647
Position 7306: 0.034436469861203335
Position 7339: 0.02730982325189816
Position 1329: 0.026923266784123222
Position 4236: 0.026685496571736834
Position 928: 0.02577709756259352
Position 7609: 0.025520395034596795
Position 7578: 0.023871753265180286
Position 2421: 0.023100059839403282
Position 2822: 0.017187062363016297
Position 7137: 0.015608575209477647
Position 4036: 0.013157647225594706
Position 130: 0.012295818663526196
Position 3264: 0.011950514013510724
Position 6412: 0.010705617307309102
Position 1208: 0.00866862406432924
Position 8240: 0.007866304201153192
Position 318: 0.007393554428378719
Position 3599: 0.007264520268520039
Position 2734: 0.0071616423378699804
Position 5552: 0.0065772347244013275
Position 1180: 0.005807060819165175
Position 7517: 0.005802659492226248
Position 7700: 0.0054935488322362695
Position 4487: 0.0052162949103085445
Position 7659: 0.004488281911903984
Position 7874: 0.004216633542644575
Position 4863: 0.003776166876233655
Position 2771: 0.003261710409367341
Position 775: 0.0031873502013685827
Position 7918: 0.0031414797097398407
Position 2892: 0.0031070819338404995
Position 7186: 0.002926104549105115
Position 7758: 0.0026777245939298673
Position 8057: 0.0026180653895675142
Position 7358: 0.002545487427733206
Position 2481: 0.0025360793107049888
Position 6610: 0.0024624345794241934
Position 5667: 0.002259786169173263
Position 1760: 0.002223211960964423
Position 6227: 0.0022106558827859816
Position 7120: 0.0019317723558705808
Position 5046: 0.0019168053684302246
Position 4803: 0.0017018766411788268
Position 2398: 0.0016214927207011862
Position 2202: 0.001577632605873583
Position 4562: 0.001486805389531045
Position 2361: 0.0014293918720708115
Position 6805: 0.001378603047728777
Position 2749: 0.0012461395113024826
Position 5191: 0.0012406066028020544
Position 7716: 0.001093682182916836
Position 5512: 0.0010844865085731748
Position 3384: 0.0010632015035069108
Position 4192: 0.0010487569000751029
Position 1989: 0.001029445460656869
Position 2569: 0.0009444303154496494
Position 621: 0.0008819247982955404
Position 2316: 0.0008393282172422591
Position 4186: 0.0008144650592351639
Position 2605: 0.0007926275474413615
Position 2550: 0.0007796534736579301
Position 1308: 0.0007778312280960322
Position 2326: 0.000771331833080737
Position 6732: 0.0007255180987250032
Position 2022: 0.0007005795114748122
Position 1489: 0.0006617499624161482
Position 1085: 0.0006566999964507453
Position 5336: 0.0006474807497947312
Position 8209: 0.0006473506154864129
Position 7523: 0.0006366393327901987
