Gene = IL23R
index = 692
Annotated 5SS: [  142  1791  3239 16560 34498 40656 53331 70403 73882 89528]
Annotated 3SS: [ 1691  2941 16435 34336 40509 53173 70312 73778 89436 92077]
SMsplice 5SS: [  142  1791  3239 16560 19689 38274 53331 70403 73882 85669 89528]
SMsplice 3SS: [ 1691  2941 16435 19563 38180 53173 70312 73778 85535 89436 92144]
top_k =  1000
Partition function (log Z): -40.670845394256006

Sorted 5' Splice Sites (High to Low Probability):
Position 1791: 0.9634442822053414
Position 142: 0.8964851392884875
Position 16560: 0.8889729110186966
Position 3239: 0.7023023991498222
Position 15272: 0.5990417537979946
Position 5520: 0.5841413587208795
Position 19689: 0.48117136364755503
Position 4536: 0.16276051925627247
Position 18913: 0.12670372469531418
Position 38: 0.09665516808444959
Position 17272: 0.09344270281988733
Position 5348: 0.08758839629272107
Position 999: 0.04915850589266175
Position 19759: 0.04525627613085361
Position 14864: 0.02754832615043827
Position 8039: 0.019969657430575223
Position 5690: 0.017828128142747094
Position 9420: 0.014003398470919323
Position 4433: 0.012230450369929882
Position 2547: 0.006679612648979252
Position 9168: 0.006445840200917718
Position 3005: 0.006165060882368573
Position 3445: 0.0053324997900575264
Position 798: 0.005290136125298796
Position 11941: 0.005156164801282264
Position 134: 0.004291289790558736
Position 5092: 0.004166112830666874
Position 3135: 0.004038613889565485
Position 530: 0.0018797714882510506
Position 59: 0.0014779253153972024
Position 4664: 0.0013602705820391814
Position 2235: 0.001133344802497027
Position 5154: 0.0010584906076919474
Position 2683: 0.001043568369198703
Position 715: 0.000791449029999042
Position 729: 0.0007853565119769717
Position 1266: 0.0006328488041169022
Position 2195: 0.0006114372936104013
Position 2579: 0.000608923793493244
Position 1129: 0.0005563609458912375
Position 1805: 0.0004331432031404059
Position 639: 0.0004303606968890475
Position 3452: 0.0003246661543315776
Position 1796: 0.00026679817619006726
Position 2489: 0.00026311206555423595
Position 7587: 0.0002506385877304356
Position 1845: 0.0002486888998773471
Position 1730: 0.0002349342658895169
Position 2170: 0.00022264720408699185
Position 5773: 0.0001718063235041877
Position 9199: 0.00015721479233037482
Position 2718: 0.000155184319153164
Position 762: 0.0001469785554885331
Position 5343: 0.0001423241412191985
Position 574: 0.00012389240773875784
Position 251: 0.00010785824485268371
Position 8054: 0.00010741582131191083
Position 1222: 8.614013893031685e-05
Position 210: 7.891978074229552e-05
Position 1593: 7.107703421292146e-05
Position 329: 6.172566564205976e-05
Position 507: 5.253368543738484e-05
Position 1168: 5.136024417446475e-05
Position 1780: 3.726450157956336e-05
Position 1260: 3.71401402953025e-05
Position 592: 3.516544162194888e-05
Position 227: 2.9099420125334262e-05
Position 121: 2.7078692709044646e-05
Position 2376: 2.6990771141162686e-05
Position 2533: 2.645468573198744e-05
Position 1915: 2.4437990578439374e-05
Position 92: 2.436004769564906e-05
Position 1751: 2.3818241855689394e-05
Position 852: 2.3162377983027415e-05
Position 2178: 2.313409686357601e-05
Position 2608: 2.069987902102782e-05
Position 42: 1.7292888303656154e-05
Position 1191: 1.6003794990531416e-05
Position 1376: 1.538475708464337e-05
Position 5422: 1.4098523993670353e-05
Position 1410: 1.343595313152954e-05
Position 2605: 1.3110997502911452e-05
Position 1201: 1.2535559273903233e-05
Position 2618: 1.0306688299044106e-05
Position 2502: 9.844491075675578e-06
Position 2779: 9.057765323467596e-06
Position 25: 8.697327339400682e-06
Position 1863: 8.444012740962996e-06
Position 2020: 8.257133187079528e-06
Position 2449: 8.227792849081286e-06
Position 934: 6.397336945336568e-06
Position 613: 6.140684884276926e-06
Position 1434: 6.101922115513631e-06
Position 582: 5.99202135457636e-06
Position 2602: 5.735112040804519e-06
Position 562: 5.315759992748085e-06
Position 1870: 5.297277620655306e-06
Position 2288: 4.869598118087915e-06
Position 2842: 4.71894573388777e-06
Position 248: 4.298674993954113e-06
Position 2054: 4.28283844741876e-06
Position 2554: 4.194140622478411e-06
Position 1089: 3.294723375320395e-06
Position 773: 3.254154550164432e-06
Position 1133: 2.7707682523316196e-06
Position 843: 1.992868655309788e-06
Position 1358: 1.7879259749360994e-06
Position 2062: 1.622714277855239e-06
Position 7229: 1.5583978292618617e-07
Position 625: 1.1062928752267454e-07
Position 458: 6.820041145426385e-08
Position 111: 4.348194547501431e-08
Position 2272: 3.501753929845043e-08
Position 2141: 3.0845652917134855e-08
Position 2048: 2.5464543003679716e-08
Position 2148: 2.1486353291053055e-08
Position 622: 1.2848956009515524e-08
Position 446: 1.0769928106135798e-08
Position 2267: 6.970888500827441e-09
Position 990: 2.007721824213144e-09
Position 863: 2.910065864552934e-10
Position 510: 2.5964993925982076e-10
Position 364: 1.5264464695343493e-10
Position 213: 2.3995642342473036e-11
Position 662: 1.087947591306598e-11
Position 1917: 4.226413290982852e-12
Position 611: 1.799603070957061e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 16435: 0.9006865221488657
Position 19563: 0.6780669675896966
Position 2941: 0.5904517748612373
Position 1691: 0.576203894691633
Position 5432: 0.4838596885905361
Position 1718: 0.37948599090016305
Position 15149: 0.2765167769892503
Position 15191: 0.21346097254558977
Position 21841: 0.2131894422226671
Position 24827: 0.16126979221763793
Position 4375: 0.1376911653564843
Position 18785: 0.13111060674566763
Position 25275: 0.12287188158782919
Position 17192: 0.11211731846545778
Position 15014: 0.11086642776068362
Position 25447: 0.08961845119660711
Position 5257: 0.07828850862439413
Position 27325: 0.05635518204997234
Position 5209: 0.05256936994574407
Position 21820: 0.04938437427912042
Position 3000: 0.03721798625913569
Position 3034: 0.03371481110693165
Position 26286: 0.033101210026802164
Position 14569: 0.028156364325189483
Position 5507: 0.025164307260084527
Position 711: 0.022471431825138534
Position 20616: 0.018623162404300186
Position 5326: 0.017190556864901504
Position 2980: 0.016828050859720355
Position 9279: 0.015260199123494552
Position 7816: 0.015227025161806473
Position 4275: 0.01412019824637214
Position 685: 0.014023026761918307
Position 5549: 0.011069027057340633
Position 20222: 0.01043693535300304
Position 3031: 0.009704175858601893
Position 3124: 0.009694201438798452
Position 19687: 0.009552430068265
Position 2405: 0.008461209453491157
Position 17373: 0.00805892521269658
Position 5297: 0.00764721154275729
Position 3056: 0.00676813397259462
Position 9047: 0.006685368318169175
Position 133: 0.006608284478716424
Position 21856: 0.006591137342897843
Position 11681: 0.005733696355678187
Position 747: 0.005278339021144712
Position 5072: 0.004729393249535814
Position 4487: 0.004492570677890764
Position 16406: 0.004343419493256528
Position 4460: 0.004122251178003456
Position 5153: 0.0038560322453592344
Position 3088: 0.003792263735227735
Position 4256: 0.003674979489931887
Position 5363: 0.00361011102154962
Position 1592: 0.0034368190347014373
Position 4239: 0.003126063119321862
Position 19022: 0.002829832817455079
Position 3202: 0.002800253561020083
Position 4331: 0.002699328241029849
Position 5458: 0.0026003349159181913
Position 7846: 0.00247472786655783
Position 20801: 0.0024685585212887292
Position 20012: 0.002242709490853345
Position 3388: 0.0022071298577627774
Position 20773: 0.0021500347237688494
Position 855: 0.0021421094397142096
Position 852: 0.002133309561940137
Position 16749: 0.0020763688554555934
Position 881: 0.002046291280644472
Position 1693: 0.002034466986813268
Position 1729: 0.0017737638375382944
Position 15437: 0.0017052792280365767
Position 7985: 0.0016710528748657381
Position 19380: 0.001664293301588915
Position 15810: 0.0016042913636484983
Position 4338: 0.0014056549565066162
Position 2000: 0.0013926601026306286
Position 19086: 0.0013227053866625442
Position 5049: 0.0012852170795063912
Position 7872: 0.0011491775499148887
Position 4433: 0.0011419484706280316
Position 17529: 0.001064049338630161
Position 18912: 0.0010057509493439003
Position 1776: 0.0009297896653769062
Position 4180: 0.0009206473012530456
Position 5654: 0.000919233043716714
Position 3092: 0.000866555119279082
Position 1089: 0.0008044751389947994
Position 4386: 0.0007760616316434363
Position 3363: 0.0007541244000386246
Position 5178: 0.0007471518771010712
Position 3394: 0.0007415075261868452
Position 3107: 0.0007269436511924063
Position 648: 0.0007235682008035376
Position 3309: 0.0006492397546640721
Position 4437: 0.0006464923679354911
Position 7459: 0.0006456002854891966
Position 934: 0.000625007439378432
Position 4645: 0.0006245710921715865
Position 5303: 0.0005509207452752083
Position 15452: 0.000540680514146761
Position 379: 0.0005186990606708832
Position 17429: 0.0004899128312994071
Position 10456: 0.0004566959144930024
Position 465: 0.0004386947413605457
Position 4066: 0.0004167239896623441
Position 5181: 0.00039491945617505295
Position 11165: 0.00039282818139926287
Position 4953: 0.0003849362206578086
Position 2986: 0.000384864892377183
Position 3320: 0.00037996537135084256
Position 1701: 0.00036072365217281735
Position 1973: 0.0003220584383507019
Position 4899: 0.0002722900502177702
Position 1619: 0.000265508079617009
Position 17585: 0.0002640152030772157
Position 356: 0.00025916778930729897
Position 329: 0.00025480495562390506
Position 510: 0.00021261367026720592
Position 2379: 0.00020463501373436252
Position 1094: 0.00019306559225497604
Position 16790: 0.00018349934345513732
Position 5554: 0.00017536781781896858
Position 4606: 0.00017423381614646653
Position 344: 0.00017373361879487344
Position 2148: 0.00017117603506875176
Position 4202: 0.0001692719161686268
Position 4146: 0.00014585883566894755
Position 14530: 0.00013906587584881433
Position 3204: 0.00012590111630865792
Position 7475: 0.00012188687840162335
Position 8453: 0.00012033031668412964
Position 8177: 0.00011903658752998377
Position 5689: 0.00011658271981309081
Position 4915: 0.00011108546268826875
Position 14075: 0.00010849421683021066
Position 13122: 0.0001081029329142541
Position 1751: 0.00010725087141253491
Position 7136: 0.00010635276129064141
Position 5091: 0.00010102433713066911
Position 907: 9.908537244132331e-05
Position 7263: 9.829515637875574e-05
Position 611: 9.696150359403225e-05
Position 3348: 9.688848220767277e-05
Position 2511: 9.166671968303584e-05
Position 9197: 8.629960732992487e-05
Position 8407: 7.904025081055542e-05
Position 801: 7.769162099282706e-05
Position 622: 7.670694492028462e-05
Position 2037: 7.428917739872981e-05
Position 1874: 7.093659078437777e-05
Position 3418: 7.001971310393565e-05
Position 1145: 6.64560846130548e-05
Position 11503: 6.432302679790813e-05
Position 11977: 6.183992934543689e-05
Position 384: 6.109803239064616e-05
Position 2874: 6.077665674586884e-05
Position 12893: 6.062449968250463e-05
Position 3336: 5.654121451743262e-05
Position 1521: 5.545978354041121e-05
Position 12984: 5.443537133112019e-05
Position 2376: 5.374335657775135e-05
Position 3341: 4.80393091640273e-05
Position 3042: 4.6995805117738666e-05
Position 948: 3.994730380117116e-05
Position 4484: 3.911945123473e-05
Position 3353: 3.841378841158059e-05
Position 9331: 3.824604428661645e-05
Position 248: 3.57353041292246e-05
Position 227: 3.325533530922023e-05
Position 13222: 3.179519541399152e-05
Position 2413: 2.9144163974332492e-05
Position 3243: 2.6874035999257005e-05
Position 1210: 2.4781959833231384e-05
Position 8354: 2.4742745373088468e-05
Position 2004: 2.2344933464501434e-05
Position 12557: 2.1884326232532605e-05
Position 543: 2.1650240292048423e-05
Position 972: 2.1189072535391237e-05
Position 4040: 2.1070661008557657e-05
Position 6894: 2.0827484509392776e-05
Position 3755: 2.0507516183610197e-05
Position 6950: 2.0233095872651073e-05
Position 8027: 1.9337767804772596e-05
Position 7950: 1.9298988079956674e-05
Position 4500: 1.916068015778569e-05
Position 2842: 1.781135645010657e-05
Position 8639: 1.7706139055258352e-05
Position 11900: 1.7070315599739665e-05
Position 4288: 1.521755807532676e-05
Position 6066: 1.4050466666602741e-05
Position 6728: 1.3481136677848403e-05
Position 5368: 1.217878292062144e-05
Position 11351: 1.1890746700384226e-05
Position 6548: 1.178301511177387e-05
Position 6918: 1.1479366864202145e-05
Position 7581: 1.1089178636590475e-05
Position 2345: 1.0962625274159929e-05
Position 2627: 1.0521819988136343e-05
Position 2476: 9.263325191116511e-06
Position 2595: 9.145162018518869e-06
Position 5928: 8.331972410873812e-06
Position 2468: 6.645273409620377e-06
Position 6966: 6.374260228649064e-06
Position 6933: 6.30497120582924e-06
Position 2436: 6.266138976297336e-06
Position 7630: 5.657530039438379e-06
Position 1935: 5.459139408642388e-06
Position 6326: 5.4162829986323606e-06
Position 1757: 5.0898884012125976e-06
Position 861: 5.058266908765176e-06
Position 1391: 4.957384710260411e-06
Position 6360: 4.514077462979315e-06
Position 3223: 4.072589647321336e-06
Position 2528: 3.904310454770764e-06
Position 412: 3.614495979152815e-06
Position 5814: 3.551754322597571e-06
Position 518: 3.4534943203449467e-06
Position 1445: 3.3421851199474736e-06
Position 5591: 3.264795903887445e-06
Position 988: 3.10436163598493e-06
Position 8572: 3.089796618384553e-06
Position 8490: 3.066572516577378e-06
Position 8323: 3.051073112039504e-06
Position 436: 2.9574475892325207e-06
Position 381: 2.727575629657304e-06
Position 692: 2.3972223678750105e-06
Position 5851: 2.2095825782208982e-06
Position 1063: 2.0618251168019182e-06
Position 2238: 1.985435696640303e-06
Position 5006: 1.8138239888134524e-06
Position 111: 1.696649437608963e-06
Position 2170: 1.6804250594487566e-06
Position 728: 1.6356961443597995e-06
Position 1902: 1.5725900434466978e-06
Position 4697: 1.4207022358638283e-06
Position 5776: 1.2808444125911289e-06
Position 6482: 1.165493878389991e-06
Position 1295: 1.1622534488704106e-06
Position 6380: 1.106878644054298e-06
Position 3480: 9.788625597159231e-07
Position 446: 8.174178331765423e-07
Position 1109: 8.133947890599581e-07
Position 3679: 7.041655697086733e-07
Position 1152: 6.481272073553681e-07
Position 1165: 6.39275892005152e-07
Position 1227: 5.445602223940875e-07
Position 3429: 4.591810542981159e-07
Position 1885: 4.56642436955457e-07
Position 3676: 4.512635209050642e-07
Position 3929: 4.2949794515238206e-07
Position 1168: 1.9922025440967858e-07
Position 754: 1.5623621856592796e-07
Position 5468: 1.249033015463136e-07
Position 5077: 2.1360766739250284e-08
Position 2811: 1.3198473562697257e-08
Position 4071: 9.530733537438774e-09
Position 3366: 7.549025800591782e-09
Position 265: 6.5735520196592585e-09
Position 431: 6.380867714046262e-09
Position 174: 3.419095235472452e-09
Position 1457: 1.4617486990846025e-09
Position 524: 1.321063893216796e-09
Position 141: 1.100798244945295e-09
Position 178: 1.1000905123325981e-09
Position 210: 1.073990500075528e-09
Position 487: 7.176536309199496e-10
Position 149: 5.392143651651967e-10
Position 1307: 3.8540626991793215e-10
Position 529: 2.4251398496595587e-10
Position 582: 1.8145812813227354e-10
Position 574: 1.7415620354160318e-10
Position 1396: 7.400228075203463e-11
Position 153: 7.145296418456223e-11
Position 1907: 3.304150684510414e-11
Position 98: 3.2703908304635706e-11
Position 90: 2.6016139889799602e-14
