Gene = Crym
index = 296
Annotated 5SS: [  357  1035  2864  4462  6787 11660 12386]
Annotated 3SS: [  883  2800  4359  6602 11537 12300 15412]
SMsplice 5SS: [  357  1035  2864  4462  6787 11660 12386]
SMsplice 3SS: [  883  2800  4359  6602 11537 12300 15412]
top_k =  500
Partition function (log Z): 1.915350252128054

Sorted 5' Splice Sites (High to Low Probability):
Position 2864: 0.9761178200083401
Position 1035: 0.9486200972601131
Position 4462: 0.9269967558807278
Position 12386: 0.9091922370796697
Position 11660: 0.8047173647470585
Position 357: 0.7610680510265984
Position 6787: 0.7426654868127137
Position 686: 0.4020326774013082
Position 4760: 0.3504263443673271
Position 5210: 0.2575672827526692
Position 6431: 0.20074359085611926
Position 4749: 0.1640447005461028
Position 9851: 0.15360560327916437
Position 13070: 0.10066446275221319
Position 9826: 0.09049162951719002
Position 6703: 0.06982633008845383
Position 2678: 0.06028174590766084
Position 11602: 0.05662483786060199
Position 6603: 0.04728465517951787
Position 571: 0.04290116703576895
Position 4739: 0.03522177270658066
Position 1426: 0.03378856431888161
Position 223: 0.03276498161921278
Position 363: 0.03176947350845663
Position 9343: 0.03176476185002659
Position 296: 0.031632778806570144
Position 5931: 0.02972770229283964
Position 6762: 0.029266380230486794
Position 9537: 0.027042332963014348
Position 4642: 0.022769960856534297
Position 11757: 0.022637862405626097
Position 1764: 0.021459220803893356
Position 4660: 0.021338043698079602
Position 15215: 0.021309468670836638
Position 3611: 0.01931569238513592
Position 4664: 0.018368146582455124
Position 13573: 0.017817530244709782
Position 2671: 0.01749957617089634
Position 7370: 0.013683586616603793
Position 4505: 0.01187571411021638
Position 6672: 0.011425717967957574
Position 4282: 0.011025002178983659
Position 2069: 0.010876389708731983
Position 7896: 0.009909891652514023
Position 528: 0.009477734383580164
Position 6414: 0.00929175207657646
Position 2118: 0.008751333894452054
Position 5764: 0.008685737924240662
Position 15474: 0.007298453810843096
Position 2888: 0.0058227571208221566
Position 5341: 0.0053082619051165935
Position 4205: 0.005118507815247896
Position 5345: 0.004921205693267333
Position 1068: 0.004873375473780197
Position 609: 0.004636783870294575
Position 6368: 0.004316523455644592
Position 322: 0.004049280410753164
Position 2905: 0.004006586134488194
Position 938: 0.003761885897490389
Position 1301: 0.0034879651050639593
Position 996: 0.0029396858089162123
Position 1231: 0.002936196755472626
Position 2528: 0.0027268908489782905
Position 10156: 0.0026300523122327157
Position 2965: 0.0016727412924645764
Position 1247: 0.0016399031442326977
Position 1379: 0.0014533195462725725
Position 1177: 0.001292955079032241
Position 1386: 0.001025289086822141
Position 30: 0.0010243568723300924
Position 3793: 0.0009353459503677285
Position 2682: 0.0008133669821342119
Position 3996: 0.0008108881504377454
Position 4026: 0.0007894955917157769
Position 340: 0.000774107052120342
Position 3634: 0.0007554659646751149
Position 4302: 0.000593117030488657
Position 167: 0.0005902729784833828
Position 1360: 0.0005371921295124377
Position 540: 0.00041745485309371496
Position 1799: 0.00041160900510547606
Position 310: 0.0004067680576013521
Position 331: 0.00034195660394226445
Position 975: 0.0002799106073603214
Position 334: 0.0002772153606369164
Position 5386: 0.00021390421960597355
Position 4650: 0.0001919823482484425
Position 2457: 0.00019138508172845606
Position 4732: 0.00018795124696559793
Position 690: 0.00018553915987115286
Position 151: 0.0001610674917282162
Position 2411: 0.0001251239054368303
Position 2226: 0.0001151685448272765
Position 1224: 9.710447891423108e-05
Position 146: 9.106902443782488e-05
Position 671: 8.631574038756661e-05
Position 1776: 8.446339422160673e-05
