Gene = heix
index = 1724
Annotated 5SS: [987]
Annotated 3SS: [1664]
SMsplice 5SS: [ 987 1457]
SMsplice 3SS: [1348 1664]
top_k =  500
Partition function (log Z): -9.113174530158531

Sorted 5' Splice Sites (High to Low Probability):
Position 987: 0.8165633146964802
Position 1457: 0.5665682157514994
Position 655: 0.17896829230429642
Position 1817: 0.09699837818566148
Position 3212: 0.09048676052218037
Position 2561: 0.06265635320346123
Position 616: 0.059114282260887385
Position 1839: 0.058525985797474755
Position 2396: 0.04701621824732035
Position 1073: 0.024292662861367387
Position 624: 0.018552991886295358
Position 3031: 0.01740112759912325
Position 1089: 0.014856237191578065
Position 2318: 0.01455859639100617
Position 2010: 0.009092446784717162
Position 1442: 0.008079268325114417
Position 224: 0.007542715974776583
Position 247: 0.007427068527576688
Position 2136: 0.006507317421410578
Position 2054: 0.005104285754089403
Position 460: 0.0042643460059999805
Position 451: 0.0037016922191977853
Position 2806: 0.003002117005277054
Position 1492: 0.0026970979835792535
Position 1220: 0.002673800725703305
Position 1330: 0.0025793269292571043
Position 1810: 0.002462274752360159
Position 894: 0.0020503547075170674
Position 2243: 0.0019205207329392787
Position 429: 0.0019119636276890499
Position 1025: 0.0015968383005584687
Position 669: 0.0009600637345175068
Position 1897: 0.0008114549719411485
Position 257: 0.0007126878633704722
Position 2860: 0.000649549081116088
Position 2101: 0.0006270244251531625
Position 2035: 0.000573080926232247
Position 2346: 0.00043497534334221256
Position 2555: 0.00041473810777611133
Position 1241: 0.00041058122738048204
Position 2311: 0.0003612708834660188
Position 2120: 0.0003408316174093733
Position 40: 0.00030635154326314645
Position 818: 0.00027849671749809537
Position 34: 0.0002255138532891615
Position 960: 0.00019685150293449307
Position 69: 0.0001919392088167405
Position 1334: 0.00019098492492486893
Position 520: 0.0001840429044010699
Position 347: 0.00014820798536827024
Position 867: 0.00014787985105767446
Position 646: 0.0001404154307588759
Position 2117: 0.00010537771413579236
Position 48: 9.913661734825858e-05
Position 633: 7.870735512696805e-05
Position 260: 7.716584985006e-05
Position 29: 7.660524182770881e-05
Position 526: 5.745300016552677e-05
Position 2108: 4.9837203103035154e-05
Position 1793: 4.243829500544256e-05
Position 636: 3.731120818555152e-05
Position 1153: 2.9882734224528635e-05
Position 897: 2.8908656243151476e-05
Position 716: 1.8995089714349004e-05
Position 386: 1.238269263965759e-05
Position 15: 1.1003202098160362e-05
Position 502: 1.0971394424264968e-05
Position 1245: 5.515713490499133e-06
Position 1556: 4.474928990587637e-06
Position 177: 4.354844217016318e-06
Position 345: 4.178313392506078e-06
Position 764: 2.314149805683814e-06
Position 534: 2.2986638979112354e-06
Position 870: 1.6140754300533884e-06
Position 1869: 1.3431393917229455e-06
Position 830: 1.309466031560487e-06
Position 777: 1.114646059280411e-06
Position 497: 1.0799122682279036e-06
Position 1338: 7.979476287899766e-07
Position 758: 1.941733898919484e-10
Position 772: 1.1565892414031376e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1664: 0.9148681882082854
Position 1348: 0.49583134904825654
Position 744: 0.21332910432364877
Position 1896: 0.16636366163570837
Position 3292: 0.11581143689040191
Position 2641: 0.05403785857524909
Position 3105: 0.024626778208914787
Position 2186: 0.02411276911853286
Position 2859: 0.021419095196273115
Position 1542: 0.01929296796294554
Position 1153: 0.016391475759710034
Position 2588: 0.01146397089542573
Position 1384: 0.009698193641264154
Position 3630: 0.00935725026913263
Position 2383: 0.007855741654610313
Position 2108: 0.004248689696335605
Position 2370: 0.004243990079569923
Position 2790: 0.0034666712406690317
Position 1328: 0.0030688500671474076
Position 339: 0.0029623531932774306
Position 693: 0.0028132068602534487
Position 520: 0.002807981492610615
Position 2928: 0.0027016702638583607
Position 923: 0.002160715541657167
Position 2518: 0.002046510180110541
Position 1368: 0.0016259716331287857
Position 2444: 0.0013514892370716928
Position 1603: 0.0013189536805170963
Position 1356: 0.001310744880620467
Position 3589: 0.001100697310448539
Position 2476: 0.0010503686699614688
Position 818: 0.0009524519879651315
Position 772: 0.0007428465112879018
Position 1182: 0.0005912299346705457
Position 116: 0.00046092199766356796
Position 1042: 0.000393773153294838
Position 1245: 0.0003206327931658254
Position 1966: 0.0003072834177033186
Position 589: 0.00029902058824758
Position 798: 0.00027870251102824677
Position 360: 0.00021766757737004669
Position 938: 0.000182560357042221
Position 2031: 0.0001133513385843137
Position 497: 0.00010862773662793297
Position 1073: 6.513753698934634e-05
Position 376: 6.463713060094882e-05
Position 1420: 6.22986361720535e-05
Position 2410: 5.516095070598741e-05
Position 556: 4.948711496262774e-05
Position 559: 3.9768604732828696e-05
