Gene = ENSDARG00000019838
index = 103
Annotated 5SS: [  475  1742  2112  2392  3799  4402  4655  5797  7649  7889 10379]
Annotated 3SS: [ 1579  2009  2190  3600  4253  4559  5665  7508  7796 10267 10487]
SMsplice 5SS: [  475  1742  2112  2392  3799  4402  4655  5797  7649  7889 10379]
SMsplice 3SS: [ 1579  2009  2190  3600  4253  4559  5665  7508  7796 10267 10487]
length: 11222
Partition function (logZ) = 37.544134212873054
#Exons = 2778
3SS, 5SS, prob
5665, 5797, 0.9929056871787877
2190, 2392, 0.9890628391110897
7508, 7649, 0.9863525602190366
10267, 10379, 0.9823856116322671
2009, 2112, 0.9669519116573982
0, 475, 0.9553535249465026
10487, -1, 0.955274353382704
4253, 4402, 0.9512240488300149
7796, 7889, 0.943210451749143
4559, 4655, 0.7881085968507284
1579, 1742, 0.785108729573041
3600, 3799, 0.36342364950005746
3600, 3809, 0.20670149791521353
4528, 4655, 0.10583270455889475
3616, 3799, 0.06294256872218816
1610, 1742, 0.06261847958632287
3616, 3809, 0.03579738912242988
1641, 1742, 0.03421068259438677
4257, 4402, 0.03416921804477604
9552, 9755, 0.033284693172586526
1412, 1548, 0.03024586741862721
2067, 2112, 0.02985145310580696
0, 465, 0.029686862908505893
1588, 1742, 0.0295870141742383
7749, 7889, 0.028403114160459753
10854, -1, 0.025523524254649616
8924, 8961, 0.024116856133258268
10487, 10569, 0.022559541342236745
7814, 7889, 0.016799746419213665
1653, 1742, 0.01673515341795569
3532, 3799, 0.016397775870709574
8832, 8961, 0.013464109110597571
1579, 1777, 0.012868921095747402
4490, 4655, 0.009546625196508578
4277, 4402, 0.009518512845375105
3532, 3809, 0.009325832737249592
1579, 1673, 0.008315093169194382
1412, 1509, 0.008248881201092304
11151, -1, 0.008068994558741233
6327, 6463, 0.00725367456507878
10487, 10704, 0.007226933732620161
10487, 10665, 0.007156092692327136
1412, 1742, 0.006983750676255074
9552, 9762, 0.006450668232871272
10765, -1, 0.0052263704216694
8870, 8961, 0.004390314797884584
0, 303, 0.004049467078663553
2190, 2402, 0.003976976154855733
8803, 8961, 0.00377003127827608
1542, 1742, 0.003725511380406288
350, 475, 0.003655143508754582
0, 309, 0.0036311833426433426
10297, 10379, 0.003261928114749633
2190, 2292, 0.003108636745630853
7508, 7683, 0.002869048192219586
10487, 10501, 0.002808534849793625
9153, 9254, 0.0027840437092037968
6327, 6592, 0.002756809410931901
4285, 4402, 0.0026891614318610936
387, 475, 0.0024615733239185885
4559, 4634, 0.002432503774234607
6327, 6578, 0.0023693093422411434
8768, 8961, 0.0023138304054811914
3618, 3799, 0.002249328063636744
10310, 10379, 0.0021120037900091773
3628, 3799, 0.0020651266790050814
381, 475, 0.001988962824148549
0, 251, 0.0018977818721204
10929, -1, 0.0018881416211785653
4582, 4655, 0.0018156492957786625
10789, -1, 0.001802062515305072
0, 143, 0.0017815674252600604
10166, 10379, 0.0017783366201234955
7512, 7649, 0.0017728721337000493
7722, 7889, 0.0016511334346895929
3549, 3799, 0.0016253426245496179
8815, 8961, 0.0014983514501092467
9153, 9276, 0.001415907789237977
1376, 1548, 0.0013434761351147429
7508, 7653, 0.0013294937495963767
5689, 5797, 0.0012977192610573469
3618, 3809, 0.0012784095615369585
1610, 1777, 0.0012453366528444784
9301, 9441, 0.001204160574670675
7508, 7651, 0.001140340291066474
1579, 1825, 0.0011125043257690507
3628, 3809, 0.001100410803772641
6089, 6209, 0.0010932287737734853
1641, 1777, 0.0010511574260486736
4616, 4655, 0.0010506667447758937
9607, 9755, 0.0010244553700325956
4568, 4655, 0.0009869720348904768
