Gene = RNF207
index = 1151
Annotated 5SS: [  127   551  1336  2850  3021  3168  3364  3795  4120  4263  4763  4943
  5878  6241  6558  7008 12194]
Annotated 3SS: [  359  1202  2704  2938  3091  3237  3747  4046  4193  4693  4844  5690
  6054  6505  6889 12112 13059]
SMsplice 5SS: [  127   551  1297  2850  3021  3168  3364  3632  3795  4120  4263  4943
  5878  7008 12194]
SMsplice 3SS: [  359  1202  2704  2938  3091  3237  3446  3747  4028  4193  4844  5749
  6889 12112 13059]
top_k =  500
Partition function (log Z): 32.70425003102619

Sorted 5' Splice Sites (High to Low Probability):
Position 3364: 0.993634065023144
Position 7008: 0.990853818804266
Position 2850: 0.9788378477001376
Position 551: 0.9740447791193335
Position 12194: 0.9434503497800448
Position 5878: 0.9366010333933693
Position 3021: 0.9274564653850745
Position 127: 0.9096997028357648
Position 4120: 0.8384608969046152
Position 3795: 0.8379020815698457
Position 1297: 0.7850215878567647
Position 4943: 0.77737929534501
Position 3168: 0.7640080196530606
Position 4263: 0.5721747598590597
Position 3632: 0.527678256330377
Position 5527: 0.5041420952464841
Position 12006: 0.39891095472243004
Position 4763: 0.21909835746303868
Position 10326: 0.20988337660733344
Position 8141: 0.182667657290785
Position 1904: 0.17751219623584663
Position 1713: 0.15866330195411765
Position 6241: 0.14855363024206097
Position 6728: 0.1441541222972113
Position 4553: 0.13372495686644348
Position 14189: 0.13311902763534422
Position 803: 0.11282717025901647
Position 1891: 0.08013264521471462
Position 4340: 0.07625528346997039
Position 1354: 0.07408188696391288
Position 131: 0.0717934650498649
Position 1358: 0.05816776980197142
Position 2135: 0.04334076981594453
Position 6091: 0.03831362688120273
Position 6723: 0.03638105584969409
Position 5935: 0.034863940557188736
Position 6307: 0.02704576319628539
Position 1045: 0.026017682120285216
Position 4142: 0.024583060597297268
Position 3589: 0.02221231010962286
Position 1028: 0.021759884120520965
Position 11407: 0.01817551985562826
Position 7600: 0.018141636491932237
Position 9630: 0.017988795090879438
Position 3025: 0.01703196787518989
Position 8370: 0.01614205019708087
Position 4974: 0.01550414091952461
Position 6558: 0.012386672815067976
Position 14214: 0.01196995682154461
Position 100: 0.01192691217321518
Position 10267: 0.011341847211548834
Position 2817: 0.009993398581721631
Position 2854: 0.009682457934744438
Position 6985: 0.009033435890355294
Position 2434: 0.008273985738532785
Position 5581: 0.008082765592780714
Position 3577: 0.006240301385509482
Position 3304: 0.005073670553997642
Position 1135: 0.004775947422167646
Position 3162: 0.003990452302949082
Position 4930: 0.003984643415719652
Position 4136: 0.0034639315263504757
Position 4779: 0.002958124647183917
Position 10188: 0.00269681903575347
Position 1313: 0.0026380735352867246
Position 1499: 0.0023876235132685147
Position 7438: 0.0020954570018396385
Position 3665: 0.0018333540219200581
Position 1372: 0.0017968182107580058
Position 5596: 0.0015808132632655538
Position 5039: 0.0013739398076193093
Position 605: 0.0013411022314767356
Position 429: 0.001335584791262218
Position 452: 0.001144922304509021
Position 1844: 0.0010694220006987557
Position 3636: 0.0010674966454978774
Position 3683: 0.001065939149917298
Position 6627: 0.0009757467006827947
Position 6580: 0.0009679466807804558
Position 13939: 0.0008562176691932493
Position 4543: 0.0008486789257860226
Position 2367: 0.0008120868468824835
Position 2105: 0.00077358272076679
Position 643: 0.0007338880795462319
Position 826: 0.0007277603530372911
Position 841: 0.0007098284234405314
Position 3550: 0.0006410054040101826
Position 4417: 0.000560736281149828
Position 3371: 0.0005015203441110333
Position 632: 0.0005012596450562784
Position 7658: 0.0004843057625077648
Position 7743: 0.0004777620211292444
Position 3654: 0.00045720302204881107
Position 2244: 0.0003418891986696569
Position 7833: 0.00033270395828629006
Position 942: 0.0003205838911471969
Position 2845: 0.0002987737215888851
Position 5809: 0.00028825770826781575
Position 7614: 0.0002736732262158932
Position 1856: 0.0002621541118594888
Position 3545: 0.00025238823646164685
Position 3543: 0.00022610809436500015
Position 3537: 0.0002078731540343208
Position 1785: 0.00019353310072625784
Position 7408: 0.00018037410026860084
Position 2988: 0.00017084477150218334
Position 3674: 0.0001588769582281186
Position 255: 0.00013707854752540525
Position 1513: 0.00010823446334420687
Position 3936: 0.00010040573918135733
Position 3132: 0.00010022349977636091
Position 322: 9.147330979076609e-05
Position 872: 8.356583951234737e-05
Position 3534: 7.341331342949698e-05
Position 478: 6.915090893876121e-05
Position 8166: 6.550910649979431e-05
Position 2982: 6.243774414878218e-05
Position 3553: 6.219596224562587e-05
Position 795: 5.4216103708618195e-05
Position 1267: 5.064528877780797e-05
Position 2834: 5.0188679886664696e-05
Position 9844: 4.413363117495032e-05
Position 362: 2.8217400878241746e-05
Position 1323: 2.6845818345679342e-05
Position 555: 2.5693681920557747e-05
Position 2991: 2.5090653055554108e-05
Position 7500: 2.351042444585315e-05
Position 447: 2.0082843706920682e-05
Position 1481: 1.9612617190136476e-05
Position 689: 1.94981640720405e-05
Position 725: 1.9385603177086567e-05
Position 3377: 1.7070553023003436e-05
Position 4194: 1.4618482348947911e-05
Position 2788: 1.1577593205440372e-05
