Gene = Uros
index = 1170
Annotated 5SS: [  273  6952  7443  8468 10138 11613 18196 18774 19700]
Annotated 3SS: [ 6811  7358  8370 10062 11537 18114 18687 19600 22164]
SMsplice 5SS: [  273  3745  6952  7443  8468 10138 11613 18196 19700]
SMsplice 3SS: [ 3690  6858  7358  8370 10062 11537 18114 19600 22164]
top_k =  100
Partition function (log Z): -4.703381227595295

Sorted 5' Splice Sites (High to Low Probability):
Position 6952: 0.9910451452522486
Position 18196: 0.9862551669284823
Position 19700: 0.9518276734671197
Position 10138: 0.9140981121903721
Position 8468: 0.9109339372920736
Position 3745: 0.844610113851414
Position 273: 0.7211403161242689
Position 7443: 0.6765869404733293
Position 11613: 0.604049893246753
Position 20188: 0.2117236905981154
Position 358: 0.12765355792897157
Position 299: 0.09725670419853644
Position 20393: 0.0832006107964352
Position 9063: 0.0785790311817159
Position 975: 0.06677588952066707
Position 7669: 0.060750033625588916
Position 2524: 0.04971815710866284
Position 7791: 0.04561784130028641
Position 20218: 0.031154372646058
Position 244: 0.025685174578179787
Position 1419: 0.007727704785848173
Position 333: 0.0002790368852126105
Position 266: 0.0001834031273007503
Position 240: 0.00018101824403504916
Position 10811: 0.0001185848672951887
Position 630: 0.0001109052539735374
Position 755: 3.9919022579254433e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 18114: 0.9956607059927225
Position 19600: 0.9862551669284823
Position 8370: 0.8806038220248139
Position 10062: 0.8453139816045544
Position 3690: 0.7728691088444852
Position 6858: 0.7510393518305823
Position 22164: 0.6490371300557899
Position 7358: 0.6468071627844927
Position 11537: 0.6042364668448711
Position 20300: 0.19201645121252164
Position 6861: 0.18348452052695172
Position 20071: 0.1514978019521052
Position 20092: 0.08849750615573651
Position 20014: 0.0813494318568449
Position 8948: 0.0692421693607761
Position 10036: 0.06878149679386804
Position 3621: 0.06290255481715132
Position 6678: 0.05652127289471445
Position 20244: 0.04806151135257953
Position 21347: 0.040491126643072625
Position 7526: 0.035593205700551134
Position 2353: 0.02990267449928714
Position 20148: 0.026955388279077057
Position 8386: 0.025981929011864954
Position 7614: 0.025114386120559978
Position 7705: 0.021365635326165026
Position 712: 0.020261561990992244
Position 2333: 0.017882694083746407
Position 7595: 0.013421804314875455
Position 7163: 0.012989670799239308
Position 926: 0.009477433403281298
Position 8913: 0.009336861820939821
Position 7328: 0.009051247053676376
Position 3476: 0.008838450189777643
Position 7429: 0.0073398234175507
Position 956: 0.00596448355898469
Position 1274: 0.005106920688186226
Position 7668: 0.005037536275037834
Position 8417: 0.004348186255395385
Position 7241: 0.0037455541657560997
Position 7219: 0.002488789441300593
Position 10940: 0.0020403179911019347
Position 2455: 0.0019327885256293124
Position 793: 0.0017360615280108496
Position 1381: 0.0013419904692513413
Position 581: 0.0013413042094705485
Position 1292: 0.0012787936284106064
Position 10629: 0.0010263584778131287
Position 10674: 0.0007693351986424763
Position 817: 0.0005250801929816921
Position 12214: 0.0004352936088977608
Position 9776: 2.6337919495500712e-06
