Gene = Plap
index = 1383
Annotated 5SS: [ 138  738 1671 2354]
Annotated 3SS: [ 406  803 1726 2410]
SMsplice 5SS: [ 738 1313 2354]
SMsplice 3SS: [ 834 1726 2410]
top_k =  500
Partition function (log Z): -7.285176182077551

Sorted 5' Splice Sites (High to Low Probability):
Position 738: 0.9616660988692718
Position 2354: 0.6436827446372138
Position 1313: 0.4651450708119215
Position 1671: 0.08596914143786263
Position 2337: 0.07438847417429034
Position 3009: 0.05522729894161879
Position 976: 0.04351193183440785
Position 1546: 0.027934848822937123
Position 138: 0.021041196196634845
Position 1845: 0.016924506855723703
Position 1143: 0.015575283543756698
Position 2877: 0.010933108546914417
Position 1831: 0.0106292329909497
Position 1491: 0.009555940835634467
Position 1583: 0.008947068504175652
Position 102: 0.008118397474512323
Position 3014: 0.008092241104346084
Position 470: 0.007148136539397289
Position 1317: 0.005712226093289102
Position 300: 0.004870919331758035
Position 1916: 0.004056071186749804
Position 753: 0.0033539294512432496
Position 2899: 0.0031899056256002264
Position 468: 0.0029487044293394432
Position 655: 0.00289204003548315
Position 304: 0.0027616661028853854
Position 721: 0.002684175926866795
Position 698: 0.0026818570174077416
Position 2358: 0.002628847742220084
Position 1552: 0.002478285201896668
Position 1682: 0.001818903619252628
Position 1652: 0.0014950332327711034
Position 1541: 0.00143534885759589
Position 289: 0.0013119724210887184
Position 1231: 0.0012820879885874982
Position 6: 0.0012523168570909465
Position 2253: 0.001066810754826902
Position 1045: 0.0009658749881105165
Position 1435: 0.00091190479820648
Position 1067: 0.0008865573249817563
Position 1612: 0.000770174700223278
Position 521: 0.000767530617100822
Position 677: 0.0005744308118819625
Position 649: 0.00047384570428673063
Position 167: 0.00047119387624534827
Position 1390: 0.0004622256944654483
Position 21: 0.0004534008184309917
Position 1495: 0.0003927183101440014
Position 2775: 0.0003673421457462636
Position 882: 0.0003655307908658922
Position 1157: 0.00035942882450090214
Position 2918: 0.00035409284354911253
Position 1657: 0.00032767754196086287
Position 758: 0.00027931285590529373
Position 640: 0.00016300699487783416
Position 2259: 0.00014349135499851055
Position 39: 0.0001394726345522263
Position 1108: 0.00012590000909011885
Position 57: 0.0001155037460631745
Position 2984: 0.00011423729830036169
Position 81: 0.00010257746684405517
Position 1488: 8.606563205293839e-05
Position 1428: 8.604425049115052e-05
Position 1486: 7.961491274152135e-05
Position 1154: 7.848368949463043e-05
Position 1321: 7.835314457076413e-05
Position 402: 7.643558580961056e-05
Position 1543: 6.0382593425310816e-05
Position 1629: 6.012717972325983e-05
Position 940: 5.280795735637339e-05
Position 3084: 2.7616208627879357e-05
Position 182: 2.7465414122792924e-05
Position 203: 1.4065763103419157e-05
Position 105: 1.179705205035386e-05
Position 452: 9.212622860907238e-06
Position 1854: 9.049705355226115e-06
Position 1217: 8.201501367285302e-06
Position 693: 6.180033099700751e-06
Position 41: 6.170466281754991e-06
Position 424: 5.971002634341514e-06
Position 591: 2.318517974934663e-06
Position 1147: 1.7111277773663797e-06
Position 948: 1.4735419821164511e-06
