Gene = sunn
index = 1902
Annotated 5SS: [ 111  615  798 1074 1346 1978 2399 2861 3311]
Annotated 3SS: [ 166  688  949 1130 1427 2034 2453 2939 3364]
SMsplice 5SS: [ 615  798 1074 1346 1978 2399 2861 3311]
SMsplice 3SS: [ 688  949 1130 1427 2034 2453 2939 3364]
top_k =  100
Partition function (log Z): 17.343514678107745

Sorted 5' Splice Sites (High to Low Probability):
Position 1346: 0.9961642553271889
Position 2399: 0.99614537491265
Position 1074: 0.9860329618306992
Position 1978: 0.9782978657015415
Position 615: 0.9244742618307771
Position 2861: 0.9029510590110815
Position 798: 0.8353599479643198
Position 3311: 0.6955071757803724
Position 111: 0.21663627638377667
Position 1750: 0.12730189654289387
Position 2540: 0.10286675343378496
Position 2552: 0.052509061345620826
Position 1606: 0.02196945164436572
Position 115: 0.021760353084863952
Position 2584: 0.020270040325672554
Position 2137: 0.01602363148925421
Position 293: 0.010815477532758173
Position 78: 0.009256125671037181
Position 3030: 0.008135967410529327
Position 1650: 0.008043482969002515
Position 151: 0.007240835440659327
Position 802: 0.006180079040338031
Position 469: 0.006165129707939016
Position 1965: 0.0056078510625962915
Position 100: 0.005035756062283722
Position 1537: 0.005018327042205071
Position 1068: 0.00436152836325387
Position 1928: 0.00417215842881487
Position 627: 0.0037444302883179207
Position 2831: 0.002962551570577504
Position 2308: 0.002878424215573414
Position 1000: 0.0027771694985086826
Position 1967: 0.0025637977877300882
Position 1325: 0.002480302082728906
Position 1497: 0.0018186709904345205
Position 45: 0.0015649605645232667
Position 2576: 0.0014699447409642578
Position 55: 0.0013311584200312008
Position 613: 0.0011434688710508423
Position 2727: 0.0010930864080412365
Position 1754: 0.0008119583332577678
Position 96: 0.0006271137975079748
Position 119: 0.000471586755730552
Position 431: 0.0004012314932523534
Position 1086: 0.0002169082208904847
Position 2141: 0.00021447719548837565
Position 1225: 9.102318307395128e-05
Position 145: 6.269119199069401e-05
Position 29: 4.7414914236847696e-05
Position 156: 4.679777577504746e-05
Position 834: 8.014831310955505e-06
Position 2323: 6.230280157727842e-06
Position 2119: 6.225420381299429e-06
Position 2413: 1.3691255419305165e-06
Position 1251: 1.1881759735475612e-06
Position 1271: 5.515068823933547e-07
Position 1379: 5.147606426657721e-07
Position 1849: 5.046721023758219e-07
Position 61: 4.24792910504694e-07
Position 19: 3.9703642390524593e-07
Position 132: 1.8470950327073763e-07
Position 1260: 1.8045589104685007e-07
Position 49: 6.334868829969898e-08
Position 130: 3.390286717439827e-08
Position 1263: 4.7047053524207285e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2453: 0.9985688601663859
Position 1130: 0.9984252842888521
Position 2034: 0.9910455474050469
Position 1427: 0.9789268136236537
Position 688: 0.9128101189567916
Position 2939: 0.6668430625983239
Position 949: 0.575661054642452
Position 3364: 0.5154377067535055
Position 202: 0.18469299136142334
Position 2659: 0.14292402821831424
Position 1816: 0.13440586436981478
Position 3389: 0.11838320450274888
Position 865: 0.11288923738994316
Position 899: 0.0740914989882209
Position 166: 0.0589985398880533
Position 3165: 0.05356362975866133
Position 3443: 0.04833678541994653
Position 2996: 0.04571165362514851
Position 956: 0.04268794200474101
Position 1710: 0.040958839979781926
Position 3175: 0.03940460507939865
Position 2964: 0.03369839422463248
Position 3038: 0.03257234665563892
Position 695: 0.030432909987228418
Position 848: 0.020714643467995963
Position 3074: 0.01811535476139762
Position 2211: 0.01590818779804775
Position 3350: 0.014532592342379
Position 870: 0.013557367028139504
Position 2673: 0.01218216652109972
Position 3124: 0.011073443572345567
Position 170: 0.00859078837753677
Position 2800: 0.008334338910596989
Position 2891: 0.006592104955636431
Position 3619: 0.00597782356890396
Position 3554: 0.005043395782914777
Position 654: 0.0043032386479369975
Position 1692: 0.0034514381362868623
Position 3054: 0.002791782053563145
Position 2698: 0.0026344191492438645
Position 2057: 0.00258094542903328
Position 520: 0.002077826201074388
Position 3464: 0.001888166336304042
Position 529: 0.0012365952210639953
Position 1004: 0.0010142191074391062
Position 1158: 0.0009544487714026918
Position 2472: 0.000814559279497229
Position 2613: 0.0007836576689765034
Position 1435: 0.0006683239198697537
Position 1680: 0.0006560410154147659
Position 1531: 0.0006458917681148096
Position 250: 0.0006439347727065362
Position 1557: 0.0006176020206701411
Position 468: 0.0005214772691379465
Position 2620: 0.0005008841509148269
Position 3647: 0.0004400934160489158
Position 96: 0.00032158154859771883
Position 2371: 0.000281773471465271
Position 1140: 0.0002758952514471509
Position 1186: 0.0002337492223097457
Position 431: 0.00017750127109388637
Position 238: 0.00016274714882027577
Position 304: 0.00014081945485498515
Position 1271: 0.00011103230439881794
Position 753: 0.00010877978003777394
Position 1101: 1.5590600514848214e-05
