Gene = TPRXL
index = 1475
Annotated 5SS: [    79 126108]
Annotated 3SS: [125977 126623]
SMsplice 5SS: [    79  18254  19682  39170  80606  87648  90984 105998]
SMsplice 3SS: [ 18160  19577  39064  80400  87390  90874 105892 117444]
top_k =  1000
Partition function (log Z): -59.397183902886695

Sorted 5' Splice Sites (High to Low Probability):
Position 79: 0.9589912372721042
Position 1544: 0.31500559652102206
Position 3285: 0.18574353286394277
Position 6203: 0.13983426609324007
Position 6084: 0.07336086812186025
Position 3038: 0.06639615355738046
Position 3356: 0.06266024235761435
Position 4406: 0.06226329563944287
Position 346: 0.03998953815165223
Position 208: 0.03920298224020195
Position 6709: 0.031200044634248664
Position 9093: 0.022906673160233954
Position 6948: 0.02216868507077727
Position 8696: 0.02174600648100652
Position 3339: 0.018789564168140063
Position 8663: 0.01246308589867214
Position 8285: 0.010892294158063295
Position 3833: 0.010528547115320136
Position 2418: 0.006960097378009981
Position 1659: 0.0033536934345404505
Position 4079: 0.0024433035865302653
Position 6369: 0.0023075355552416663
Position 2307: 0.00228079519348832
Position 586: 0.002192834349616743
Position 8995: 0.0021077127609182914
Position 1305: 0.0019411924183920703
Position 3174: 0.0017698938388480982
Position 3818: 0.0014606427687094263
Position 6505: 0.0014477013646096728
Position 1663: 0.0013452915300901254
Position 3240: 0.0012026658132869492
Position 136: 0.0006266570533606448
Position 7417: 0.0005539360687395255
Position 340: 0.0005457969031948837
Position 660: 0.0004230600362548724
Position 110: 0.0004136008138541054
Position 1388: 0.0003088505285824119
Position 3256: 0.00025423082679442934
Position 1265: 0.00025103637740261946
Position 3725: 0.00023860461546792292
Position 2348: 0.0001567985333340928
Position 116: 0.0001414324460092373
Position 140: 0.0001299766586926246
Position 883: 0.00011808687516402218
Position 4513: 9.720819566177047e-05
Position 8644: 7.783678176683388e-05
Position 4036: 7.615054290530361e-05
Position 867: 5.8477750612158295e-05
Position 1423: 5.346613341552668e-05
Position 477: 5.2351538780659045e-05
Position 841: 4.358434056143775e-05
Position 1944: 4.27069848876248e-05
Position 1290: 3.9636115960486986e-05
Position 2433: 3.514213094298634e-05
Position 1376: 3.403942641362082e-05
Position 1564: 3.307693360074699e-05
Position 835: 3.226768122126221e-05
Position 1219: 2.8690881072183224e-05
Position 297: 2.4667979541575232e-05
Position 445: 1.8626330457789348e-05
Position 4311: 1.6484334487826268e-05
Position 321: 1.264512205397954e-05
Position 565: 1.0261629563114963e-05
Position 1104: 6.326417364242412e-06
Position 3487: 5.572022173304324e-06
Position 3422: 4.08833534125489e-06
Position 2891: 2.708323243264049e-06
Position 2265: 2.380772534497467e-06
Position 2082: 2.337090271072445e-06
Position 3220: 2.287186447367631e-06
Position 2236: 2.268885543880693e-06
Position 3289: 2.213954864365753e-06
Position 1623: 2.0235761197058007e-06
Position 3387: 1.2547039025868685e-06
Position 2276: 8.556113819205268e-07
Position 2849: 8.433649725434477e-07
Position 1676: 6.846255243259961e-07
Position 310: 4.061364087143956e-07
Position 436: 3.8767143934637444e-07
Position 416: 3.673992312857105e-07
Position 531: 2.5288934336601007e-07
Position 1004: 2.29716550121191e-07
Position 1678: 1.5069482377020074e-07
Position 142: 1.318991902904962e-07
Position 1680: 1.2392935111139248e-07
Position 1592: 1.1941011506221428e-07
Position 105: 7.7633611434619e-08
Position 181: 4.6925966373878525e-08
Position 14: 4.5666990820500935e-09
Position 1682: 3.6286289941180694e-09
Position 1684: 3.1554479015502234e-09
Position 1686: 2.7189190490879793e-09
Position 1674: 2.4099127450834833e-09
Position 236: 1.6944640223493767e-09
Position 1820: 1.330554798655477e-09
Position 1688: 6.179897138755509e-10
Position 212: 3.3029939972352817e-10
Position 646: 2.8756629780348116e-10
Position 924: 1.0951260202434259e-10
Position 542: 9.08308055530582e-11
Position 2170: 6.942936374497136e-11
Position 672: 3.4787047514590085e-11
Position 319: 7.682305581805614e-12
Position 552: 7.931516457502401e-13
Position 707: 1.4357884799228033e-13
Position 376: 1.0312220392774708e-13
Position 401: 1.9182802486086245e-14
Position 386: 3.0716245247939543e-22

Sorted 3' Splice Sites (High to Low Probability):
Position 1479: 0.2555945352843321
Position 8941: 0.1779146721396576
Position 6072: 0.12729844118523145
Position 3195: 0.11601430838314666
Position 8891: 0.11537788802682962
Position 4161: 0.101592316775295
Position 16607: 0.09834564401101384
Position 3620: 0.0963445514099923
Position 5956: 0.0682541465229226
Position 2945: 0.05538296152489026
Position 11166: 0.05345522159741943
Position 3277: 0.050749025331663575
Position 13893: 0.0503283507056021
Position 6287: 0.04520221724965318
Position 7636: 0.044016127946108756
Position 9804: 0.043612802372465696
Position 8549: 0.039078468799520545
Position 3199: 0.03381953988205564
Position 6545: 0.02910255653941512
Position 192: 0.025412912077862282
Position 1163: 0.024154258949248532
Position 6153: 0.02073976498668151
Position 3071: 0.020375220780887077
Position 14348: 0.019201218562232322
Position 3229: 0.018604040086712285
Position 6869: 0.017480311443274634
Position 1417: 0.01743881821382382
Position 8159: 0.017146294119841837
Position 3122: 0.017087466433500908
Position 374: 0.01703488726185334
Position 7667: 0.014643616993146704
Position 6927: 0.013870664707030664
Position 9724: 0.013149664485405664
Position 6504: 0.012379492139489487
Position 7537: 0.012330693777579773
Position 3931: 0.012098212302132575
Position 1498: 0.0116161846138612
Position 256: 0.011543561470008193
Position 3724: 0.011407857927633557
Position 4351: 0.010260695037755152
Position 10600: 0.009706675147713818
Position 2234: 0.009234562654091581
Position 10402: 0.009080977000157173
Position 9560: 0.00842218297439105
Position 6369: 0.007061483734033587
Position 2985: 0.007035018779987397
Position 9184: 0.006876766558629409
Position 12940: 0.0063998636978033875
Position 3084: 0.006277672092368616
Position 6258: 0.005753536029755033
Position 4059: 0.005078650333302851
Position 9231: 0.004974507189342988
Position 8405: 0.004520071670655913
Position 5890: 0.0044914781463324125
Position 1527: 0.004174505086339828
Position 169: 0.004110221104103465
Position 760: 0.004061649179727221
Position 236: 0.004030800540656581
Position 9992: 0.004028270170321086
Position 6239: 0.0033590229196682913
Position 4307: 0.00269825893349583
Position 6669: 0.002560794324077314
Position 12099: 0.002515289602999718
Position 6456: 0.0020340263020961857
Position 2752: 0.0019913573000756545
Position 5473: 0.0019879662427477072
Position 2590: 0.0019530686636076435
Position 7876: 0.001743225257421534
Position 1912: 0.0017254164788572306
Position 3091: 0.0017189730384818984
Position 10085: 0.001684496988363809
Position 1979: 0.0016645128907082165
Position 1429: 0.0016533057186727377
Position 2275: 0.001647998471934168
Position 7268: 0.001614523879341794
Position 2832: 0.0014163722255439795
Position 7827: 0.0014045259509253812
Position 3002: 0.00140067650214446
Position 1332: 0.0013404601271141332
Position 1884: 0.001302895202726604
Position 9674: 0.0011872229293919965
Position 6313: 0.001160883851714037
Position 2055: 0.0011326163503748504
Position 2951: 0.0011129809163174867
Position 7599: 0.0010540780931630927
Position 4283: 0.001050336646801602
Position 2755: 0.0010472669606092194
Position 5279: 0.0010465321947579834
Position 2182: 0.0010442046902420224
Position 7374: 0.0010100176080891942
Position 1375: 0.0009887342892732317
Position 3589: 0.0009579455212676886
Position 1381: 0.0009483908866791912
Position 278: 0.0009458720019600045
Position 9772: 0.0009372480403222568
Position 3143: 0.0008356894835456489
Position 1484: 0.0008036115489149936
Position 4238: 0.0007861235848264233
Position 2846: 0.0007708781009469977
Position 4673: 0.0007584847579492923
Position 5693: 0.0007481221223532726
Position 5660: 0.0006636097891681892
Position 1459: 0.0006560298392238791
Position 175: 0.0006335836755129611
Position 5349: 0.0006247176250226096
Position 7331: 0.0005928665927782019
Position 2876: 0.0005617458821624067
Position 2306: 0.0005462958563417732
Position 6606: 0.0005238884447389506
Position 7179: 0.0005158395720615796
Position 2471: 0.0005043379681101033
Position 3450: 0.0005030515943726711
Position 275: 0.000490925991840573
Position 6947: 0.0004747465600103884
Position 1340: 0.00046441536822066943
Position 5602: 0.00045898215882237884
Position 4445: 0.00042732117437496074
