Gene = AT2G19365
index = 176
Annotated 5SS: [ 22 289 579]
Annotated 3SS: [ 264  376 1292]
SMsplice 5SS: [755]
SMsplice 3SS: [842]
length: 1307
Partition function (logZ) = -6.099505421279179
#Introns = 3392
5SS, 3SS, prob
755, 842, 0.7391164862380522
755, 848, 0.19826908687077074
926, 1025, 0.13155132075102424
289, 684, 0.10733958045796198
289, 376, 0.054199912093432404
926, 998, 0.04643760505325059
289, 397, 0.023482434747783672
1126, 1216, 0.019441043267180724
22, 264, 0.018410862481095996
755, 1025, 0.0130945737677077
579, 684, 0.009836721119086046
22, 342, 0.009207304341259912
755, 998, 0.008872498363085998
755, 982, 0.007413828436304112
281, 684, 0.007033652251142322
1217, 1292, 0.005675930639634139
289, 453, 0.005323412101747447
926, 1076, 0.004950779900380684
22, 684, 0.004905322871278043
755, 909, 0.004878784327848741
289, 639, 0.004814235522213858
561, 684, 0.004690530897410659
509, 684, 0.003961216863341219
22, 157, 0.003409269616421647
289, 423, 0.0034063100897371423
755, 912, 0.0029938644494707342
281, 376, 0.0029086483259327914
926, 1216, 0.0028489197631313967
755, 963, 0.0027276637431192783
322, 684, 0.002450568583700228
755, 1076, 0.0022266171439575366
755, 1216, 0.0016112657760397556
289, 842, 0.001608802658606006
926, 1040, 0.001593365823583202
293, 684, 0.0015736919054130083
926, 1057, 0.0015389413946687378
755, 953, 0.0014661792942848317
755, 918, 0.0014423186503723074
926, 1292, 0.0013817506507174898
289, 603, 0.0013473426107673968
1126, 1292, 0.0011354477255750542
281, 397, 0.0010716369312724224
289, 571, 0.0010409756666950613
289, 430, 0.000952052419521697
926, 1113, 0.0009384638863434633
1126, 1272, 0.0008553050628581732
289, 522, 0.0008369516995730319
926, 1272, 0.0007839089007745506
755, 1292, 0.0007814777949641641
293, 376, 0.000741847768567527
571, 684, 0.000734429747079333
322, 397, 0.0006873125467794188
561, 639, 0.000646005305227804
289, 498, 0.0006248879564976478
289, 494, 0.0005745145658913712
755, 943, 0.0005628476104264071
289, 565, 0.0005508196161931696
755, 1057, 0.0005325458742934876
289, 578, 0.0005159531913160047
755, 1113, 0.0005109172517819778
609, 684, 0.000500159673288088
289, 568, 0.0004910790963793684
289, 436, 0.00048611245858878877
289, 848, 0.0004853562060057325
755, 1272, 0.0004433559694087895
926, 1164, 0.00043214088113617956
289, 484, 0.0004286178865524501
293, 397, 0.000428430715334649
768, 842, 0.0004121105082741781
1121, 1216, 0.00039697942232342606
289, 719, 0.0003844814651981629
755, 873, 0.00037968211400284845
334, 684, 0.00036811929915562673
509, 603, 0.00035778626190521796
281, 453, 0.00035348243467959827
755, 1040, 0.0003475258304325258
289, 460, 0.0003335871474026918
289, 633, 0.00032118482523857585
281, 639, 0.00031546292964700323
22, 397, 0.0003123354716841402
509, 639, 0.0002934607055579262
289, 550, 0.0002920770124997739
22, 376, 0.0002916442769824003
322, 423, 0.0002551695744387125
755, 1164, 0.00024440625573710615
22, 453, 0.00024404396874367338
909, 998, 0.00024320554695625722
289, 1025, 0.00024206615990069374
22, 639, 0.00022000625970476433
768, 848, 0.00021854525807472086
289, 589, 0.00020755611457331792
122, 264, 0.00020572609756888409
162, 264, 0.00020107959383807488
281, 423, 0.00020010426456856746
322, 453, 0.0001992596504368707
926, 1073, 0.0001838531811822691
241, 342, 0.0001704346323457614
289, 998, 0.00016401691613467396
11, 264, 0.0001581242585654766
550, 684, 0.00014254905129156782
289, 982, 0.0001370519584352124
254, 342, 0.00013616121097777972
289, 443, 0.00012915934095532596
39, 264, 0.0001240419665981766
322, 639, 0.00010990926436396252
615, 684, 0.0001076712394680557
281, 842, 0.00010542018510850768
909, 1025, 0.00010247029474911959
22, 423, 0.00010057896608071415
945, 1025, 9.730321968521601e-05
289, 686, 9.606547342907995e-05
890, 982, 8.932072988548662e-05
281, 603, 8.828746438966664e-05
933, 1025, 8.370338882281999e-05
289, 480, 8.308871171934892e-05
909, 982, 8.28799310996434e-05
