Gene = ERMP1
index = 507
Annotated 5SS: [  428  2391  8026  9222 20229 20993 22007 23107 27507 28091 31942 34312
 35301 45688]
Annotated 3SS: [ 2088  7897  9115 20081 20899 21793 22885 27331 27899 31788 34108 35184
 45523 45808]
SMsplice 5SS: [  428  8026  9222 19651 20229 20993 22007 23107 31942 35301 45688 46057]
SMsplice 3SS: [ 7897  9115 19557 20081 20899 21793 22885 31788 35184 45523 45808 46747]
top_k =  100
Partition function (log Z): -14.8660566997629

Sorted 5' Splice Sites (High to Low Probability):
Position 9222: 0.9999842574647836
Position 19651: 0.9999350538888481
Position 428: 0.9704894206317428
Position 8026: 0.968001948094824
Position 23107: 0.9653724410511845
Position 31942: 0.8475770891784367
Position 22007: 0.6505148044228485
Position 2391: 0.6360662685023977
Position 20993: 0.5610170499614711
Position 28091: 0.4975932814699497
Position 20229: 0.40494757343090415
Position 27507: 0.24460485112595468
Position 7552: 0.1906303399996021
Position 25967: 0.1628522756527961
Position 21952: 0.14893101281910623
Position 2312: 0.07828996144915007
Position 6694: 0.06619817393181028
Position 20298: 0.05861527338459676
Position 20302: 0.055343897543174946
Position 8003: 0.031996855157638004
Position 938: 0.030107176080037313
Position 300: 0.016736170746138118
Position 714: 0.0044477491907850665
Position 664: 0.004080306987049723
Position 707: 0.001016199406134194
Position 256: 0.0010141010996923183
Position 53: 0.000794029005638056
Position 23010: 0.0002702897126555878
Position 461: 4.3510508627323346e-05
Position 559: 3.6740505633479657e-05
Position 564: 3.5836761003973576e-05
Position 10807: 8.039955696857278e-06
Position 215: 4.619052253784908e-06
Position 632: 4.430915903855535e-06
Position 9032: 7.334400633554792e-07
Position 1009: 1.9357714652151801e-07
Position 1086: 8.897346595787075e-08
Position 1004: 2.7639872173095398e-08
Position 1278: 2.6947210631774576e-08
Position 62: 1.5258042698586522e-08
Position 207: 1.153665661252958e-08
Position 117: 3.139504083119183e-09
Position 145: 9.489077636194354e-10
Position 27: 8.090483894229764e-10
Position 132: 3.431474200279967e-10
Position 100: 3.017036236713975e-10
Position 138: 2.845275628519238e-10
Position 46: 2.416892898684192e-10
Position 95: 1.0241166767188721e-10
Position 569: 7.128708806366311e-11
Position 595: 8.541124928077813e-12
Position 503: 1.733571973011082e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 7897: 0.999998958297181
Position 9115: 0.9999859252616449
Position 19557: 0.9999350538888481
Position 22885: 0.9553474216084368
Position 31788: 0.9217482905743201
Position 35379: 0.8475770891784344
Position 21793: 0.800225663019458
Position 20899: 0.5610170499614711
Position 27899: 0.5519994931162497
Position 20081: 0.5189700033776518
Position 2088: 0.3423911066397129
Position 2124: 0.3133591995438619
Position 27331: 0.2628136733763995
Position 7457: 0.1906303399996021
Position 25873: 0.16362172901873548
Position 6583: 0.06619817393181028
Position 2246: 0.04030529305219978
Position 2179: 0.018300695202103503
Position 781: 0.017677080340369713
Position 22815: 0.013055284331056105
Position 703: 0.008072545782258097
Position 765: 0.0030600548606847795
Position 23150: 0.0009383083895135423
Position 23509: 0.00026088769019849526
Position 12118: 5.078610882404652e-05
Position 10679: 8.756687052515028e-06
Position 9841: 5.896737293176082e-06
Position 14793: 5.5010273642284915e-06
Position 8913: 8.868317675447696e-07
Position 356: 2.6819710567262607e-07
Position 637: 2.6544937573736203e-07
Position 880: 1.240968773212157e-07
Position 368: 9.15804997218735e-08
Position 1034: 8.462492507139614e-08
Position 371: 5.5908418346908724e-08
Position 872: 3.7055040285833e-08
Position 1222: 1.8662435782854004e-08
Position 801: 1.7629964897610997e-08
Position 663: 1.600136900373894e-08
Position 742: 5.672911694037574e-09
