Gene = Dpagt1
index = 345
Annotated 5SS: [ 361  828 1322 2293 4358 5248 5806 6127]
Annotated 3SS: [ 706 1107 2145 4272 5058 5717 5970 6211]
SMsplice 5SS: [ 361 1322 2293 5248 5824 6127]
SMsplice 3SS: [1216 2145 5058 5717 5970 6211]
top_k =  500
Partition function (log Z): 0.9096008898315957

Sorted 5' Splice Sites (High to Low Probability):
Position 6127: 0.8542710209639854
Position 1322: 0.7452749334346349
Position 361: 0.6909451486863363
Position 5248: 0.6642382610294639
Position 2293: 0.5250606718403696
Position 2746: 0.4851602837655986
Position 4358: 0.4382442781690827
Position 5824: 0.42238707344136056
Position 828: 0.343135072326966
Position 2236: 0.33498225339976034
Position 5806: 0.318895696183222
Position 5814: 0.20684161619765662
Position 4087: 0.15273145791601173
Position 4818: 0.11450453963392754
Position 2297: 0.09187234575040058
Position 6008: 0.06847862929008312
Position 5059: 0.05927283778400825
Position 1071: 0.05872250437918659
Position 559: 0.05491510252552201
Position 4395: 0.0507258315099713
Position 1077: 0.031125505925246818
Position 4137: 0.024392755510197907
Position 2344: 0.02309848075617942
Position 6524: 0.022014695846932542
Position 805: 0.02102516182163536
Position 3871: 0.02074050065541422
Position 651: 0.017178226907959886
Position 4142: 0.014959565556334549
Position 1727: 0.012383437741214864
Position 5988: 0.012096037459171694
Position 4221: 0.011474309247260023
Position 4273: 0.01089879902029599
Position 4239: 0.009644737046151288
Position 1627: 0.009119081773414186
Position 236: 0.008286818454788446
Position 492: 0.0068372032994625615
Position 3859: 0.005762988095316511
Position 365: 0.005715590474810878
Position 1075: 0.004364497115298322
Position 159: 0.004233419329536483
Position 563: 0.004072328245721218
Position 988: 0.0036286267852264974
Position 6345: 0.002953899174430456
Position 4115: 0.002815839638965193
Position 6872: 0.0026938651272472485
Position 5624: 0.0026644975256744077
Position 150: 0.0025651769086616964
Position 25: 0.002493101843787579
Position 1326: 0.0023587757460274473
Position 1366: 0.0020758401682614805
Position 2870: 0.0020003451878226218
Position 6307: 0.0018006822612286258
Position 5177: 0.0016231893565434826
Position 1993: 0.0015908295418624603
Position 196: 0.0009680048992253479
Position 297: 0.0009548693660371147
Position 388: 0.0008666466416171459
Position 984: 0.000863398921480816
Position 1654: 0.0007883109880089371
Position 3875: 0.0006390068554430547
Position 992: 0.0006375857640278428
Position 6652: 0.0006143451812376489
Position 38: 0.0005713061861862226
Position 379: 0.0005554999073726438
Position 1814: 0.0004515064266718945
Position 43: 0.0004197570393678453
Position 1874: 0.000362247568774288
Position 3856: 0.00030576313737873563
Position 1240: 0.0002121932171428433
Position 2374: 0.00020238350050528868
Position 6363: 0.00016024227901133856
Position 3530: 0.00014728985876645592
Position 3223: 0.0001468999114312221
Position 1383: 0.00010755446047263041
Position 96: 0.00010161694802331083
Position 1701: 9.958523417783179e-05
Position 1273: 9.21357080644595e-05
Position 1124: 8.725652273473971e-05
Position 1750: 8.093784346031144e-05
Position 3056: 5.836120958863996e-05
Position 188: 5.742246771445768e-05
Position 211: 4.16206627082067e-05
Position 381: 3.7611938175015576e-05
Position 266: 3.0336653658947423e-05
Position 324: 1.707354743967167e-05
Position 1276: 1.6568367096435265e-05
Position 501: 1.6348928724712955e-05
Position 733: 1.592672409776177e-05
Position 275: 1.1516259413812501e-05
Position 548: 9.202953174528187e-06
Position 6139: 8.308820496568846e-06
Position 135: 7.13037380802955e-06
Position 5971: 6.940613309758568e-06
Position 6014: 6.338496104207391e-06
Position 256: 6.264922094386502e-06
Position 51: 4.352943074942391e-06
Position 534: 3.3617670127537635e-06
Position 6023: 3.147115760849348e-06
Position 629: 2.0182979292504115e-06
Position 551: 1.8229782459829694e-06
Position 62: 5.596475916889154e-07
Position 6073: 1.084516119912942e-07
Position 539: 8.625359825755946e-08
Position 67: 5.7590327691320224e-08
Position 412: 8.485181422035213e-10
Position 6038: 2.2006716905659506e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2145: 0.9719591142141666
Position 5970: 0.9635849554428438
Position 5717: 0.9495412339688959
Position 5058: 0.6297021023437415
Position 4272: 0.4708250161504494
Position 1216: 0.43441315809445424
Position 2566: 0.41707402116806686
Position 6211: 0.3546527488746302
Position 6197: 0.2763958295542391
Position 3983: 0.24335263224182654
Position 706: 0.17093720266544066
Position 1123: 0.12250968186245481
Position 1107: 0.09317750987603118
Position 4802: 0.08782769279186528
Position 1200: 0.08444854809791809
Position 6393: 0.07429058530069105
Position 6307: 0.06808619273058594
Position 6762: 0.059376269801265376
Position 6964: 0.0467531683676731
Position 4699: 0.043599491072828934
Position 960: 0.03637395498415386
Position 455: 0.03304899181645991
Position 6941: 0.02772384312696324
Position 4959: 0.02751470702458261
Position 3765: 0.027130391152144127
Position 6514: 0.025136039435003768
Position 2610: 0.024704417813780365
Position 931: 0.022534599111208767
Position 6126: 0.022209721058191606
Position 2581: 0.01789867283099119
Position 4869: 0.01681840354425924
Position 6222: 0.016657657838366563
Position 5206: 0.014300166194723657
Position 2658: 0.013118629271826363
Position 1653: 0.012209064054828718
Position 1505: 0.010817984409689762
Position 4651: 0.010220060463268918
Position 6368: 0.005693750379667736
Position 5145: 0.00564214299678935
Position 2562: 0.005555285181522622
Position 300: 0.004320107996446698
Position 6324: 0.004290664996004323
Position 2438: 0.0034507740634564274
Position 6289: 0.003242912564747658
Position 908: 0.003199078260486442
Position 2181: 0.0031770012941653323
Position 4646: 0.0027423072235052224
Position 5561: 0.0027001590826115623
Position 2615: 0.0020755949696697647
Position 5880: 0.002069829966591607
Position 5517: 0.0020027453772398646
Position 5929: 0.0019430912743759125
Position 4203: 0.0018522236805981526
Position 6809: 0.0016841319225984472
Position 2809: 0.0015672008134379695
Position 6892: 0.0014656270403742401
Position 711: 0.0014519882719803193
Position 6983: 0.001393696442546603
Position 6901: 0.0012441163208262347
Position 6219: 0.0011328594824072593
Position 5690: 0.0010850953982308052
Position 971: 0.0010420681526044104
Position 937: 0.000993177197435491
Position 984: 0.0009878800221056305
Position 803: 0.0009332891112151666
Position 713: 0.0009098898234670877
Position 2632: 0.0008541478108567292
Position 545: 0.0008160804462221627
Position 2672: 0.0007907001534973668
Position 1596: 0.000772562618879747
Position 6559: 0.0007236607270220666
Position 800: 0.0006631385240225869
Position 4561: 0.0006603176055133002
Position 719: 0.0006498237489370751
Position 3718: 0.0005942451568494797
Position 1770: 0.0005669312901070167
Position 519: 0.00039589100465158185
Position 619: 0.0002953389796082367
Position 933: 0.00020823781443804978
Position 3816: 0.00019276051882054248
Position 5870: 0.00018422970322229154
Position 5805: 0.00017799087303821574
Position 828: 0.00017563348008743166
Position 6073: 0.00017009437434791308
Position 1063: 0.00016947283761764744
Position 797: 0.00016298925266372368
Position 5532: 0.00015174359229645285
Position 730: 0.00014098340597710237
Position 5887: 0.00013120760004674807
Position 331: 0.0001217171092094806
Position 472: 0.00012071182009299066
Position 275: 0.00011600102825707275
Position 3093: 0.00010820760384792171
Position 3390: 0.00010148484748909083
Position 1604: 0.00010108412267081065
Position 1840: 9.230593694391973e-05
Position 655: 9.07903892307931e-05
Position 723: 8.648108210614026e-05
Position 1939: 7.165496403743204e-05
Position 1284: 6.855744242017248e-05
Position 2411: 6.565974803187627e-05
Position 429: 5.433700186103476e-05
Position 2935: 4.618613374181545e-05
Position 554: 4.616027098863314e-05
Position 3310: 4.580501127736511e-05
Position 1509: 4.374544338078936e-05
Position 2993: 3.869230758330038e-05
Position 2010: 3.5239850044635815e-05
Position 1673: 2.6470294973149773e-05
Position 1539: 2.6144810485121825e-05
Position 1972: 2.4786527669161037e-05
Position 1002: 2.4089343698561747e-05
Position 1382: 2.334946977165643e-05
Position 501: 2.312865252193425e-05
Position 480: 2.213818667862924e-05
Position 973: 2.1148734233272412e-05
Position 1392: 1.998107127492537e-05
Position 2931: 1.2175075846824468e-05
Position 150: 9.445798770093341e-06
Position 463: 9.35727120360002e-06
Position 855: 5.751110405197657e-06
Position 562: 4.99542095769298e-06
Position 1992: 3.5123610753806447e-06
Position 616: 2.115901619621411e-06
Position 211: 1.985263661155045e-06
Position 2723: 1.8323364461688491e-06
Position 2768: 1.6886255920189463e-06
Position 2489: 1.6529475778351738e-06
Position 436: 1.37727173684319e-06
Position 5998: 1.2920310459352749e-06
Position 548: 6.54322145544823e-07
Position 491: 4.332557800649223e-07
Position 123: 3.6478175241469496e-07
Position 186: 3.1702497839071647e-07
Position 154: 1.8311196860602237e-07
Position 407: 1.3429931299392053e-07
Position 809: 1.298763958595094e-07
Position 422: 1.272206373086764e-07
Position 2378: 7.984101861788811e-08
Position 103: 7.772991368676955e-08
Position 2445: 4.830844380478553e-08
Position 2355: 3.452961358625135e-08
Position 2731: 2.5252555682675506e-08
Position 417: 8.54280631866184e-09
Position 162: 6.712255254210252e-09
Position 343: 3.829600530918964e-09
Position 358: 1.979902326613313e-09
Position 1981: 2.8554250747903793e-10
Position 556: 4.077148381158552e-11
Position 348: 2.8017008801258086e-11
