Gene = AT2G30424
index = 320
Annotated 5SS: [328 526]
Annotated 3SS: [ 437 1075]
SMsplice 5SS: [328 526 837]
SMsplice 3SS: [ 437  640 1075]
length: 1341
Partition function (logZ) = 0.5291450171134457
#Exons = 1194
3SS, 5SS, prob
437, 526, 0.9521543216341913
0, 328, 0.9416696120567984
1075, -1, 0.6495845001793915
640, 837, 0.2555926052506888
684, 837, 0.21959011471883078
1035, -1, 0.12671898624545502
640, -1, 0.07308811384215
217, 328, 0.04607675007264353
650, 837, 0.044241356345390434
1092, -1, 0.041545502647260285
684, -1, 0.03858819457323072
0, 96, 0.035172487125915454
614, 837, 0.02955539229475356
1047, -1, 0.013520338974314506
437, 546, 0.0131709952744343
650, -1, 0.011328745400155453
0, 146, 0.011272893024007654
614, -1, 0.010332116571659552
437, 837, 0.009855785987844786
0, 292, 0.009040344517944705
640, 833, 0.008491591912700481
793, 837, 0.008435220374795273
437, -1, 0.0078433183671163
684, 833, 0.00731095668236478
970, -1, 0.007298056642075476
640, 861, 0.0060966351827133275
911, -1, 0.005751521002892777
437, 519, 0.005594734398298706
764, 837, 0.0053142202784316256
684, 861, 0.004820402241481092
1089, -1, 0.00472745672275594
793, -1, 0.003462362419385315
640, 850, 0.003280155666669301
439, 526, 0.0031885082605418703
437, 515, 0.002892778268170954
979, -1, 0.0028709976718728314
684, 850, 0.0027884234440046646
437, 556, 0.001746428420998802
650, 833, 0.0014713003796386587
0, 344, 0.0010965711879866405
930, -1, 0.0010429097094198998
650, 861, 0.000985165900358622
614, 833, 0.0009530838142370094
1098, -1, 0.0009158059338720219
460, 526, 0.000806110383679356
614, 861, 0.0007833414497883184
764, -1, 0.0006960256158531829
793, 861, 0.0006673663492129801
0, 526, 0.0005854918986598809
640, 874, 0.0005767946257400757
650, 850, 0.0005647490241469291
217, 292, 0.0004590117311306017
614, 850, 0.0004158628511017625
684, 874, 0.0004125450829788821
447, 526, 0.0003264681293103495
437, 833, 0.0003178232252145136
0, 305, 0.00031266071277714127
0, 81, 0.00030513884111378403
1096, -1, 0.00029469844846124544
437, 861, 0.0002612195300108463
793, 850, 0.00023056233342323018
0, 76, 0.00022998649457610127
823, -1, 0.0002296467495741808
793, 833, 0.00021671797093192381
437, 614, 0.00021007011503052251
764, 861, 0.00018812125933875457
437, 544, 0.00016216013871354806
764, 833, 0.0001528657934472786
437, 850, 0.00013867707184795128
823, 837, 0.00010662780691060223
437, 559, 0.00010308769082202481
0, 68, 9.961463168800248e-05
764, 850, 9.440320198415675e-05
650, 874, 9.258702206383339e-05
793, 874, 8.639167563320412e-05
0, 139, 8.052039502185986e-05
614, 874, 7.411090295159387e-05
289, 328, 7.154070580591729e-05
158, 328, 4.614773478697916e-05
0, 837, 4.5888641811225726e-05
439, 546, 4.524525189792476e-05
217, 344, 4.395434918962044e-05
640, 661, 4.08963735228491e-05
439, 837, 3.3553709537496644e-05
640, 771, 3.348599846131957e-05
1263, -1, 2.7641316268877713e-05
439, -1, 2.6438583007684047e-05
437, 874, 2.4713635724148435e-05
1238, -1, 2.4215964934782337e-05
614, 661, 2.414121918632314e-05
1330, -1, 2.4058475986116728e-05
0, 84, 2.360578726188869e-05
437, 440, 2.3352163649241005e-05
684, 771, 2.3185250994143884e-05
1311, -1, 1.857975239973305e-05
439, 519, 1.844700698685705e-05
217, 305, 1.7776940617426122e-05
460, 546, 1.7420964570334676e-05
764, 874, 1.7192074772507827e-05
0, 55, 1.7087415652378565e-05
1075, 1179, 1.5916843990582844e-05
0, 28, 1.4798659153962286e-05
437, 661, 1.4272438002600708e-05
460, 837, 1.3387034915439505e-05
823, 861, 1.1830019906998317e-05
1104, -1, 1.10172117932064e-05
1075, 1150, 1.0800673103165482e-05
485, 526, 9.900854893560255e-06
460, -1, 9.504233779364386e-06
439, 515, 9.444933419188053e-06
482, 526, 9.292393916755224e-06
0, 546, 8.586471826993812e-06
640, 998, 6.485067395286244e-06
439, 556, 6.0221108493518585e-06
650, 771, 5.772486661050284e-06
