Gene = TMEM53
index = 1448
Annotated 5SS: [  225 14382]
Annotated 3SS: [14259 19345]
SMsplice 5SS: [259]
SMsplice 3SS: [19345]
length: 21309
length: 21309
Partition function (logZ) = -16.210899486833135
#Exons = 858
3SS, 5SS, prob
0, 259, 0.3055539337087983
8075, -1, 0.290693890077885
8075, 8174, 0.2538213891300235
0, 225, 0.2433552086495519
0, 394, 0.19548816018960286
2966, 3054, 0.18935300421482001
14981, -1, 0.18742137577949392
4988, 5014, 0.13361797981150356
617, 789, 0.12820525977513922
13589, -1, 0.1078428861514756
8075, 8086, 0.10125792917202522
0, 789, 0.09759214002300563
1562, 1688, 0.0973867452235995
3925, 4063, 0.09703663884376373
8922, -1, 0.08504916658821818
4790, 5014, 0.07092424488004366
0, 98, 0.06037807944259932
707, 789, 0.05851036370979147
6981, -1, 0.0554006532759143
4988, -1, 0.04380618062284301
3853, 4063, 0.04317603037753343
3925, 4200, 0.03972636623596254
1562, 1723, 0.03881620109861184
6981, 7097, 0.03240086317004205
5543, -1, 0.028976794165150192
3853, 3978, 0.02877580396414058
4119, 4200, 0.024888143393671708
2379, -1, 0.02271942934427363
6981, 7253, 0.02261366158298993
771, 906, 0.022226326222658927
4442, 4716, 0.022165540556854414
0, 61, 0.021582990998055353
1376, 1459, 0.019693917996056666
3853, 4200, 0.01959729734236899
592, 789, 0.019370148190033215
771, 789, 0.01864351688283226
4442, -1, 0.01846952442499625
0, 238, 0.018077139608321392
5543, 5640, 0.017353815424782763
657, 789, 0.01587950785017383
13040, -1, 0.013869376299473789
4790, -1, 0.01275100664525714
0, 109, 0.012484874453857238
1376, 1688, 0.011244076333816867
8876, -1, 0.010960314673307782
4442, 4527, 0.010589870096942407
3853, -1, 0.010534343778744671
6981, 7215, 0.010232603428927487
8075, 8207, 0.009959979581398421
4988, 5412, 0.009702100551220586
0, 243, 0.008503521055561937
5475, 5578, 0.008488057853761017
6981, 7266, 0.008456479284487763
5192, 5412, 0.00788785817758797
1376, -1, 0.007852696797784409
3220, -1, 0.00769814436946698
2986, 3054, 0.0073884830913762125
0, 906, 0.007321423158282589
0, 356, 0.007120944502069395
1131, 1217, 0.006955989757139448
3925, -1, 0.006814756170574998
5543, 5578, 0.0065495108378637425
0, 275, 0.00650710347336028
6135, -1, 0.006367545113559432
8351, -1, 0.006331119926732319
3925, 3978, 0.006092653534946737
5475, -1, 0.005777349613480211
0, 1021, 0.005746652402558775
5543, 5690, 0.005348643988734835
0, 1217, 0.005290163992146613
5412, -1, 0.005230222586997582
3029, 3054, 0.005081505889705187
8183, -1, 0.004911218188672046
4119, 4314, 0.004648518073505794
10105, -1, 0.004624272578031984
3946, 4063, 0.004615647125348201
8162, -1, 0.004292916254545169
2932, 3054, 0.004267660106880493
526, 789, 0.004148714960907667
1376, 1723, 0.004128547724948131
5412, 5578, 0.004067834675080554
2261, -1, 0.004059014433240068
771, 1021, 0.00392548115579837
6981, 7049, 0.003915021616063832
10130, -1, 0.003734409781577328
1562, -1, 0.0037330184530861375
4790, 4866, 0.00365349002876186
345, 394, 0.0036258527523097914
2962, 3054, 0.0036157666391948675
960, 1021, 0.003577088342395815
7960, 8086, 0.003479883486735312
6159, -1, 0.0033622998459621346
1528, 1688, 0.0032841889633927483
1413, 1688, 0.0032113169448798975
707, 906, 0.0029957934635959625
9720, -1, 0.002837474377871324
3925, 4314, 0.0026237897840949384
2066, 2143, 0.0026116492903379513
617, 736, 0.0025426326789170705
6824, -1, 0.0025380269049408476
860, 1021, 0.0025114542201378626
3371, -1, 0.002491162206930703
990, 1217, 0.0023169834090428104
1077, 1217, 0.002309394973507362
617, 906, 0.002292568347575672
0, 499, 0.0022857194841996082
5475, 5640, 0.0022680274016094277
3946, 4200, 0.002153605893907418
1787, -1, 0.002114188918940075
2966, -1, 0.0021094668632865386
960, 1217, 0.0020865907344398073
2473, -1, 0.0019859410801331425
498, 789, 0.0018763033917403398
3503, -1, 0.0017473254251380071
5134, 5412, 0.0017320865883325247
2066, -1, 0.0017233670403122945
617, -1, 0.0016903840987930862
10039, -1, 0.0016146667250086404
1019, 1217, 0.0015420687552755606
813, 906, 0.0015256733369346785
1171, 1217, 0.0015062870936828647
1562, 1701, 0.0013985664113043941
771, -1, 0.0013493570206840758
3853, 4314, 0.0012816315809800428
3371, 3528, 0.0012695968543042795
0, 347, 0.0012592312576474255
3503, 3630, 0.0012477141093979478
5264, 5412, 0.0012102995162632559
1315, 1459, 0.0012030924873986707
1413, 1723, 0.0011801888676269655
