Gene = SNCAIP
index = 1290
Annotated 5SS: [   216  79123  91797 111671 113463 120014 128686 132664 137869 139533]
Annotated 3SS: [ 79019  91723 110798 113282 119899 128559 132493 137775 138463 151421]
SMsplice 5SS: [   216  38740  40177  79123  91797 110637 110994 120014 128448 128686
 132127 132664 137869 140927 144469 147217]
SMsplice 3SS: [ 38513  40077  79019  91723 110464 110861 119899 128392 128559 132036
 132493 137775 140855 144412 147174 151421]
top_k =  1000
Partition function (log Z): -75.69464445445477

Sorted 5' Splice Sites (High to Low Probability):
Position 216: 0.8520878559070455
Position 852: 0.6183297693640407
Position 6034: 0.3661323366301404
Position 7199: 0.3234777015936168
Position 4475: 0.15053691076102188
Position 2636: 0.10189325489063794
Position 165: 0.07521243217888746
Position 8706: 0.0642434795277618
Position 7617: 0.057154335179683324
Position 5499: 0.046759947275227885
Position 7738: 0.03818263423246343
Position 7865: 0.03507819412476688
Position 6315: 0.03256241059890482
Position 2977: 0.03248603278789793
Position 8439: 0.023611328987304527
Position 2286: 0.0229704801332428
Position 647: 0.022154582588582074
Position 4318: 0.016516272901234155
Position 9101: 0.015750779679094735
Position 7999: 0.01384870240948597
Position 3734: 0.013525708616948594
Position 2109: 0.01111119605562403
Position 3831: 0.010546156206872059
Position 6733: 0.010418466052296096
Position 161: 0.010097320274530796
Position 6502: 0.0097340400930318
Position 6070: 0.009325750661341989
Position 1359: 0.009281173679571835
Position 9435: 0.007833167705541395
Position 6707: 0.005681065703596199
Position 3848: 0.005583457453705407
Position 6080: 0.005418569149304855
Position 1697: 0.005418227996947171
Position 1295: 0.004918190926943442
Position 5515: 0.004579924400602798
Position 8884: 0.004112530681600813
Position 6632: 0.0038991525949369763
Position 153: 0.0032344276264735534
Position 226: 0.002335047354790001
Position 617: 0.0020904279496638733
Position 6469: 0.0018786405770669658
Position 849: 0.001692271764736774
Position 4490: 0.0015311425779204317
Position 9426: 0.0014365837143252445
Position 7185: 0.0012229493170138226
Position 398: 0.0011655617636587962
Position 4199: 0.001050636626513218
Position 1775: 0.0007688588217199115
Position 169: 0.0006761016384448138
Position 411: 0.0005307028677568157
Position 779: 0.0004891816491401208
Position 6516: 0.0004352270390679863
Position 1377: 0.0004346680512732748
Position 6433: 0.0003391309841062387
Position 1684: 0.0003233228698532363
Position 623: 0.00023877231480937326
Position 157: 0.00018732324076961674
Position 1539: 0.0001322508319632819
Position 2077: 0.00013205194609766508
Position 4340: 0.00010443655112129351
Position 1975: 0.00010181190744441778
Position 6874: 9.550111932856147e-05
Position 2003: 7.264550600875696e-05
Position 2463: 7.209789326617858e-05
Position 356: 5.550805036026375e-05
Position 2142: 4.864521064592509e-05
Position 220: 4.486520636418476e-05
Position 2405: 4.0917192442799816e-05
Position 426: 2.971237252518243e-05
Position 635: 2.484546071289252e-05
Position 1552: 2.2516290605762635e-05
Position 310: 2.2278634439000504e-05
Position 1350: 2.199514613401405e-05
Position 6339: 1.8565493462124853e-05
Position 861: 1.538891976349057e-05
Position 420: 1.2016755543142149e-05
Position 286: 1.0624633466245501e-05
Position 487: 9.46693816669921e-06
Position 578: 8.936595212705316e-06
Position 1761: 7.355472901522643e-06
Position 1872: 4.335808614687597e-06
Position 1257: 4.206897671329643e-06
Position 1886: 3.95054563755416e-06
Position 525: 3.451202354437259e-06
Position 1790: 2.496540244764434e-06
Position 133: 1.8483293246750325e-06
Position 1363: 1.74545641952994e-06
Position 1634: 1.5889690581834046e-06
Position 1300: 1.1765576647596215e-06
Position 1427: 1.1032772709504633e-06
Position 312: 1.042193522565201e-06
Position 435: 9.528892679827683e-07
Position 761: 7.737948460887363e-07
Position 856: 7.269319364698733e-07
Position 173: 6.955428347302648e-07
Position 677: 5.805959257139695e-07
Position 1393: 5.281838027610154e-07
Position 1541: 4.825302838194454e-07
Position 1712: 4.802806866327651e-07
Position 1832: 4.7267718051788617e-07
Position 756: 4.432606197540429e-07
Position 785: 3.783219394931786e-07
Position 432: 3.231755429432776e-07
Position 77: 3.099601319967437e-07
Position 82: 3.015034272366071e-07
Position 659: 2.8126242271731384e-07
Position 528: 2.5467169540934826e-07
Position 347: 1.8795971869421055e-07
Position 1130: 1.8722855230959836e-07
Position 963: 1.0100841828389191e-07
Position 1938: 8.660798238900265e-08
Position 1729: 8.43055528449692e-08
Position 672: 5.618354078724077e-08
Position 1104: 1.9654633598139544e-08
Position 1089: 9.70832231429374e-09
Position 1333: 4.180266882297749e-09
Position 725: 3.0801846464741743e-09
Position 501: 8.01224580096247e-10
Position 35: 5.612280473157789e-10
Position 320: 1.278832226539626e-11
Position 543: 1.7430942860287564e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 6924: 0.4654037159668684
Position 703: 0.2944441322649286
Position 5707: 0.2616532213765906
Position 7557: 0.26003662990086507
Position 8558: 0.12963068838360034
Position 9289: 0.11370373912903099
Position 6560: 0.10783945487543022
Position 5923: 0.10413630473863357
Position 2541: 0.0989882279478942
Position 730: 0.09732567648562038
Position 11040: 0.08222770205009931
Position 9262: 0.0673984348290816
Position 4357: 0.06735879458487744
Position 4125: 0.06529644414983748
Position 8918: 0.06098276096211087
Position 9660: 0.0592526463808194
Position 774: 0.05455025531617807
Position 564: 0.046260679326876844
Position 7099: 0.03453531918985122
Position 4427: 0.03352923597987629
Position 848: 0.03129733448669087
Position 8777: 0.029576604480274347
Position 5379: 0.027384551070038374
Position 8290: 0.025780668213292196
Position 496: 0.024363137024927446
Position 3639: 0.023927711741177693
Position 7737: 0.02350900794417002
Position 756: 0.02106246275527281
Position 6356: 0.020719063904298556
Position 5982: 0.018238098792246495
Position 2816: 0.017630907450458835
Position 5844: 0.015520533683077205
Position 1907: 0.014780426152675023
Position 8651: 0.013032309326680256
Position 8172: 0.012878896789727739
Position 5412: 0.012665883041703033
Position 6258: 0.012545849732851642
Position 8502: 0.012247044928790737
Position 6243: 0.011908094421902238
Position 2058: 0.011426555116485083
Position 11312: 0.009562074606450591
Position 5183: 0.009329063085532212
Position 6501: 0.008383469388046317
Position 795: 0.008321424533255994
Position 2859: 0.00830374986688991
Position 1177: 0.007976801343356254
Position 2076: 0.007651840623898177
Position 709: 0.007466993391705123
Position 1181: 0.006627548999684764
Position 4317: 0.006177626514236451
Position 5959: 0.006059242671304217
Position 3693: 0.005314798543140676
Position 2211: 0.0052862626473677895
Position 2833: 0.0046910268509350135
Position 2396: 0.004571329879694671
Position 6261: 0.004466708647177931
Position 5928: 0.004368528373815685
Position 1629: 0.004210780581912947
Position 6105: 0.00383628064477512
Position 5795: 0.0037652628300051637
Position 656: 0.003520164370514314
Position 9504: 0.0035145887754412133
Position 1212: 0.003061997123473479
Position 7256: 0.0025480785662853286
Position 2240: 0.0025333711446660205
Position 5328: 0.0024027123392156586
Position 2630: 0.0022219473306034185
Position 662: 0.0020755132439263225
Position 10072: 0.0020449954026188462
Position 7638: 0.0018500080898228362
Position 9693: 0.0017490323909938564
Position 7707: 0.0016543932890329145
Position 7514: 0.0016131403489183498
Position 1430: 0.0015430308680045542
Position 2208: 0.0014167087492762923
Position 8237: 0.001291268654051602
Position 3254: 0.0011138716119661832
Position 1464: 0.0010074318810354538
Position 5452: 0.0010008506701224187
Position 6855: 0.0008565549394348503
Position 2670: 0.0008395681995599837
Position 3718: 0.0008275047577977694
Position 4692: 0.0007670353288023143
Position 7285: 0.0007122568512927254
Position 6285: 0.0006358116624352496
Position 3676: 0.0006271482799455315
Position 7463: 0.0005522392126932192
Position 2553: 0.0005428395238062779
Position 2062: 0.0005313646167050747
Position 2779: 0.0005150275951561252
Position 2160: 0.0004992072771806198
Position 2866: 0.00048104458420901853
Position 1526: 0.0004616766219766474
Position 2845: 0.0004270979175671087
Position 6620: 0.0003946605543258733
Position 745: 0.0003661437975665628
Position 4717: 0.00033933080868688524
Position 4232: 0.00032271565235498834
Position 596: 0.00031866097730955974
Position 568: 0.0002964819675681318
Position 3122: 0.0002946716625138961
Position 1774: 0.00022789726924096293
Position 1999: 0.00016678474885013537
Position 2404: 0.00016341757428056915
Position 296: 0.00013828865896340929
Position 3057: 0.00013806604827184982
Position 1013: 0.00013683443801466673
Position 5514: 0.000121158672014502
Position 3193: 0.00011958780262515811
Position 920: 0.00010910471096322571
Position 5232: 0.00010904165839833275
Position 5205: 0.00010550759316799258
Position 1683: 9.742478282104996e-05
Position 3380: 9.126219397322756e-05
Position 972: 8.358070549170505e-05
Position 1130: 7.968036904073169e-05
Position 6062: 7.375850628680127e-05
Position 2130: 6.701880282928774e-05
Position 331: 5.9040818821246515e-05
Position 1404: 4.9085934194763385e-05
Position 1584: 4.882844394811308e-05
Position 955: 3.933527742859045e-05
Position 1911: 3.4260313010011675e-05
Position 3077: 3.220213293248038e-05
Position 667: 1.9698515165150295e-05
Position 876: 1.8790463172507182e-05
Position 1663: 1.8031614037687e-05
Position 1224: 1.7426849726667388e-05
Position 465: 1.6940030074449797e-05
Position 375: 1.561883552090611e-05
Position 1461: 1.1631204991502931e-05
Position 2247: 1.04851822185905e-05
Position 378: 7.5923784388673756e-06
Position 1638: 7.502859958600844e-06
Position 1532: 6.536074674661967e-06
Position 2734: 6.491074386856487e-06
Position 2902: 6.382555919149735e-06
Position 1252: 6.097376115081656e-06
Position 1233: 4.2835609936363625e-06
Position 392: 3.4758573595621754e-06
Position 420: 2.3554063509641093e-06
Position 2139: 2.2673909959380387e-06
Position 2594: 1.6609403540606881e-06
Position 286: 1.2052561647837477e-06
Position 396: 1.0374580560422292e-06
Position 1660: 9.163466139738092e-07
Position 1934: 6.940643781195978e-07
Position 444: 5.790326530110182e-07
Position 635: 5.551916020104425e-07
Position 356: 4.6478122856169684e-07
Position 578: 4.609612486477536e-07
Position 4157: 4.063976192552867e-07
Position 410: 3.618851182326916e-07
Position 1538: 3.036657285849867e-07
Position 432: 1.9688953284154363e-07
Position 797: 1.9013403846188546e-07
Position 426: 1.1494166740317416e-07
Position 1139: 8.295382566430738e-08
Position 1552: 6.799133738228015e-08
Position 629: 6.336780741879619e-08
Position 623: 5.916953545789281e-08
Position 606: 4.2800108654179434e-08
Position 1359: 3.883137121095362e-08
Position 1376: 3.665352048899104e-08
Position 225: 3.314089308259694e-08
Position 256: 3.1523215857067055e-08
Position 380: 2.9607582479032355e-08
Position 617: 9.832758197873454e-09
Position 993: 9.069321218860174e-09
Position 249: 8.046607164546099e-09
Position 2411: 7.859944888973187e-09
Position 276: 3.6311922870489064e-09
Position 264: 2.4711938065694978e-09
Position 963: 2.2949836708314305e-09
Position 268: 2.1982741647880825e-09
Position 404: 1.9660736974824555e-09
Position 601: 1.553963479586008e-09
Position 220: 9.951465773281778e-10
Position 609: 2.2521685527513847e-10
Position 233: 1.6077031260875603e-10
Position 169: 6.063034966539271e-14
Position 191: 1.9803305213460087e-14
Position 173: 1.406774653880272e-14
Position 99: 6.820018041187161e-16
Position 129: 5.630399469102425e-16
