Gene = Mrpl3
index = 702
Annotated 5SS: [  274  1367  2448  3885  8760 10886 18246 20614 22001]
Annotated 3SS: [ 1181  2355  3785  8659 10824 18136 20535 21922 23753]
SMsplice 5SS: [  274  1367  2448  3885  7372  8760 15079 18246 20614 22001]
SMsplice 3SS: [ 1181  2355  3785  7353  8659 14950 18136 20535 21922 23753]
top_k =  500
Partition function (log Z): 4.797120835371899

Sorted 5' Splice Sites (High to Low Probability):
Position 2448: 0.9900932789470528
Position 3885: 0.986886465924454
Position 1367: 0.9727934006061719
Position 8760: 0.8906680017661252
Position 18246: 0.8875443107934088
Position 15079: 0.8082407866207321
Position 20614: 0.7970246531070977
Position 12745: 0.735900175437877
Position 7372: 0.6311482624638587
Position 274: 0.5342358269610779
Position 577: 0.5081550586952596
Position 13201: 0.507356408095784
Position 22001: 0.4622480090786006
Position 10886: 0.39015642521065164
Position 12344: 0.36931213307883626
Position 1110: 0.2903145236166698
Position 22024: 0.17900643585724235
Position 20635: 0.17724698342727163
Position 10930: 0.17230153198446863
Position 4889: 0.1400766607150022
Position 14607: 0.13566289369052914
Position 12470: 0.12292998764527281
Position 19583: 0.11658928233296376
Position 22508: 0.11386865071917987
Position 23914: 0.10980241681110811
Position 13544: 0.09894297997919091
Position 15513: 0.07898828964120742
Position 18017: 0.07849355697385127
Position 8787: 0.05840518477601641
Position 7356: 0.05788177778473399
Position 12246: 0.054203864468512095
Position 278: 0.05201175892189619
Position 19871: 0.050072404139661686
Position 22635: 0.04648712876176344
Position 6043: 0.04469287535543465
Position 11413: 0.04464299836575868
Position 8446: 0.02888896986818067
Position 6117: 0.027760665204275
Position 14863: 0.02731386994044911
Position 978: 0.027110938241294076
Position 22455: 0.02317229762927385
Position 249: 0.021996297015297428
Position 21302: 0.02196691853145666
Position 1724: 0.02176994430997367
Position 1595: 0.018401361805290183
Position 22487: 0.01755704061488229
Position 8458: 0.01732120929402736
Position 18278: 0.01708151601980871
Position 21923: 0.016708923364960847
Position 8925: 0.016108538108203806
Position 8172: 0.015602939763166512
Position 10416: 0.015523600638749368
Position 3447: 0.014659071631971107
Position 4707: 0.014095264082643175
Position 221: 0.01192565175683212
Position 6225: 0.011364914430090167
Position 1737: 0.01135935077276479
Position 9238: 0.011248059872444146
Position 11208: 0.011016158937245777
Position 4069: 0.010240676289128838
Position 944: 0.010167327549930136
Position 9024: 0.01012225902037492
Position 2079: 0.006980941929505702
Position 1750: 0.006475502139243864
Position 21800: 0.0062121710360435525
Position 4681: 0.006120610363485721
Position 3502: 0.005467811080785447
Position 12502: 0.005217703274406577
Position 357: 0.004698202714748003
Position 3195: 0.004319590180627775
Position 291: 0.0042386792107609724
Position 18675: 0.00415098499378698
Position 22555: 0.0039860044520108545
Position 1313: 0.0037060315727285072
Position 5482: 0.0034715895012101634
Position 2669: 0.0034615947204377604
Position 4058: 0.0032620652166735404
Position 940: 0.003242844733367919
Position 6944: 0.003227977314156162
Position 15307: 0.0031942357885035256
Position 5324: 0.003076588735317004
Position 66: 0.002994309700599403
Position 390: 0.0027027457803185345
Position 756: 0.0026483511794365244
Position 149: 0.002571747175363711
Position 4673: 0.002558632208458796
Position 1540: 0.002400607523453434
Position 21795: 0.002366257520621093
Position 189: 0.002092298978056829
Position 10555: 0.0020473119996333965
Position 1630: 0.0017108951838640508
Position 9865: 0.0016932659793618208
Position 8770: 0.0016506970031044813
Position 6133: 0.0016149669302508503
Position 1728: 0.001558976464013413
Position 551: 0.0015345038974264264
Position 7112: 0.0015214206334008748
Position 21806: 0.001459398989548615
Position 1372: 0.001400784402554777
Position 5000: 0.0013497786659101298
Position 10862: 0.001343722303208386
Position 4762: 0.001243562357040154
Position 2544: 0.0009903798355955426
Position 7017: 0.0009262499903263117
Position 3145: 0.0009137868131315314
Position 1522: 0.0009108252845474308
Position 102: 0.0008920357651674517
Position 4539: 0.0007988620589348017
Position 2859: 0.0007858368219642544
Position 5486: 0.0007490751972763749
Position 4933: 0.0006502477272197848
Position 1741: 0.0006323498337854655
Position 3251: 0.0005251983491118467
Position 1533: 0.00046489864414538617
Position 1529: 0.0004036607352128602
Position 4494: 0.0003319511789252283
Position 108: 0.0003069049059528353
Position 2602: 0.0002321491788852069
Position 537: 0.00022676976174110475
Position 635: 0.00022643448677015353
Position 1642: 0.0002223916890571527
Position 1406: 0.00020750175878607883
Position 1817: 0.0001829618062951566
Position 2653: 0.00018218854551949588
Position 3030: 0.00016906336510715691
Position 476: 0.00016826275604638012
Position 8807: 0.00016763748824293504
Position 1637: 0.00016480571740718365
Position 2539: 0.00015720710760706402
Position 2591: 0.00014320952559676204
Position 928: 0.0001289648242109698
Position 3281: 0.00012227526798585936
Position 3558: 0.00011374405288631719
Position 378: 0.00010436184809386018
Position 2569: 9.673166495787359e-05
Position 151: 7.755104816666131e-05
Position 9145: 5.076565255004404e-05
Position 727: 4.996063674692584e-05
Position 3350: 4.7439401252646734e-05
Position 380: 4.404336418373849e-05
Position 546: 4.255627404486956e-05
Position 9604: 4.186284936199755e-05
Position 2520: 3.9524724936008056e-05
Position 16: 3.934103186373335e-05
Position 75: 3.336052126447372e-05
Position 364: 2.992449303614835e-05
Position 231: 1.7529345500283457e-05
Position 737: 1.5206450044622338e-05
Position 342: 1.309118075325822e-05
Position 27: 9.594978282945871e-06
Position 294: 9.113510806657078e-06
Position 3786: 8.611380069048205e-06
Position 323: 7.132983923616773e-06
Position 3889: 4.394204714768483e-06
Position 3855: 4.060701711728644e-06
Position 675: 2.0101127667817042e-06
Position 712: 1.847702050920535e-06
Position 3870: 1.8225910912228384e-06
Position 1389: 9.57114579258964e-07
Position 4075: 6.386866683007001e-07
Position 591: 6.294317300619928e-07
Position 1374: 3.5042575869038544e-07
Position 1429: 3.2801462308267907e-07
Position 439: 3.01595080332104e-07
Position 1504: 1.543014424710895e-07
Position 542: 8.433023436594172e-08
Position 447: 2.7752696904661124e-08
