Gene = LCN10
index = 771
Annotated 5SS: [ 173 1079 1708 2124 3010]
Annotated 3SS: [ 938 1597 2015 2910 3405]
SMsplice 5SS: [1079 1708 2124 3010]
SMsplice 3SS: [1597 2015 2910 3405]
top_k =  1000
Partition function (log Z): -4.784039545841026

Sorted 5' Splice Sites (High to Low Probability):
Position 3010: 0.9215221279254888
Position 1079: 0.8246045186952909
Position 1708: 0.7423870903976413
Position 173: 0.4564541084167615
Position 2124: 0.3264801830112693
Position 2213: 0.19124982542185123
Position 677: 0.18038692813436916
Position 2347: 0.15189597453691303
Position 125: 0.12007625428842901
Position 2410: 0.028785789421592503
Position 2454: 0.024593638592949083
Position 1304: 0.02313029030772325
Position 2742: 0.02026730890821707
Position 2163: 0.01458973578575327
Position 521: 0.007840628712443568
Position 1350: 0.007260001305540087
Position 2154: 0.00700359667614922
Position 2396: 0.006829161357185263
Position 1035: 0.006705182399685977
Position 1521: 0.005372730750374447
Position 1257: 0.00452049372957543
Position 844: 0.003964583018010761
Position 3293: 0.003917259851202262
Position 136: 0.003435345640297224
Position 464: 0.0030131586781206297
Position 1525: 0.002711589783050311
Position 440: 0.002585540171591926
Position 3290: 0.0024046320088767005
Position 1917: 0.002323561310907051
Position 1029: 0.0021053341299103845
Position 2590: 0.0019618324844775537
Position 374: 0.0017345553054067436
Position 953: 0.0014854572520903932
Position 468: 0.001340889232447492
Position 98: 0.0011968232903898485
Position 2833: 0.0011940960684890492
Position 92: 0.00107304533878943
Position 86: 0.0009329762190092736
Position 392: 0.0008674144191950628
Position 884: 0.0007505161725455334
Position 851: 0.0006782537064523446
Position 572: 0.0005333029754123367
Position 1489: 0.0004808558262121466
Position 15: 0.00047913496643859564
Position 860: 0.0004635484216896099
Position 50: 0.00044891544074632744
Position 74: 0.0003711919009263773
Position 1044: 0.00027741951953170823
Position 1623: 0.0002698179962373951
Position 493: 0.0002590853854334742
Position 1947: 0.00022324285330821983
Position 3113: 0.00021524667182757783
Position 652: 0.00021386652882989508
Position 1447: 0.00018448074651905826
Position 1741: 0.00015031882960502477
Position 555: 0.00014248283471862664
Position 1653: 0.00013575157253253165
Position 118: 0.00013456087646982796
Position 1710: 0.00012465044299843472
Position 1846: 0.00010458809711983916
