Gene = JhI-21
index = 1239
Annotated 5SS: [ 141  958 1740 2061 2386 3279 3483]
Annotated 3SS: [ 682 1543 1957 2117 2953 3357 3538]
SMsplice 5SS: [ 141  958 1740 2061 2386 3279 3483]
SMsplice 3SS: [ 682 1543 1957 2117 2953 3357 3538]
top_k =  500
Partition function (log Z): 16.370146624870117

Sorted 5' Splice Sites (High to Low Probability):
Position 3483: 0.9997855386158094
Position 3279: 0.9929604049935208
Position 2061: 0.9850410431767492
Position 1740: 0.9845133894679768
Position 958: 0.8649830501904401
Position 2386: 0.8635693262221771
Position 141: 0.7346009548629239
Position 2757: 0.10734134628168963
Position 2657: 0.0986204579755705
Position 634: 0.0740854748324904
Position 816: 0.06378988029404013
Position 2527: 0.022519208913086255
Position 1245: 0.016801600715448076
Position 2277: 0.01598977197835954
Position 1303: 0.013087139653225352
Position 3594: 0.011360225110370232
Position 1456: 0.010482115854315724
Position 3825: 0.010356306827057996
Position 2682: 0.008392339034213627
Position 2319: 0.008090491601216856
Position 379: 0.007838735958098508
Position 715: 0.007281977903968404
Position 328: 0.007106901169942923
Position 323: 0.006814586778001605
Position 1686: 0.006725882270946472
Position 1009: 0.00537815123069793
Position 563: 0.0045224065530915444
Position 2183: 0.0036768203289253894
Position 3747: 0.0036451834535568503
Position 40: 0.00238127338122619
Position 1247: 0.0023746763122294407
Position 2531: 0.0023534309317156847
Position 1879: 0.00228578746083204
Position 965: 0.0020559186535072343
Position 2412: 0.0018166272391721265
Position 2789: 0.0014345186615304624
Position 2691: 0.0013607106788221
Position 610: 0.001317900055570984
Position 4007: 0.0011310745569646482
Position 2065: 0.001034781359388867
Position 4003: 0.0010008510578688153
Position 2451: 0.0009935695267456132
Position 516: 0.0007695501490426377
Position 2417: 0.0007167494824705196
Position 2227: 0.0007023995450652342
Position 3722: 0.0005880599421849446
Position 1288: 0.0005830019507274925
Position 3942: 0.0005715244707219701
Position 2390: 0.0005420349073247248
Position 2269: 0.0005096780455623379
Position 896: 0.0004960296687573505
Position 3036: 0.00046441015305639894
Position 3840: 0.0004601507810295763
Position 2396: 0.00045323910661556385
Position 1914: 0.0004435179875755121
Position 3875: 0.00043966018511669945
Position 543: 0.0003951758687635251
Position 962: 0.0003490791330780462
Position 491: 0.00034835581879780257
Position 2069: 0.00031266273206942543
Position 1753: 0.00030566366963556723
Position 2872: 0.0003017072566836775
Position 1404: 0.0003005505624494396
Position 61: 0.00028976129140588204
Position 4049: 0.00026088692672112
Position 3337: 0.0002532594114077183
Position 2605: 0.00023733275596499458
Position 367: 0.00023423345380166802
Position 153: 0.0002276275500559778
Position 2334: 0.0002154770369923356
Position 690: 0.00020756641770607693
Position 169: 0.00020707514900494703
Position 6: 0.0002027389138945826
Position 2750: 0.00019264727505065055
Position 941: 0.00017483725533198804
Position 2720: 0.00015082705489248606
Position 3162: 0.0001341155289062382
Position 3829: 0.000125440131737321
Position 2033: 0.00011520107981384202
Position 2055: 0.00011397414346997261
Position 3750: 0.0001103268095931767
Position 3895: 0.00010951127181061316
Position 457: 0.0001025974765641399
Position 162: 9.918601050926014e-05
Position 121: 9.342394988051012e-05
Position 126: 7.627796724893855e-05
Position 3117: 6.241791713370548e-05
Position 3240: 6.039680841016398e-05
Position 51: 5.512432346522279e-05
Position 3979: 4.9618698334591825e-05
Position 1148: 4.5236182763624654e-05
Position 2699: 4.421839682968167e-05
Position 342: 3.900692730902164e-05
Position 1744: 3.8734238033419634e-05
Position 3462: 3.68141780346566e-05
Position 1808: 3.625155754847612e-05
Position 682: 3.397448896119927e-05
Position 3075: 3.156204481665182e-05
Position 2088: 3.0316523019982727e-05
Position 2476: 2.4828674604465412e-05
Position 4112: 2.4663823284066514e-05
Position 3283: 2.4117086243985223e-05
Position 2427: 2.4005098070894238e-05
Position 3487: 2.383353879078556e-05
Position 2323: 2.2704191302349377e-05
Position 3221: 2.1089690107799093e-05
Position 2165: 2.0304525882117635e-05
Position 2486: 1.8838934763159596e-05
Position 155: 1.8550602437038616e-05
Position 2628: 1.8384850348644894e-05
Position 590: 1.715507945857828e-05
Position 3938: 1.6883167558101834e-05
Position 2357: 1.639046235209752e-05
Position 320: 1.533868045051977e-05
Position 1021: 1.5282418123452623e-05
Position 4195: 1.4296545852383935e-05
Position 3737: 1.2788905045199095e-05
Position 3095: 1.2714413172048445e-05
Position 32: 1.2606979977529981e-05
Position 1778: 1.171474935652473e-05
Position 474: 1.1709696270627531e-05
Position 469: 1.1152218362871444e-05
Position 3033: 1.1050022989991556e-05
Position 4117: 1.0281221472348804e-05
Position 455: 1.02141992636573e-05
Position 3858: 9.134344197069966e-06
Position 75: 9.079076276373446e-06
Position 1926: 8.537165189177276e-06
Position 4092: 5.941035056146374e-06
Position 770: 5.711712600199549e-06
Position 4011: 5.698187722405762e-06
Position 4160: 5.153880145980274e-06
Position 785: 5.091406287672841e-06
Position 3148: 5.030067993225999e-06
Position 4202: 2.8678870257454745e-06
Position 1670: 2.4265537904901746e-06
Position 100: 1.8356037089574777e-06
Position 107: 1.4782588484820233e-06
Position 1668: 1.3613467366269642e-06
Position 2393: 1.225631870965709e-06
