Gene = CDC7
index = 336
Annotated 5SS: [   56   939  7045  7505 10798 11031 12415 13151 14105 14984 19387]
Annotated 3SS: [  760  6960  7368 10703 10887 12164 13054 13925 14900 19236 23147]
SMsplice 5SS: [   56  7045  7505 10798 11031 13151 14105 19387]
SMsplice 3SS: [ 6960  7398 10703 10887 12910 13925 19236 23147]
top_k =  100
Partition function (log Z): 1.141943839240116

Sorted 5' Splice Sites (High to Low Probability):
Position 11031: 0.9975226589679699
Position 7505: 0.9973231104837226
Position 19387: 0.9600915403008661
Position 7045: 0.9384693540199788
Position 10798: 0.9099838238378224
Position 14105: 0.8779229611407282
Position 939: 0.8678051597474127
Position 13151: 0.7514271954304833
Position 56: 0.7348912764524491
Position 14984: 0.43101316493680975
Position 1169: 0.21189847160616662
Position 17725: 0.18427523752571542
Position 1812: 0.08573402576002497
Position 11570: 0.0835715802272742
Position 661: 0.07136784912431675
Position 70: 0.06245455290922839
Position 12165: 0.052237026240058985
Position 18847: 0.049240560646411066
Position 20575: 0.01698039059688512
Position 23217: 0.015384542281518285
Position 648: 0.01352750741727042
Position 411: 0.004870163345425276
Position 630: 0.003801498507454012
Position 11104: 0.002477341032031495
Position 709: 0.0013751208338986284
Position 538: 0.0011325559876264066
Position 92: 0.00013644946073257256
Position 220: 0.0001175368013058153
Position 1142: 8.458364108507068e-05
Position 340: 7.749413811438187e-05
Position 396: 6.032844058731803e-05
Position 337: 1.994293698123279e-05
Position 193: 1.4669111171807664e-05
Position 225: 1.2432563007214914e-05
Position 247: 1.0937638358538915e-05
Position 129: 4.5870814416594064e-07
Position 322: 4.289335751016557e-07
Position 60: 3.1119688904211075e-09
Position 38: 1.8157773296498588e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 23147: 0.9780679234990329
Position 19236: 0.9475315644605421
Position 6960: 0.938469354019979
Position 10887: 0.924534227329054
Position 10703: 0.9099893690073557
Position 13925: 0.8748761565431603
Position 7398: 0.5879207540624964
Position 12910: 0.504386895924058
Position 7368: 0.4016443011169015
Position 14900: 0.2973711138486535
Position 760: 0.2772062006191207
Position 13054: 0.2418974601945177
Position 877: 0.22054239801975042
Position 1058: 0.20539821087827229
Position 17609: 0.1842752375257154
Position 794: 0.14085468611999058
Position 14848: 0.1317258652866103
Position 1679: 0.08573402576002499
Position 11388: 0.0686697563766445
Position 10915: 0.06274649729449988
Position 847: 0.05526881884274828
Position 12037: 0.05224467014751658
Position 18620: 0.04924056064641106
Position 589: 0.03798447115736584
Position 23468: 0.01987422255592952
Position 20481: 0.018099365681028004
Position 19257: 0.017196366981929487
Position 11338: 0.01457228819305387
Position 10918: 0.012439833351609102
Position 424: 0.012357378316239523
Position 7337: 0.007758055304324452
Position 1097: 0.0065731763018916384
Position 829: 0.0057474430292755885
Position 12784: 0.005142839311907897
Position 743: 0.00486785432992291
Position 19767: 0.0047456691053936574
Position 22210: 0.003995649644683101
Position 13865: 0.003134953299755003
Position 566: 0.0029085785015541595
Position 19896: 0.001989390980364667
Position 14670: 0.00191618580154593
Position 502: 0.001257655202470842
Position 892: 0.001152802181856419
Position 145: 0.000840937082257415
Position 20257: 0.0008040252230545541
Position 400: 0.0006187042499358577
Position 10948: 0.0002738968553050385
Position 11407: 0.00017604244555100216
Position 11531: 0.0001534932120248268
Position 618: 6.844033231616248e-05
Position 15198: 3.61984956753577e-05
Position 12164: 2.0303941992563124e-05
Position 1063: 1.1668067087711265e-05
