Gene = AT2G44670
index = 539
Annotated 5SS: [278]
Annotated 3SS: [390]
SMsplice 5SS: [278]
SMsplice 3SS: [390]
length: 1011
Partition function (logZ) = -2.207930943239508
#Introns = 1152
5SS, 3SS, prob
278, 390, 0.9798507451506687
134, 204, 0.012664503895484203
272, 390, 0.012089706308706387
533, 669, 0.004458613746116675
278, 392, 0.003870202444147749
533, 763, 0.0036800118545773797
278, 395, 0.001490965258888127
278, 411, 0.0011723870390477611
533, 802, 0.0008473026715141547
533, 679, 0.0007424862136529901
574, 669, 0.0007318033910947917
278, 423, 0.0006401072986668796
119, 204, 0.0006383875751919549
562, 669, 0.0004985370927630893
134, 390, 0.0003119373453403728
533, 725, 0.00024877998699987096
533, 967, 0.00024842392434554965
594, 669, 0.00023514337798937385
554, 669, 0.00018620523329113933
562, 763, 0.00017205315840474394
533, 717, 0.0001560181746891006
574, 763, 0.00013488943787094153
128, 204, 0.00011739906645692104
250, 390, 0.00010767956920243257
554, 763, 9.267476605637949e-05
22, 204, 8.603152242366618e-05
594, 679, 8.449982555325944e-05
574, 679, 8.064680912672802e-05
551, 669, 6.919201825792954e-05
594, 763, 6.622549156577976e-05
22, 119, 6.495761829413983e-05
562, 679, 6.019963023840477e-05
533, 894, 5.918468938803197e-05
320, 390, 5.710725080477867e-05
134, 206, 4.941242787546014e-05
272, 392, 4.890728340641626e-05
278, 433, 3.936998388391845e-05
562, 802, 3.925944136672018e-05
551, 763, 3.8505772952793674e-05
152, 390, 3.499474640197343e-05
278, 449, 3.0446144316291976e-05
574, 802, 3.0005068798749807e-05
278, 400, 2.90685493085117e-05
10, 204, 2.765142174537206e-05
554, 679, 2.6218565087231242e-05
533, 790, 2.536314491157195e-05
278, 763, 2.4355741486741347e-05
533, 754, 2.3812794345354035e-05
554, 802, 2.133785975820923e-05
278, 669, 1.96637363301554e-05
272, 395, 1.959263224195044e-05
187, 390, 1.6919769425177202e-05
272, 411, 1.6842260601286165e-05
278, 418, 1.6158855654468113e-05
594, 802, 1.522382298029323e-05
278, 428, 1.239910370889713e-05
533, 804, 1.1794787304887175e-05
562, 967, 1.1510626391046022e-05
562, 725, 1.124417132690641e-05
533, 1003, 1.0890929010344697e-05
10, 119, 1.0767963139870886e-05
574, 725, 1.0627773233102904e-05
551, 679, 1.0237021189888691e-05
851, 967, 9.51970842634631e-06
278, 480, 9.442508353607243e-06
272, 423, 9.350700700976893e-06
278, 512, 9.151074404243914e-06
278, 454, 9.00536161187536e-06
551, 802, 8.86574434564325e-06
574, 967, 8.797301356223922e-06
562, 717, 8.14238939370395e-06
176, 390, 7.889414797838815e-06
574, 717, 7.302457962962744e-06
594, 725, 7.093547538465864e-06
554, 967, 6.256129051023249e-06
554, 725, 6.134522087181257e-06
278, 802, 5.607776725706775e-06
533, 806, 5.236722308884894e-06
594, 717, 5.225308227263396e-06
594, 967, 4.463531127015023e-06
22, 390, 4.42085236522892e-06
119, 390, 4.038780884778659e-06
625, 763, 3.849220183656994e-06
554, 717, 3.8097559832986e-06
278, 679, 3.7300716398789824e-06
278, 425, 3.678041800650643e-06
846, 967, 3.311479138612915e-06
562, 894, 2.7422996774986106e-06
551, 967, 2.599381633782888e-06
551, 725, 2.5531588848201527e-06
574, 894, 2.0958752245488096e-06
119, 206, 1.835528328777717e-06
22, 164, 1.7594182339365205e-06
861, 967, 1.7296724352143775e-06
840, 967, 1.7123470534578332e-06
278, 967, 1.644165594998292e-06
333, 411, 1.6259471479425975e-06
278, 725, 1.5987422429403298e-06
551, 717, 1.5634042346158739e-06
554, 894, 1.4904645582412781e-06
333, 423, 1.4556774174469442e-06
533, 896, 1.4281541531361537e-06
10, 390, 1.418030335323415e-06
134, 392, 1.3444554712993816e-06
196, 390, 1.3439945736102922e-06
226, 390, 1.3375133038642796e-06
128, 390, 1.2604783437022212e-06
562, 790, 1.1751915035887514e-06
562, 754, 1.1363314579319591e-06
594, 894, 1.063394775773447e-06
278, 717, 9.966471173750997e-07
872, 967, 9.826957421127377e-07
833, 967, 9.75212091356164e-07
625, 725, 9.297835000658133e-07
879, 967, 9.110753010140461e-07
574, 790, 8.981712599399803e-07
574, 754, 8.576749812608784e-07
625, 717, 8.429673482267689e-07
775, 967, 7.532339411236262e-07
463, 763, 6.781911617789467e-07
134, 411, 6.707578101055387e-07
554, 790, 6.387271601340855e-07
551, 894, 6.192784974381263e-07
625, 802, 6.120584424520411e-07
554, 754, 6.09552504957955e-07
134, 395, 5.826025586127542e-07
463, 669, 5.475412109264907e-07
562, 804, 5.465069050256353e-07
272, 433, 5.46093026200045e-07
562, 1003, 5.046269807537084e-07
10, 164, 4.834099218908002e-07
272, 449, 4.776891290062923e-07
278, 542, 4.725408709221781e-07
594, 790, 4.691073524645798e-07
320, 411, 4.611231388126556e-07
250, 392, 4.5228327474851946e-07
594, 754, 4.4961843223372535e-07
134, 423, 4.3221648598210336e-07
199, 390, 4.3107169580213423e-07
574, 804, 4.176823895967726e-07
689, 763, 4.114910517004664e-07
278, 459, 4.0520889022807485e-07
272, 400, 4.000406837455722e-07
128, 206, 4.0001611766219405e-07
278, 894, 3.91707160648135e-07
574, 1003, 3.8567454727095654e-07
769, 967, 3.8455440427495084e-07
272, 763, 3.820431177749112e-07
775, 894, 3.752782830804157e-07
320, 392, 3.3992949613513894e-07
725, 802, 3.1950391828925603e-07
272, 669, 3.084445258530075e-07
554, 804, 2.970314220063041e-07
554, 1003, 2.742693062020697e-07
551, 790, 2.653870525224038e-07
551, 754, 2.4916497246965396e-07
22, 206, 2.4510371780892544e-07
562, 806, 2.426415014980008e-07
272, 418, 2.345347883211294e-07
320, 395, 2.1919854346332103e-07
851, 1003, 2.1385259788409453e-07
594, 804, 2.1192161910563857e-07
224, 390, 2.0732024426685994e-07
278, 463, 2.037695499191709e-07
594, 1003, 1.9568163882705094e-07
250, 395, 1.8844307108936138e-07
574, 806, 1.8544519973865575e-07
625, 967, 1.779113118543885e-07
272, 428, 1.7692014430766396e-07
278, 790, 1.6786310076382807e-07
250, 411, 1.6781909707840657e-07
320, 423, 1.6714224534977952e-07
769, 894, 1.6494740351665472e-07
278, 754, 1.5760228120759242e-07
463, 802, 1.5614981850067422e-07
152, 392, 1.5082797545619227e-07
272, 480, 1.4811478160053379e-07
272, 454, 1.438976882018236e-07
272, 512, 1.435433611532921e-07
554, 806, 1.3187784008751953e-07
22, 146, 1.271082986342543e-07
278, 457, 1.2575526949970725e-07
551, 804, 1.234146573260529e-07
835, 967, 1.195302443085228e-07
533, 810, 1.1916236202626076e-07
551, 1003, 1.1395714369661675e-07
