Gene = Crtc
index = 1108
Annotated 5SS: [1128]
Annotated 3SS: [4587]
SMsplice 5SS: [1128]
SMsplice 3SS: [8309]
top_k =  500
Partition function (log Z): -14.099859738413615

Sorted 5' Splice Sites (High to Low Probability):
Position 1128: 0.6505587985463253
Position 455: 0.17511710418075788
Position 821: 0.11878525137435257
Position 4780: 0.10393727076937338
Position 286: 0.07985080724096515
Position 365: 0.04453696657229866
Position 4930: 0.028393416517127526
Position 628: 0.023967783423627386
Position 622: 0.010347995217439754
Position 620: 0.00866261608446024
Position 427: 0.007328196127270134
Position 815: 0.00722981868164736
Position 817: 0.006984176294911263
Position 425: 0.006237184052958665
Position 813: 0.006041211389383603
Position 624: 0.005503160053758334
Position 811: 0.004731874410911404
Position 791: 0.0029879934089291
Position 809: 0.002424515515841666
Position 447: 0.001496129847924584
Position 981: 0.0012585474978444714
Position 421: 0.0011354741507417115
Position 439: 0.0011254670732229568
Position 689: 0.0008456542253229319
Position 280: 0.000776980729238803
Position 2660: 0.0005967349327285966
Position 2784: 0.00058541577061147
Position 632: 0.00048167484806873164
Position 200: 0.000454371235369472
Position 2238: 0.0004148666329706888
Position 443: 0.00039256366765992145
Position 10: 0.0002648223241093108
Position 4708: 0.00025407549614817363
Position 294: 0.00024301899143747862
Position 270: 0.00017932463668471273
Position 431: 0.000155513232590445
Position 4710: 0.00012538796586872509
Position 789: 0.0001017656242383679
Position 636: 0.00010062858880902066
Position 2204: 9.008014668329299e-05
Position 801: 8.948311645567491e-05
Position 451: 8.169749883093081e-05
Position 1161: 7.87299128463738e-05
Position 795: 7.343504355046509e-05
Position 2482: 7.142162806019759e-05
Position 572: 5.7895276179278795e-05
Position 471: 5.402486800330117e-05
Position 831: 4.370098448828641e-05
Position 652: 3.1992911868572155e-05
Position 65: 1.8022961805951934e-05
Position 626: 1.733924551776506e-05
Position 670: 1.4241733456013682e-05
Position 819: 1.3147809218545869e-05
Position 381: 1.1483376092670153e-05
Position 640: 1.0974920937526146e-05
Position 429: 1.0134507352165327e-05
Position 766: 1.0027249322180754e-05
Position 937: 9.580101084107323e-06
Position 1825: 8.365033583690605e-06
Position 713: 7.4203874174886174e-06
Position 473: 3.994935333799342e-06
Position 369: 1.0305130378536575e-06
Position 2177: 5.352239041353816e-07
Position 124: 7.448977453509366e-08
Position 1755: 7.181156932073135e-08
Position 130: 5.437654325146081e-08
Position 642: 1.0264517923717463e-08
Position 159: 8.011893558276406e-09
Position 98: 5.783371543996536e-09
Position 87: 5.409718897156749e-09
Position 273: 4.465268089142546e-09
Position 1132: 3.4309809307580737e-09
Position 1170: 3.940001445966549e-10
Position 753: 3.3647004735177914e-10
Position 449: 2.436962166463477e-10
Position 387: 3.13318701417449e-11
Position 412: 1.3856352839406283e-11
Position 419: 6.665822102692962e-12
Position 371: 2.8692957106110267e-12
Position 441: 2.759128964878606e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 8309: 0.7714425703299712
Position 878: 0.1500065479781646
Position 4600: 0.10517038656799238
Position 4587: 0.07305654088744586
Position 8976: 0.04451862175517787
Position 9296: 0.043193994672046675
Position 8318: 0.01934430221494495
Position 9411: 0.014802599648382375
Position 6845: 0.011719132142390272
Position 6692: 0.010300629429827134
Position 7688: 0.010081520959822603
Position 1067: 0.006716852998849798
Position 8127: 0.004831894266256734
Position 7718: 0.003739415564369021
Position 412: 0.0036789693184513684
Position 4365: 0.003277671059037269
Position 7842: 0.002884316249899557
Position 7850: 0.002499704937144847
Position 1047: 0.0023473681666297125
Position 7584: 0.0019446190016740759
Position 538: 0.00192829872327117
Position 7415: 0.0017127125910376298
Position 7344: 0.0014491665819228558
Position 980: 0.0013604388645735458
Position 516: 0.001354395290262661
Position 4798: 0.0013336814714876065
Position 858: 0.0013242868806168985
Position 1998: 0.0012379480874070486
Position 4508: 0.001051014092977626
Position 1230: 0.0006925899673489376
Position 947: 0.0005788755747623116
Position 2299: 0.0004974993098738567
Position 1917: 0.00048612666395616064
Position 597: 0.0004760683273356493
Position 507: 0.0004151073289199486
Position 3235: 0.00038846053376389173
Position 3114: 0.00037403512682957857
Position 1073: 0.0003217592691624742
Position 6081: 0.00025141304229593165
Position 1007: 0.0002428151665514917
Position 4079: 0.00023590820050515705
Position 704: 0.00023566256079986535
Position 3586: 0.00018055666520682323
Position 3343: 0.0001750721974153045
Position 1035: 0.00016277217760159526
Position 4991: 0.0001548382503404805
Position 3667: 0.00015052055084632926
Position 1809: 0.00014990972780288902
Position 4994: 0.00014340202342620953
Position 345: 0.00012120808463097319
Position 1773: 0.00010435486689085154
Position 1051: 9.026715348124332e-05
Position 2280: 8.787006088153619e-05
Position 1611: 6.389716998657175e-05
Position 2569: 5.941976305210483e-05
Position 425: 5.640637803266527e-05
Position 1302: 4.734585162785459e-05
Position 4540: 3.9609613986293095e-05
Position 4222: 2.613551542483407e-05
Position 3498: 2.3118492662464557e-05
Position 2856: 2.2853265556849113e-05
Position 2258: 8.179386204505887e-06
Position 2726: 6.9921600316823605e-06
Position 2847: 6.21018146757941e-06
Position 2611: 4.567780176112888e-06
Position 2394: 4.3840417973831e-06
Position 620: 3.818612722778238e-06
Position 2493: 3.8125117662345435e-06
Position 1347: 3.0557506231246597e-06
Position 1954: 3.044083832060913e-06
Position 2094: 2.908483885288707e-06
Position 2155: 2.5970121013886823e-06
Position 2145: 2.1309752799786676e-06
Position 1551: 1.728512881836359e-06
Position 1161: 1.1377708559057664e-06
Position 1350: 8.934237607748921e-07
Position 524: 6.605544528511345e-07
Position 649: 5.71217422475408e-07
Position 488: 4.922642819766595e-07
Position 723: 3.5795208847999637e-07
Position 759: 1.603445338678656e-07
Position 185: 1.5128181003265764e-07
Position 789: 1.1661523818965304e-07
Position 617: 8.048192279715443e-08
Position 381: 1.2915812483674743e-08
Position 384: 1.0093577475914888e-08
Position 130: 1.062982275635619e-09
Position 387: 7.008502735788845e-10
Position 107: 2.1937264226422163e-12
Position 171: 1.74574414622493e-12
Position 353: 1.1170003123591597e-12
Position 65: 6.53747073351217e-13
Position 286: 3.2117132335701563e-13
Position 205: 1.3207179139622024e-13
Position 216: 1.0967246040719644e-13
Position 192: 5.267949714807063e-14
Position 302: 3.660667576158971e-14
Position 200: 1.7643814473381873e-14
Position 365: 1.3701109702721647e-14
Position 260: 4.0565612604938864e-15
Position 257: 3.7709693492510586e-15
Position 224: 3.700837109081282e-15
Position 254: 1.8442546966770866e-15
