Gene = C2cd6
index = 196
Annotated 5SS: [  403 17018 18230 19904 25184 26218 27124 28751 32505 34329 36245 42405]
Annotated 3SS: [16930 18177 19757 25057 26172 27054 28670 32369 34222 36180 42366 43614]
SMsplice 5SS: [  403 17018 19904 28751 32505 41812]
SMsplice 3SS: [16930 19757 28670 32369 41666 43742]
top_k =  100
Partition function (log Z): -32.27419578129953

Sorted 5' Splice Sites (High to Low Probability):
Position 403: 0.9234387230577279
Position 4: 0.06867005781824792
Position 374: 0.06146310197995379
Position 903: 0.029408568981402754
Position 481: 0.011893437983329553
Position 898: 0.005236680468196425
Position 106: 0.0024407002235000753
Position 266: 0.0014939554681779182
Position 70: 0.0007832900295611672
Position 126: 0.0005293476758104213
Position 723: 0.00018566965092078972
Position 45: 0.00017027026491951548
Position 216: 0.00012852030510603635
Position 687: 0.00011282035031515788
Position 138: 5.255186900329055e-05
Position 423: 4.9954371619850327e-05
Position 8: 2.2960970633080858e-07
Position 461: 1.0094661853504779e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1535: 0.15854319444677553
Position 2715: 0.0954618747093473
Position 564: 0.09407311403792372
Position 1508: 0.07181597719739831
Position 4355: 0.0695447128495125
Position 6029: 0.05966316197405547
Position 265: 0.05060525902932791
Position 6151: 0.03777821261953996
Position 1422: 0.03271907833781257
Position 6359: 0.031854337457429625
Position 4673: 0.030717289947087133
Position 4358: 0.027666967134026603
Position 5327: 0.027627186987311373
Position 791: 0.024207718565146544
Position 6519: 0.0236979042630329
Position 4651: 0.0218321423980595
Position 2368: 0.02078418061096266
Position 5417: 0.019635189043728997
Position 4182: 0.019069770789422402
Position 519: 0.018795769603589765
Position 4217: 0.01576689804693758
Position 2305: 0.015285039016225245
Position 5217: 0.014809811414835382
Position 2848: 0.01462708699996547
Position 2693: 0.013154964698415048
Position 4756: 0.012060385060561398
Position 817: 0.011479292584948267
Position 179: 0.01124019663157009
Position 4593: 0.008519280952625425
Position 301: 0.007196401099633185
Position 3036: 0.007150409599384388
Position 1643: 0.006325667931188764
Position 3383: 0.0057336157190488604
Position 1558: 0.004473627965192167
Position 3320: 0.004072575352635243
Position 3337: 0.003925942927253229
Position 636: 0.003473761161923432
Position 582: 0.0034286404413342965
Position 276: 0.0032404881179982094
Position 1043: 0.0013654795718432105
Position 667: 0.0011649598734851867
Position 822: 0.0010016608339434695
Position 138: 0.00025932590412586416
Position 243: 5.0355806146490214e-05
Position 246: 3.714084395813081e-05
Position 159: 3.541428042325855e-05
Position 203: 2.1718630598884462e-05
Position 147: 2.1426326043677193e-05
Position 121: 2.139391790650768e-05
Position 322: 4.505871434912897e-06
Position 348: 4.414002389672086e-06
Position 319: 4.101895234634091e-06
Position 342: 3.1215115368351262e-06
Position 208: 2.0844765188292582e-06
Position 104: 1.8927568276873716e-06
Position 278: 1.6551821158859347e-06
Position 91: 1.179013372091131e-07
Position 194: 8.374507991389174e-08
