Gene = AT2G46670
index = 576
Annotated 5SS: [453]
Annotated 3SS: [545]
SMsplice 5SS: [453]
SMsplice 3SS: [545]
top_k =  1000
Partition function (log Z): -3.075517915248494

Sorted 5' Splice Sites (High to Low Probability):
Position 453: 0.9978457119007543
Position 629: 0.01623642719301137
Position 657: 0.01451642711747868
Position 678: 0.007216914220616355
Position 183: 0.006791648715267006
Position 615: 0.005957006370631866
Position 602: 0.00260615031527674
Position 606: 0.0007337927490084888
Position 193: 0.0002979448697249503
Position 419: 0.00014979515348013695
Position 120: 0.00010877919099810593
Position 76: 0.0001069041525290997
Position 216: 6.77830039219897e-05
Position 413: 5.4812858099975885e-05
Position 249: 3.4462864741203384e-05
Position 591: 3.309952796880587e-05
Position 364: 2.9869791291961115e-05
Position 201: 2.2759613798240533e-05
Position 721: 1.0820333237087157e-05
Position 583: 8.189651671599933e-06
Position 376: 6.508452914245775e-06
Position 382: 6.018009457975501e-06
Position 295: 3.6107651558988753e-06
Position 723: 2.9060440646916634e-06
Position 285: 1.6183627381022885e-06
Position 110: 1.5314926886146082e-06
Position 551: 1.5158230281277098e-06
Position 67: 1.2461737599034915e-06
Position 740: 1.075014335733241e-06
Position 209: 1.0688896963229986e-06
Position 334: 9.82308567687386e-07
Position 32: 6.804316457276132e-07
Position 546: 2.418437447750716e-07
Position 48: 5.0287015604747015e-08
Position 51: 1.8219359522268297e-08
Position 527: 1.0809359291718982e-08
Position 793: 3.4839562109486276e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 545: 0.9990166114635683
Position 765: 0.040046344561426896
Position 816: 0.006170670108786722
Position 273: 0.004013625856178053
Position 693: 0.0007231390356919464
Position 721: 0.0006379579796905882
Position 334: 0.0005731829904883912
Position 270: 0.00038640136911603795
Position 557: 0.00027518375932233697
Position 252: 0.00024670733126412066
Position 562: 0.00016960998951605678
Position 705: 0.00010717198311031196
Position 277: 5.5400337704084245e-05
Position 304: 4.9639247972729546e-05
Position 559: 4.6877231382410965e-05
Position 331: 4.257284752214826e-05
Position 850: 3.9338178005042376e-05
Position 266: 3.4719331838621656e-05
Position 524: 3.451273126106367e-05
Position 154: 2.5990660922006746e-05
Position 337: 2.2569234485070653e-05
Position 209: 1.9898900004380218e-05
Position 385: 1.846235552754086e-05
Position 342: 1.644370414242975e-05
Position 314: 1.2199963288513932e-05
Position 388: 8.974124865289104e-06
Position 161: 7.670133762810843e-06
Position 353: 5.598347985176857e-06
Position 285: 5.306785651190078e-06
Position 201: 4.732114367127519e-06
Position 281: 4.262572060608301e-06
Position 775: 3.6173954428181043e-06
Position 291: 3.4165042206879863e-06
Position 288: 2.963222318641892e-06
Position 566: 2.808707695717581e-06
Position 216: 2.5437225427678795e-06
Position 360: 2.4445234585945792e-06
Position 227: 2.116807329912304e-06
Position 234: 1.7146950498023338e-06
Position 831: 1.2864237247525102e-06
Position 392: 1.199443901454196e-06
Position 394: 1.192767833849826e-06
Position 413: 1.146927923720095e-06
Position 855: 1.0926299078273304e-06
Position 357: 1.0625077260118719e-06
Position 382: 9.488305045461552e-07
Position 230: 9.428735217711417e-07
Position 344: 8.106991311612726e-07
Position 485: 7.758248640980699e-07
Position 822: 7.558103114609019e-07
Position 181: 6.702540108630332e-07
Position 425: 4.372812588352388e-07
Position 597: 4.1443189405397233e-07
Position 504: 3.6794320512911983e-07
Position 364: 3.568778814412382e-07
Position 569: 2.394662583757841e-07
Position 452: 2.1083965040790095e-07
Position 602: 1.5327840915462942e-07
Position 624: 1.408710577203676e-07
Position 576: 1.0483236000855283e-07
Position 139: 9.266967635767578e-08
Position 427: 8.845955812430622e-08
Position 432: 8.11930937213346e-08
Position 187: 7.932679835953965e-08
Position 151: 7.68192213384244e-08
Position 110: 7.214287010751191e-08
Position 396: 5.9364975118278984e-08
Position 135: 2.931112805940713e-08
Position 573: 2.2195439286160266e-08
Position 120: 1.8066512934584134e-08
Position 164: 1.121282559767913e-08
Position 399: 9.581934445728443e-09
Position 591: 8.90296003498913e-09
Position 124: 8.537385415704174e-09
Position 115: 7.2034761995486825e-09
Position 457: 3.3596920323231233e-09
Position 646: 2.8975401679620996e-09
Position 459: 4.5121440572724876e-14
