Gene = CG32428
index = 545
Annotated 5SS: [1083 2770]
Annotated 3SS: [2574 3738]
SMsplice 5SS: [1083 2796]
SMsplice 3SS: [2574 3616]
top_k =  1000
Partition function (log Z): -3.5803445288593516

Sorted 5' Splice Sites (High to Low Probability):
Position 1083: 0.9917296768886921
Position 2796: 0.8549743787098074
Position 2520: 0.3867510391595042
Position 3477: 0.28828625115795076
Position 2498: 0.09369214003143472
Position 3691: 0.08440658353007124
Position 171: 0.06936349066662054
Position 161: 0.042229117803463986
Position 2494: 0.04020407585687174
Position 414: 0.038314796654380576
Position 14: 0.03437760039956344
Position 386: 0.03052234354190831
Position 10: 0.02936237372396523
Position 3400: 0.02934282207968813
Position 1975: 0.027524673985402127
Position 2032: 0.022135018871929348
Position 130: 0.017987200869372114
Position 3383: 0.013491646511984206
Position 2770: 0.011536288857386797
Position 1424: 0.011267534996873028
Position 2415: 0.008432873870786447
Position 3220: 0.007275969836555002
Position 3341: 0.007040516824103261
Position 1546: 0.00588262847175138
Position 2075: 0.0050274315319406085
Position 74: 0.00497161281683362
Position 3445: 0.003634809790684357
Position 3931: 0.0029470169494454617
Position 1670: 0.0026204557892716136
Position 1291: 0.002514597875248801
Position 19: 0.0024968886801598747
Position 1825: 0.002366132724778643
Position 1774: 0.0019497249918538797
Position 1958: 0.0019187009161398996
Position 503: 0.001797442070605019
Position 1465: 0.001595035386626192
Position 303: 0.0014327875374325798
Position 1638: 0.0012466963564826366
Position 3237: 0.0011731168925904953
Position 663: 0.0011512854141204495
Position 3776: 0.001121604831000091
Position 81: 0.000990587997880713
Position 3078: 0.0008892286775567722
Position 3950: 0.000650632954532539
Position 2315: 0.0004215494426468608
Position 226: 0.0004117036233790181
Position 2059: 0.0003678883622042053
Position 109: 0.0003402326448317154
Position 2452: 0.00025729696150073364
Position 1805: 0.00024842570432316536
Position 2791: 0.00024502959769976594
Position 658: 0.0002383683589847708
Position 155: 0.00023387820849330042
Position 431: 0.0002284485427662788
Position 545: 0.00021150712461440654
Position 1537: 0.00018657873943491235
Position 144: 0.00015872539445420953
Position 2002: 0.0001232499468202733
Position 1844: 0.0001096471922561754
Position 1738: 8.862074684031445e-05
Position 3243: 8.239211552679643e-05
Position 2161: 8.010111547850359e-05
Position 1297: 7.71723179348343e-05
Position 2445: 6.759220421487462e-05
Position 3354: 6.704645043369888e-05
Position 507: 6.621368724845019e-05
Position 1766: 6.376148619014372e-05
Position 3969: 6.359016301489568e-05
Position 1114: 5.2641899410602385e-05
Position 146: 5.0037225084002315e-05
Position 178: 4.4226800220229916e-05
Position 1519: 4.308235701399868e-05
Position 653: 4.07677679339382e-05
Position 1087: 3.994576441826316e-05
Position 2857: 3.558154808156291e-05
Position 3118: 3.4497367870384374e-05
Position 3191: 3.4310585786373986e-05
Position 2544: 3.2900995203107166e-05
Position 681: 3.265815401647963e-05
Position 347: 3.2416023796793904e-05
Position 1072: 3.129429380278839e-05
Position 1420: 3.0695879016856255e-05
Position 1988: 2.3900499738674197e-05
Position 699: 2.2733888372006455e-05
Position 3380: 1.730611717936652e-05
Position 1864: 1.6175645783937007e-05
Position 2979: 1.5834030354884206e-05
Position 1952: 1.5744050025445365e-05
Position 1054: 1.4386538016286396e-05
Position 1853: 1.2608557417971437e-05
Position 445: 9.960310463334924e-06
Position 345: 8.439605305299067e-06
Position 466: 6.655650205797989e-06
Position 713: 6.212099576501081e-06
Position 1027: 5.442406365185786e-06
Position 1238: 4.373044947884841e-06
Position 505: 4.077007215818529e-06
Position 451: 4.056948929246903e-06
Position 318: 3.567030912143663e-06
Position 1532: 2.0055672773245357e-06
Position 350: 1.9664857432387665e-06
Position 636: 1.2110084076202035e-06
Position 1526: 1.0976366470793074e-06
Position 1534: 1.0232047370795992e-06
Position 3761: 2.3822830195359812e-07
Position 283: 2.156800653718745e-07
Position 2967: 1.0642494556576679e-07
Position 2879: 1.0217789868948276e-07
Position 2803: 9.617193749066818e-08
Position 2884: 9.298360950291552e-08
Position 1133: 4.560964279404856e-08
Position 1403: 4.0913235157805126e-08
Position 2936: 4.823630456517389e-09
Position 2800: 4.707450089535597e-09
Position 1143: 7.525475876204326e-10
Position 1025: 3.69182977254827e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2574: 0.9833371061888955
Position 3616: 0.6398882602938711
Position 3738: 0.14536718838618806
Position 280: 0.1372872510643854
Position 2294: 0.13295518959509836
Position 2360: 0.12057530893951558
Position 2887: 0.09183810181694327
Position 2958: 0.07492361054384042
Position 3165: 0.06870021221281913
Position 1630: 0.06711297585121366
Position 1607: 0.05634067829163189
Position 1310: 0.04921069354832598
Position 2249: 0.04650337220012993
Position 1244: 0.038227667787693737
Position 316: 0.03647193320118379
Position 3310: 0.03578269431489364
Position 534: 0.0317681577584585
Position 3276: 0.030369547279644228
Position 445: 0.03004905959250265
Position 1238: 0.02739612611212751
Position 3098: 0.019907650018498518
Position 3648: 0.01990325879767073
Position 3444: 0.01960178001405135
Position 2920: 0.01947640107047734
Position 2314: 0.018190754608739926
Position 3280: 0.01794592874690782
Position 1139: 0.016586370967900645
Position 3747: 0.01618435619506875
Position 3622: 0.015497857362186116
Position 615: 0.014657260989312188
Position 3673: 0.013442854342428015
Position 2995: 0.01143258149061951
Position 2615: 0.01116116454847464
Position 2158: 0.01110981651607868
Position 3539: 0.010942330766042839
Position 1289: 0.008318699474467065
Position 3243: 0.007912716155775254
Position 1211: 0.007908114291938976
Position 129: 0.007278333809265665
Position 1888: 0.006785525122298277
Position 466: 0.006698743753305927
Position 3237: 0.0058191200162401565
Position 3464: 0.0056846120891477425
Position 3825: 0.005389031696798036
Position 3416: 0.005339984565797436
Position 738: 0.003719189189962969
Position 4008: 0.003478519050703376
Position 1154: 0.003453033283113572
Position 3208: 0.0029805957154433946
Position 3399: 0.0023702671607251156
Position 3294: 0.0022324781131524613
Position 3770: 0.002220541365404503
Position 3663: 0.0021174422895559953
Position 1860: 0.002073764868384415
Position 1143: 0.0020496217349849784
Position 3461: 0.00192784843543789
Position 226: 0.0018962981070010105
Position 3711: 0.0018558039975752952
Position 3855: 0.0015510722091986464
Position 3635: 0.0013979233784622864
Position 3818: 0.0012046748689012144
Position 3247: 0.0011756505682418961
Position 3994: 0.001127343783143103
Position 2828: 0.0009570391043571559
Position 636: 0.0009161640131930726
Position 565: 0.0006793391456523717
Position 1808: 0.0004362837216227169
Position 2642: 0.00036035922028522006
Position 1164: 0.00030256124909509624
Position 1452: 0.0002596132064465701
Position 658: 0.000247698051688248
Position 4033: 0.00023161337480808892
Position 1927: 0.00022585089900979246
Position 1666: 0.00022511776257376026
Position 3470: 0.00021104355544058
Position 3871: 0.00018644117859780647
Position 345: 0.00018406191044187785
Position 3110: 0.000178190072840658
Position 2897: 0.0001654435047067762
Position 255: 0.0001602085647793596
Position 3685: 0.0001434911449513106
Position 104: 0.00013531500700921596
Position 1805: 0.00013418637593343546
Position 1747: 0.00012536322920514214
Position 342: 0.00011504384726956133
Position 81: 0.0001143153111007466
Position 3380: 0.00010245496000936839
Position 2999: 9.534890390951821e-05
Position 1714: 8.915300019852638e-05
Position 246: 8.602977865165823e-05
Position 3118: 7.805182127567042e-05
Position 1411: 7.555009558140747e-05
Position 2636: 6.698357416646877e-05
Position 1913: 5.5146521521202746e-05
Position 663: 4.5115364034750584e-05
Position 3014: 4.2701590093720656e-05
Position 769: 3.79755584754093e-05
Position 1462: 3.68334149846007e-05
Position 1930: 3.345991670829736e-05
Position 109: 1.9764943700243132e-05
Position 824: 1.9131925146073773e-05
Position 2688: 1.576757528363037e-05
Position 2538: 1.3491116073558117e-05
Position 161: 1.3161037333397663e-05
Position 572: 1.2718802102720673e-05
Position 2093: 1.2050160823699186e-05
Position 74: 7.133150649621424e-06
Position 117: 6.871060757626441e-06
Position 973: 5.128434530916996e-06
Position 2059: 3.907075805159493e-06
Position 1255: 3.0316853406643096e-06
Position 2693: 2.762884727123469e-06
Position 2675: 2.6954253629952323e-06
Position 1291: 2.1315096540057093e-06
Position 106: 1.5214534799258192e-06
Position 144: 1.4626730269362926e-06
Position 2335: 1.0590060578044539e-06
Position 1700: 8.201242166967258e-07
Position 2174: 5.464432592721495e-07
Position 956: 4.795796745348906e-07
Position 2428: 4.674549156548361e-07
Position 2322: 4.1834086941105884e-07
Position 674: 4.0582077280721574e-07
Position 2338: 3.7666308369802535e-07
Position 397: 3.394709084897224e-07
Position 1208: 2.9457946413760696e-07
Position 2437: 2.5731924885419694e-07
Position 1036: 1.32445715931865e-07
Position 970: 1.2068772287004291e-07
Position 1532: 1.0207661063870237e-07
Position 1971: 4.9346159966939505e-08
Position 378: 1.378144109272348e-08
Position 367: 1.2426893551798144e-08
Position 361: 1.0817152610519366e-08
Position 380: 6.974368892471824e-10
