Gene = AT2G36960
index = 419
Annotated 5SS: [ 179  774  944 1069 1278 1808 2187 2503 2758 3089 3861 4068 4577]
Annotated 3SS: [ 609  860 1020 1167 1722 1906 2391 2602 2849 3184 3938 4148 4711]
SMsplice 5SS: [ 179  774  944 1069 1278 1808 2187 2503 2758 3089 3861 4068]
SMsplice 3SS: [ 609  860 1020 1167 1722 1906 2394 2602 2849 3184 3938 4148]
length: 4839
Partition function (logZ) = 40.902652189705506
#Introns = 2387
5SS, 3SS, prob
3861, 3938, 0.9872309425542696
2758, 2849, 0.9707902806064491
3089, 3184, 0.9676323456817035
774, 860, 0.9566643397510555
944, 1020, 0.9315403597359547
1069, 1167, 0.9258598473367636
4068, 4148, 0.9043473677525063
1808, 1906, 0.7401286674415558
179, 609, 0.7160829745063554
2187, 2394, 0.7053915276520697
1278, 1722, 0.7043961523707779
2503, 2602, 0.5009176378656411
2503, 2608, 0.2621500607622429
1278, 1383, 0.182311645058204
179, 587, 0.1810571002106143
1522, 1722, 0.14336227264786836
2187, 2391, 0.12869421764371133
4320, 4592, 0.09507563971912555
4059, 4148, 0.08242418672102947
2503, 2656, 0.07861581943951403
2503, 2584, 0.075087540892236
2187, 2263, 0.06301303491572693
1468, 1722, 0.056082535972202266
944, 1167, 0.05076464055484097
1278, 1429, 0.043820795668459166
4449, 4592, 0.0424318252101709
179, 643, 0.035578170456271305
1527, 1722, 0.03356694162544642
2503, 2691, 0.029002381608132254
179, 388, 0.028890241149454404
2187, 2354, 0.028658769632240712
2503, 2675, 0.025784015239638983
2758, 2884, 0.01908693164957853
1320, 1722, 0.018815808213247975
3478, 3597, 0.01652443832612823
696, 860, 0.014732076638672752
3381, 3531, 0.014247345726630875
3478, 3819, 0.012930225476165232
1808, 2394, 0.012636759582834098
2187, 2348, 0.011457096482275997
2515, 2602, 0.011171120268967027
1069, 1172, 0.011100225046473584
2187, 2338, 0.01085043848310699
3089, 3213, 0.010301995800845365
3478, 3741, 0.01019368125660379
1808, 2078, 0.010117714695935483
756, 860, 0.009806303345250402
3294, 3363, 0.008963384895140413
1278, 1450, 0.008415745733746961
2163, 2394, 0.008089377624439734
486, 609, 0.007983469730219905
1808, 1960, 0.007329368001583923
2515, 2608, 0.007309328795626753
1463, 1722, 0.007257551756308613
3478, 3549, 0.006919711887757708
687, 860, 0.006630090036315949
944, 1032, 0.006315680405088394
3121, 3184, 0.006298162569638338
3284, 3363, 0.006178287394062
1278, 1566, 0.006164061896288691
1808, 2074, 0.006137646893731197
3448, 3531, 0.006120244954333169
4434, 4592, 0.005654443893991763
1808, 1932, 0.0055583143749525004
4320, 4403, 0.005496996242196651
3598, 3680, 0.005484987527958754
486, 587, 0.005307973122578757
3478, 3564, 0.005164199934219072
3214, 3283, 0.005085735598417493
3381, 3819, 0.005062911703067375
466, 609, 0.00505355821502758
3294, 3531, 0.004970218354890398
2187, 2316, 0.004821135534564068
179, 440, 0.004717185134118383
2306, 2394, 0.0046947926936908736
3089, 3283, 0.004616083426595533
4505, 4592, 0.004387660263276386
499, 609, 0.004198957898656841
3598, 3673, 0.004166768911970125
3381, 3741, 0.004103098144966491
3121, 3213, 0.004081024213557565
1073, 1167, 0.004010326211692595
1808, 2112, 0.0039045425649478984
2187, 2415, 0.0037985421475018625
944, 1050, 0.0037956109382298302
3478, 3673, 0.003787928220550101
179, 527, 0.003555253306340537
1325, 1722, 0.003521750537519784
3598, 3741, 0.0035091920463576976
696, 821, 0.003454630089292273
3598, 3819, 0.0032335810725824215
4379, 4592, 0.0032149684928450065
3190, 3283, 0.00317094855327205
4068, 4592, 0.0031471132111240687
179, 613, 0.0031171657656459246
1278, 1746, 0.0030916211641139895
1320, 1429, 0.0030762891604917647
3381, 3597, 0.0030759513233005746
3478, 3938, 0.003025878127228157
4068, 4161, 0.0030255355217063814
1069, 1192, 0.002950766409792152
1468, 1566, 0.002948404284359426
499, 587, 0.0028928347346523823
3478, 3802, 0.0028738543704860324
1522, 1611, 0.002855506440989503
2187, 2424, 0.0028464267674064504
3478, 3680, 0.0027971562596770436
4495, 4592, 0.002578129579481478
2187, 2373, 0.002500793726682039
2503, 2618, 0.002454382530665931
766, 860, 0.0024502376999104855
2214, 2394, 0.002368927296586845
1808, 2391, 0.00230472894775345
4320, 4595, 0.0022955795914473606
1372, 1722, 0.002258938635234876
3294, 3819, 0.0022290995231861697
2001, 2078, 0.0022060516063992794
935, 1020, 0.002186318286360993
2758, 3011, 0.0021306559160815357
3851, 3938, 0.002095969934047778
466, 587, 0.0018950274451402216
179, 401, 0.0018697842998325422
3294, 3741, 0.0018063696836134032
4068, 4216, 0.001736219433514422
1278, 1906, 0.0017318481221197124
3194, 3283, 0.0017165960060358467
1278, 1611, 0.001696137167795623
3478, 3829, 0.0016227388168105373
3381, 3495, 0.0015877727993984956
3478, 3568, 0.0015561604691767008
3089, 3243, 0.0015405676737718908
179, 668, 0.001539526373769534
4289, 4592, 0.001526946416295189
3381, 3673, 0.001480870106566954
2163, 2391, 0.0014758340160738652
696, 826, 0.0014670946384369964
2735, 2849, 0.0014088861927151505
1082, 1167, 0.0013953871454970024
3855, 3938, 0.0013839660882615933
1089, 1167, 0.0013688544172189173
2515, 2656, 0.0013642411621084117
2503, 2634, 0.0013427137710020215
3294, 3597, 0.0013228211957425954
3478, 3794, 0.0013153514509017224
687, 821, 0.0012848498774155142
2187, 2454, 0.0012731614794902122
135, 609, 0.001263335855708598
2758, 2855, 0.0012511951233168484
