Gene = Il31
index = 574
Annotated 5SS: [ 68 400]
Annotated 3SS: [ 247 1358]
SMsplice 5SS: [ 68 400]
SMsplice 3SS: [ 247 1358]
length: 1945
Partition function (logZ) = -4.90773859199436
#Introns = 1180
5SS, 3SS, prob
68, 247, 0.7675163155695954
400, 1358, 0.6508625521400438
68, 286, 0.10203166828180421
157, 247, 0.0771463547432693
400, 1035, 0.06182083993423069
400, 1843, 0.04043485223155593
400, 1417, 0.034162429880318326
1251, 1358, 0.02858792663340089
909, 1358, 0.024866000565339944
400, 1389, 0.018066792418484325
400, 844, 0.016106106901739508
68, 1358, 0.013971354329783456
400, 1162, 0.013304086984306258
400, 635, 0.012970082244969624
400, 1403, 0.009152543930189204
400, 682, 0.009104625686655848
157, 286, 0.006819195955703008
1145, 1358, 0.006640729203236522
68, 308, 0.006579366257121954
400, 490, 0.006490388537738916
400, 464, 0.006286696255616588
400, 962, 0.005433696915812435
400, 712, 0.0049759064167715856
909, 1035, 0.00475919528205811
560, 1358, 0.004434328774619915
1141, 1358, 0.0038525224500499384
400, 1056, 0.003742894959197818
1497, 1843, 0.0037424462484508913
1512, 1843, 0.003595138494992014
124, 247, 0.0033689117146126365
400, 723, 0.0031929391838548963
1229, 1358, 0.0031158951130667413
400, 1458, 0.0030110554542100974
400, 556, 0.0028565515573632325
400, 896, 0.002581792584037797
400, 1628, 0.002426104626376734
400, 469, 0.002415822054437442
400, 618, 0.002368201426959019
400, 868, 0.0022272774594780864
400, 1650, 0.0021701875986070104
68, 220, 0.0020270746387490517
400, 1360, 0.0020009071005857282
1481, 1843, 0.0019710276562027534
400, 1195, 0.0015534393663134232
400, 1631, 0.00154485955922618
909, 1843, 0.001520448803882532
160, 247, 0.0014717685355391979
909, 1417, 0.0013623610437436485
375, 1358, 0.001303286395121828
68, 1035, 0.0012858888877277843
1449, 1843, 0.001269516717850708
1203, 1358, 0.001062809681160205
639, 1358, 0.0010309226488212533
400, 1367, 0.0009299757950397798
68, 1843, 0.0008984201983969098
1251, 1417, 0.0007907925037971255
400, 1605, 0.0007863722325926958
68, 1417, 0.0007570652592513644
806, 1358, 0.0007248654308352047
320, 1358, 0.0007184647865339801
909, 1389, 0.0006931779247156777
404, 1358, 0.0006921259759245671
