Gene = Mur29B
index = 1294
Annotated 5SS: [ 185 1317 2618]
Annotated 3SS: [1143 1386 2690]
SMsplice 5SS: [ 185 1317]
SMsplice 3SS: [1143 1386]
top_k =  1000
Partition function (log Z): -8.03151483722151

Sorted 5' Splice Sites (High to Low Probability):
Position 1317: 0.9215731502918482
Position 185: 0.609694318983804
Position 2618: 0.5657566908536443
Position 906: 0.03851389934764559
Position 900: 0.02543317394325129
Position 5: 0.0223581628646929
Position 745: 0.02062347384382751
Position 970: 0.007843019984680871
Position 1321: 0.007346066496088733
Position 930: 0.006795943478295018
Position 963: 0.005178149353636518
Position 238: 0.00487697722537713
Position 1324: 0.004414262043585243
Position 821: 0.003357511797113347
Position 987: 0.002441031066280347
Position 732: 0.0016565785521080337
Position 556: 0.0015381464713150749
Position 1515: 0.0015001523292643775
Position 851: 0.00144985663553369
Position 30: 0.0009785188878620673
Position 575: 0.0008616400362857667
Position 1707: 0.0007878997598797685
Position 213: 0.0007138153594270926
Position 1505: 0.0006709902575203035
Position 1165: 0.0006349356999681085
Position 643: 0.0006324850429659383
Position 2631: 0.0006182095397578348
Position 2513: 0.0005625285333654698
Position 1899: 0.0005397320462325524
Position 98: 0.0005318360158412715
Position 1601: 0.0005098964688913207
Position 605: 0.0005009458145981549
Position 1803: 0.0004231318891733948
Position 403: 0.00039153001790972954
Position 625: 0.00035195807876048667
Position 281: 0.0003237367517827423
Position 375: 0.0003123626717833114
Position 1206: 0.0002717496199084481
Position 1015: 0.00023651348571822727
Position 715: 0.00023133062306470052
Position 2187: 0.00021456987602839946
Position 1995: 0.00017073472186137487
Position 2649: 0.0001655216347785813
Position 161: 0.000153432424902085
Position 817: 0.000148338869747529
Position 2283: 0.00010960246085810031
Position 1551: 9.380013684449944e-05
Position 795: 8.717307707656722e-05
Position 421: 8.23949929370269e-05
Position 898: 7.41953190733125e-05
Position 127: 7.211203890877472e-05
Position 652: 7.140007035168466e-05
Position 136: 6.478321908647279e-05
Position 1793: 6.107616142350555e-05
Position 1293: 6.011439204266476e-05
Position 1036: 5.937453171368559e-05
Position 125: 5.715158483845698e-05
Position 310: 4.6815613532096247e-05
Position 1985: 4.2795466506863886e-05
Position 22: 4.237660667772308e-05
Position 1280: 4.230262201490923e-05
Position 8: 4.1388264423362754e-05
Position 655: 3.937185405526381e-05
Position 2887: 3.902729951356718e-05
Position 1170: 3.591033613951485e-05
Position 25: 3.323830860654223e-05
Position 743: 3.0919143282876225e-05
Position 391: 2.5532760839045628e-05
Position 870: 1.654460515945027e-05
Position 770: 1.6385046610582987e-05
Position 1354: 1.528253748972316e-05
Position 1006: 8.073969005087594e-06
Position 381: 7.48444799778311e-06
Position 1197: 6.890299756417477e-06
Position 1743: 6.096233740066149e-06
Position 363: 2.613533173131118e-07
Position 365: 1.7425104754546024e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1386: 0.7753248300511457
Position 1143: 0.5538556510016163
Position 2690: 0.48566016731264233
Position 2692: 0.047546516591261426
Position 817: 0.04500755869261273
Position 2713: 0.03084333298617807
Position 757: 0.030493849211508325
Position 2410: 0.024236246686899308
Position 1438: 0.02241270411480829
Position 1221: 0.0141613448843403
Position 2314: 0.014099283764805475
Position 1034: 0.013594637936233663
Position 1546: 0.01305623300133445
Position 1642: 0.011209632829764221
Position 2095: 0.010710708768309722
Position 1015: 0.010624368879376176
Position 2122: 0.010203796720834829
Position 2026: 0.009611468306242424
Position 1615: 0.009284790656875349
Position 1738: 0.009183150341280597
Position 1834: 0.008290259585019853
Position 327: 0.007328360559550734
Position 2479: 0.0072885948496805
Position 2383: 0.0070060910074219345
Position 715: 0.0069347495070960444
Position 2287: 0.006486632082822604
Position 2512: 0.006346771104869302
Position 643: 0.005350778766895
Position 1165: 0.005295138055754019
Position 1519: 0.005155775179712385
Position 2740: 0.0047397592687503515
Position 1999: 0.004043219215438115
Position 878: 0.0036251270155460615
Position 372: 0.003467654301833312
Position 1930: 0.003328115385871434
Position 1462: 0.002774880009110561
Position 1450: 0.0027726019508063026
Position 105: 0.002708741818755923
Position 1807: 0.002653472746381168
Position 246: 0.002212340031714326
Position 555: 0.001967924661718662
Position 1711: 0.0017041029841233706
Position 310: 0.001569989385770812
Position 2191: 0.0014913537484529905
Position 2206: 0.0014446545810618441
Position 2768: 0.0011159864467399276
Position 513: 0.001024953438546924
Position 459: 0.0010040961410456755
Position 1903: 0.0009314582384998431
Position 655: 0.0008628309752794483
Position 2218: 0.0008265879874586729
Position 2771: 0.0007996318932925702
Position 2443: 0.0007956295417799922
Position 517: 0.0007834878567773632
Position 2600: 0.0007086748334013018
Position 490: 0.0005680091483652058
Position 2583: 0.0004760229738088396
Position 1277: 0.00047295710126344823
Position 1579: 0.0003816263956729318
Position 2347: 0.0003768369717503294
Position 1675: 0.00037228557407660443
Position 2251: 0.000365180000825538
Position 1771: 0.0003363925163684491
Position 2155: 0.0003323461674964568
Position 2162: 0.00033198633222631454
Position 1867: 0.00031189326897751804
Position 1682: 0.00030893840112424745
Position 2552: 0.0002994352778946974
Position 1963: 0.0002862521186453607
Position 2450: 0.0002576000643745155
Position 1778: 0.0002502891196099441
Position 668: 0.0002464641814311206
Position 1874: 0.0002440966781394794
Position 830: 0.0002314495829478352
Position 2059: 0.00022843859489227842
Position 2453: 0.00021477324665180103
Position 439: 0.00021471199237604755
Position 2354: 0.00019822262468536112
Position 375: 0.00019465246799261926
Position 950: 0.00018114109572431794
Position 2525: 0.00017920739796797687
Position 2258: 0.00015535890917988012
Position 1483: 0.00013856386694387462
Position 1586: 0.0001290910453280839
Position 1970: 0.00011789001193685149
Position 2261: 0.00011159996552044798
Position 2066: 9.576633750179805e-05
Position 905: 9.145781854227723e-05
Position 1493: 8.55131061566122e-05
Position 1589: 8.195198543678431e-05
Position 136: 7.917243069148223e-05
Position 1973: 7.280674797708928e-05
Position 2357: 6.919031116334679e-05
Position 2069: 5.855442327284612e-05
Position 2937: 5.1077833401139867e-05
Position 884: 5.106233575858142e-05
Position 2826: 5.067140555474569e-05
Position 930: 4.3774924868199215e-05
Position 381: 4.114129642466809e-05
Position 421: 4.0492879982174055e-05
Position 770: 3.4963838004989996e-05
Position 947: 3.323091977315153e-05
Position 966: 3.281779627334166e-05
Position 184: 3.0318622469637873e-05
Position 213: 2.8783880421350095e-05
Position 1036: 2.5873914744427738e-05
Position 109: 1.8600883503586932e-05
Position 391: 1.5843697564109883e-05
Position 403: 1.2796331311786492e-05
Position 777: 1.232795639055077e-05
Position 898: 9.835548458903937e-06
Position 1490: 6.9232013791279664e-06
Position 1496: 6.2381833303773635e-06
Position 522: 6.188102507432467e-06
Position 1688: 5.7693158602211225e-06
Position 973: 4.801992918158012e-06
Position 844: 4.6684142579126784e-06
Position 115: 1.7718256763361544e-06
Position 225: 1.441777792014217e-09
Position 277: 8.868349258693385e-10
Position 281: 1.6379098317657433e-10
Position 248: 6.163210613997726e-11
Position 238: 5.493165851930564e-11
Position 524: 9.141977147008371e-12
Position 250: 2.5090073560913088e-15
