Gene = RpS12
index = 1447
Annotated 5SS: [ 42 174 515]
Annotated 3SS: [ 130  379 1017]
SMsplice 5SS: [ 42 515]
SMsplice 3SS: [ 130 1017]
top_k =  500
Partition function (log Z): -1.6229561131405794

Sorted 5' Splice Sites (High to Low Probability):
Position 515: 0.9146369491563767
Position 42: 0.7279310130937598
Position 174: 0.3385664576958712
Position 585: 0.08187453248669814
Position 323: 0.077560068737727
Position 970: 0.02510220540085922
Position 80: 0.01638729244829666
Position 250: 0.009403019583744066
Position 837: 0.008310570303810095
Position 178: 0.00830458305159208
Position 311: 0.006904462035945391
Position 97: 0.005255736141140083
Position 896: 0.004243548705085734
Position 709: 0.00399504679538202
Position 955: 0.00353219591096595
Position 788: 0.002953013214257794
Position 544: 0.0022716671054816796
Position 597: 0.0022490696709363983
Position 547: 0.0012479621512978237
Position 316: 0.0008195834333656867
Position 233: 0.0006582156268216595
Position 321: 0.0004929697465437544
Position 359: 0.0003372960975438294
Position 1193: 0.00032424074835939594
Position 254: 0.00030072896782075106
Position 519: 0.0002501198315268582
Position 1230: 0.00024677693956337744
Position 880: 0.00020875873547158088
Position 1320: 0.00019714785039965342
Position 31: 0.00018564779000696473
Position 1326: 0.00014081606093980067
Position 900: 0.00011598534376608231
Position 707: 8.890954816832138e-05
Position 379: 6.72206569029035e-05
Position 815: 6.304711185949993e-05
Position 184: 5.450492761108705e-05
Position 256: 4.151468266294818e-05
Position 172: 3.804289855328891e-05
Position 538: 3.2592054926183734e-05
Position 713: 3.243707020516522e-05
Position 777: 2.0627183612229768e-05
Position 34: 1.830225022211842e-05
Position 166: 1.5485952455741387e-05
Position 1155: 1.536738302594223e-05
Position 1253: 7.83287409222343e-06
Position 627: 7.3133783622501926e-06
Position 15: 6.152796108857426e-06
Position 612: 5.5775726749881e-06
Position 1256: 4.831399504492733e-06
Position 345: 4.778247097398517e-06
Position 365: 2.8072869243296277e-06
Position 135: 2.133935347925734e-06
Position 444: 1.0991685971858665e-06
Position 130: 6.375802477144843e-07
Position 340: 3.7807156950416145e-07
Position 384: 2.0105372587850663e-07
Position 402: 3.405186532523825e-09
Position 697: 2.59808430487267e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1017: 0.9467450211133818
Position 379: 0.5822659751229069
Position 130: 0.5363967687896406
Position 668: 0.04490516559345987
Position 740: 0.03395673101811058
Position 135: 0.031136585374016992
Position 152: 0.019019670274093445
Position 440: 0.017992761641178773
Position 567: 0.012410153362508947
Position 1043: 0.007097501142966946
Position 691: 0.0036068255089518417
Position 653: 0.0029436728917597924
Position 815: 0.0013693280292198125
Position 443: 0.0009601629514293631
Position 359: 0.0008356928644694094
Position 301: 0.0008278913450447354
Position 1380: 0.000766152553633306
Position 825: 0.0006832010959182193
Position 837: 0.00044576248809740537
Position 627: 0.0002878121644517459
Position 612: 0.00022663893653693823
Position 1075: 0.00010116274108879209
Position 953: 8.669787638539724e-05
Position 1261: 7.966517927710497e-05
Position 1337: 7.756674284432611e-05
Position 494: 7.610214630427615e-05
Position 707: 7.298205883550012e-05
Position 455: 7.076730093090522e-05
Position 1276: 2.354273986759085e-05
Position 305: 2.1149130119393186e-05
Position 583: 1.028676247414331e-05
Position 1105: 1.0062639613308396e-05
Position 1395: 8.155203254154192e-06
Position 1399: 7.79063678840556e-06
Position 1135: 5.6088267604192644e-06
Position 1222: 5.466611457888345e-06
Position 452: 2.440571847181505e-06
Position 77: 1.7669558647289917e-07
Position 178: 1.1814281630864023e-07
Position 316: 1.0060177535241013e-07
Position 311: 8.861692295564373e-08
Position 79: 4.111585621282811e-08
Position 591: 3.4904722078594306e-08
Position 503: 4.4178110572290866e-10
