Gene = Ncstn
index = 734
Annotated 5SS: [  195  1584  7391  7881  8523 10019 10330 10675 11331 11545 12820 14034
 14234 14610 15007 15465]
Annotated 3SS: [ 1478  7266  7758  8376  9867 10219 10521 11225 11466 12646 13930 14137
 14521 14851 15251 15998]
SMsplice 5SS: [  195  1584  7170  7391  7881  8523 10019 10330 10675 11331 11545 12820
 14034 14234 15007 15465]
SMsplice 3SS: [ 1478  7054  7266  7758  8376  9933 10188 10521 11225 11466 12646 13930
 14137 14851 15251 15566]
length: 16783
Partition function (logZ) = 29.792018490644097
#Introns = 3155
5SS, 3SS, prob
7881, 8376, 0.9372139003371579
14034, 14137, 0.9097599216465224
7391, 7758, 0.861457867134793
10675, 11225, 0.8309741669569285
7170, 7266, 0.6880706304501274
10330, 10521, 0.6189278352616978
11545, 12646, 0.589723821937441
11331, 11466, 0.582340346449287
8523, 9933, 0.5657412258883412
10019, 10188, 0.5589831681435758
15465, 15566, 0.5330525283589852
195, 1478, 0.5177228405263854
12820, 13930, 0.4592219890290091
11331, 11433, 0.3501310016181932
14234, 14521, 0.33953584393126074
15465, 15998, 0.2778938495281333
15007, 15251, 0.2750470558862023
1584, 7054, 0.2672591221992646
12820, 13043, 0.2644053031647331
10019, 10219, 0.24993410003748814
14234, 14851, 0.2431005230149934
13481, 13930, 0.22552156736117096
3598, 7054, 0.21836879722632901
8523, 9867, 0.20675678561175717
13210, 13930, 0.1948228472760028
15007, 15330, 0.1901604126928127
14610, 14851, 0.17928295478193385
1584, 3484, 0.1669220959459387
14234, 14888, 0.14759027879695683
10330, 10593, 0.10148866580885672
195, 7054, 0.09916937731196228
15017, 15251, 0.09875202647024751
14610, 14888, 0.0940620173788592
1584, 7266, 0.09071947046574952
11545, 12698, 0.08248811867805071
10330, 10558, 0.08132540738466852
3598, 7266, 0.07826522390864209
15771, 15998, 0.07720768880368072
13210, 13324, 0.06843317844791118
8523, 10188, 0.06560692125643046
15017, 15330, 0.06490127119289917
7589, 7758, 0.0639010863700822
195, 3484, 0.06360110082411038
12820, 13324, 0.06258908413037104
14234, 15251, 0.058689793141139784
195, 404, 0.058521497738533615
14234, 14916, 0.05802171979646726
12820, 13267, 0.05667598048456471
16257, 16326, 0.054977672885489534
15883, 15998, 0.051670504618247896
10675, 11248, 0.051574301231756575
11652, 12646, 0.04823124413679517
15007, 15295, 0.04748855108532269
10330, 11225, 0.04710160725235845
2358, 7054, 0.04593597861481074
485, 1478, 0.04352872332972954
14234, 15330, 0.043195172636356124
11331, 12646, 0.041534755757887606
195, 1535, 0.04045686474640822
7391, 7473, 0.03914375808311327
14610, 14916, 0.03812633033451934
14610, 15251, 0.03810843267339066
16257, 16594, 0.03676776374255654
10019, 10521, 0.03569781214019418
11847, 12646, 0.03562980593562544
15465, 16594, 0.03541615229366075
10721, 11225, 0.03515371781710748
11656, 12646, 0.03408702889720988
7391, 8376, 0.033488436020294256
12820, 12955, 0.03276361060724409
8523, 10219, 0.03259489059119071
11545, 12621, 0.03258061278699038
15465, 16326, 0.03250820975181106
195, 7266, 0.03062223542870397
11600, 12646, 0.028127502191914473
14610, 15330, 0.02588675335528552
195, 861, 0.025828027481095542
2358, 3484, 0.024945456802387442
15465, 16166, 0.02490636857808718
14234, 14330, 0.024659109467970397
12820, 14137, 0.023859015045105614
14981, 15251, 0.023253025749874826
10330, 10671, 0.02294572767130154
12820, 12997, 0.022523095582541768
1584, 2271, 0.022365048235135385
7160, 7266, 0.021789209792461767
5534, 7054, 0.021263208254669957
1584, 2131, 0.021244755794169606
12820, 12930, 0.020560574872611388
7391, 7481, 0.019341558286880334
8523, 9734, 0.018485813322267758
11545, 11737, 0.01828671123024303
1584, 1918, 0.017560983890750375
10330, 10446, 0.017544819014108214
14981, 15330, 0.01741507728073963
16257, 16363, 0.0166496879765026
12820, 13213, 0.016431089721911523
6861, 7054, 0.01638438140764992
13117, 13930, 0.01629964948332327
2358, 7266, 0.016231679290161487
15017, 15295, 0.01600795502452861
11545, 12624, 0.015759562379449914
1584, 3089, 0.015656814346628228
195, 1372, 0.015319325697892544
195, 1368, 0.015279955624946454
6597, 7054, 0.015181278491453992
13214, 13930, 0.014993197923650099
10330, 10443, 0.014671130218201963
1584, 3415, 0.014582376727009455
975, 1478, 0.013665180455332673
7391, 7508, 0.013614344168723017
15683, 15998, 0.013372511508110115
15465, 15904, 0.013006177622967042
8523, 9962, 0.012965439458171768
16257, 16469, 0.012926388400650987
1584, 5425, 0.012713536502198374
13481, 14137, 0.012302245011730393
8523, 9770, 0.011704898211143271
14234, 15295, 0.011012771231473114
11545, 11741, 0.010834661946943372
2043, 7054, 0.010770216648526877
7170, 7302, 0.010633893913597802
8523, 8826, 0.010529699327472001
13210, 14137, 0.010491432404200852
3360, 3484, 0.010488700847505986
10330, 10480, 0.01043083644568281
7391, 7760, 0.010294571228661113
15465, 16469, 0.010248140658497275
862, 1478, 0.01010073538381508
1015, 1478, 0.010084844636404366
643, 1478, 0.009991386334199694
1584, 6780, 0.009566497463647508
14034, 14521, 0.00946784100206843
3145, 3484, 0.009427803808367316
15465, 16024, 0.009357113767535823
195, 518, 0.009334651800246941
10675, 10821, 0.009112160769785289
5534, 7266, 0.009092777814354362
15465, 15620, 0.009040689619572016
2043, 3484, 0.008900047907869264
195, 2271, 0.00889501063470135
3145, 7054, 0.008613676190852211
13007, 13930, 0.00855525035485766
195, 2131, 0.008422640990788861
195, 761, 0.008350757948044268
15108, 15251, 0.008137178583846607
1584, 2214, 0.008134884691204566
15771, 16326, 0.00799698156795025
7611, 7758, 0.007949153724232803
8511, 9933, 0.007878599944184585
3598, 5425, 0.0078073618808266075
14298, 14521, 0.007731655309832709
12820, 13069, 0.007730356248919003
485, 7054, 0.007690195625639711
11545, 12676, 0.0076149928685122084
10019, 10593, 0.007457404858284457
15771, 16594, 0.007259146950399195
11545, 12678, 0.007017391885731452
14610, 15295, 0.00697131403822142
8523, 9877, 0.006963939159945432
1584, 7014, 0.006945237920901026
11126, 11225, 0.006842506305412243
16172, 16326, 0.006832020128861761
14054, 14137, 0.006804674418082432
6597, 7266, 0.006779575699288376
14034, 14851, 0.0067073041084802386
1584, 6448, 0.006595619908532392
11652, 12698, 0.006548738072498782
195, 1499, 0.0063493564495505465
15007, 15998, 0.006318361388287685
1584, 1874, 0.00626752926303584
485, 3484, 0.006247768730590076
11572, 12646, 0.006191585159261113
8523, 10521, 0.006066377908696464
14234, 14858, 0.006049581114610221
3598, 6780, 0.005920614638461411
13214, 13324, 0.005725433277677665
11331, 12698, 0.005698462782593214
12820, 13404, 0.005657125781866491
15007, 15370, 0.005650492607572455
15771, 16166, 0.0056483663286853916
10042, 10188, 0.005544275110780471
7881, 8493, 0.005517128020012614
15465, 15534, 0.005471769771506065
195, 451, 0.005377336681535377
15738, 15998, 0.005366623847206586
1584, 3035, 0.005331216593339657
12820, 13794, 0.005308390001470519
10019, 10558, 0.005277666821985906
15771, 15904, 0.005266662953823681
14916, 15251, 0.005237470519186067
7170, 7758, 0.005183785225891918
15465, 16363, 0.005174211411496279
195, 3415, 0.005147746389335939
8523, 9814, 0.005140300949914984
2043, 7266, 0.005133853203027559
7881, 8146, 0.005119951149249157
12820, 13079, 0.005075850393902758
15007, 15078, 0.004971435773163923
11545, 12673, 0.0048884751035836674
8853, 9933, 0.004817322333903925
7881, 9933, 0.004764969868651596
14298, 14851, 0.004733448512688215
195, 3089, 0.004718788736839184
11656, 12698, 0.00462417232202639
16172, 16594, 0.004607253329989159
8523, 9217, 0.004518173137720649
11847, 12698, 0.0045162828267752975
14981, 15295, 0.004430565785450228
11331, 11437, 0.004419851755404851
195, 1918, 0.004418438938726439
1584, 7100, 0.00441816789647244
6861, 7266, 0.004279068665378006
14610, 14858, 0.00426268653130384
10108, 10188, 0.004236963183237951
10330, 10417, 0.004225920117414875
15108, 15330, 0.004199665781982564
3145, 7266, 0.004196210542481973
1584, 2247, 0.004170029195911376
