Gene = EEPD1
index = 481
Annotated 5SS: [   526   2054  85888 128077 131672 134629 144039]
Annotated 3SS: [   983  85835 127965 131536 134489 143843 145857]
SMsplice 5SS: [   526   3301   4444  11657  14476  23386  25648  27388  29102  39044
  59502  72621  85994  99985 116872 128077 131672 134629 144039]
SMsplice 3SS: [  3262   4346  11504  14359  23258  25439  27295  28996  38923  59386
  72553  85835  99859 116760 127965 131536 134489 143843 145857]
length: 148395
Partition function (logZ) = -59.98038833170937
#Introns = 2605
5SS, 3SS, prob
11657, 14359, 0.7654252958375947
27388, 28996, 0.7121297796650341
25648, 27295, 0.5745603675310019
22641, 25439, 0.31665548999880205
4444, 4654, 0.3029589145102068
4084, 4346, 0.2837586603642071
3301, 4018, 0.27743736318551965
11231, 11504, 0.24117950049361092
3301, 4346, 0.21894359249947315
29102, 32921, 0.2124042755170243
25631, 27295, 0.20123231460918034
19107, 25439, 0.1899744293105225
14476, 18093, 0.17389294543802308
2054, 3262, 0.1735777120682283
14476, 18915, 0.1610254885552666
11332, 11504, 0.15849091682783906
4444, 11110, 0.15132402787140103
4084, 4194, 0.14612966641301733
25666, 27295, 0.13968037998618402
14476, 25439, 0.1350420944545821
8537, 11110, 0.12848823863478684
8537, 11504, 0.11932514819800312
19107, 22511, 0.11053949397247549
14476, 22511, 0.10215534736011848
29102, 31153, 0.0936053393800884
4444, 11504, 0.08901749739542646
20793, 25439, 0.0889282000196993
526, 3262, 0.08783542283858792
4444, 8249, 0.08343432821434292
18246, 18915, 0.07765193349017485
18246, 25439, 0.07470395841895905
20933, 25439, 0.07246499058042322
14476, 20657, 0.07234734984986788
19107, 20657, 0.0706720065657974
1422, 3262, 0.06748714122716151
4777, 11110, 0.06701504570010182
27388, 32921, 0.06553243587263105
550, 3262, 0.0648651015080682
8153, 8249, 0.05692566103190156
4777, 11504, 0.05413967732224571
29102, 32508, 0.053316127001743006
27388, 28937, 0.05283461251262542
4818, 11110, 0.05202166262125871
3301, 4194, 0.05147181368033774
11657, 18093, 0.050970920628771246
2144, 3262, 0.04936802048728396
20793, 22511, 0.048285732456267445
18246, 22511, 0.047365630992480784
29102, 29740, 0.04660961200984548
29097, 32921, 0.04581140402610416
526, 983, 0.045394479738591995
11657, 18915, 0.04377713221284328
22641, 27295, 0.04343378605844677
619, 3262, 0.04341623639774823
526, 1213, 0.043296446438366144
29102, 36375, 0.04200413432808182
4818, 11504, 0.041839519240321844
29102, 40443, 0.04065637159928839
32668, 32921, 0.038377811575562956
2054, 4018, 0.03811905298620303
3301, 3728, 0.037810956614555795
4777, 8249, 0.03760053049140309
526, 1237, 0.03605461143476771
4084, 4654, 0.035885945596148335
29854, 32921, 0.0358389329469974
20933, 22511, 0.0349601032890675
550, 983, 0.034665130551794474
526, 1982, 0.03368426312429443
3301, 4654, 0.033589392178091156
27388, 27692, 0.033402322326437854
18246, 20657, 0.03300665128480074
2054, 4346, 0.032587689839758224
550, 1213, 0.03237498674101404
11177, 11504, 0.03233134989397704
1404, 3262, 0.031025989823805934
3901, 4018, 0.03077697934969567
29102, 36320, 0.03011312112007347
4818, 8249, 0.02900996545495171
27388, 31153, 0.028551537983977703
4313, 4654, 0.02835983374022389
29102, 31975, 0.02772009491958823
14476, 16559, 0.02759994574966201
3301, 3933, 0.025742177634192103
550, 1982, 0.02481295755746737
4444, 7997, 0.024382531685159158
619, 983, 0.02435735057948774
11657, 25439, 0.024158927578434332
4934, 11504, 0.02413200031908544
2306, 3262, 0.024005628537272165
550, 1237, 0.023210825163083707
25648, 28996, 0.02314485974108997
24224, 25439, 0.023024289813345967
11657, 22511, 0.02244772090753101
619, 1213, 0.0224337825667618
8153, 11504, 0.02117477450472882
4444, 11049, 0.02114928128895496
16793, 18915, 0.021139452230767283
4444, 7875, 0.0205991203692822
1422, 1982, 0.020531485634558064
29102, 34142, 0.020489714024942943
29097, 31153, 0.0202540651800654
3018, 3262, 0.020032932499406443
16793, 18093, 0.017725437314667157
18557, 18915, 0.017718291293196572
29102, 33741, 0.01728876629767874
4444, 6616, 0.017164576476138293
4934, 8249, 0.01668498734677119
11657, 20657, 0.016599741342896067
619, 1982, 0.016577577796585447
526, 2053, 0.016555352667674755
3301, 4050, 0.01652816613926903
29102, 33833, 0.01643836116444059
11351, 11504, 0.016432327315548216
18561, 18915, 0.016411576133607914
29102, 34672, 0.016342041817875137
619, 1237, 0.016231890373889796
6687, 11504, 0.016203342877358813
8302, 11504, 0.016112772899872955
29854, 31153, 0.015768816951755176
22749, 25439, 0.0156910285043552
31385, 32921, 0.015610132493250443
9134, 11504, 0.01542950329966256
29102, 30432, 0.01534085667076606
5007, 11504, 0.015242026713498339
16793, 25439, 0.015131608238556027
17916, 18093, 0.014499470935555495
14476, 16508, 0.014429979158808297
8537, 11049, 0.014425647678643157
4460, 4654, 0.014333021455626673
19107, 20772, 0.01410043747545951
4084, 8249, 0.01397266848649402
1422, 4018, 0.013910318935630961
14476, 17791, 0.013865296318576243
526, 4018, 0.013727249106996435
3901, 4346, 0.013670641126724805
9857, 11504, 0.013597385781508861
14476, 20772, 0.013031291334701243
526, 1856, 0.012913004705764548
14476, 18430, 0.012829587250604645
19107, 22478, 0.012790359881078328
1141, 3262, 0.012579120665764535
3301, 8249, 0.012484692144545258
32564, 32921, 0.012423027371655314
11657, 14432, 0.012137687693175208
550, 2053, 0.012109480937345667
11673, 14359, 0.012039461521986879
18246, 18346, 0.011848692170271298
22641, 24139, 0.011645777402482986
999, 3262, 0.011324828188025209
1422, 4346, 0.011031461481523447
1093, 3262, 0.010999304537347886
14476, 18156, 0.010930539056361281
2401, 3262, 0.01083366815490209
4313, 11504, 0.010792366696784534
4084, 11504, 0.010769997049496398
2144, 4018, 0.010757417491430101
3129, 3262, 0.01064702132785173
4444, 7919, 0.010411275643516321
1141, 1237, 0.010408213268478043
4885, 11504, 0.01038864752538269
550, 4018, 0.010111951928882265
14529, 18915, 0.010025089492773781
2054, 2230, 0.009918710540376805
4313, 8249, 0.009870171622514884
11711, 14359, 0.009732560940715628
1422, 2053, 0.009727136331006336
16793, 20657, 0.00967239330923561
2144, 4346, 0.009548779449425697
6687, 8249, 0.009519995068979032
550, 1856, 0.009512152203573591
27388, 29740, 0.009506949700644435
2054, 2914, 0.009435658780214939
5007, 8249, 0.00930185466912561
14476, 22478, 0.00925193826545942
4444, 11077, 0.00921837885121839
3301, 11110, 0.00913834982382831
149, 3262, 0.00911310834234606
555, 3262, 0.009055381541228428
18441, 18915, 0.009035957413494106
1404, 1982, 0.00898362731301097
29102, 34269, 0.008979987436929269
526, 1599, 0.008968376144852484
27388, 28778, 0.00891667153851159
14476, 16203, 0.008852144853865207
27388, 31975, 0.008524967211741109
1758, 3262, 0.008524395351826575
1422, 1856, 0.008457140442014706
2054, 2183, 0.008448713749917656
1672, 3262, 0.00844790889588736
8506, 11504, 0.008431859149284794
1093, 1213, 0.008414460818056501
29102, 30960, 0.008393928811090273
29102, 30575, 0.008327402784097349
11657, 16559, 0.0083139603957
17916, 18915, 0.008200371754164066
16280, 18915, 0.008132267570667684
619, 2053, 0.008088871744468928
18246, 18430, 0.008066919827530994
4777, 7875, 0.007943015916580263
1141, 1213, 0.007924565604227253
18291, 18915, 0.007910961311366467
14476, 16173, 0.007890479084471429
3301, 11504, 0.007767571176881075
8414, 11504, 0.007751370263631695
29097, 29740, 0.007732433637355306
11657, 14223, 0.007623707497410397
31016, 31153, 0.007616198025009171
29102, 31200, 0.007568480570578278
1341, 3262, 0.007512371431164711
4777, 6616, 0.0073752648136838714
8250, 11504, 0.007348943101654071
2054, 4194, 0.007341901132014796
4885, 8249, 0.007292430316553974
4777, 7997, 0.007277109569532441
19107, 24139, 0.007244805614828646
14476, 18460, 0.007199503383590141
526, 2914, 0.007086571550762109
25648, 32921, 0.00695406023124356
14476, 18346, 0.006907261725648296
27388, 36375, 0.00689013821135075
8493, 11504, 0.006769860671398508
619, 4018, 0.006755811732162088
1422, 1599, 0.006738373600909741
31016, 32921, 0.006725821184304155
550, 1599, 0.006616086470704194
4444, 9740, 0.00661185719875249
16294, 18915, 0.006564710848363043
31380, 32921, 0.006469322422545426
1404, 4018, 0.006442443458576604
619, 1856, 0.006355084548163802
526, 1881, 0.006303634433482398
7201, 11504, 0.006238169861623998
1720, 3262, 0.006226108147530442
2144, 2230, 0.006223982422602484
4818, 7875, 0.006137523163663389
526, 1613, 0.00613143917548462
526, 1922, 0.006024177400900744
4818, 4908, 0.005937007343215032
29102, 32947, 0.005932823481436799
16833, 18915, 0.005834908241928542
29102, 30788, 0.005813405450529352
2054, 3728, 0.005791830571809462
29097, 31975, 0.005755552750398515
6754, 11504, 0.005700698692114788
4818, 6616, 0.00568196164936174
919, 3262, 0.00552420830199931
8272, 11504, 0.005523569217196986
999, 1213, 0.005517511880048319
18729, 18915, 0.0054854572312530055
526, 1744, 0.0054015209738219145
18557, 20657, 0.005383615525029381
2306, 4346, 0.005282876265251117
3301, 3633, 0.005278105166705796
550, 2914, 0.005229508374626745
2306, 4018, 0.005119167294872884
1404, 4346, 0.005089342513319968
8537, 8984, 0.005065343356964517
555, 983, 0.004983638457768019
1455, 3262, 0.004975675959110227
8537, 9740, 0.004931557642615264
4444, 4908, 0.004888359149148013
18561, 20657, 0.004886705031252783
526, 1895, 0.00486976121795963
1707, 3262, 0.00480926530745172
4444, 8984, 0.0047609373515975235
27388, 30432, 0.0047330671831397495
27388, 34142, 0.004660796069711137
29102, 31606, 0.004651260164401903
550, 1881, 0.00464346846711868
4444, 5371, 0.004591101868725291
1422, 1613, 0.004590212116067208
555, 1213, 0.004570868987653041
619, 1599, 0.00454606488214084
550, 1613, 0.00452338090200692
550, 1922, 0.004437611047498141
1093, 1237, 0.004436858187005959
4777, 4908, 0.004435516616136051
5610, 11504, 0.0044205538213664165
29854, 31975, 0.004366176501023154
11657, 17791, 0.0043545661645484676
1404, 2053, 0.004350926584230162
11657, 16508, 0.004346576956103019
4444, 7130, 0.0042397655940800884
149, 983, 0.004231069926963056
18246, 18460, 0.0041683463420147185
14476, 24139, 0.004155732083024419
2054, 4654, 0.004149963403375314
4988, 11504, 0.004127442245316997
16078, 18915, 0.004110413460685193
149, 1213, 0.0040393602824424545
999, 1237, 0.004023414827632052
550, 1744, 0.003979159960879673
1422, 1744, 0.003952391833296403
3301, 7875, 0.0039405865596072055
27388, 33741, 0.003932676362016713
4444, 4700, 0.003891093646215348
29102, 29721, 0.0038518365701544245
8020, 8249, 0.0038360508523197423
526, 2230, 0.003793870802937807
8537, 11077, 0.003787783340879364
1422, 1881, 0.0037675163987901986
8077, 8249, 0.0037595711162674308
3901, 4194, 0.0037550219798675754
27388, 33833, 0.0037392346723067365
1422, 2914, 0.003683168971367869
4777, 7919, 0.0036561850842802657
213, 3262, 0.003594935763603219
1404, 1856, 0.0035920138285222246
550, 1895, 0.003587229382764272
14476, 15969, 0.0035675013293639244
2273, 3262, 0.003558960262318138
2054, 3933, 0.0035500428654441636
149, 1982, 0.0035327511056832527
3301, 4075, 0.0035263147993899245
555, 1982, 0.0035103729650077273
1141, 1982, 0.003508845548136237
619, 2914, 0.003492363462743022
1758, 1856, 0.003491063555189117
4084, 7875, 0.0034883520534589514
4460, 8249, 0.0034709684744047334
11231, 11453, 0.0034405417643216516
7201, 8249, 0.0034182974177469822
11332, 11453, 0.0034140203277823818
3301, 3712, 0.003406023691436009
1758, 1982, 0.003380825920635871
140, 3262, 0.0033424133871799272
526, 4346, 0.0033422045068940347
2098, 3262, 0.003299235428007208
4934, 6616, 0.003279835495687682
555, 1237, 0.003271233807880908
999, 1982, 0.0032372329604104457
14476, 18557, 0.003236685105237467
29097, 30432, 0.003193784875198628
