Gene = Taf4
index = 1545
Annotated 5SS: [ 154  930 1632 2619 3408 4897 5188 6189 6420 6606]
Annotated 3SS: [ 672 1099 2456 2819 4332 4959 5294 6245 6479 6701]
SMsplice 5SS: [ 154 1014 1509 2619 3030 4897 5188 6189 6420 6606]
SMsplice 3SS: [ 201 1099 2456 2819 4332 4959 5294 6245 6479 6701]
top_k =  500
Partition function (log Z): 34.335343278377124

Sorted 5' Splice Sites (High to Low Probability):
Position 4897: 0.9996070481360656
Position 5188: 0.9988048593340986
Position 6189: 0.9982614439708721
Position 6420: 0.9974164443148298
Position 2619: 0.9772095155232671
Position 6606: 0.9200001505817044
Position 154: 0.9011045492836608
Position 3030: 0.7842187752673664
Position 1014: 0.5286021710843962
Position 1509: 0.4115042240885159
Position 1206: 0.36605144805006207
Position 1845: 0.26003473808516864
Position 999: 0.11667965311522067
Position 3408: 0.10305922157870814
Position 1632: 0.09473101975830611
Position 3874: 0.08636638235176966
Position 5418: 0.0777080397598403
Position 2925: 0.06686194920949211
Position 343: 0.04331655281750867
Position 254: 0.041229387060856854
Position 930: 0.031882122163282324
Position 1443: 0.027991804027369227
Position 6610: 0.025632596144072282
Position 2343: 0.02456244978476471
Position 880: 0.023491088092819058
Position 5023: 0.0231968679444484
Position 7229: 0.020659618527068456
Position 3620: 0.020440408280679945
Position 1513: 0.017967793576971473
Position 2661: 0.014601211665985256
Position 287: 0.014455198587795709
Position 8070: 0.013098716440875614
Position 4516: 0.01196464236959547
Position 6591: 0.011697881502550127
Position 1752: 0.008516373457954172
Position 3901: 0.007381676539252117
Position 3777: 0.007205539956168792
Position 3130: 0.006936108002425825
Position 3557: 0.006719169123249554
Position 44: 0.005635156302474639
Position 7265: 0.005075613086635427
Position 1866: 0.004900138369587291
Position 1009: 0.004639704660671445
Position 6012: 0.004042617162302521
Position 2623: 0.0036344462792593764
Position 2914: 0.0035261049537706527
Position 5485: 0.003418405214441236
Position 4003: 0.003226822730996776
Position 2598: 0.0028567079890471202
Position 6615: 0.002660254215635294
Position 4553: 0.0024369460525324885
Position 3153: 0.0017192056520718092
Position 7554: 0.0016508589266454356
Position 5929: 0.0015057568851056353
Position 3626: 0.0014662799944303345
Position 8261: 0.0014302735901503723
Position 5605: 0.001378831260106133
Position 3792: 0.0013123264795193346
Position 963: 0.0012277925718687463
Position 961: 0.0011997545172424415
Position 5510: 0.0010462123917301498
Position 1773: 0.0010417350334366669
Position 648: 0.00102647522773265
Position 1420: 0.0010241761113288011
Position 1036: 0.0010060345019780386
Position 6638: 0.0009152372028872334
Position 1164: 0.0008814311265726638
Position 7026: 0.0007735224915907902
Position 1153: 0.0007505294835997221
Position 5173: 0.0007369063584059258
Position 7272: 0.0007275424377442173
Position 6424: 0.0006846556366284375
Position 48: 0.0006821457769916575
Position 3157: 0.0006264318284670326
Position 4507: 0.0005653852467972362
Position 1903: 0.0005642282115060468
Position 7575: 0.0005277078221310413
Position 3034: 0.0004974992302950651
Position 2725: 0.00046521884380416916
Position 4608: 0.0004624899747621639
Position 5888: 0.0004606319265167643
Position 4546: 0.00044437302723299735
Position 6857: 0.00041682864604369364
Position 874: 0.0004057767534021079
Position 719: 0.0004055104065636293
Position 5180: 0.00038817041401036285
Position 369: 0.00037669040684194246
Position 2652: 0.0003664623997920735
Position 6384: 0.0003364847067530486
Position 721: 0.00032682318268649035
Position 717: 0.0003259547538654814
Position 7285: 0.0003189574235444709
Position 258: 0.0003187018799591628
Position 5574: 0.00030458280198006446
Position 1605: 0.000300709924274438
Position 755: 0.00028743047700448174
Position 1952: 0.0002664063489933421
Position 131: 0.00025696538991135353
Position 5383: 0.00021650117154414065
Position 5893: 0.00021360316850925194
Position 6346: 0.00020873405114425173
Position 7450: 0.00020307782295632523
Position 533: 0.00020167776016456073
Position 858: 0.0001752005567250168
Position 5027: 0.00014678005698426561
Position 977: 0.00012553982047286088
Position 1064: 0.00012032916949272467
Position 358: 0.00011364810084637438
Position 757: 9.687718630169724e-05
Position 2791: 9.562769021509863e-05
Position 605: 8.242143833084698e-05
Position 1971: 8.142024082160927e-05
Position 6156: 7.39862201753319e-05
Position 725: 6.532620281472823e-05
Position 6371: 5.955953037014241e-05
Position 697: 4.0764680422428034e-05
Position 6377: 3.9717586250379316e-05
Position 205: 3.71881228685322e-05
Position 66: 3.0911884337525256e-05
Position 6193: 2.9965325768941904e-05
Position 3645: 2.8023161430711025e-05
Position 5564: 2.6895731481013984e-05
Position 946: 2.6741367263799186e-05
Position 158: 2.612254929583757e-05
Position 6422: 2.178870024936893e-05
Position 2574: 1.9117309882597196e-05
Position 29: 1.8310842729464516e-05
Position 1210: 1.6086157626608104e-05
Position 6203: 1.602606941684992e-05
Position 105: 1.4665008358408313e-05
Position 5192: 1.4264859272107983e-05
Position 537: 1.3892695936137137e-05
Position 568: 1.2393224418993422e-05
Position 2799: 1.2181646548549949e-05
Position 2571: 1.213390129239916e-05
Position 5514: 1.1074236138400967e-05
Position 542: 1.10259093666026e-05
Position 6149: 1.0805397882867291e-05
Position 723: 9.23980822363291e-06
Position 2665: 8.38267874696416e-06
Position 3199: 8.129739430507758e-06
Position 630: 6.7657016375485065e-06
Position 2611: 5.126081330742986e-06
Position 3479: 3.986537135393674e-06
Position 6434: 3.912013498927903e-06
Position 6928: 3.290122946039413e-06
Position 701: 3.254500765743861e-06
Position 6595: 1.9745652665330125e-06
Position 6141: 1.838688637593707e-06
Position 2898: 1.8299320281100573e-06
Position 5843: 1.776161930222128e-06
Position 6772: 1.7511296331201278e-06
Position 33: 1.6558810901845027e-06
Position 122: 1.5967055792763213e-06
Position 6995: 1.3174872609986597e-06
Position 6931: 1.2728979026492685e-06
Position 619: 1.118512878182298e-06
Position 6118: 7.574686433685033e-07
Position 12: 6.847933212340234e-07
Position 5968: 5.908953625647792e-07
Position 7219: 4.4447400722339995e-07
Position 475: 4.2220577278911626e-07
Position 453: 4.1849147388430386e-07
Position 6636: 2.0898545230627196e-07
Position 5371: 2.086624008714338e-07
Position 5661: 1.9273256439842986e-07
Position 6283: 1.4414150516724957e-07
Position 5166: 1.2795295343319078e-07
Position 237: 8.003994313685654e-08
Position 5126: 6.808891795761674e-08
Position 6293: 6.093812404864947e-08
Position 5338: 4.1339299741924314e-08
Position 5385: 2.8459945263319356e-08
Position 6276: 2.7693503103055402e-08
Position 5131: 7.520240508165e-09
Position 4925: 6.506204371186725e-09
Position 6655: 3.2777517157499137e-09
Position 5109: 3.254803798847755e-09
Position 5525: 9.240489651451381e-10
Position 5519: 4.790116574255173e-10
Position 438: 9.081502290364899e-11
Position 5311: 1.983255040487574e-11
Position 5301: 1.7747034657323617e-11
Position 5412: 6.982195321390656e-12
Position 5349: 1.1398210738394478e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 6245: 0.9999281649287339
Position 5294: 0.99907836103259
Position 6479: 0.997618972131837
Position 4959: 0.9964265758320985
Position 2456: 0.9544500690016391
Position 4332: 0.9392791096357922
Position 201: 0.7484601253577883
Position 2819: 0.7462820108678901
Position 1099: 0.7256485964841382
Position 1255: 0.3365825256990335
Position 6701: 0.2744264893963227
Position 2686: 0.2216952706504295
Position 7443: 0.19605075020799503
Position 7391: 0.1256012355235788
Position 6709: 0.10425950513694127
Position 3689: 0.08891617763886756
Position 475: 0.07847264388675736
Position 7102: 0.0497452919176095
Position 7354: 0.049715419310176756
Position 5870: 0.03664214173099167
Position 7662: 0.035563013724741036
Position 6666: 0.02833204329041882
Position 5094: 0.02310207249790578
Position 5638: 0.020234920536509386
Position 2198: 0.01959158699379201
Position 7359: 0.019351833440094234
Position 3269: 0.019132962019407018
Position 6683: 0.018796930083436646
Position 2030: 0.01827267296972965
Position 8414: 0.0181678803371043
Position 4683: 0.018165297993283945
Position 8123: 0.01679199804312068
Position 420: 0.014976599680324597
Position 4100: 0.014401195923884834
Position 2999: 0.01435752508850899
Position 4300: 0.013062357205608248
Position 3171: 0.012657155754026914
Position 7114: 0.011429448866135174
Position 7620: 0.009791357647546345
Position 1306: 0.009464724653013684
Position 5990: 0.009049866186299169
Position 8378: 0.008785318059369227
Position 8387: 0.007123480829086166
Position 7467: 0.006411960561835261
Position 1079: 0.0049285198898129726
Position 6039: 0.004829840222572549
Position 237: 0.004568531955341661
Position 3546: 0.0045191036256495495
Position 5484: 0.0044129739902176255
Position 3721: 0.004326233900635027
Position 5867: 0.00371804346937854
Position 1270: 0.00366531112322259
Position 2101: 0.0034784712224684685
Position 2849: 0.0032581738226055744
Position 7026: 0.0031988288295288886
Position 4358: 0.003048838292508855
Position 5612: 0.003041029177487172
Position 7681: 0.0029321635645813988
Position 4124: 0.002893432786009158
Position 6065: 0.002871572938761572
Position 1670: 0.002637894999983694
Position 4994: 0.002590988176718387
Position 7449: 0.0025508686202185054
Position 7553: 0.002356751277637768
Position 7184: 0.001999590905311019
Position 529: 0.0018710346782045445
Position 6650: 0.0018364768444944723
Position 6089: 0.0017530900396222299
Position 7891: 0.0016023200940808006
Position 3098: 0.0015717765757119655
Position 3275: 0.0015327298099595953
Position 683: 0.0014835716791265848
Position 4410: 0.0014780511580264155
Position 3978: 0.001456687116988305
Position 2229: 0.0013446760688084344
Position 7689: 0.0013285327496344276
Position 3278: 0.0013122351737365223
Position 6978: 0.0012999401481771033
Position 1631: 0.0012378610786235803
Position 7729: 0.0012365620104174975
Position 2156: 0.001158606003551268
Position 6485: 0.0011430954588996197
Position 6122: 0.001087963650202138
Position 1149: 0.001075651141429749
Position 1646: 0.001016363066279629
Position 3199: 0.0010016499252278122
Position 8042: 0.0009933668215233256
Position 1536: 0.0009843692437447268
Position 6655: 0.0009383617474886218
Position 8137: 0.0008440344581394278
Position 7913: 0.0007927798714785951
Position 3181: 0.0007560874451194609
Position 2519: 0.0007078258059444247
Position 5321: 0.0006592152299846614
Position 2269: 0.0005914263489342385
Position 2888: 0.000590230863866956
Position 672: 0.0005867844708345454
Position 5016: 0.0005791302458916736
Position 5592: 0.0005336223633091734
Position 2830: 0.000524482417263915
Position 3594: 0.0004640509638815568
Position 3943: 0.0004538725591485157
Position 1119: 0.00038212342960802645
Position 7966: 0.0003642427101620955
Position 2111: 0.00035572893760549713
Position 5672: 0.00030817698968714085
Position 7782: 0.00028819423732743236
Position 6043: 0.0002574083488864817
Position 2274: 0.00024808155594092566
Position 6944: 0.0002399279018699962
Position 929: 0.00023406722745098832
Position 5091: 0.00020831486452721617
Position 3027: 0.00020402484363708735
Position 6829: 0.00019232598483283445
Position 1599: 0.00018612694453355022
Position 7399: 0.0001778279597475354
Position 7559: 0.000175764767273061
Position 1581: 0.00017284986214179712
Position 960: 0.00015581850454401635
Position 2397: 0.0001414997864686786
Position 576: 0.00013978609968004008
Position 3080: 0.0001271532928457906
Position 6006: 0.00012574791897855512
Position 4385: 0.0001206520243103252
Position 732: 0.00011674434461400643
Position 1333: 0.00011422374848656909
Position 5022: 0.00011361064247711248
Position 7030: 0.00010776912130977556
Position 2059: 9.775886836750289e-05
Position 1274: 9.21717250763431e-05
Position 438: 8.667311548471188e-05
Position 4969: 7.251509993875757e-05
Position 697: 6.72475525962439e-05
Position 5738: 5.829091799048205e-05
Position 122: 4.596274425008332e-05
Position 998: 4.199835947457824e-05
Position 3281: 4.057117937752293e-05
Position 717: 3.973492099736683e-05
Position 4998: 3.780241137603251e-05
Position 5383: 3.42419787502214e-05
Position 3095: 3.215397602434788e-05
Position 3065: 3.186041142585685e-05
Position 6272: 2.7368607227277476e-05
Position 3320: 2.7151019518617315e-05
Position 5702: 2.4798304022664237e-05
Position 3077: 2.3002764309311917e-05
Position 785: 2.2781154291835213e-05
Position 245: 1.861397997465119e-05
Position 5771: 1.7405293910873677e-05
Position 2732: 1.7171375066030384e-05
Position 2701: 1.635454051430742e-05
Position 5452: 1.55169374962948e-05
Position 6488: 1.1289365849195897e-05
Position 1619: 9.07009569538961e-06
Position 6287: 7.81186117919138e-06
Position 3299: 7.309520007182149e-06
Position 5172: 7.302851665557067e-06
Position 3062: 6.560995911482813e-06
Position 755: 6.280745954573834e-06
Position 5336: 3.0845802996079264e-06
Position 6293: 2.1807916390189475e-06
Position 85: 2.169190679134287e-06
Position 6447: 2.0783345309573693e-06
Position 6548: 1.8025228341663165e-06
Position 1596: 1.681061005038814e-06
Position 2779: 1.2993558900884263e-06
Position 2870: 7.180941158869144e-07
Position 6509: 5.787872167991591e-07
Position 172: 5.081748120387262e-07
Position 154: 1.1587560612323982e-07
Position 6305: 9.552024224730665e-08
Position 87: 9.339643767758967e-08
Position 760: 5.909138776368532e-08
Position 290: 5.8318010251485925e-08
Position 453: 5.63353114562673e-08
Position 5354: 4.373552517335382e-08
Position 1310: 4.0456610797415184e-08
Position 6460: 3.626727966772536e-08
Position 5330: 1.8291883783844725e-08
