Gene = Izumo1
index = 598
Annotated 5SS: [ 190 1221 1558 2411 2872 3199 3412 3885 4471]
Annotated 3SS: [ 910 1482 2323 2850 3117 3310 3730 4211 5216]
SMsplice 5SS: [ 190 2411 2680 3199 3885]
SMsplice 3SS: [2323 2526 3117 3766 4211]
top_k =  100
Partition function (log Z): -4.05242095309101

Sorted 5' Splice Sites (High to Low Probability):
Position 3199: 0.9257151071334845
Position 2411: 0.8759291895572694
Position 190: 0.8008687400444652
Position 3885: 0.6921872349255833
Position 1221: 0.5797505263975813
Position 2680: 0.5461029524829617
Position 1558: 0.43862184227384443
Position 2872: 0.18020636752919073
Position 2684: 0.1702189325482041
Position 254: 0.10900301520999504
Position 1771: 0.07427795284060838
Position 2429: 0.07261556680696411
Position 369: 0.028780206361524938
Position 2421: 0.028452581490253346
Position 1869: 0.022783512744778637
Position 652: 0.012152699453233252
Position 3325: 0.01154908779324478
Position 783: 0.00918581997853264
Position 305: 0.008013605971520843
Position 4801: 0.006435454304249855
Position 702: 0.004908782218300153
Position 1234: 0.0044831071115860295
Position 1166: 0.00443414433140011
Position 1154: 0.003935104478375014
Position 10: 0.0036376495708617894
Position 740: 0.0035827734173933413
Position 22: 0.002947934944016505
Position 1217: 0.002871951474718538
Position 1142: 0.002520303967572405
Position 311: 0.0022088469396812772
Position 2114: 0.0016926103646618756
Position 1755: 0.0010954144056003448
Position 938: 0.0010437391606676252
Position 380: 0.00020512104919006042
Position 128: 0.00014840010999308786
Position 83: 4.297851007457375e-05
Position 91: 3.1988783077746675e-05
Position 80: 1.5095575518219355e-05
Position 178: 8.195331492197743e-06
Position 384: 2.7975210264994802e-06
Position 476: 1.7109530713344454e-06
Position 211: 1.6568567350098877e-06
Position 26: 5.114391807404195e-07
Position 215: 4.758571392397453e-07
Position 333: 4.752641906162914e-07
Position 364: 4.5210554622144965e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 3117: 0.99559071981142
Position 2323: 0.9807148699703345
Position 2526: 0.679270492520155
Position 1482: 0.4329571745041356
Position 1016: 0.33517728394414065
Position 3730: 0.3300651502991253
Position 4211: 0.29233837789204514
Position 5216: 0.27511715280485943
Position 3766: 0.14952798893771754
Position 2747: 0.14749476016861562
Position 4300: 0.14441175298098818
Position 3836: 0.12840136485830006
Position 1076: 0.10001598980835671
Position 1673: 0.08891823436603705
Position 1040: 0.07893747510943472
Position 3310: 0.07438642209358999
Position 5231: 0.05896616687670229
Position 3527: 0.05650573571722096
Position 4622: 0.05260872267857609
Position 2488: 0.035620644884134085
Position 4225: 0.02751926856586216
Position 910: 0.02670801255793517
Position 3658: 0.02497173844171203
Position 631: 0.023065345452955324
Position 2601: 0.018387960711172355
Position 1066: 0.01663371527033342
Position 2583: 0.012464402331670224
Position 3486: 0.007833218777794837
Position 1044: 0.007010959896737455
Position 4184: 0.00486099893052419
Position 5319: 0.004406257096741857
Position 3884: 0.004306924506543588
Position 1376: 0.004275397695508068
Position 1759: 0.002942953383421953
Position 2503: 0.0021352590950480753
Position 1712: 0.0018310662138494422
Position 500: 0.0016942257361564279
Position 2028: 0.0016926103646618756
Position 2850: 0.0012827400608320955
Position 822: 0.0008010989816386899
Position 450: 0.0002895543683361608
Position 575: 0.0002671709254759823
Position 2540: 0.00015142120002148757
Position 3152: 5.537875297699181e-05
Position 509: 4.037529271793987e-05
Position 2393: 1.65836067215305e-05
Position 555: 1.4991453214956781e-06
