Gene = RpL5
index = 1445
Annotated 5SS: [ 264  348  770 1268]
Annotated 3SS: [ 318  505  829 1820]
SMsplice 5SS: [ 264  770 1268]
SMsplice 3SS: [ 505  829 1820]
top_k =  1000
Partition function (log Z): 0.6500385344564921

Sorted 5' Splice Sites (High to Low Probability):
Position 770: 0.9989174645011524
Position 1268: 0.9359969071896906
Position 264: 0.9014819794397554
Position 2373: 0.25808420089924683
Position 2290: 0.15943757541892975
Position 2943: 0.1510697558074406
Position 348: 0.11744023611074295
Position 1582: 0.07940506146309136
Position 2689: 0.05976830857740643
Position 2091: 0.045611758986361925
Position 185: 0.04024833201800141
Position 180: 0.032126088963972906
Position 2377: 0.03140948664084245
Position 942: 0.02798054058963832
Position 2020: 0.025374728943906102
Position 4093: 0.020011202470826172
Position 458: 0.015529561722891142
Position 1916: 0.014835347911946056
Position 1708: 0.012437560248076462
Position 547: 0.010009855044713564
Position 450: 0.0074952878535365025
Position 421: 0.007404515462268805
Position 2228: 0.007147567186005875
Position 2049: 0.005743660706529776
Position 2094: 0.005585527086290661
Position 1416: 0.005074306811796018
Position 3526: 0.004659958996492189
Position 4148: 0.004303156730680866
Position 1473: 0.003897302934954284
Position 290: 0.0035995902311614153
Position 3937: 0.002342839265133122
Position 448: 0.0021237361146614906
Position 124: 0.0018260231221681545
Position 1246: 0.001630725262556921
Position 518: 0.0015533383562983383
Position 1035: 0.0014686813037716171
Position 1636: 0.0013283079748378419
Position 2208: 0.001289818918938387
Position 631: 0.0011498696674054228
Position 270: 0.0011349140869843814
Position 4295: 0.0008288235079351971
Position 2047: 0.0008052662985593423
Position 432: 0.0006289572240758778
Position 1634: 0.000625535050022059
Position 467: 0.0006007881482328871
Position 935: 0.0005997960740390158
Position 1744: 0.0005562141114084956
Position 3933: 0.000517934742923489
Position 1071: 0.0004304396881065968
Position 559: 0.00042268056643782534
Position 3225: 0.000394732656799026
Position 352: 0.00036241196093525117
Position 4144: 0.00032486094893302076
Position 1068: 0.00031509845746808775
Position 1272: 0.00027404745089731626
Position 554: 0.0002706655566581764
Position 2018: 0.0002617229938640943
Position 429: 0.00026051099240357613
Position 659: 0.00025707858104388276
Position 1997: 0.0002547763396509349
Position 1410: 0.0002474361254588912
Position 570: 0.00019708375247767378
Position 956: 0.0001630046207417213
Position 1625: 0.00014954144201147044
Position 1228: 0.00013902084027647314
Position 11: 0.000130943007454432
Position 2319: 0.00012327558697145698
Position 1029: 0.00011028690301188338
Position 898: 0.00010651682275561191
Position 1574: 9.721314186594775e-05
Position 195: 9.321921268329013e-05
Position 1039: 9.299745000875021e-05
Position 1382: 8.217140858461987e-05
Position 1685: 7.960431075173098e-05
Position 127: 6.827780856388322e-05
Position 2066: 6.665387619943175e-05
Position 2407: 6.345943463936805e-05
Position 2037: 5.976206294235879e-05
Position 113: 4.9678493280746695e-05
Position 1375: 4.923510729425062e-05
Position 1061: 4.8075553136467236e-05
Position 321: 3.947446853949256e-05
Position 1017: 3.702824960860822e-05
Position 2307: 2.883172837452521e-05
Position 115: 2.720072387977438e-05
Position 725: 2.495922263326564e-05
Position 132: 2.3436866892682757e-05
Position 268: 2.3248271710318092e-05
Position 646: 2.1786609387676077e-05
Position 1091: 2.0816558680209603e-05
Position 23: 1.9126549044661233e-05
Position 1672: 1.8424000089283387e-05
Position 1282: 1.7911750787299106e-05
Position 2142: 1.6722659508925055e-05
Position 480: 1.6641945967873365e-05
Position 1892: 1.4234254041092138e-05
Position 1004: 1.3911758329244732e-05
Position 507: 1.3379731612036104e-05
Position 535: 1.1401147972533964e-05
Position 949: 1.0152928204636965e-05
Position 714: 9.700678623645167e-06
Position 1878: 8.805002131566446e-06
Position 663: 7.172980693274115e-06
Position 329: 5.378375994754718e-06
Position 686: 5.310902385456059e-06
Position 2280: 5.305955706948667e-06
Position 965: 4.972351633346258e-06
Position 1620: 3.7307792640795644e-06
Position 990: 3.6235537679463772e-06
Position 830: 3.4961767654035036e-06
Position 1142: 3.267523768515426e-06
Position 1586: 2.701022404361026e-06
Position 722: 2.4586857366967043e-06
Position 4: 2.1504813616433584e-06
Position 727: 2.0247771120915944e-06
Position 146: 1.8260668320913304e-06
Position 489: 1.6881726781976907e-06
Position 1257: 1.6635577122957184e-06
Position 1037: 1.622417140270017e-06
Position 651: 1.03534550933342e-06
Position 203: 1.035079275461482e-06
Position 1339: 7.711547779440098e-07
Position 1794: 6.824880994651465e-07
Position 774: 4.646665098456567e-07
Position 795: 4.023594091027418e-07
Position 521: 3.983334938725173e-07
Position 1348: 2.6963854587320117e-07
Position 1477: 2.2793290501463464e-07
Position 875: 2.1184133485930862e-07
Position 2994: 1.560861526586241e-07
Position 1172: 1.1801646249546896e-07
Position 1188: 1.6957366237112082e-08
Position 1294: 1.147448468181496e-08
Position 512: 4.9219074046583045e-11
Position 667: 1.910760903102629e-12
Position 787: 1.3055822188561114e-12
Position 885: 1.0769743372652506e-12
Position 882: 4.960478197934528e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 829: 0.9726386943139124
Position 1820: 0.8529439267758603
Position 505: 0.6368941087731443
Position 318: 0.40745254924148633
Position 3891: 0.11185783880237277
Position 2145: 0.08638036082383878
Position 3307: 0.08318080036845112
Position 4028: 0.07846570943090178
