Gene = SQSTM1
index = 1327
Annotated 5SS: [  383  2295  3329  3565  4468 12488 13024]
Annotated 3SS: [ 2198  3098  3422  4386 12272 12827 15676]
SMsplice 5SS: [  383  2295  3329  3565 15611]
SMsplice 3SS: [ 2198  3098  3422 15518 15711]
top_k =  100
Partition function (log Z): -3.3875433818477974

Sorted 5' Splice Sites (High to Low Probability):
Position 2295: 0.9995940198995421
Position 383: 0.9901875541779751
Position 3565: 0.9887338399502866
Position 3329: 0.9362106753272256
Position 4468: 0.10348625743314123
Position 12910: 0.09266866915376348
Position 3203: 0.040148305876017226
Position 8228: 0.03612855696695843
Position 2078: 0.027450245302031634
Position 2102: 0.008772997469341192
Position 2082: 0.007361371993272728
Position 296: 0.005360096190371501
Position 2025: 0.003464665516168795
Position 2001: 0.0031368203891076196
Position 949: 0.0030854506166375474
Position 411: 0.003008778478550441
Position 1418: 0.0027428674376867414
Position 4337: 0.0026956295462253342
Position 3357: 0.000779173476834757
Position 3249: 0.00072015551817325
Position 2932: 0.00045651281320806
Position 2041: 0.0004520990947126032
Position 3220: 0.00036088321792847387
Position 1003: 0.00031190691522410075
Position 795: 0.00030510290592742663
Position 3173: 0.00013900787112319562
Position 3161: 9.688311584622918e-05
Position 2566: 3.2064878791633095e-05
Position 563: 5.262782097339372e-06
Position 2434: 4.072973649519538e-06
Position 1042: 3.2238928443921877e-06
Position 575: 2.8708079083899714e-06
Position 1064: 2.1942384196078633e-06
Position 1069: 2.058039216406348e-06
Position 858: 1.2895078426511267e-06
Position 2494: 1.0183215807860826e-06
Position 2574: 8.869904849831891e-07
Position 484: 8.766780212940728e-07
Position 328: 7.475648576616296e-07
Position 445: 1.4858429863926044e-08
Position 48: 7.559069510905497e-09
Position 193: 7.549460637498903e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3422: 0.9593055342048603
Position 3098: 0.9349526179775998
Position 2198: 0.7313847914427746
Position 12272: 0.3194394670602412
Position 2229: 0.2587262495697977
Position 14055: 0.25591301195679206
Position 12827: 0.1679676543424658
Position 7638: 0.07255967279159906
Position 4883: 0.06032234849327755
Position 12338: 0.04999475806872211
Position 4285: 0.047694833625023365
Position 1960: 0.0473041062979236
Position 8046: 0.0435139028469312
Position 4386: 0.04008714813139882
Position 3142: 0.03721229097063696
Position 3436: 0.025665526478175077
Position 8383: 0.021173651047233674
Position 7659: 0.01789841167332925
Position 3452: 0.015005198165984248
Position 4210: 0.013778921009652504
Position 9425: 0.012291655875129447
Position 7509: 0.011608508466199681
Position 5865: 0.010924547782679619
Position 8627: 0.009387849826878705
Position 8955: 0.007798388130005108
Position 4743: 0.0071099286290790195
Position 5370: 0.0065324855297606834
Position 6481: 0.006146525151938141
Position 7634: 0.006115075795703082
Position 5126: 0.005867634657008248
Position 2129: 0.005298162111550959
Position 6890: 0.004743194865995088
Position 3808: 0.0037992142140903015
Position 6829: 0.0028716966568586577
Position 5936: 0.0028490705255279627
Position 4606: 0.0027184155408804004
Position 1280: 0.002674383566855199
Position 4302: 0.0024809495591557548
Position 1993: 0.0023919978891469664
Position 3906: 0.0023462702779619457
Position 4216: 0.002217069821172941
Position 4990: 0.0019854652049170586
Position 791: 0.0018330985981829
Position 4403: 0.0017708506405404228
Position 1816: 0.0016779365101299703
Position 3074: 0.0016620415532253169
Position 2097: 0.001650936603953752
Position 3206: 0.0013523794591302732
Position 3100: 0.0012068794233235848
Position 3793: 0.0010021902630132048
Position 3145: 0.0008743664060136424
Position 2139: 0.0006188363576417587
Position 2266: 0.0004587654580736047
Position 4427: 0.00042476337924448254
Position 540: 0.00039765794663610267
Position 3252: 0.000388283262706747
Position 3306: 0.00032340163648449495
Position 1721: 0.0002884921449172624
Position 1775: 0.0002763897197136475
Position 2775: 0.00020958304758203898
Position 2962: 0.00020017957643179456
Position 4097: 0.0001938433470570887
Position 2808: 0.00014966637229395466
Position 1822: 0.00014808736932443823
Position 3020: 0.00012546198505709627
Position 2999: 0.00010549193078576577
Position 4051: 9.762451083506098e-05
Position 2842: 9.726339333206635e-05
Position 4117: 8.59533520749056e-05
Position 1370: 6.848387083154831e-05
Position 902: 5.8227379174591685e-05
Position 3059: 5.4583182422089196e-05
Position 2458: 3.3530725206624115e-05
Position 3480: 1.6051443766457015e-05
Position 3531: 4.669510516456199e-06
Position 2389: 4.394656507782629e-07
Position 3558: 1.2723602693644077e-07
Position 1846: 1.7424508498888791e-12
