Gene = UQCR-C2
index = 1580
Annotated 5SS: [321 599 959]
Annotated 3SS: [ 464  654 1060]
SMsplice 5SS: [321 599 959]
SMsplice 3SS: [ 464  654 1060]
length: 1988
Partition function (logZ) = 4.447347357052524
#Exons = 1094
3SS, 5SS, prob
1060, -1, 0.9939950381285899
654, 959, 0.9521476320985695
464, 599, 0.8445887344797296
0, 321, 0.7596740489725539
0, 599, 0.14661259511869157
0, 387, 0.05058930307100298
654, 773, 0.04306822990394343
0, 10, 0.03241969992974946
836, 959, 0.02091253810817384
65, 321, 0.01881850241178649
871, 959, 0.007125652322925001
839, 959, 0.005729862441682946
0, 197, 0.0031427632772980927
65, 599, 0.002613457826133807
1138, -1, 0.0025618724701999655
0, 347, 0.0023945407675244217
1060, 1303, 0.0018399354265150073
108, 321, 0.0018339191661555653
0, 382, 0.0014653795028389503
401, 599, 0.0013876560335276285
102, 321, 0.0013550149784646703
65, 387, 0.0010297250748736392
654, 780, 0.0009660730885094742
1366, -1, 0.0008379148775405947
0, 224, 0.0008213488266074318
0, 325, 0.0007789893901495053
429, 599, 0.0007745645590195935
654, -1, 0.000771186901153399
1804, -1, 0.0005739072758630952
654, 926, 0.0005133954860325166
464, 959, 0.0004737251572449957
369, 599, 0.00044813641699580303
0, 401, 0.00044766382749471874
688, 959, 0.00042391996639591287
239, 321, 0.000369403749454529
432, 599, 0.00035182851379181014
1798, -1, 0.0003498320129394414
1960, -1, 0.00034149033953929345
654, 995, 0.00032145698582942424
654, 904, 0.0003114968291861876
1060, 1901, 0.0002702755250945961
471, 599, 0.0002685663973441472
0, 119, 0.0002524156005185397
0, 380, 0.00023111857969479696
524, 599, 0.00021365265298104998
292, 321, 0.00020482060987904576
0, 33, 0.00019718013428406993
654, 824, 0.00018903676553080288
108, 599, 0.0001848619511843269
0, 283, 0.00018289236610690636
292, 599, 0.0001793019632941865
0, 959, 0.00017565764062363
1420, -1, 0.00017442331302993652
0, 168, 0.00014867621724110568
0, 425, 0.00014469721978308805
102, 599, 0.00014420319838097913
262, 321, 0.00012521193451672653
654, 947, 0.00010337467824887626
1390, -1, 9.934672230600313e-05
0, 112, 9.478109700664882e-05
464, 546, 9.223300413537268e-05
65, 197, 9.082462076216725e-05
1264, -1, 8.576867035740957e-05
1087, -1, 8.267458422619463e-05
108, 387, 8.186895219024571e-05
0, 418, 8.017798021463381e-05
375, 599, 8.016427115247558e-05
1060, 1607, 7.702407805435783e-05
292, 387, 7.180071806768708e-05
239, 599, 6.964386744260985e-05
102, 387, 6.219398161695513e-05
772, 959, 6.208242224963634e-05
1060, 1826, 5.852844263193993e-05
464, 591, 5.691346224141682e-05
656, 959, 5.44325453663003e-05
654, 929, 5.352682796533728e-05
65, 347, 5.3375499413057055e-05
239, 387, 5.092233860688084e-05
1732, -1, 4.776668287477845e-05
464, 582, 4.42027989453671e-05
464, 543, 4.145789176884932e-05
262, 599, 4.086031229480277e-05
347, 599, 3.636387766224888e-05
1060, 1545, 3.50403356414634e-05
0, 546, 3.096425836236531e-05
65, 382, 3.0102488890857496e-05
464, 525, 3.0096784849650007e-05
1060, 1217, 2.770149593317848e-05
65, 224, 2.712926396004975e-05
1060, 1308, 2.522494144842123e-05
262, 387, 2.4815281769574868e-05
1579, -1, 2.070797876102898e-05
0, 158, 2.0509123998522438e-05
65, 325, 1.8905946128580937e-05
250, 321, 1.8436184177381558e-05
158, 321, 1.7833262678008322e-05
0, 259, 1.6495849562546327e-05
464, 773, 1.617266181079757e-05
0, 525, 1.5969069788803123e-05
369, 387, 1.57074970356671e-05
654, 812, 1.530798712304682e-05
719, 959, 1.5286567844258467e-05
0, 543, 1.470558097695486e-05
769, 959, 1.4547887845203677e-05
1717, -1, 1.4108847358568603e-05
151, 321, 1.3889849474093403e-05
654, 908, 1.328841723416088e-05
1060, 1211, 1.2020117247714147e-05
883, 959, 1.1650745008398535e-05
688, 773, 1.0879911394216371e-05
0, 51, 1.059114088130109e-05
0, 591, 1.0480516781879338e-05
464, 603, 9.809786335087293e-06
1060, 1704, 9.520578294702322e-06
836, 995, 9.115345325446932e-06
65, 401, 8.892072824816812e-06
0, 582, 8.851570085520075e-06
1138, 1303, 8.348628051732434e-06
1060, 1499, 8.064455484457212e-06
836, -1, 7.719267752427225e-06
1060, 1520, 7.258145013613515e-06
836, 926, 6.736410518960274e-06
0, 88, 6.237286732642992e-06
135, 321, 6.037661597272672e-06
243, 321, 5.9175613354855285e-06
65, 283, 5.6284100515410486e-06
1060, 1751, 5.54143826257834e-06
1060, 1633, 5.370447089533871e-06
1060, 1138, 5.194524203293186e-06
0, 773, 5.061867670106838e-06
65, 380, 4.765761621455832e-06
108, 347, 4.744115479940279e-06
1060, 1707, 4.492970698086921e-06
250, 599, 4.432913177891172e-06
1193, -1, 4.29356700757488e-06
1672, -1, 4.261374106221636e-06
871, 995, 4.098071076950113e-06
108, 197, 3.904213953720573e-06
871, -1, 3.866059792331124e-06
1060, 1341, 3.6056120825671396e-06
102, 347, 3.5232103456687517e-06
65, 168, 3.3577628045837353e-06
347, 387, 3.351811414000516e-06
102, 197, 3.327918980908514e-06
65, 959, 3.283820608979184e-06
253, 321, 3.095097538295755e-06
250, 387, 3.0076735084299654e-06
1720, -1, 2.859244175151753e-06
65, 425, 2.743406101038832e-06
65, 119, 2.629638281144817e-06
839, 995, 2.557832880368222e-06
1060, 1631, 2.440131608512895e-06
108, 382, 2.4119184960925997e-06
1060, 1200, 2.4061661622826966e-06
656, 773, 2.4018221580993503e-06
836, 904, 2.382024395590184e-06
1621, -1, 2.258034687176139e-06
1810, -1, 2.234710915895484e-06
0, 102, 2.181652992376118e-06
839, -1, 2.16256716415323e-06
1060, 1621, 2.156140668324006e-06
375, 387, 2.0648172810625864e-06
887, 959, 2.043906258542877e-06
836, 947, 1.9434906719469556e-06
292, 382, 1.9193773252584658e-06
102, 382, 1.828715866518288e-06
108, 325, 1.8240686461595181e-06
839, 926, 1.8046746997030938e-06
239, 347, 1.741576109304096e-06
1060, 1725, 1.737929058670911e-06
871, 926, 1.7063102827771854e-06
1759, -1, 1.7043109781732582e-06
1530, -1, 1.6812449525983467e-06
0, 603, 1.6613936958951004e-06
65, 418, 1.5452520072303296e-06
1272, -1, 1.5240089788801345e-06
108, 224, 1.5053473716194985e-06
292, 347, 1.4752477394745919e-06
239, 382, 1.4437338447811065e-06
1255, -1, 1.4358167522245146e-06
102, 325, 1.3468987291089461e-06
158, 599, 1.342590671859924e-06
1804, 1901, 1.2513370060372866e-06
1060, 1554, 1.2423321663034552e-06
102, 224, 1.2371129145606018e-06
243, 599, 1.213852552634491e-06
1417, -1, 1.1488098214337807e-06
296, 599, 1.1063174460960962e-06
1901, -1, 1.0810763067919194e-06
296, 321, 1.0775275640474562e-06
533, 599, 1.0531687442854192e-06
151, 599, 1.0498218875720708e-06
1642, -1, 1.0474019894705997e-06
895, 959, 9.815382423155031e-07
1060, 1874, 9.01939804382608e-07
1516, -1, 9.009142940642752e-07
0, 299, 8.953450994134082e-07
464, 573, 8.895128014583157e-07
243, 387, 8.665519493038272e-07
158, 387, 8.472547491746867e-07
65, 112, 8.369929875524448e-07
253, 599, 7.99818944981937e-07
401, 959, 7.985029640454458e-07
1798, 1901, 7.962974075425038e-07
1138, 1901, 7.813352820391455e-07
292, 401, 7.708629281852522e-07
1183, -1, 7.262006395413639e-07
836, 929, 7.258486800182286e-07
464, 519, 7.087909317777945e-07
108, 401, 6.963556364296606e-07
262, 347, 6.924372644462838e-07
262, 382, 6.860104042331377e-07
356, 599, 6.292114435690072e-07
151, 387, 6.279400556664312e-07
839, 904, 6.264085837998707e-07
1060, 1915, 6.167739398569271e-07
871, 947, 5.998593292961568e-07
464, -1, 5.933261406866259e-07
65, 259, 5.525889172731845e-07
1394, -1, 5.479222492890512e-07
65, 546, 5.327648113507614e-07
102, 401, 5.3102017760357e-07
253, 387, 5.294361982523832e-07
839, 947, 5.282447104378325e-07
108, 283, 5.151676110737743e-07
1060, 1549, 5.090320859525303e-07
733, 959, 4.928777351146362e-07
135, 599, 4.868234132111545e-07
654, 1303, 4.769050783403147e-07
871, 904, 4.695972842972348e-07
239, 401, 4.643111548654791e-07
0, 121, 4.451784691904042e-07
0, 519, 4.394300206093195e-07
464, 632, 4.294424107477169e-07
549, 599, 4.22458875656514e-07
1060, 1696, 4.213768581868506e-07
296, 387, 4.1246526136323293e-07
65, 158, 4.1165966003621696e-07
239, 325, 4.073755770915727e-07
429, 959, 3.9780164461574177e-07
102, 283, 3.918969153537034e-07
108, 380, 3.831955908368946e-07
1281, -1, 3.710447692414615e-07
369, 382, 3.6626079606444086e-07
185, 321, 3.54051230653625e-07
1366, 1901, 3.5075626435226777e-07
1060, 1355, 3.506376060100568e-07
1653, -1, 3.4148142046031045e-07
464, 780, 3.351350505370805e-07
369, 959, 3.2728554768243603e-07
1591, -1, 3.2694455538995353e-07
401, 546, 3.1380712491705057e-07
292, 425, 3.1290679539034924e-07
1435, -1, 3.0555342968948554e-07
292, 380, 2.926445031317575e-07
102, 380, 2.9028241587390486e-07
688, -1, 2.8453470368298144e-07
65, 525, 2.627471809577925e-07
688, 780, 2.5758940132978764e-07
1060, 1264, 2.5714336247582553e-07
135, 387, 2.567880346585832e-07
65, 543, 2.519474986646446e-07
688, 926, 2.5012627555281724e-07
524, 959, 2.441656210824043e-07
262, 401, 2.4310492800174116e-07
292, 325, 2.4267392461262847e-07
369, 401, 2.3942488176707895e-07
108, 959, 2.3486008657224929e-07
