Gene = PDCD-5
index = 1353
Annotated 5SS: [199 565]
Annotated 3SS: [449 621]
SMsplice 5SS: [199 565]
SMsplice 3SS: [449 621]
top_k =  100
Partition function (log Z): -0.19623144544156096

Sorted 5' Splice Sites (High to Low Probability):
Position 199: 0.9921104198959942
Position 565: 0.980724425000918
Position 702: 0.12816569798350191
Position 332: 0.002795138089153108
Position 56: 0.0016673974948037587
Position 203: 0.0007543624418637595
Position 15: 0.0005448727535030074
Position 341: 0.00041368233291468054
Position 569: 0.00026293438983370247
Position 879: 9.74843250506996e-05
Position 216: 7.595801377861671e-05
Position 395: 5.8731452418785775e-05
Position 537: 4.758889721578327e-05
Position 311: 4.24561523718979e-05
Position 260: 3.2005266707254625e-05
Position 146: 2.4304275889266595e-05
Position 23: 1.9966409193981035e-05
Position 697: 1.6684486598148238e-05
Position 728: 9.796112405344582e-06
Position 370: 5.72797225717059e-06
Position 189: 1.6705806496587936e-06
Position 177: 9.229683299498679e-07
Position 138: 6.565250283108769e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9859106083584487
Position 621: 0.9516473497977186
Position 761: 0.08198869745243424
Position 770: 0.04617468547775309
Position 636: 0.024615230192423947
Position 354: 0.0059886299667256376
Position 640: 0.003464961703187031
Position 406: 0.002784436444370506
Position 345: 0.0017082580647666983
Position 127: 0.0008794273671575936
Position 260: 0.0003778955856098781
Position 692: 0.0003391135792766607
Position 951: 0.00033501651853010974
Position 701: 0.00027983698821385314
Position 748: 0.00025909126216199787
Position 72: 0.0002268636099787664
Position 644: 0.00015622092292829202
Position 75: 0.00015360152318744276
Position 326: 0.0001525995042465637
Position 728: 0.00013404694372957422
Position 316: 0.00012946608024700306
Position 134: 2.9094724494042084e-05
Position 494: 2.6995180109354244e-05
Position 939: 2.169974075881897e-05
Position 879: 2.1248697447163855e-05
Position 171: 1.4544110498672771e-05
Position 817: 1.4353410852983307e-05
Position 488: 1.3809627920586523e-05
Position 244: 4.546618991003505e-06
Position 491: 4.0985134591653786e-06
Position 595: 2.6789065118554515e-06
Position 146: 2.6499552724726317e-06
Position 287: 1.955545961514045e-06
Position 84: 1.7157109254044342e-06
Position 279: 1.4197773943830085e-06
Position 370: 1.2824254050882485e-06
Position 473: 1.2158417781690544e-06
Position 485: 1.1620054451381464e-06
Position 653: 7.777638093580901e-07
Position 537: 7.35453637996586e-07
Position 189: 5.530783368117912e-07
Position 480: 3.0938800709980236e-07
Position 121: 2.6576378326637177e-13
