Gene = AT2G13840
index = 116
Annotated 5SS: [ 356 1062 1471 2014]
Annotated 3SS: [ 936 1158 1843 2099]
SMsplice 5SS: [1062 1471 2014]
SMsplice 3SS: [1158 1843 2099]
length: 2684
Partition function (logZ) = 3.684816858682771
#Introns = 16590
5SS, 3SS, prob
1062, 1158, 0.8823766440894322
2014, 2099, 0.8698271708984867
1471, 1843, 0.5516850550153792
1773, 1843, 0.2024150675718669
1471, 1567, 0.1774225907684686
356, 792, 0.09397663019012596
356, 454, 0.07914584525390446
1471, 1550, 0.0765758428326053
1471, 1685, 0.07489223208470312
356, 903, 0.06138288025801062
549, 630, 0.05948251693825621
1062, 1132, 0.05890095557683822
2006, 2099, 0.05530346658287186
1723, 1843, 0.05285577756854159
356, 874, 0.046728120613453744
1986, 2099, 0.03990513145683663
1471, 1600, 0.03752333019583208
356, 630, 0.03542867569569111
1765, 1843, 0.031106749172920767
356, 936, 0.027508593959302323
1682, 1843, 0.024471500572126346
1471, 1578, 0.022629030039769037
549, 792, 0.021709964862935513
1271, 1349, 0.021496707307161696
2014, 2106, 0.020394099193422808
1656, 1843, 0.018215726959345896
356, 701, 0.01743122495759944
1471, 1555, 0.015308669194883889
356, 438, 0.015159005857759877
549, 903, 0.014180335801476773
1031, 1158, 0.012089357981782218
1760, 1843, 0.01098978798339578
549, 874, 0.010794873731657592
471, 792, 0.01045736588147718
819, 903, 0.009410076007583023
725, 792, 0.008738532977948459
1247, 1341, 0.008727463569673908
1062, 1349, 0.008423792779753272
1769, 1843, 0.007455245405025948
1247, 1349, 0.007446275411395553
375, 792, 0.00725216739590701
356, 433, 0.007246347898128864
1031, 1132, 0.007163992466284789
471, 903, 0.006830456001862076
375, 454, 0.006528613679328902
1062, 1341, 0.006519647170743705
549, 936, 0.006354884263002249
1062, 1160, 0.006326375328990486
1471, 1713, 0.0062648937756467765
1055, 1158, 0.006178108752383864
1271, 1341, 0.006013073811433792
1630, 1843, 0.0059067475668322005
1747, 1843, 0.005649088193777465
1289, 1382, 0.0052738702911847785
471, 874, 0.005199729477637976
1289, 1843, 0.0050975595281613365
1471, 1902, 0.005058733138547247
549, 701, 0.004937414665439529
725, 903, 0.004774748638454974
375, 903, 0.004736910889158274
725, 874, 0.004577570186205872
2014, 2137, 0.004537076259789195
2251, 2325, 0.004488406273105681
1716, 1843, 0.004458871496424204
698, 792, 0.004416325133788702
1289, 1371, 0.004365196069263418
702, 792, 0.004303786821893562
471, 630, 0.004228029631940666
375, 874, 0.003606004515157689
744, 874, 0.0035432901485389287
1471, 1794, 0.003505343568671627
2326, 2415, 0.003503235151140237
471, 936, 0.0030610528525595215
1762, 1843, 0.0030261318045786945
744, 903, 0.0029944890404574958
120, 255, 0.0029000362431527947
375, 630, 0.0027340274517254366
356, 653, 0.0026362518945228955
549, 653, 0.002603954156649056
1471, 1765, 0.0025463982384038323
519, 630, 0.002512335232263409
1568, 1843, 0.0025073590095987986
356, 698, 0.0024113040109793285
1471, 1951, 0.0024102842723184876
546, 630, 0.0023727350513074803
519, 792, 0.0022491036780650574
711, 792, 0.002213224596627403
375, 936, 0.0021228355157584403
725, 936, 0.0021184407811444387
2251, 2360, 0.002080939259110755
471, 701, 0.0019396811396106646
1062, 1181, 0.001885801797926649
356, 724, 0.0018227030253195032
1691, 1843, 0.001762676090111904
654, 792, 0.0017554488867260888
1275, 1349, 0.001715678337113125
120, 792, 0.0016182328157313777
1062, 1843, 0.0015803802503702913
1671, 1843, 0.0015781808434068526
1471, 1845, 0.0015427632433909328
1055, 1132, 0.001531721235179167
189, 303, 0.0015146682652525027
1773, 1902, 0.0014729525148012965
519, 903, 0.001469050991498779
356, 991, 0.0013611223294211394
375, 701, 0.0013451659317052743
744, 936, 0.001288701453791502
1368, 1843, 0.001275269104796612
819, 936, 0.0011899914693390744
549, 638, 0.0011844163625596565
356, 805, 0.0011814679951814735
356, 933, 0.001154901262012883
1266, 1349, 0.0011486094009603815
1013, 1158, 0.0011278615979521298
519, 874, 0.001118324712518034
1493, 1843, 0.0010874460447440673
1942, 2099, 0.001071452783148733
120, 303, 0.0010701724894141079
120, 903, 0.0010569839645948368
189, 255, 0.0010440120121132373
2014, 2221, 0.0010219627916089697
2006, 2106, 0.0009852046518468009
2014, 2141, 0.0009700212211371605
163, 255, 0.0009583876616084165
356, 679, 0.0009229894486863055
189, 792, 0.0009117153839358184
2326, 2399, 0.0009089175964564452
120, 387, 0.0009053898800405184
1682, 1765, 0.0008678756636648682
356, 563, 0.0008140621876219848
120, 874, 0.0008046359828093675
1062, 1217, 0.0007912276274607542
654, 903, 0.0007850588084577622
1568, 1685, 0.0007846668873750852
1773, 1845, 0.0007817528046293001
1986, 2106, 0.0007709531209532934
546, 792, 0.0007704075544977419
563, 792, 0.0007643661596934274
549, 698, 0.0007085980999195532
471, 563, 0.0007080621018519227
1289, 1685, 0.0006920028153345666
1471, 1617, 0.0006816360353850288
1271, 1843, 0.0006800513878973133
519, 936, 0.0006583517596565784
725, 805, 0.000624123231296876
2234, 2325, 0.0006168861094114175
356, 638, 0.0006116896733056052
120, 630, 0.0006100649226587795
2253, 2325, 0.0005992673770912667
654, 874, 0.0005976311723411061
189, 903, 0.000595506735326615
329, 792, 0.0005861648317830192
730, 874, 0.0005534456797513417
2195, 2325, 0.0005443463073324333
730, 903, 0.0005436551394382017
356, 750, 0.0005423020126085755
2014, 2165, 0.00054118637792043
1630, 1713, 0.0005318389335721262
419, 792, 0.0005242669957731295
189, 387, 0.0005233759710867531
546, 903, 0.0005032084526964693
