Gene = AL645608.2
index = 66
Annotated 5SS: [  16 1471]
Annotated 3SS: [1452 1917]
SMsplice 5SS: [80]
SMsplice 3SS: [865]
top_k =  500
Partition function (log Z): -10.839355146859807

Sorted 5' Splice Sites (High to Low Probability):
Position 80: 0.7293797313050386
Position 71: 0.224366135184798
Position 725: 0.017460660840865855
Position 559: 0.017159433571117773
Position 251: 0.011228828340536965
Position 1018: 0.00927947857312573
Position 1399: 0.008008339353225032
Position 736: 0.007429084651124234
Position 138: 0.004289964973538673
Position 192: 0.0021954040158424074
Position 929: 0.0015216201302496648
Position 1592: 0.0013813517851752378
Position 660: 0.0009339344893203772
Position 561: 0.0006783463004050175
Position 100: 0.0005836808176197296
Position 344: 0.000537385470151309
Position 16: 0.0004616714998399478
Position 84: 0.0004275000999873742
Position 598: 0.0003614875861558313
Position 103: 0.0002235753364465907
Position 673: 0.00015989165128679395
Position 1410: 0.00012447441813762794
Position 394: 0.00010000002371398785
Position 196: 5.5358936369584606e-05
Position 194: 4.69296183250639e-05
Position 780: 4.185087363432366e-05
Position 675: 3.8772790131006454e-05
Position 815: 2.5220656101725253e-06
Position 426: 2.4911389177184286e-06
Position 42: 2.4243625136426108e-06
Position 213: 2.275613380392344e-06
Position 266: 1.827056049632909e-06
Position 232: 1.799508900354455e-06
Position 1117: 1.4385046304575377e-06
Position 748: 1.3567329455366435e-06
Position 1081: 1.1527885222558953e-06
Position 21: 1.0628644544205508e-06
Position 974: 8.389841478913388e-07
Position 1164: 8.302794184856361e-07
Position 791: 7.913021990852397e-07
Position 271: 6.295037123085969e-07
Position 663: 5.508210737763175e-07
Position 774: 5.446727811873015e-07
Position 619: 5.411303192373663e-07
Position 755: 4.78119125834436e-07
Position 221: 4.309704902653303e-07
Position 506: 3.775443154839167e-07
Position 702: 2.597167262183882e-07
Position 502: 2.559954499706594e-07
Position 468: 2.0198944005901623e-07
Position 515: 1.5145925364959047e-07
Position 47: 1.4046027195779945e-07
Position 215: 1.188976336041559e-07
Position 481: 6.453332145652562e-08
Position 92: 5.029604800939824e-08
Position 583: 1.2945086900659522e-08
Position 681: 1.249835551618635e-08
Position 729: 1.093434025616097e-08
Position 201: 1.0135664764806434e-08
Position 94: 8.163413028276426e-09
Position 223: 3.893630927286586e-09
Position 264: 3.6312011479632336e-09
Position 75: 3.5416874205055336e-09
Position 492: 4.1972761800268773e-10
Position 30: 3.212854548398685e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 865: 0.2825517790613522
Position 1591: 0.15888164571216845
Position 167: 0.13518796009907744
Position 1249: 0.11595185541314919
Position 343: 0.058040898426767656
Position 602: 0.04469399357275932
Position 1636: 0.03479061129038908
Position 185: 0.031994342064868175
Position 1438: 0.030094135765059545
Position 956: 0.022326996169442184
Position 1470: 0.01639816916625933
Position 1769: 0.016134996363276224
Position 1487: 0.012181664580463016
Position 318: 0.011412632137988264
Position 929: 0.006472082777053171
Position 1363: 0.005546253414364282
Position 995: 0.005022536618471399
Position 702: 0.003890931585208458
Position 481: 0.0034020939817005318
Position 1683: 0.0031878864010447816
Position 1421: 0.003176090306848553
Position 1178: 0.0031169483059279544
Position 1290: 0.002734660074273545
Position 1188: 0.0026440554087386655
Position 510: 0.002486162205893022
Position 1273: 0.00240899158140195
Position 735: 0.0023677540690747872
Position 626: 0.001956607885664222
Position 484: 0.0019107023896129407
Position 534: 0.0018562474640860427
Position 841: 0.0016863656111870912
Position 1841: 0.0015588417393742442
Position 1452: 0.0014462593440222136
Position 1708: 0.001415677061335026
Position 791: 0.0010454071091873522
Position 1217: 0.0010249481828063273
Position 1409: 0.0008832873107918215
Position 1115: 0.0007829569208480936
Position 755: 0.0007824785757995951
Position 1059: 0.0007335134364331057
Position 1560: 0.0004961658489219252
Position 1821: 0.0004407127328260907
Position 192: 0.0003978595022935228
Position 1293: 0.0003432048365259612
Position 1602: 0.0003006785426420523
Position 648: 0.00028015909664262477
Position 1112: 0.00025723036598386225
Position 558: 0.0002500012512757404
Position 1855: 0.00024652716231378505
Position 1529: 0.000242927484581046
Position 1310: 0.0001574409462960495
Position 544: 0.00014508436842460327
Position 1202: 0.0001306508137762055
Position 138: 0.00011554748217597773
Position 1213: 0.00010141432058939431
Position 1494: 9.466868028463294e-05
Position 1014: 8.49119841577746e-05
Position 400: 7.29461262887668e-05
Position 1728: 4.9830506376288545e-05
Position 486: 4.4636674399439855e-05
Position 417: 3.639297402104778e-05
Position 774: 2.9533523838685913e-05
Position 663: 6.164624792892717e-07
Position 429: 2.2459494440695765e-09
Position 251: 1.3764220420602975e-09
Position 84: 1.2493978439607744e-09
