Gene = Mreg
index = 695
Annotated 5SS: [  291 20265 48236 49986]
Annotated 3SS: [20104 48144 49821 51287]
SMsplice 5SS: [  291 14224 20265 26005 31852 33382 48236 48905 49986]
SMsplice 3SS: [14101 20104 25951 31728 33277 48144 48741 49821 51287]
top_k =  500
Partition function (log Z): -28.283068257085546

Sorted 5' Splice Sites (High to Low Probability):
Position 291: 0.9907389086782962
Position 8203: 0.8709389363634293
Position 2623: 0.6377135388355094
Position 14224: 0.40518231498108453
Position 20265: 0.3040633693747776
Position 10996: 0.21102582113206375
Position 6015: 0.16563706075873755
Position 1473: 0.16535304628200034
Position 7489: 0.16275514661221216
Position 7396: 0.1174170443633357
Position 7894: 0.08864415233630595
Position 7721: 0.03492382942826572
Position 2641: 0.030450911428478698
Position 2844: 0.024835121209200076
Position 2188: 0.022598185592078334
Position 3719: 0.02054421146156393
Position 7656: 0.017051236064408448
Position 2850: 0.014115778159938358
Position 2561: 0.013437203778123005
Position 7546: 0.013068003595715182
Position 992: 0.011874513526112835
Position 2747: 0.009920002988898604
Position 6346: 0.009752898830258573
Position 286: 0.008254584764508396
Position 7494: 0.006768827263032946
Position 4583: 0.005360002144948003
Position 1375: 0.005354252711117416
Position 4769: 0.005174809878909317
Position 4888: 0.004690434011655205
Position 7296: 0.002875781406852162
Position 2311: 0.002719467678342249
Position 1478: 0.002663251929799115
Position 7371: 0.0024300741423902493
Position 557: 0.002008288031319594
Position 2112: 0.0012059669788413762
Position 929: 0.0010701106990280128
Position 2047: 0.0009566961777628475
Position 295: 0.0006854854339910991
Position 5794: 0.0006333228382319615
Position 4658: 0.0006135245265215826
Position 5519: 0.0005961940761519716
Position 2761: 0.000457338351702914
Position 8336: 0.0004132853797408151
Position 1026: 0.0003536261086298719
Position 2806: 0.00034307182631367923
Position 1441: 0.0002614291970927021
Position 3457: 0.0002442401748596444
Position 1405: 0.0002200332509316188
Position 3102: 0.00010372846762330619
Position 4797: 9.360714223770615e-05
Position 315: 8.36196530586452e-05
Position 246: 8.099168771488677e-05
Position 2947: 5.664591968826474e-05
Position 953: 4.6537716785495364e-05
