Gene = MRRF
index = 882
Annotated 5SS: [  283  6420 15943 20632 27185 48731]
Annotated 3SS: [ 6207 15786 20512 27092 48570 57883]
SMsplice 5SS: [  283  6420 20632 26976 27185 29707 48731]
SMsplice 3SS: [ 6296 20512 26892 27092 29602 48570 57883]
top_k =  500
Partition function (log Z): -18.72757592904585

Sorted 5' Splice Sites (High to Low Probability):
Position 20632: 0.9999986750429289
Position 283: 0.9975853192961648
Position 27185: 0.9691506955807224
Position 6420: 0.8999598177531256
Position 26976: 0.8903238309307335
Position 29707: 0.5234211874708922
Position 7070: 0.4959751577393332
Position 12484: 0.4877329532610313
Position 1125: 0.4573533048793792
Position 21511: 0.407580316647964
Position 13709: 0.32725272767043906
Position 25496: 0.31284313465860353
Position 21291: 0.2762742599283133
Position 31514: 0.256423570874208
Position 29724: 0.22868231521252516
Position 1045: 0.1409631906426875
Position 31892: 0.11886777003577316
Position 30705: 0.11786957733590603
Position 8280: 0.10519695383282972
Position 25191: 0.10343719471267712
Position 25383: 0.1005351649619566
Position 5436: 0.1004905978278643
Position 4700: 0.09881948055672142
Position 1373: 0.07223981330044738
Position 25141: 0.0675495076269527
Position 5401: 0.0671595105987269
Position 20922: 0.06311475404946235
Position 20947: 0.05585780631210595
Position 30114: 0.0533380168414169
Position 30379: 0.04939303658622962
Position 27524: 0.04841980010110868
Position 30660: 0.04038020129135502
Position 1491: 0.03625494317553335
Position 3283: 0.03503875581389613
Position 25721: 0.0343588714209419
Position 35059: 0.03419158969724337
Position 3460: 0.03372577148083202
Position 1765: 0.024411399853252434
Position 27577: 0.02377777021485739
Position 27171: 0.0236820461680395
Position 842: 0.02186361947766148
Position 1032: 0.020306176917303218
Position 890: 0.014673120834361975
Position 30143: 0.011900517481498372
Position 6490: 0.009300489506157257
Position 12990: 0.0075699199656869475
Position 33739: 0.006863744447564392
Position 1052: 0.003577443187418386
Position 1015: 0.0022220518414846693
Position 618: 0.002154381067328932
Position 5318: 0.0019531748365890695
Position 1379: 0.001761923678838008
Position 7022: 0.0016588005311044998
Position 29703: 0.0014723174308126084
Position 7388: 0.0008284096093634538
Position 5545: 0.0006402462829648094
Position 6883: 0.0005576142425737336
Position 264: 0.00047530612839067943
Position 29885: 0.000378642712576545
Position 12367: 0.0003700733580508237
Position 1217: 0.00036002323292713635
Position 118: 0.00028361798916351277
Position 30173: 0.00023645071424813774
Position 8148: 0.00021723546010755617
Position 458: 0.0001943870623840345
Position 648: 0.00017681612496748387
Position 11778: 0.00017640756836492748
Position 104: 0.0001615563528312984
Position 1084: 0.00011944539024153557
Position 8175: 8.85474588233997e-05
Position 858: 7.15376107748554e-05
Position 4712: 5.2250143390868484e-05
Position 4747: 4.8409314411151875e-05
Position 640: 4.668145718304075e-05
Position 30: 3.071492287891468e-05
Position 6790: 2.703366493350986e-05
Position 180: 2.5923846133151702e-05
Position 3630: 1.8229960139450535e-05
Position 998: 1.1848338216259968e-05
Position 879: 1.0612684230768696e-05
Position 220: 1.0191136721329194e-05
Position 398: 9.38695117329647e-06
Position 287: 8.693329539338756e-06
Position 392: 6.348135885061686e-06
Position 139: 5.1605668331570895e-06
Position 1082: 4.520036022513915e-06
Position 253: 2.3665435414135875e-06
Position 235: 2.0174813803370462e-06
Position 1117: 1.5932749058595595e-06
Position 895: 1.516037705408062e-06
Position 448: 1.3428672700840038e-06
Position 326: 1.3309763316157189e-06
Position 320: 1.3211708272937245e-06
Position 521: 1.2358802285284606e-06
Position 956: 1.042859145354142e-06
Position 572: 8.319435894186144e-07
Position 1038: 8.123861752361394e-07
Position 1049: 7.250484165443499e-07
Position 923: 5.074671040082415e-07
Position 76: 4.411493147180104e-07
Position 289: 4.351259777493494e-07
Position 817: 4.169245561419678e-07
Position 173: 3.1682362597694633e-07
Position 632: 3.161819961266728e-07
Position 736: 2.6512827995945364e-07
Position 315: 1.7862287321268657e-07
Position 207: 1.7508866872049025e-07
Position 212: 1.5836629675967592e-07
Position 847: 1.24546522149058e-07
Position 826: 1.0048883827128875e-07
Position 73: 7.347826254899643e-08
Position 317: 6.197300504253749e-08
Position 550: 5.484590635668087e-08
Position 544: 3.902259148930029e-08
Position 715: 2.803265965560999e-08
Position 433: 1.287487869586666e-08
Position 42: 6.120319324227061e-09
Position 62: 1.6519167384611667e-11
Position 244: 1.4057517991733334e-13
Position 381: 1.7963926971886243e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 20512: 0.9999986750429323
Position 27092: 0.9824563263876664
Position 26892: 0.904949681954007
Position 805: 0.6402512847812173
Position 29602: 0.5947354325443633
Position 12233: 0.4881030266190809
Position 6296: 0.47922198962569623
Position 6207: 0.4151210622144643
Position 25285: 0.41337829962056044
Position 21382: 0.4075803166479635
Position 13463: 0.32725272767043934
Position 31449: 0.26261574824470973
Position 34790: 0.2450570388577518
Position 6753: 0.2283552127204708
Position 33558: 0.22530718166847288
Position 21200: 0.20217312680254168
Position 29638: 0.17263166756854456
Position 25008: 0.17098670233962998
Position 5248: 0.17004396603157573
Position 30251: 0.1488101716038175
Position 31714: 0.12394992732495129
Position 29969: 0.1229045748445032
Position 36087: 0.12279379423208787
Position 6932: 0.11042516510507552
Position 4616: 0.09123472823685305
Position 8199: 0.09080552484801123
Position 31598: 0.08954865370516253
Position 1216: 0.08265800045599112
Position 30810: 0.06928951001645683
Position 30418: 0.06720359778603385
Position 21123: 0.06610345585135391
Position 6996: 0.06570962387991833
Position 20791: 0.0607179871799637
Position 30633: 0.0596505088884003
Position 30614: 0.05890122598520979
Position 20813: 0.05825457318160483
Position 6858: 0.05293218661529437
Position 27419: 0.04210738694259573
Position 25604: 0.0343588714209419
Position 3202: 0.03308823342704836
Position 6882: 0.030423011136536417
Position 3360: 0.02807375197236794
Position 32989: 0.022793618927973238
Position 27371: 0.012908650554468453
Position 1018: 0.012173773871960078
Position 29668: 0.011526049863650934
Position 6678: 0.01037341924145077
Position 948: 0.010343026894594333
Position 6317: 0.010138689926239876
Position 8127: 0.009917833443199778
Position 1282: 0.008857293981792675
Position 1239: 0.008308739247668406
Position 30490: 0.008115571380519753
Position 21044: 0.007997677274417726
Position 4622: 0.007685411777670502
Position 12919: 0.007571213416958149
Position 27439: 0.006808159363217195
Position 1681: 0.006192656239503005
Position 1615: 0.005736087778476741
Position 27271: 0.005368319844469415
Position 27467: 0.0052885605034582025
Position 3174: 0.004920432720479336
Position 31252: 0.004869686187407317
Position 6253: 0.004073080433471755
Position 31513: 0.003950567906418963
Position 28792: 0.0039066807561064605
Position 30460: 0.003571798338643451
Position 34172: 0.0035717183976328552
Position 32004: 0.0033940648629648346
Position 1670: 0.0033879453044847584
Position 8100: 0.003280505420781626
Position 1649: 0.0031653472174678456
Position 1188: 0.0026645027761222676
Position 1608: 0.002508922741981782
Position 29324: 0.0022670592732118547
Position 1462: 0.002102099314600238
Position 1309: 0.0019859610218830475
Position 32884: 0.0019334289707413441
Position 28896: 0.0018900775668843671
Position 30039: 0.0017497602559187427
Position 1160: 0.001643010538943752
Position 1633: 0.0014475717299220012
Position 8147: 0.0012868665469027347
Position 3270: 0.00103184780471355
Position 3153: 0.0009645732510944678
Position 29491: 0.0009291154836477995
Position 6180: 0.0007054850594104501
Position 7302: 0.0006818825468131517
Position 3062: 0.0006742370320119455
Position 956: 0.0006100796016341307
Position 1628: 0.0005677640074530388
Position 1415: 0.0005550626315973386
Position 482: 0.0005422491316984198
Position 28187: 0.0005210682241827287
Position 28387: 0.0004953709543891009
Position 366: 0.00037139907404661813
Position 5219: 0.0001995635145693443
Position 11679: 0.00017640756836492734
Position 1646: 0.00017133148214187662
Position 1287: 0.00016289141339261102
Position 486: 0.00015818612411636057
Position 1243: 0.00015601640406792363
Position 7281: 0.00014652706255029996
Position 1490: 0.00013197978243087403
Position 7979: 0.00012448851036931364
Position 1328: 0.00011166845191717232
Position 556: 0.00010361266984944543
Position 8003: 8.751798249610328e-05
Position 783: 3.30917902845513e-05
Position 841: 3.277093778071303e-05
Position 416: 2.8842352101556278e-05
Position 403: 2.004256469714892e-05
Position 1713: 1.905528331638129e-05
Position 494: 1.8443383733276596e-05
Position 3459: 1.8229960139450528e-05
Position 569: 1.3723470081295515e-05
Position 229: 1.3259206968456541e-05
Position 1106: 1.1669958499526929e-05
Position 3032: 1.145108701254266e-05
Position 524: 1.0799350183061677e-05
Position 1594: 1.0534494353624959e-05
Position 1373: 9.889601946955913e-06
Position 748: 9.350599626780224e-06
Position 1038: 8.428490253959956e-06
Position 346: 8.016808252673116e-06
Position 1021: 8.01378632370721e-06
Position 599: 7.667963822026182e-06
Position 103: 7.2314574996860054e-06
Position 751: 6.209649774558645e-06
Position 550: 6.044927555158653e-06
Position 725: 6.043669604361299e-06
Position 519: 5.2718569812176316e-06
Position 810: 5.009225623456057e-06
Position 398: 4.058127436907192e-06
Position 854: 3.667634864344746e-06
Position 185: 3.3239275562773326e-06
Position 895: 2.952461288171267e-06
Position 158: 2.587843421190369e-06
Position 1334: 1.722593541544905e-06
Position 667: 1.7200177733215674e-06
Position 374: 1.691730837318395e-06
Position 1284: 1.0401609690386243e-06
Position 506: 9.597140608459876e-07
Position 630: 9.150087914047796e-07
Position 890: 8.669978106582e-07
Position 122: 8.462320810799323e-07
Position 964: 8.396242946951266e-07
Position 1045: 6.712035887803859e-07
Position 1330: 6.404180729019565e-07
Position 422: 4.999639724853696e-07
Position 448: 4.0900300351989375e-07
Position 575: 2.987984530115307e-07
Position 617: 2.1669795374871472e-07
Position 673: 1.928529261863754e-07
Position 134: 1.8527472638672042e-07
Position 817: 1.4628389532910852e-07
Position 165: 1.4433269142151792e-07
Position 264: 1.0321896121891496e-07
Position 1144: 9.970086966020797e-08
Position 1049: 9.746107601742336e-08
Position 1756: 8.916491633669523e-08
Position 608: 8.833354187115838e-08
Position 1055: 8.706991267466468e-08
Position 521: 4.8845087546858886e-08
Position 572: 4.445965335542887e-08
Position 332: 4.3034554353399594e-08
Position 1167: 3.2283059925176654e-08
Position 691: 3.1324487143677715e-08
Position 736: 3.057603315592273e-08
Position 644: 3.0135839061934914e-08
Position 444: 2.7372278715424615e-08
Position 279: 1.7967057548649056e-09
