Gene = OPA1
index = 985
Annotated 5SS: [  266 21898 22627 24142 25793 33059 38522 42379 44138 44922 49702 49906
 50301 50484 50962 52482 52657 54037 54991 55728 61884 64089 65852 66418
 69819 71853 73246 74137 98989]
Annotated 3SS: [ 21578  22529  24033  25724  32947  38467  42273  44050  44807  49620
  49830  50228  50383  50830  52408  52583  53920  54925  55650  61717
  63935  65742  66337  69677  71735  73151  74025  98918 101461]
SMsplice 5SS: [   266    724  24142  25793  35473  38522  42379  44138  44922  49702
  49906  50301  50484  50962  52482  52657  53818  54037  54991  61884
  64089  65852  66418  67952  71853  73246  74137  78588  80196  90574
  90808  98989 100006]
SMsplice 3SS: [   623  24033  25724  35364  38467  42273  44050  44807  49620  49830
  50228  50383  50830  52408  52583  53729  53920  54925  61717  63935
  65742  66337  67686  71735  73151  74025  78457  79945  90458  90670
  98918  99931 103386]
top_k =  1000
Partition function (log Z): -46.29443448179005

Sorted 5' Splice Sites (High to Low Probability):
Position 266: 0.9996917700471594
Position 11361: 0.749232640886079
Position 5514: 0.6088561050000638
Position 724: 0.5879653188874338
Position 14545: 0.3257483237111284
Position 18948: 0.3246674412487423
Position 10526: 0.31667234823970114
Position 22627: 0.28557178359352287
Position 2742: 0.26762255307081523
Position 3803: 0.18455671562483283
Position 9596: 0.17171211414420148
Position 14216: 0.10786213192643425
Position 9581: 0.09858182711968468
Position 3332: 0.08828700213815624
Position 8881: 0.06124970070088304
Position 897: 0.05751006689481116
Position 2855: 0.04624431206401353
Position 5549: 0.04621619139270491
Position 5816: 0.0354989563183743
Position 10414: 0.030840242498951963
Position 825: 0.030418353218177315
Position 9826: 0.023079790973534034
Position 2533: 0.01087831338917458
Position 3771: 0.008200301167482568
Position 3580: 0.006730283311971002
Position 1698: 0.005289134857645822
Position 1524: 0.00526947360047131
Position 3724: 0.0050973332935098275
Position 5762: 0.0049548259866885585
Position 10087: 0.004876728764320152
Position 9149: 0.003569281421674306
Position 7253: 0.003423329343991513
Position 13039: 0.002314223853321271
Position 3658: 0.0021548034515445993
Position 1104: 0.0020005827670406284
Position 1196: 0.0017943520653104642
Position 2794: 0.001153743717274981
Position 991: 0.001054720585884876
Position 3559: 0.000891177422830631
Position 9481: 0.0008767730247632867
Position 1672: 0.0007243782630260736
Position 624: 0.0006145238987221644
Position 755: 0.0005924789868939734
Position 16525: 0.0004623632796021176
Position 1875: 0.00041522056161822285
Position 2395: 0.0004048113525181976
Position 1339: 0.00020516493939035454
Position 5511: 0.0001766864207259142
Position 2481: 0.00014939560028531812
Position 813: 0.0001358936164437461
Position 7275: 0.000135069852431625
Position 707: 8.900615163083553e-05
Position 1639: 8.809113373969164e-05
Position 352: 8.710103222054952e-05
Position 2535: 8.29062899164371e-05
Position 2539: 7.740200424197369e-05
Position 3376: 6.84563459812549e-05
Position 2831: 5.901179662621e-05
Position 946: 5.6550806512512135e-05
Position 864: 5.5801075325683635e-05
Position 2178: 4.7513060472623203e-05
Position 49: 4.6898562043593867e-05
Position 1613: 4.648546192619523e-05
Position 292: 4.3631000257450334e-05
Position 2130: 4.305799774140688e-05
Position 2487: 4.2145593752021024e-05
Position 7430: 3.7642251203807684e-05
Position 815: 3.75378443262824e-05
Position 7372: 3.697083598515852e-05
Position 5739: 3.1952060436040804e-05
Position 1561: 2.7742847502062466e-05
Position 786: 2.5606713321231833e-05
Position 1134: 2.5045165167296206e-05
Position 520: 2.307345372404083e-05
Position 270: 2.1494995255255137e-05
Position 2366: 2.1284734757426083e-05
Position 2760: 2.0169386326999887e-05
Position 439: 1.9659507850555194e-05
Position 1010: 1.833211424967243e-05
Position 2585: 1.7062442354940625e-05
Position 1238: 1.1551529210697256e-05
Position 759: 1.0235455761956061e-05
Position 949: 7.85202208263407e-06
Position 2919: 7.160306903688751e-06
Position 55: 6.634375024171595e-06
Position 1962: 6.553589357284979e-06
Position 2837: 5.959459134748436e-06
Position 2726: 5.826432106546074e-06
Position 1617: 5.673947898283336e-06
Position 2195: 5.5680936013045635e-06
Position 20: 5.3609999536026234e-06
Position 2940: 5.231401595258253e-06
Position 2764: 2.963315135123043e-06
Position 537: 2.838952571642364e-06
Position 247: 2.000123881491337e-06
Position 145: 1.2908903636499378e-06
Position 529: 1.2032110705078044e-06
Position 236: 1.12332728249395e-06
Position 558: 9.678295762100047e-07
Position 2152: 7.178592360711168e-07
Position 258: 6.6457914350955e-07
Position 1425: 6.645246001910082e-07
Position 315: 6.054441229079885e-07
Position 2751: 5.970701989936211e-07
Position 78: 4.546936302774631e-07
Position 115: 4.322456815765189e-07
Position 214: 4.225847451838456e-07
Position 674: 3.7194988559348253e-07
Position 396: 3.150781105297624e-07
Position 61: 2.9820074598081954e-07
Position 1162: 1.9347120564426192e-07
Position 705: 1.873599864816096e-07
Position 574: 1.2873190529287333e-07
Position 1193: 1.1370354876517282e-07
Position 569: 1.0862942375968393e-07
Position 346: 9.497404458990207e-08
Position 25: 9.277007366896864e-08
Position 1051: 6.346855145384985e-08
Position 935: 4.9641981000031525e-08
Position 28: 4.133884944204149e-08
Position 200: 3.7951349264251816e-08
Position 1137: 3.659104210258107e-08
Position 37: 2.5794688307828006e-08
Position 378: 2.5667218154412062e-08
Position 862: 1.8699572249814664e-08
Position 560: 1.5421503372065166e-08
Position 31: 1.5419569316828895e-08
Position 585: 1.206534522050164e-08
Position 578: 4.012568388992761e-09
Position 567: 3.4488058883690595e-09
Position 676: 2.499759966155594e-09
