Gene = rogdi
index = 1859
Annotated 5SS: [ 226 1126 1943 2421 2623 3367 3774]
Annotated 3SS: [1000 1808 2348 2490 3208 3442 4785]
SMsplice 5SS: [1126 2421 2623 3367 3774]
SMsplice 3SS: [2348 2490 3208 3442 4785]
top_k =  1000
Partition function (log Z): 0.6087244553726574

Sorted 5' Splice Sites (High to Low Probability):
Position 3367: 0.9993606285915101
Position 1126: 0.8782902343804946
Position 2623: 0.7615984589419146
Position 2421: 0.7613292215492327
Position 4455: 0.43501653081477576
Position 3774: 0.4283225437975075
Position 3844: 0.40693268296786056
Position 824: 0.3271044838018992
Position 226: 0.21789691939538597
Position 4704: 0.19394180779336853
Position 947: 0.17207772264621254
Position 1943: 0.164608331474062
Position 4746: 0.11751081458052505
Position 4235: 0.07765263236980205
Position 1568: 0.06788267755193901
Position 4988: 0.06725825131131936
Position 125: 0.04958988192379072
Position 2672: 0.03666683663063872
Position 1226: 0.036156964840730006
Position 4885: 0.03376282366235673
Position 4731: 0.02666412485420567
Position 3146: 0.024271409162773875
Position 4979: 0.021691994687332218
Position 4075: 0.01992270830402052
Position 4693: 0.01747740638023062
Position 3827: 0.011235183531932853
Position 5439: 0.008765169773450238
Position 3980: 0.008143574848396425
Position 5298: 0.005960713544741747
Position 167: 0.005735287315660344
Position 3795: 0.005169088680669211
Position 4968: 0.005064486861364629
Position 4716: 0.004656415425213894
Position 2661: 0.003605399171723402
Position 4082: 0.0033962391481778
Position 1572: 0.0033947375140686506
Position 2829: 0.003060228605665914
Position 2650: 0.0028513391124454983
Position 4260: 0.0027765355165739157
Position 3022: 0.002167766854981622
Position 3991: 0.0018565867460880426
Position 2736: 0.0014205612543743355
Position 3032: 0.0012313849854879801
Position 4126: 0.0009028053158922559
Position 120: 0.0008977996009767559
Position 5443: 0.0008031357174639879
Position 1708: 0.0008018421598401845
Position 5275: 0.0007788138327833094
Position 4605: 0.0006938766773587781
Position 887: 0.0006680965292136717
Position 1188: 0.0006047825003094717
Position 156: 0.0005963303282243585
Position 2676: 0.0005521693250948385
Position 600: 0.0004944493628664347
Position 4325: 0.0004884045071891307
Position 582: 0.00040531103526921035
Position 1233: 0.0003997335599450062
Position 3874: 0.00036838097779294163
Position 1080: 0.00036345853488488724
Position 50: 0.0003374086713928351
Position 315: 0.00033208272473325375
Position 1215: 0.00032256831406473013
Position 4308: 0.00031243648384458465
Position 321: 0.00030522450471896675
Position 2731: 0.0003031755597604255
Position 448: 0.00029762511660690055
Position 1923: 0.000288556736059197
Position 3600: 0.00028740500348551533
Position 3086: 0.0002627518892619717
