Gene = Mrps18c
index = 713
Annotated 5SS: [ 234  987 3365 4484 5403]
Annotated 3SS: [ 924 3280 4425 5342 5704]
SMsplice 5SS: [ 234 3365]
SMsplice 3SS: [3280 5704]
top_k =  500
Partition function (log Z): -6.612343932284019

Sorted 5' Splice Sites (High to Low Probability):
Position 234: 0.9220004578627643
Position 3365: 0.7108412173987627
Position 987: 0.44300237303668316
Position 5403: 0.38093296587866027
Position 5605: 0.23395643538244554
Position 966: 0.17351437612192752
Position 273: 0.04757107733748809
Position 4965: 0.0355394471555411
Position 5609: 0.018861781071861383
Position 5601: 0.018537523881668568
Position 2417: 0.016483334335949583
Position 2026: 0.01361743051765871
Position 1691: 0.01324416526993459
Position 3797: 0.01014047109455576
Position 2129: 0.009877007473953326
Position 1487: 0.009627393227489303
Position 4484: 0.008067510207598416
Position 2035: 0.006949475502379805
Position 5595: 0.0058061248003525665
Position 2224: 0.004673910128436308
Position 1414: 0.004399758337755942
Position 1110: 0.004314212452599093
Position 4333: 0.00388427155625616
Position 2241: 0.0030472068847395128
Position 1433: 0.0020198122442140576
Position 5569: 0.001845149952479544
Position 561: 0.0018092694322306437
Position 1104: 0.0013217762627602768
Position 795: 0.001305400217437468
Position 269: 0.0011187070173489153
Position 3375: 0.0010127605851585236
Position 318: 0.0009424646009500699
Position 241: 0.0008596976800018073
Position 7: 0.0006108472821123784
Position 278: 0.00041476730576033466
Position 171: 0.0003253142072437611
Position 287: 0.0002967003376686573
Position 1122: 0.00019005615974165602
Position 96: 0.00018853237763308774
Position 3421: 0.00013129272100315906
Position 1640: 0.00011739532024949614
Position 384: 0.00011570940808670996
Position 1128: 0.00010211991669401566
Position 1038: 9.779680424513218e-05
Position 532: 9.299657936193006e-05
Position 724: 7.326758028792852e-05
Position 1418: 7.004417722837448e-05
Position 1124: 6.621041272064748e-05
Position 155: 6.079716139816951e-05
Position 552: 5.8751006491925724e-05
Position 769: 5.680529215221125e-05
