Gene = AT4G03150
index = 641
Annotated 5SS: [345]
Annotated 3SS: [585]
SMsplice 5SS: [345]
SMsplice 3SS: [585]
top_k =  1000
Partition function (log Z): -5.523970279557179

Sorted 5' Splice Sites (High to Low Probability):
Position 345: 0.9673705602378119
Position 471: 0.021404655214659667
Position 368: 0.00810894983208194
Position 320: 0.0020494863645702526
Position 404: 0.001785009725386704
Position 486: 0.0009910613870093806
Position 317: 0.0006304044665479866
Position 291: 0.0006264429816438653
Position 847: 0.00044082424828499107
Position 852: 0.0003979711465374755
Position 479: 0.0003580325453965477
Position 857: 0.00016248650958621837
Position 545: 0.0001579335632666346
Position 681: 7.38266042957112e-05
Position 62: 4.967665704235624e-05
Position 192: 4.536485321468581e-05
Position 58: 4.472754400661604e-05
Position 670: 4.2438803631087955e-05
Position 78: 3.327916960447257e-05
Position 713: 2.8263242202952383e-05
Position 862: 2.4579432651207717e-05
Position 823: 2.408695321446319e-05
Position 66: 2.216522234896408e-05
Position 732: 1.7706618461943584e-05
Position 692: 1.6442318072918088e-05
Position 867: 1.549035529406635e-05
Position 93: 1.4239979904498464e-05
Position 245: 1.232969906072186e-05
Position 227: 1.1431019064569184e-05
Position 665: 9.006821045723261e-06
Position 872: 8.754638462018302e-06
Position 90: 8.343334166344589e-06
Position 159: 7.336015630142349e-06
Position 540: 7.00046705344844e-06
Position 883: 6.3702445671204e-06
Position 655: 3.966172197671321e-06
Position 633: 2.1763554820661496e-06
Position 621: 2.032308450365298e-06
Position 604: 1.6797617484406491e-06
Position 98: 1.446605436874369e-06
Position 24: 1.3955275160312916e-06
Position 254: 6.766556333250635e-07
Position 524: 4.079236352801495e-07
Position 31: 3.7360107194791195e-07
Position 597: 3.2025430985699277e-07
Position 895: 2.899174194295103e-07
Position 19: 2.6916989162155923e-07
Position 29: 1.8644688810204907e-07
Position 576: 9.665122186548158e-08
Position 9: 8.780408008484958e-08
Position 569: 1.6869987678526976e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 585: 0.9175062189923647
Position 469: 0.05950516896073012
Position 558: 0.01321454494539298
Position 516: 0.01161705385598127
Position 937: 0.0015888283758645277
Position 540: 0.0004100257355450948
Position 402: 0.00016370516569115168
Position 633: 0.00016124043975181742
Position 665: 0.00014620570920265605
Position 964: 0.00012928921567319096
Position 830: 0.0001047525124962309
Position 518: 0.00010160659978285961
Position 943: 7.206115940257487e-05
Position 645: 4.682770118155284e-05
Position 509: 3.763685415419984e-05
Position 602: 3.421906543588044e-05
Position 738: 2.3687033549193224e-05
Position 692: 2.2369860968088075e-05
Position 267: 2.113383396757123e-05
Position 703: 1.6170087980773697e-05
Position 808: 1.5314898609919656e-05
Position 159: 9.982090106115723e-06
Position 389: 7.944071609334758e-06
Position 524: 7.2412317707633995e-06
Position 748: 6.5143605672055804e-06
Position 273: 6.392147670868617e-06
Position 915: 6.167130093194611e-06
Position 245: 5.760684312257393e-06
Position 604: 5.242650063197278e-06
Position 670: 3.6929689250286906e-06
Position 660: 3.2226686584163934e-06
Position 772: 2.908586407536872e-06
Position 895: 2.5706061957220834e-06
Position 776: 2.4701133466744396e-06
Position 163: 1.6782658534599548e-06
Position 154: 1.617269530082039e-06
Position 673: 1.1983456061878714e-06
Position 726: 1.1919708609332337e-06
Position 270: 1.134912127523214e-06
Position 192: 1.0526718051639392e-06
Position 705: 9.57696629616671e-07
Position 835: 9.461881052371961e-07
Position 709: 9.221927290029337e-07
Position 724: 7.619701980458246e-07
Position 867: 4.733119061447479e-07
Position 276: 4.2786241613035816e-07
Position 151: 2.4944559701002137e-07
Position 196: 1.575824392031156e-07
Position 187: 1.5003043348625097e-07
Position 288: 1.3859305741497608e-07
Position 282: 1.1581494506071412e-07
Position 713: 1.1109323340504168e-07
Position 312: 9.880767253341126e-08
Position 98: 9.711731366907887e-08
Position 883: 7.981490811211666e-08
Position 334: 6.713459862042564e-08
Position 681: 6.077042168998553e-08
Position 890: 4.460024050456739e-08
Position 317: 4.165522470513424e-08
Position 872: 2.9749827021745645e-08
Position 184: 2.5534149714898977e-08
Position 852: 2.4817744324386675e-08
Position 297: 2.05561683010295e-08
Position 862: 1.8096366248120937e-08
Position 857: 1.3850432965004535e-08
Position 315: 1.2984502806076448e-08
Position 847: 5.381723032170754e-09
Position 336: 3.833200789523233e-09
Position 344: 5.3291371439646564e-12
