Gene = LOC101736143
index = 157
Annotated 5SS: [ 316 6484 8430 9979]
Annotated 3SS: [ 6377  8243  9824 12414]
SMsplice 5SS: [ 316 4988 6484 8430 9979]
SMsplice 3SS: [ 4811  6377  8243  9824 12414]
length: 14466
Partition function (logZ) = -3.072300468611095
#Exons = 808
3SS, 5SS, prob
8243, 8430, 0.9754651799614266
6377, 6484, 0.944483453515819
12414, -1, 0.7519865602789563
9824, 9979, 0.7335080943347483
0, 316, 0.7211955202641696
4811, 4988, 0.4819550629335899
4811, 4973, 0.4209264189316926
12414, 12498, 0.17341738465232015
3043, 3229, 0.13455762170346136
1023, 1150, 0.08692626081974142
2727, 2943, 0.08525065472796955
3727, 3925, 0.06217331686798636
0, 436, 0.05903126391060776
0, 15, 0.0542481101241415
13830, -1, 0.04814660956837194
5182, 5271, 0.04634683561418112
8857, 9035, 0.04474097880957389
7111, 7313, 0.04170309985780699
7798, 8034, 0.038463018585354634
6380, 6484, 0.035094291760574096
5503, 5660, 0.0330956008478009
0, 320, 0.03286731932636011
13365, -1, 0.03248220136597754
0, 872, 0.03118773605354879
0, 656, 0.031112998332974026
12414, 12509, 0.030383759025588694
13050, -1, 0.03035873646486795
1678, 1818, 0.028645934834825724
8857, 9039, 0.028488261666854895
3043, 3129, 0.027683106163922337
7786, 8034, 0.026409886038876954
9764, 9979, 0.025811498395967504
0, 488, 0.023924926089806006
5127, 5271, 0.022675049970909158
13852, -1, 0.01858918973064179
8994, 9088, 0.01852449112830264
7111, 7190, 0.018321091725984458
5503, 5539, 0.017110138536424617
14129, -1, 0.01701351127008845
5182, 5287, 0.01526645330007794
5152, 5271, 0.01438791543307777
4097, 4245, 0.013724486014456723
13102, -1, 0.013513447609023706
7111, 7204, 0.01264096918979597
7948, 8034, 0.012570583059897607
1023, 1154, 0.012452215719295511
13696, -1, 0.012290308485952067
8857, 9088, 0.011676356035612371
6326, 6484, 0.011159684744948543
1722, 1818, 0.01075470933360435
0, 462, 0.010348146475235827
13919, -1, 0.010174685500390353
14395, -1, 0.009903272564919718
5163, 5271, 0.009397085588384927
13055, -1, 0.009268949479738251
0, 1818, 0.009248186582511237
5182, 5503, 0.009159328319601041
12414, 12524, 0.0091172548604849
8644, 8838, 0.009054081328699152
11276, 11477, 0.009046790924299462
5444, 5539, 0.008994945325713398
8734, 9035, 0.008794294860025562
2180, 2342, 0.008757652230289212
8734, 8838, 0.008522376572485531
1023, 1065, 0.008458016749411568
8857, 8995, 0.008419664084781519
9867, 9979, 0.0084056144033526
2806, 2943, 0.008162091523852655
7111, 7371, 0.007689929647367189
12414, 12796, 0.007618468745233055
13041, -1, 0.007115215250944504
8734, 8842, 0.0070511153196078005
5059, 5271, 0.00704767593047332
2131, 2342, 0.00697954978915141
4187, 4432, 0.006932381131207711
4839, 4988, 0.006577472068960588
8644, 8842, 0.006383227796730689
11073, 11290, 0.006319933502586605
7111, 7208, 0.006211255892076726
1678, 1792, 0.005843729373920785
2260, 2342, 0.005812844749319198
8994, 9035, 0.005640478986223338
2727, 2903, 0.005638208936135091
8734, 9039, 0.005576965108635885
1341, 1571, 0.005197288072730826
912, 1065, 0.005179506813493619
3727, 3809, 0.005054910790926804
7677, 8034, 0.004772234451735913
4839, 4973, 0.004686438028288323
7370, 7550, 0.004684115763053391
5127, 5287, 0.004593629111425922
7798, 8025, 0.004521979736613646
6869, 7041, 0.0044496654110437505
3006, 3229, 0.004381173643679363
8994, 9039, 0.0043300667312200156
779, 872, 0.004193068623624712
13334, -1, 0.004171611744393839
5444, 5503, 0.004121084882093715
3727, 3971, 0.004120998793009069
7336, 7550, 0.004117568356245819
5232, 5503, 0.003891160209964421
3006, 3129, 0.0038516081321987167
6934, 7041, 0.0038149645083589163
4147, 4245, 0.003810883594628858
7111, 7550, 0.0037663922604186583
6897, 7041, 0.0037370612402280448
5182, 5539, 0.0035740765702177084
5503, 5708, 0.003559875013529837
0, 846, 0.003538392772213134
10333, 10558, 0.0035335651784685253
5152, 5287, 0.003517495345292097
0, 270, 0.0034264764476655595
1521, 1818, 0.003399867247999775
8243, 8348, 0.0033908075545072114
14099, -1, 0.0033437534180758522
5199, 5271, 0.0032722198092083837
7786, 8025, 0.003103400454693594
5182, 5347, 0.003103108900053952
13309, -1, 0.0030327934059747206
12195, 12360, 0.002925013119365925
4337, 4432, 0.0027861504412259788
11276, 11396, 0.0027500763037098344
0, 1571, 0.00271976749619012
0, 145, 0.002714946009288886
11276, 11494, 0.002657684186213222
0, 1792, 0.002652336972041532
2727, 2885, 0.002621214963007456
13459, -1, 0.002561809678219427
8734, 9088, 0.0025419868958555976
0, 1065, 0.0025317652023449243
8644, 9035, 0.002526523158227996
5163, 5287, 0.0025152979113493425
4187, 4245, 0.002501159244147999
14417, -1, 0.0024206077687944465
8734, 8995, 0.00237811564381401
1023, 1319, 0.0022498247343966838
0, 1150, 0.002187258300040214
13419, -1, 0.002148245930883419
7486, 7550, 0.0021447239462885352
0, 73, 0.0021294532604638826
6377, 6502, 0.0020436071772673642
13031, -1, 0.0019836816461259997
5232, 5271, 0.0019709886087783167
5185, 5271, 0.0019097974924990454
13738, -1, 0.001858632545815382
7868, 8034, 0.0018391918170172425
4097, 4258, 0.0018059361220685657
6785, 7041, 0.0018020735676443631
1678, 1804, 0.001786081658162471
2836, 2943, 0.0017328313386435232
11073, -1, 0.0017140374973102863
912, 1150, 0.0016888246150393877
5976, 6120, 0.0015890221511825897
8644, 9039, 0.0015874927050475562
9624, 9979, 0.001579830080983372
10056, 10349, 0.0014897440030299058
5847, 6120, 0.0014583704019950842
5232, 5539, 0.0014551241989635315
3883, 3925, 0.0014035066049944034
0, 592, 0.001387365891535081
1722, 1792, 0.0013528525345868347
10056, -1, 0.0013493106148740237
1521, 1792, 0.0013383702103473703
7486, 7606, 0.0012993439418420524
5503, 5786, 0.0012610356567856174
13402, -1, 0.001257502042839926
7549, 7606, 0.0012471504441448791
12448, -1, 0.0012172247594015684
5199, 5503, 0.0012074928857078902
1301, 1571, 0.001202538151594605
6934, 7190, 0.001170680933891966
1451, 1571, 0.0011613365541960185
6600, 6770, 0.0011571721295377084
8243, 8355, 0.0011363072691125905
13515, -1, 0.0011316383407138995
0, 2342, 0.001123989570009932
10397, 10558, 0.0011164014615361267
2533, 2943, 0.0010760153047931049
10757, -1, 0.0010670431783612818
5059, 5287, 0.001062508889398077
5503, 5746, 0.0010428298842686545
5199, 5287, 0.0010349019133775125
11690, 11790, 0.0010292438124310213
10056, 10179, 0.0010152445301381313
8137, 8430, 0.000992241683566116
5444, 5660, 0.0009688027951962919
1375, 1571, 0.000954299617360919
1023, 1571, 0.0009366380221767826
10449, 10558, 0.0009253966854326548
13365, 13485, 0.0009239777763898295
1341, 1818, 0.0008902263406211942
7948, 8025, 0.0008854951306766319
976, 1150, 0.0008829442405122307
11276, -1, 0.0008781789120413057
12414, 12529, 0.0008633982859137397
8862, 9035, 0.0008383169068837355
4147, 4432, 0.0007935373521894716
3003, 3129, 0.0007934396742660904
14146, -1, 0.0007912770926577004
12111, 12360, 0.0007881649420588706
0, 2943, 0.0007698032287474295
3003, 3229, 0.000763701318132275
6084, 6277, 0.0007520925775186746
2493, 2943, 0.0007513433293733613
3043, 3060, 0.000744047960871517
844, 872, 0.0007432907612063568
10065, 10349, 0.0007347814104065712
10581, -1, 0.0007273202945501013
6172, 6277, 0.0007223150760499702
2453, 2943, 0.0007136683985916679
8644, 9088, 0.0007110992339453036
1599, 1818, 0.000698470515976144
2187, 2342, 0.0006970694285775691
10204, 10349, 0.0006902715033886278
7111, 7378, 0.0006892649009949405
2064, 2342, 0.0006883450502546848
844, 1065, 0.0006846222685245642
8644, 8995, 0.0006746326780262183
8243, 8394, 0.0006697093470517909
8669, 8838, 0.0006692351804805102
4097, 4432, 0.0006654811798322537
6335, 6484, 0.0006653289532758762
4198, 4432, 0.0006620780745399522
2716, 2943, 0.0006604444014500126
2015, 2342, 0.0006552458459770213
5519, 5660, 0.0006195734358852963
10065, -1, 0.0006154863019353295
7798, 7944, 0.0006032873088787887
9553, 9979, 0.0005978373179297957
7111, 7264, 0.0005939230843401296
11156, 11290, 0.000555207279605684
9521, 9979, 0.0005530042380417855
5152, 5503, 0.0005380551067724485
6566, 6770, 0.0005273198531414026
8862, 9039, 0.0005244539627411335
1521, 1571, 0.0005155037814991565
8644, 8681, 0.0005135194389073174
8841, 9035, 0.0005050513458089135
9605, 9979, 0.0005038977713015577
5163, 5503, 0.0005010652674154753
7677, 8025, 0.0005009583657874969
1722, 1804, 0.0004992279061592248
7486, 7582, 0.0004959304775756769
10664, -1, 0.0004922289196112044
10333, -1, 0.0004880411017541391
5127, 5503, 0.000479808920258174
7786, 7944, 0.000476553621368333
8669, 8842, 0.0004693838594120108
12975, -1, 0.00046274198576812074
7454, 7550, 0.0004602125182608005
2131, 2239, 0.00045943151724366684
5101, 5271, 0.0004562228141038143
834, 872, 0.00045336439309082426
5232, 5287, 0.00045107199513119125
10757, 10863, 0.0004305966475749177
10056, 10215, 0.0004291644609666448
12140, 12360, 0.0004289908356006677
2727, 3060, 0.00042657860233249773
10423, 10558, 0.000415076591369063
5182, 5367, 0.0004092355012059052
976, 1065, 0.0004088976433811497
8644, -1, 0.0004076704995871801
7262, 7550, 0.00040557544406168627
6242, 6484, 0.0004047992499991422
5098, 5271, 0.00040401767131412994
0, 1804, 0.00040121664851531326
5976, 6116, 0.0003998307244183211
5185, 5287, 0.0003951843200539169
6934, 7204, 0.000394509069259441
6897, 7190, 0.0003932158507124059
8807, 9035, 0.00038387204757067304
10065, 10179, 0.00038227814123934205
13050, 13185, 0.0003811862234088711
12111, -1, 0.0003788132673826777
1451, 1818, 0.00037874248688801195
5847, 6116, 0.0003763334974178118
8734, -1, 0.00037584817453318844
12195, -1, 0.0003753679779050116
2727, 3129, 0.00037452343111033876
2407, 2943, 0.00036577639983547143
5232, 5347, 0.0003545395333824735
7549, 7582, 0.0003532423316791256
5199, 5539, 0.0003514581960552627
10333, 10450, 0.0003495356085715582
13284, -1, 0.0003493234949487419
1341, 1557, 0.0003484248131238876
9290, 9979, 0.0003449291062720226
1341, 1792, 0.0003371170681992613
13050, 13188, 0.00033265126338725016
1801, 1818, 0.0003230681065006743
7111, 7178, 0.0003225642317103099
12282, 12360, 0.0003221378019530799
1722, 1878, 0.00031685140949241794
565, 872, 0.00031400701875914446
11438, -1, 0.00031202004671484
6869, 7190, 0.0003090242616319564
7111, 7475, 0.00030619918763136807
6027, 6120, 0.0002972156812562205
1521, 1804, 0.0002964054703919228
7677, 7868, 0.0002958131395637906
7262, 7371, 0.00029403983091291086
6770, 7041, 0.0002894612430733521
8994, -1, 0.00028751069638521966
1960, 2342, 0.00028736753009340994
8857, -1, 0.00027943097497397964
8841, 9039, 0.00027904864337261436
1599, 1792, 0.00027710160820294485
6747, 7041, 0.0002764626087985332
0, 664, 0.000271919903908034
7111, 7255, 0.00026884436274847087
735, 872, 0.0002672023118525995
7336, 7475, 0.0002666039661175203
12871, -1, 0.00026615646666371774
834, 1065, 0.00026499608608300616
5199, 5347, 0.0002627182099538886
6934, 7096, 0.00026182229767989396
7549, 8034, 0.00025436385991564343
871, 1065, 0.0002503465296132011
12379, -1, 0.000249651574647172
1678, 1878, 0.00024563069714504367
8807, 9039, 0.00024398146110705493
8604, 8838, 0.00024315635620877045
9290, 9440, 0.00023647616590695165
6377, 6631, 0.000232916118728067
6785, 6897, 0.0002306287840961475
7111, 7242, 0.00022921647269523655
8884, 9035, 0.0002263116835595221
1079, 1150, 0.00022236637505221207
912, 1154, 0.00021962132002768207
12618, -1, 0.00021867603127598452
844, 1150, 0.0002174544647315178
3102, 3229, 0.00021485534963987062
10104, 10349, 0.00021485509208959698
2727, 3229, 0.00021132662629646016
5221, 5271, 0.00021105316407511924
2147, 2342, 0.00021045451464748316
9440, 9979, 0.0002088678807252862
1542, 1818, 0.00020836707741632023
10096, 10349, 0.00020338145208689844
7045, 7190, 0.00020199840384735662
6934, 7313, 0.00020026465603974317
779, 1065, 0.00019839427463503708
2121, 2342, 0.0001983452078542818
7005, 7190, 0.00019397848372238819
10065, 10215, 0.00018294087337355567
6974, 7190, 0.0001815016852802789
8862, 9088, 0.00018144756211205991
12164, 12360, 0.00018120473535436328
1301, 1818, 0.00018092832986315528
8604, 8842, 0.0001744258472208301
13050, 13334, 0.00017258990752612078
