Gene = Taf4
index = 1545
Annotated 5SS: [ 154  930 1632 2619 3408 4897 5188 6189 6420 6606]
Annotated 3SS: [ 672 1099 2456 2819 4332 4959 5294 6245 6479 6701]
SMsplice 5SS: [ 154 1014 1509 2619 3030 4897 5188 6189 6420 6606]
SMsplice 3SS: [ 201 1099 2456 2819 4332 4959 5294 6245 6479 6701]
length: 8440
Partition function (logZ) = 34.36011392365276
#Exons = 2035
3SS, 5SS, prob
6245, 6420, 0.9973599566502741
4959, 5188, 0.9712977241231714
2456, 2619, 0.9303693421724901
4332, 4897, 0.9262077514377993
6479, 6606, 0.9148525948838829
5294, 6189, 0.905787339748809
0, 154, 0.8992674283400116
2819, 3030, 0.5927516397793613
201, 1014, 0.41090206396885176
1099, 1206, 0.3230362034722349
6701, -1, 0.2490769529270842
7443, -1, 0.22518013647820187
1255, 1509, 0.17627062575800037
1099, 1509, 0.16769353269575818
2686, 3030, 0.14787597266081712
1099, 1845, 0.1322843371321572
7391, -1, 0.09951900800238621
1255, 1845, 0.0924267062539131
6709, -1, 0.08721759690576562
201, 999, 0.08574802159025989
5294, 5418, 0.07998853313686927
2819, 3408, 0.06021137690983501
3689, 3874, 0.05723786166796274
2819, 2925, 0.05586712967568607
7354, -1, 0.052815969664729956
1099, 1632, 0.05163344042923172
0, 1014, 0.051386646599364406
7102, -1, 0.04484425006581626
475, 1014, 0.04400605448364017
201, 343, 0.041620239580791814
1255, 1632, 0.03793642356697144
5870, 6189, 0.03628566780037216
6479, -1, 0.03609779512510288
201, 254, 0.035264722253048525
201, 1206, 0.034304125055649684
201, 1509, 0.030447673595826553
7662, -1, 0.028884156618667334
6479, 6610, 0.027232026549568536
6666, -1, 0.026735725002742013
2686, 3408, 0.026575788536081852
201, 930, 0.024211629590690266
4959, 5023, 0.02370774250187272
5094, 5188, 0.02361568334744881
2686, 2925, 0.023497128274387016
201, 1845, 0.02325482343019933
5638, 6189, 0.0224217698923655
201, 880, 0.021345786087069166
4683, 4897, 0.020424871679063095
8123, -1, 0.02041948535941535
7359, -1, 0.019896000866410832
8378, -1, 0.0196908136559696
3269, 3408, 0.018220867896545187
6683, -1, 0.01697833067508701
8414, -1, 0.01597754834815589
201, 287, 0.014525299931641955
6479, 6591, 0.013435132137803464
2456, 2661, 0.013347180478586145
4100, 4897, 0.012968593540723671
4332, 4516, 0.012475870597943953
3171, 3408, 0.012280757886021629
2198, 2343, 0.011871061581860382
1255, 1443, 0.01160051235194101
2030, 2619, 0.011106007564708304
3689, 4897, 0.011090826698234576
0, 999, 0.010715267819681571
2819, 3620, 0.010557885670284504
0, 254, 0.009538850961447047
4300, 4897, 0.009357635341963488
6701, 7229, 0.009281400288687106
1255, 1513, 0.009192038497599022
475, 999, 0.009185390137883876
420, 1014, 0.009087285281618108
2819, 3874, 0.009070481590801144
201, 1632, 0.009062965712995117
7114, -1, 0.00896499711644369
1099, 1513, 0.0088725577458205
2198, 2619, 0.008797956336866728
1099, 2619, 0.00847947336039012
7620, -1, 0.008268661290594285
1099, 1443, 0.008127227730794698
3689, 3901, 0.007904956641113594
5990, 6189, 0.007904269310906813
2999, 3030, 0.007853405647645435
7467, -1, 0.007455959030235045
3689, 3777, 0.007428810467758873
2030, 2343, 0.007181020110533282
7102, 7229, 0.006392482555810899
7443, 8070, 0.006094177512250829
1255, 2619, 0.006089828713821787
1306, 1509, 0.005903055921372541
0, 44, 0.005419446359067861
6039, 6189, 0.005406047908706654
2999, 3408, 0.005205283144216476
2819, 3130, 0.004756068926673406
2686, 3620, 0.004644520042498321
1099, 2343, 0.004626428396467684
5484, 6189, 0.004496353040095683
8387, -1, 0.004258103538496852
4100, 4254, 0.004244008180971609
1099, 1752, 0.004156694718997423
0, 1206, 0.004036970840816385
5867, 6189, 0.004014528224341127
2819, 4897, 0.004004845540179433
2686, 3874, 0.004004274321994267
201, 1009, 0.003836828649041471
475, 1206, 0.003773974557831917
2819, 3557, 0.0037373025907806454
5294, 6012, 0.0037176217817050145
