Gene = PELO
index = 1011
Annotated 5SS: [  475 13181]
Annotated 3SS: [11944 13468]
SMsplice 5SS: [  475 13181 13726]
SMsplice 3SS: [13063 13600 14137]
top_k =  1000
Partition function (log Z): -11.822658337804517

Sorted 5' Splice Sites (High to Low Probability):
Position 13726: 0.7639686508669706
Position 475: 0.6524111944615075
Position 8363: 0.41754484310751244
Position 1709: 0.31794678661640013
Position 12557: 0.2992384314634527
Position 5899: 0.2507121898418472
Position 11571: 0.24128828974849492
Position 12593: 0.20918944562529235
Position 1058: 0.17657801028320824
Position 56: 0.15047674922904708
Position 7409: 0.08115244943380075
Position 602: 0.07717023147811138
Position 7392: 0.06856969550860188
Position 7290: 0.06676964937329952
Position 730: 0.06251216125635951
Position 3374: 0.031269944952128315
Position 4162: 0.030702077117064762
Position 5988: 0.02697504484787513
Position 151: 0.023192975090710215
Position 1073: 0.021693153779878516
Position 1595: 0.021606347254674703
Position 1317: 0.02011360203679386
Position 7319: 0.015606889209117366
Position 7362: 0.015141576889936954
Position 7287: 0.01462038054790655
Position 4420: 0.011730068946743374
Position 1045: 0.01055122653201941
Position 12500: 0.004053315938549883
Position 8662: 0.0039932915402908515
Position 4312: 0.0027844663929875862
Position 703: 0.0012421334069786032
Position 4395: 0.0011301555931950552
Position 6185: 0.0010190992054701809
Position 6695: 0.0009209788370604292
Position 5910: 0.0008525696045220808
Position 1185: 0.0006919283964739948
Position 541: 0.0006906921847097148
Position 4490: 0.0006792602431214931
Position 1222: 0.0005836446058393038
Position 1330: 0.0005575421171501459
Position 697: 0.0005278904695065947
Position 1250: 0.0004643517670504739
Position 6691: 0.00042411961312693755
Position 839: 0.00011132585597400764
Position 1013: 8.978839919384964e-05
Position 1375: 8.724176151288812e-05
Position 633: 7.566283819393193e-05
Position 1300: 6.434772521079041e-05
Position 1115: 6.422977277303542e-05
Position 363: 6.381280296600673e-05
Position 210: 5.790447482680864e-05
Position 444: 3.4870584745483794e-05
Position 681: 2.2889486944437593e-05
Position 754: 1.5634655948368318e-05
Position 2497: 7.680234078237536e-06
Position 2493: 6.835268164413636e-06
Position 646: 6.788140804711602e-06
Position 3217: 5.936496463350328e-06
Position 219: 5.252876616332401e-06
Position 123: 4.239036768299162e-06
Position 775: 3.2176980639236094e-06
Position 191: 1.510002082616874e-06
Position 201: 1.3644109863307685e-06
Position 1683: 1.3492093511063779e-06
Position 1904: 1.0574339625404832e-06
Position 117: 8.880504039956524e-07
Position 670: 8.157692276274677e-07
Position 1281: 6.961442992977499e-07
Position 1127: 6.801534147808991e-07
Position 887: 6.056033583803762e-07
Position 329: 4.4703850905304925e-07
Position 73: 3.0000592724113513e-07
Position 450: 2.839622603204076e-07
Position 45: 2.651264902292535e-07
Position 668: 2.1570654220675417e-07
Position 2652: 1.8533944566546277e-07
Position 662: 1.5584230762397746e-07
Position 1005: 4.015586293054874e-10
Position 1182: 6.469782159857861e-13
Position 1139: 6.362670425448285e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 13600: 0.612856271311325
Position 12436: 0.42792713861898324
Position 8202: 0.2963199437856617
Position 11398: 0.27076202461829874
Position 13468: 0.250125761752493
Position 14137: 0.2210927688548588
Position 7265: 0.20953788760175518
Position 5767: 0.17973722290846852
Position 935: 0.17918964640937912
Position 1657: 0.17524823223913732
Position 15495: 0.17459605084206684
Position 8222: 0.12252977511101422
Position 12460: 0.09634194252114321
Position 1485: 0.08881092333777059
Position 5829: 0.06962185926580874
Position 13950: 0.06884576883503224
Position 7155: 0.06755345310060422
Position 15692: 0.049521039784053665
Position 16098: 0.04016698954629064
Position 952: 0.039004046627675905
Position 14844: 0.03835880563340327
Position 15709: 0.02567675030411857
Position 15087: 0.025349014648617524
Position 601: 0.024267095053350562
Position 4136: 0.021595313148838637
Position 3202: 0.02080153878567927
Position 4239: 0.019977428715976117
Position 13807: 0.01893814653702668
Position 15730: 0.017290704743682554
Position 14467: 0.017022911400584647
Position 5801: 0.01607562720543665
Position 4282: 0.014472701365122928
Position 14011: 0.01374616687831008
Position 14386: 0.01289140584475372
Position 5704: 0.011208450284216916
Position 14524: 0.010993840384793207
Position 1680: 0.010914012756624767
Position 14039: 0.009892329283967506
Position 15605: 0.008995442350716084
Position 14255: 0.00789681549327467
Position 11480: 0.0074275150508875416
Position 14221: 0.007174117751443278
Position 14189: 0.0065299094607804
Position 13976: 0.0053914396914788824
Position 3257: 0.0051446705514377805
Position 3807: 0.004724425864902275
Position 13544: 0.004704499692776088
Position 896: 0.004608376085379106
Position 11150: 0.004385476032135519
Position 8500: 0.004287331710065383
Position 10540: 0.003897675124714808
Position 3927: 0.003854637359914045
Position 6162: 0.003564705021336797
Position 1516: 0.00345943301603566
Position 3875: 0.002720572019272749
Position 9856: 0.002277798392625827
Position 1149: 0.002250074706385323
Position 1545: 0.0020665003159073326
Position 3132: 0.0016949383741479687
Position 3227: 0.0015534657688920026
Position 5778: 0.0015419256604413656
Position 1197: 0.0015319930440800187
Position 1590: 0.0014776991385162166
Position 11944: 0.0014670567896689496
Position 1554: 0.0014607004884131293
Position 2980: 0.0013947283745399009
Position 1254: 0.0013887305080539315
Position 1697: 0.0012971266920413973
Position 5878: 0.001280724096976485
Position 1386: 0.0011465445613894926
Position 9616: 0.0010791995224644802
Position 9879: 0.0010663357727884201
Position 1705: 0.000945729432295357
Position 6608: 0.0009389919926605677
Position 13871: 0.0008712852747823133
Position 6627: 0.0008320132544112339
Position 6118: 0.000734299286333665
Position 1535: 0.0006536708922733211
Position 5738: 0.0006358899766583901
Position 300: 0.0006224234635744359
Position 11608: 0.0006033052632217009
Position 1568: 0.0005871389617964495
Position 133: 0.0005774538960969404
Position 3270: 0.0005499509247853062
Position 2344: 0.0005326849421059102
Position 3063: 0.0005275815065017361
Position 1620: 0.0005230554732290399
Position 1017: 0.0005105405501619475
Position 10007: 0.0005104087376595936
Position 1422: 0.0005046166984061816
Position 4067: 0.00037197265313368064
Position 7404: 0.0002848097002222667
Position 1085: 0.0002658112933436788
Position 4896: 0.00022838447148005938
Position 8740: 0.00021578520794305836
Position 381: 0.00021385666974014023
Position 1268: 0.00020319119007385124
Position 441: 0.0001668533818723803
Position 1449: 0.00016233637409151158
Position 2708: 0.00016005340544119392
Position 2590: 0.00013613722744153914
Position 7578: 0.00011296884734185347
Position 4259: 0.00011017171377665605
Position 2309: 0.00010897267848669859
Position 2172: 0.00010404474617907989
Position 302: 0.00010166697369376956
Position 2147: 8.747570472914799e-05
Position 2122: 8.475293637588839e-05
Position 3147: 6.597026124439221e-05
Position 681: 6.430656754232058e-05
Position 3581: 6.112442455857816e-05
Position 7774: 5.422148879456514e-05
Position 1557: 5.327161290667512e-05
Position 662: 5.123100299000815e-05
Position 1575: 5.1107795550795675e-05
Position 5260: 4.709905152438894e-05
Position 1525: 4.63918880793149e-05
Position 2650: 4.4022639950946164e-05
Position 1169: 3.861742924826594e-05
Position 851: 3.844305920617481e-05
Position 1873: 3.7156766757021856e-05
Position 2925: 3.672883080434429e-05
Position 6777: 3.5270853806941224e-05
Position 1587: 2.9842417722399073e-05
Position 561: 2.8280224967067568e-05
Position 958: 2.6842998946823652e-05
Position 1291: 2.6540679527638464e-05
Position 1048: 2.47458574354097e-05
Position 1226: 2.41973628943532e-05
Position 2134: 2.1025252310381497e-05
Position 1215: 2.017543933958083e-05
Position 4639: 1.944723989354276e-05
Position 329: 1.773562319760949e-05
Position 2733: 1.7421611892981936e-05
Position 694: 1.720591952384968e-05
Position 3933: 1.7050516187910027e-05
Position 1792: 1.6616919410335735e-05
Position 401: 1.6559672107019465e-05
Position 2488: 1.640925500658514e-05
Position 4636: 1.5884552662319858e-05
Position 4964: 1.5867172516647824e-05
Position 2561: 1.5698864339110557e-05
Position 783: 1.5684663029791946e-05
Position 1203: 1.4341312755971797e-05
Position 2106: 1.3952363065369633e-05
Position 2010: 1.2882517424723296e-05
Position 1355: 1.2680974377005613e-05
Position 320: 1.0883686529461141e-05
Position 217: 1.033823402551132e-05
Position 162: 9.97756096668957e-06
Position 1490: 7.340159206937628e-06
Position 565: 7.202932781405342e-06
Position 2842: 6.677323757019839e-06
Position 1316: 6.518401925127263e-06
Position 254: 6.009255650382583e-06
Position 2417: 5.121414492444078e-06
Position 2449: 5.113439587137561e-06
Position 1182: 4.989578787716779e-06
Position 135: 4.5452613530573545e-06
Position 548: 4.25702685494491e-06
Position 609: 4.225142898249081e-06
Position 337: 3.338021338568097e-06
Position 1102: 3.0405331761427983e-06
Position 1464: 2.931580380614566e-06
Position 350: 2.7953017391341207e-06
Position 898: 1.9640264047514553e-06
Position 233: 1.8156922826017826e-06
Position 1339: 1.8151579935290337e-06
Position 1313: 1.8006660387564602e-06
Position 754: 1.747923172045749e-06
Position 1152: 1.412049242411734e-06
Position 1492: 1.2833617204024244e-06
Position 341: 1.0158805192771638e-06
Position 498: 7.166303797752954e-07
Position 626: 3.9233767986051303e-07
Position 1025: 1.453633317040338e-07
Position 700: 1.0144490688993639e-07
Position 976: 9.805082123466256e-08
Position 540: 9.487919887846302e-08
Position 963: 8.238750227814306e-08
Position 151: 6.66852976177991e-08
Position 614: 2.794586220613353e-08
Position 575: 2.688851591839927e-08
Position 343: 1.7744850413636155e-08
Position 726: 1.712860468325238e-08
Position 179: 1.6099405970739655e-08
Position 630: 1.4745245332162549e-08
Position 536: 1.384425892295484e-08
Position 529: 1.3329850252079397e-08
Position 479: 1.0629186796649598e-08
Position 571: 8.335096605787845e-09
Position 164: 7.890474960636552e-09
Position 235: 5.9096087888450135e-09
Position 144: 4.2063252401484344e-09
Position 729: 4.17175901024328e-09
Position 550: 3.629654752843239e-09
Position 967: 2.976251115872713e-09
Position 697: 2.816296247093258e-09
Position 569: 2.3738176807422358e-09
Position 345: 2.1821883017338547e-09
Position 170: 2.097613039678074e-09
Position 837: 1.957337136183913e-09
Position 155: 1.730024607803592e-09
Position 224: 1.3175104758549334e-09
Position 573: 8.681602808489793e-10
Position 633: 7.017066324025849e-10
Position 1030: 5.32820325826127e-10
Position 707: 3.815230347768448e-10
Position 703: 2.462859873803935e-10
Position 172: 1.6114716610846826e-10
Position 1052: 8.194487598019787e-11
Position 711: 6.289510516966118e-11
Position 1729: 3.126139545457392e-11
