Gene = CG42692
index = 696
Annotated 5SS: [206]
Annotated 3SS: [262]
SMsplice 5SS: [  4 206]
SMsplice 3SS: [ 64 334]
length: 720
Partition function (logZ) = -5.116661319303304
#Introns = 436
5SS, 3SS, prob
4, 64, 0.8330562913718716
206, 334, 0.547223607045183
206, 262, 0.10788446930010592
4, 97, 0.05493564728073064
206, 535, 0.039996380288970595
206, 442, 0.03453732863490662
4, 334, 0.02042624209944742
4, 100, 0.015662575998457356
335, 442, 0.006128236824565914
206, 423, 0.005927515626714882
409, 535, 0.0054251550597820865
409, 472, 0.005406668329094546
335, 408, 0.004842863968456258
335, 535, 0.004626130151023912
206, 408, 0.004412145934204449
4, 535, 0.004239078454269344
206, 278, 0.00306979857033374
4, 442, 0.0027136783546010145
8, 64, 0.0026814971927341972
206, 472, 0.0022212695175679188
4, 110, 0.0016055941074945561
335, 423, 0.0013886974388687644
335, 390, 0.001334930113462658
183, 334, 0.000875357035292597
206, 390, 0.0006089933019910887
206, 661, 0.000599648067925412
206, 295, 0.0003947051222497352
4, 423, 0.00034572740611621893
335, 472, 0.00033599284245079003
206, 494, 0.00031523079810486237
237, 334, 0.0003031788614714427
206, 546, 0.00029244594154120596
4, 408, 0.0002843308073494106
4, 173, 0.0002562354160995934
8, 97, 0.00024091450747326377
4, 262, 0.0002398902024370562
206, 684, 0.00022629257574965797
206, 339, 0.00022618487953230074
206, 565, 0.00021514927179403144
167, 334, 0.00020675878422313739
193, 334, 0.00016191870775596797
4, 472, 0.00014756010134966323
183, 535, 9.652002030487458e-05
499, 565, 9.329826693400596e-05
335, 396, 9.057695643135548e-05
4, 122, 8.75446444935827e-05
8, 334, 7.850326363223215e-05
206, 347, 7.057037862141296e-05
183, 442, 6.764008345234822e-05
8, 100, 6.705150185240245e-05
409, 494, 6.703357190885923e-05
335, 661, 6.414228864856777e-05
4, 661, 5.7234544819470735e-05
409, 661, 5.2856898095003215e-05
210, 334, 5.2783565740945044e-05
183, 262, 4.72160238321532e-05
4, 390, 3.98383872616722e-05
123, 334, 3.824427425596644e-05
335, 494, 3.5164386754322264e-05
335, 546, 3.50894661767303e-05
4, 546, 3.40306858337156e-05
206, 584, 3.218997066255631e-05
4, 141, 3.1615410610561436e-05
409, 546, 3.053726856784273e-05
167, 535, 3.0210544709524272e-05
625, 684, 3.000743237827261e-05
206, 396, 2.959521993478005e-05
532, 661, 2.8878083077627097e-05
499, 546, 2.84654043373789e-05
193, 262, 2.6976274634159873e-05
4, 494, 2.5520911768781274e-05
167, 442, 2.166815663774613e-05
237, 535, 2.0288439950169248e-05
335, 684, 1.972604030548782e-05
4, 196, 1.9653663520052514e-05
4, 684, 1.962905665899626e-05
4, 120, 1.8884262233923643e-05
4, 565, 1.886090184727198e-05
409, 565, 1.803308810805092e-05
335, 565, 1.7946944710344452e-05
237, 442, 1.6778391323758985e-05
499, 661, 1.650951112330319e-05
335, 394, 1.6447045702049025e-05
193, 535, 1.5690696583104977e-05
4, 278, 1.564063790337676e-05
409, 684, 1.502380637658485e-05
150, 334, 1.4819607492535441e-05
396, 442, 1.4608022174669596e-05
206, 351, 1.390129862035705e-05
8, 535, 1.3747224235110618e-05
193, 442, 1.3121168526101504e-05
368, 442, 1.2822686141956024e-05
4, 295, 1.1310221410431088e-05
532, 584, 1.095640079157776e-05
8, 442, 1.0951267921270011e-05
183, 423, 1.0364493977512474e-05
206, 622, 9.957873933012635e-06
4, 339, 9.46142039407407e-06
183, 408, 8.486891050622086e-06
206, 491, 7.887799495212229e-06
8, 110, 6.803706753428251e-06
546, 661, 6.669286272168148e-06
396, 535, 6.569310818959513e-06
64, 334, 6.536546195527282e-06
532, 684, 6.164197340031199e-06
210, 262, 5.852390880499739e-06
183, 472, 5.723803568425613e-06
206, 394, 5.591965330758463e-06
167, 262, 5.258763079159991e-06
123, 535, 4.508173128916111e-06
499, 684, 4.1685239743896774e-06
206, 625, 4.144050414437513e-06
368, 423, 4.122174786484687e-06
240, 334, 3.783948123879334e-06
123, 173, 3.7197107039533658e-06
210, 535, 3.6308775207312563e-06
4, 347, 3.4685780734647667e-06
123, 442, 3.3612579673194432e-06
210, 442, 3.1126557917112156e-06
433, 535, 3.1100016799095352e-06
641, 684, 2.9542307613384957e-06
300, 442, 2.895065626979787e-06
335, 584, 2.764510350142647e-06
167, 423, 2.686036952381563e-06
300, 535, 2.499352056250324e-06
167, 408, 2.3890841298614957e-06
237, 423, 2.2517925718440192e-06
409, 584, 2.1141611183211913e-06
409, 491, 2.1069151544011512e-06
396, 472, 2.0426540957694066e-06
4, 177, 2.0134176248189945e-06
4, 396, 1.955389452957874e-06
150, 535, 1.9164395541000453e-06
237, 295, 1.8565038674883868e-06
193, 408, 1.7576681021065775e-06
237, 408, 1.744559646328421e-06
183, 661, 1.730934095377079e-06
4, 584, 1.6891096251061228e-06
499, 584, 1.6675977618530231e-06
150, 442, 1.6619929669756327e-06
193, 423, 1.653615454741694e-06
368, 535, 1.585455580263966e-06
285, 334, 1.5347319490438258e-06
167, 472, 1.4955365858597363e-06
546, 684, 1.4349884751368691e-06
8, 423, 1.3861344969862044e-06
183, 390, 1.3270089420588449e-06
183, 278, 1.087367739333882e-06
8, 408, 1.0846688531939802e-06
8, 173, 1.0629592470454667e-06
335, 622, 1.0428392123819114e-06
64, 110, 1.0140196858125345e-06
8, 262, 9.995502863675477e-07
435, 535, 9.739656600579327e-07
237, 472, 9.283182402209915e-07
335, 491, 9.047330706018829e-07
193, 472, 8.818972453361468e-07
64, 535, 8.520456921418496e-07
64, 442, 8.23973648067014e-07
409, 622, 8.184927498165467e-07
4, 622, 7.391918329183998e-07
4, 351, 7.131306368551218e-07
183, 546, 7.015598559601875e-07
183, 494, 6.395509851519693e-07
4, 491, 6.346409222983405e-07
532, 622, 5.965036909294014e-07
183, 684, 5.765014547625192e-07
167, 661, 5.738914050776552e-07
8, 472, 5.231628662442884e-07
123, 262, 5.174791805798209e-07
210, 423, 5.092710844827861e-07
123, 423, 5.026456402659886e-07
183, 295, 4.859061470365186e-07
300, 423, 4.750764391070361e-07
335, 625, 4.554232826283117e-07
183, 565, 4.4784346827520503e-07
