Gene = MED24
index = 1263
Annotated 5SS: [ 209 2007 2223 3135 3563 4438]
Annotated 3SS: [1919 2064 2291 3201 3619 4580]
SMsplice 5SS: [ 209 2007 2223 3135 4438]
SMsplice 3SS: [1919 2064 2291 3201 4580]
top_k =  100
Partition function (log Z): 8.379660698824958

Sorted 5' Splice Sites (High to Low Probability):
Position 2223: 0.9996323298057289
Position 2007: 0.9994155714966056
Position 3135: 0.9986530221809764
Position 4438: 0.7461179774835986
Position 659: 0.5953356244847022
Position 3563: 0.18014841780836846
Position 849: 0.11094226671813076
Position 249: 0.10056160213243556
Position 3338: 0.07413192385221226
Position 187: 0.056486517434210244
Position 3894: 0.049512074024097005
Position 3567: 0.04277538122311576
Position 270: 0.029884645166087666
Position 288: 0.026493548620198547
Position 4402: 0.022244266052213576
Position 415: 0.020443327717329835
Position 3666: 0.018404982910377253
Position 603: 0.013899945950176833
Position 1284: 0.011661375020234394
Position 1550: 0.009171945369409424
Position 948: 0.008798950163387933
Position 1104: 0.008725812314598774
Position 3362: 0.008467512113121639
Position 3326: 0.008122253939061031
Position 593: 0.005673342777684663
Position 1089: 0.005613352776947456
Position 1469: 0.005601259727785827
Position 1045: 0.005069855477172791
Position 801: 0.00490643349531203
Position 3662: 0.0045467838121699645
Position 1340: 0.004017841490187919
Position 5231: 0.003980834338671049
Position 2393: 0.003924293064877582
Position 1692: 0.0037208686898210558
Position 3887: 0.00324930064435042
Position 931: 0.0028169891921173036
Position 965: 0.0026710140078327403
Position 1097: 0.002270407924070452
Position 1112: 0.0019719066673859697
Position 663: 0.0017010979541236789
Position 495: 0.001378030872636792
Position 2484: 0.001204992676412828
Position 3508: 0.0009040124622499317
Position 3542: 0.0006763779769001063
Position 3299: 0.0005423823802439348
Position 3112: 0.0004688738791666544
Position 898: 0.00036516251665266974
Position 2535: 0.0002672921717958895
Position 2011: 0.00019272276683490757
Position 3284: 0.00010845669265960772
Position 2388: 6.476870031750584e-05
Position 3464: 3.944450246797087e-05
Position 3491: 2.4936850704217363e-05
Position 2014: 2.3665739381368513e-05
Position 1990: 2.2455067393267495e-05
Position 3529: 2.000930602532826e-05
Position 253: 1.3253161617497371e-05
Position 3139: 1.060244681176547e-05
Position 3120: 1.0497123616082378e-05
Position 2130: 9.325088694749124e-06
Position 3344: 8.72385190818961e-06
Position 50: 4.7335448068026855e-06
Position 539: 4.5212842674610155e-06
Position 86: 4.414414530730099e-06
Position 2979: 1.4198925565236786e-06
Position 2593: 6.745255554483385e-07
Position 3159: 5.452213882951157e-07
Position 2874: 4.474027679912863e-07
Position 2879: 3.9176481310730446e-07
Position 2440: 2.706854571672061e-07
Position 3356: 2.0400435390920584e-07
Position 3097: 1.5839454899415898e-07
Position 2236: 7.926738562691302e-08
Position 2227: 2.6065862794280416e-08
Position 2212: 9.986658758251274e-09
Position 2203: 9.571876492708358e-09
Position 2245: 5.533886631160407e-09
Position 2983: 1.0178548585850915e-09
Position 2248: 3.474459464350165e-10
Position 2262: 1.7328521139837924e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2064: 0.9977311814832465
Position 2291: 0.9968314128327401
Position 3201: 0.994817675195533
Position 1919: 0.9516990677048149
Position 4580: 0.3496022768613798
Position 4505: 0.32804359360638885
Position 3619: 0.22939726047984835
Position 4541: 0.08870466819627244
Position 3392: 0.08075806014065695
Position 3948: 0.06412298077621838
Position 947: 0.06051356265659975
Position 3732: 0.011430531937125298
Position 4169: 0.0106724108432658
Position 336: 0.008543273451383379
Position 305: 0.004050737508915915
Position 5294: 0.003980834338671047
Position 726: 0.003108662454821183
Position 1601: 0.002948354475903004
Position 2366: 0.0025468512121805884
Position 896: 0.002378330356633849
Position 4509: 0.0020117048717714974
Position 788: 0.0019571426572269467
Position 2736: 0.0019355797525508055
Position 1252: 0.001900485953764098
Position 2085: 0.0017568722147600772
Position 2446: 0.0013860277340755334
Position 876: 0.0011312676417071185
Position 2916: 0.0006989269373625143
Position 968: 0.0006245614474243866
Position 430: 0.0004408918081006492
Position 1201: 0.00036104582312892987
Position 2550: 0.00033580387503108814
Position 544: 0.00032373806014070666
Position 2766: 0.0001998368735390711
Position 2593: 0.00018778885891829173
Position 2463: 0.0001748939636449912
Position 2176: 0.00015442321527139733
Position 2460: 0.0001228147101020249
Position 1045: 0.0001029887518672286
Position 2744: 9.174779981300643e-05
Position 2456: 6.576017908844609e-05
Position 2679: 6.211332852485777e-05
Position 848: 5.626516454593875e-05
Position 2155: 5.3625668692591996e-05
Position 2601: 3.2100790997317045e-05
Position 3247: 2.6445342637488828e-05
Position 2430: 2.0575673596837626e-05
Position 2466: 2.0144337138575167e-05
Position 526: 7.827446725641559e-06
Position 2198: 4.411056383169143e-06
Position 385: 3.250805827295331e-06
Position 560: 2.9431167476997717e-06
Position 592: 2.755958260470325e-06
Position 373: 2.262328512228621e-06
Position 2304: 4.694200467610449e-09
