Gene = MSANTD3
index = 884
Annotated 5SS: [  238 15201]
Annotated 3SS: [14749 23400]
SMsplice 5SS: [  238   415 15201 22020]
SMsplice 3SS: [  370 15151 21821 23400]
top_k =  500
Partition function (log Z): -12.389961344135774

Sorted 5' Splice Sites (High to Low Probability):
Position 238: 0.986768307349321
Position 415: 0.943435912173398
Position 2507: 0.4921420804143124
Position 5165: 0.12565363284237216
Position 15201: 0.10244830822776896
Position 822: 0.048118872350559345
Position 5140: 0.04234177583604563
Position 1144: 0.04154409246073794
Position 1973: 0.041322420059305566
Position 2067: 0.01421103121525826
Position 3721: 0.00779946984935572
Position 5185: 0.006527298148466469
Position 2048: 0.005970129876504893
Position 772: 0.005279988817398193
Position 548: 0.00527429340852203
Position 1637: 0.004784544124424056
Position 2440: 0.0037330279133647036
Position 949: 0.003550883122955002
Position 1527: 0.0019718164518331863
Position 842: 0.001893351278742072
Position 896: 0.0018569105814304281
Position 4612: 0.001694066414056907
Position 1684: 0.001636976216930066
Position 2044: 0.0011808843983785173
Position 467: 0.0011459410534558894
Position 1693: 0.0010834498061469146
Position 8059: 0.0007525792502738138
Position 803: 0.0007352203985705976
Position 2040: 0.0005870296578640964
Position 789: 0.00048163538692276976
Position 500: 7.70012790065928e-05
Position 4424: 7.47963377573967e-05
Position 419: 6.530008682576693e-05
Position 285: 6.339881344173192e-05
Position 944: 3.569102380841341e-05
Position 558: 1.877421881795348e-05
Position 878: 1.6186825337294758e-05
Position 22: 1.0972770109387668e-05
Position 208: 1.059072204410284e-05
Position 591: 5.676133621083526e-06
Position 1084: 2.7178795189268682e-06
Position 958: 2.2891265264275836e-06
Position 121: 1.6660803454348112e-06
Position 846: 1.2215880231673048e-06
Position 593: 1.026532814648681e-06
Position 566: 7.270076153931211e-07
Position 667: 6.273370061688039e-07
Position 1033: 3.662835819336809e-07
Position 1038: 3.583418165588613e-07
Position 628: 3.469553044199391e-07
Position 988: 3.3565250376979815e-07
Position 605: 3.218967426025897e-07
Position 1361: 2.0183278934438767e-07
Position 42: 1.3354051258450895e-07
Position 1096: 8.437118154108376e-08
