Gene = eIF1
index = 1682
Annotated 5SS: [186 587]
Annotated 3SS: [428 972]
SMsplice 5SS: [186 587]
SMsplice 3SS: [428 972]
top_k =  500
Partition function (log Z): -3.291115419288039

Sorted 5' Splice Sites (High to Low Probability):
Position 587: 0.99076663602115
Position 186: 0.533026043459753
Position 1075: 0.16863201984192303
Position 309: 0.051731259293432474
Position 335: 0.04028267747229195
Position 1105: 0.025292760289565595
Position 140: 0.007398669415913469
Position 74: 0.006558719008809629
Position 156: 0.005786066082914654
Position 922: 0.005134895772051862
Position 361: 0.004927170452856084
Position 337: 0.00423288934751827
Position 918: 0.003766689904691755
Position 602: 0.00229159453425127
Position 231: 0.0021753815012052293
Position 864: 0.0018973109727967853
Position 92: 0.0015573125548806743
Position 897: 0.0015245775233993393
Position 737: 0.00130152051488898
Position 81: 0.0009461928790423314
Position 256: 0.0005099001994487068
Position 550: 0.00040217099779816146
Position 1141: 0.00037182580161277773
Position 121: 0.00033148803281185757
Position 672: 0.0002902011799933289
Position 1139: 0.00018920758216790708
Position 42: 0.00018772222487508183
Position 1046: 0.00015180209342513534
Position 137: 0.00014435255955867784
Position 190: 0.00012681536025376295
Position 183: 0.00010959818622073895
Position 1016: 9.552517931610511e-05
Position 1065: 5.938766766771632e-05
Position 34: 5.780927754054488e-05
Position 1123: 5.574782975096992e-05
Position 925: 5.235541455690361e-05
Position 871: 4.579964673727678e-05
Position 610: 3.3593696097060515e-05
Position 734: 3.1400428909820906e-05
Position 1079: 2.9736658261226612e-05
Position 714: 2.4726879899831443e-05
Position 591: 1.7159461679110567e-05
Position 569: 1.6138056951612433e-05
Position 1203: 1.4195255817888737e-05
Position 127: 1.2037577070020546e-05
Position 654: 1.1195934790712663e-05
Position 755: 6.358050432060555e-06
Position 630: 5.034151655422151e-06
Position 144: 4.278310865186961e-06
Position 994: 3.3542396415454474e-06
Position 1011: 3.0044530349026643e-06
Position 153: 1.2298752345376235e-06
Position 160: 2.783105436681424e-07
Position 541: 2.6381722993523925e-07
Position 612: 2.608507177799737e-07
Position 482: 1.2947003932986464e-07
Position 395: 4.177032144703594e-08
Position 510: 4.703150047266066e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 972: 0.9605720221276354
Position 428: 0.6093979814426981
Position 1238: 0.11493263379191536
Position 1172: 0.07841759358695193
Position 395: 0.037109101516397784
Position 811: 0.020488165482480638
Position 797: 0.0189849242000843
Position 782: 0.005660329772536779
Position 133: 0.0036366917264115005
Position 502: 0.0019732714261955246
Position 473: 0.0016096822488492375
Position 1253: 0.0014664884681579646
Position 451: 0.0010898106946428754
Position 824: 0.0007465857617322046
Position 169: 0.0007290641791069703
Position 868: 0.0007232768952258308
Position 672: 0.0006282054847414159
Position 871: 0.0006113203662778852
Position 195: 0.0005705677162772863
Position 1203: 0.0004941484583128233
Position 734: 0.0004073745844520791
Position 1262: 0.00036763130389045825
Position 891: 0.0003316136126166568
Position 1256: 0.00022501761277588043
Position 819: 0.00019731628056974865
Position 636: 0.0001919329020084028
Position 299: 0.0001536025922331794
Position 640: 0.00012187248586968559
Position 190: 0.00011347841418201749
Position 834: 9.94378177581845e-05
Position 763: 8.263709337196087e-05
Position 535: 8.14275272085312e-05
Position 942: 7.676868317344023e-05
Position 409: 4.841761728139225e-05
Position 714: 4.626420974249173e-05
Position 1029: 4.1481054041367496e-05
Position 1074: 3.92824844401489e-05
Position 317: 3.449761786671695e-05
Position 482: 3.314910480059225e-05
Position 1009: 2.8758343354338537e-05
Position 750: 2.1259587881761894e-05
Position 499: 1.2927837411682261e-05
Position 1035: 1.1772790476828708e-05
Position 121: 7.682953259004488e-06
Position 492: 3.3764790680623506e-06
Position 1120: 2.2575078199256957e-06
Position 565: 1.1857398836065297e-06
Position 562: 8.960931503280195e-07
Position 92: 8.087248050313808e-07
Position 517: 5.126308642614425e-07
Position 569: 4.761184408137175e-09
Position 504: 2.668487686457329e-09
Position 205: 2.128509346054239e-09
Position 583: 7.669151514534317e-10
Position 550: 6.714285903858722e-10
