Gene = BC107364
index = 165
Annotated 5SS: [  131 10264 11598 17570]
Annotated 3SS: [10138 11443 17475 17863]
SMsplice 5SS: [  120 10264 11598 13586]
SMsplice 3SS: [10138 11443 13483 13699]
top_k =  500
Partition function (log Z): -5.296017562073518

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.9337535866045702
Position 11598: 0.9330023851759172
Position 13586: 0.8070459888917659
Position 15249: 0.6073121457820354
Position 13375: 0.33382856753545165
Position 16851: 0.2913565063115205
Position 12232: 0.2721001788083732
Position 2514: 0.22232947871268294
Position 3228: 0.21279284937036297
Position 1853: 0.191680656306796
Position 15823: 0.1686143322542479
Position 4367: 0.163138474498408
Position 3425: 0.13603579198584762
Position 2714: 0.11263073071470002
Position 1230: 0.0923972307623708
Position 16835: 0.08757240880010261
Position 4692: 0.0716116409608923
Position 1559: 0.06864181437209545
Position 11577: 0.06698698534394137
Position 2594: 0.06541675742993439
Position 13208: 0.0503670900203886
Position 16014: 0.04869758830734711
Position 2287: 0.045725506973217346
Position 131: 0.038039975594477214
Position 10737: 0.03467613147703558
Position 644: 0.032114017681198814
Position 4081: 0.025053020641511034
Position 4244: 0.024643341927982447
Position 14068: 0.020127886581952248
Position 14402: 0.017990063415477552
Position 15987: 0.01759761663469973
Position 135: 0.014280681891648193
Position 1799: 0.012311286212288176
Position 6323: 0.012198831524861781
Position 18416: 0.010751347389686666
Position 16064: 0.010490735739059608
Position 1013: 0.009425492243404283
Position 969: 0.00931585296992759
Position 1570: 0.007700164823812884
Position 16027: 0.006617850033803058
Position 886: 0.0064260887810831365
Position 3248: 0.006259336703961171
Position 1669: 0.005983731790378318
Position 789: 0.004637730748524634
Position 12038: 0.004230742250878261
Position 125: 0.0035016094640269385
Position 2366: 0.002821876720934574
Position 15973: 0.002791142869023282
Position 412: 0.0022970039121927906
Position 2318: 0.002296180413362067
Position 3496: 0.0022531222030176727
Position 1234: 0.0021110471372337066
Position 1547: 0.0017276836757531616
Position 2410: 0.0016691976741999859
Position 15283: 0.0011527471340950586
Position 15632: 0.0010580669081196455
Position 1774: 0.000748186582380691
Position 2256: 0.0007045389719748822
Position 1837: 0.0006215680540348231
Position 13606: 0.0005619255549187239
Position 13876: 0.0005323385302057221
Position 1096: 0.00042943229220297426
Position 139: 0.0004018452225684625
Position 980: 0.0003377494588421074
Position 971: 0.0002586799779113073
Position 1857: 0.00022708521655373412
Position 2332: 0.00020523956101575904
Position 997: 0.000187892750047855
Position 1252: 0.00014877258005013407
Position 1392: 0.00014031667350852578
Position 221: 0.00011845220804199463
Position 2185: 0.00011386824665992769
Position 101: 0.00011158546815174244
Position 2443: 8.25983469065852e-05
Position 1080: 7.727252410074464e-05
Position 1347: 7.687281950195832e-05
Position 3252: 6.807831341596109e-05
Position 1454: 5.572778136363749e-05
Position 357: 4.54498473632736e-05
Position 1638: 3.293130780395359e-05
Position 1302: 2.7524702325458427e-05
Position 1418: 2.677801505342558e-05
Position 314: 2.6364397614992926e-05
Position 368: 1.2084214362294095e-05
Position 281: 1.150459444713177e-05
Position 381: 7.241089827453336e-06
Position 68: 7.0386365753707675e-06
Position 50: 6.048517185813417e-06
Position 1124: 5.9605481206629905e-06
Position 1049: 5.728020739605979e-06
Position 13549: 5.218230931935609e-06
Position 714: 4.700325746507349e-06
Position 624: 3.342606346248901e-06
Position 460: 2.9328349364732934e-06
Position 579: 2.782651467126107e-06
Position 319: 2.563465795608594e-06
Position 2030: 2.5051296531989895e-06
Position 572: 2.3110327992724325e-06
Position 606: 2.3061936162486835e-06
Position 57: 1.6954236109725723e-06
Position 1512: 1.6747646073156319e-06
Position 426: 1.42503399842786e-06
Position 737: 1.3566094287361804e-06
Position 291: 1.340526175358059e-06
Position 817: 1.0381677220366844e-06
Position 671: 1.0216088678595404e-06
Position 429: 7.685347307992609e-07
Position 691: 6.573869621603318e-07
Position 682: 6.539677900326881e-07
Position 218: 5.759736919710601e-07
Position 312: 5.529312207043675e-07
Position 727: 5.479866125629794e-07
Position 269: 4.958048194962766e-07
Position 432: 4.479950293049383e-07
Position 435: 3.125367483537424e-07
Position 438: 2.950565152510403e-07
Position 441: 2.2274082636003165e-07
Position 143: 1.6461722834144396e-07
Position 146: 1.6002204177431164e-07
Position 586: 8.752186096458642e-08
Position 776: 8.260721273521555e-08
Position 39: 7.262975746985632e-08
Position 680: 1.0999973168338124e-08
Position 664: 1.0924912225420235e-08
Position 36: 2.0505580797925583e-10
Position 391: 1.5599156204945012e-11
Position 389: 3.4600987802923483e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 11443: 0.9999893705198586
Position 13483: 0.706246565547272
Position 15168: 0.6189528777592883
Position 16739: 0.451590557353272
Position 13297: 0.30303605467652384
Position 12146: 0.2711204505014554
Position 2478: 0.24119706953565165
Position 3136: 0.23072753708801402
Position 18279: 0.20206982918984848
Position 15902: 0.19739151738427413
Position 2255: 0.1958606990852831
Position 4138: 0.18515200574438012
Position 15714: 0.13246936803681927
Position 17863: 0.1293178131950458
Position 1485: 0.12857880615174627
Position 1690: 0.12561953928586989
Position 3309: 0.12138476258034289
Position 18247: 0.11631647464057268
Position 17511: 0.10349016914827201
Position 15329: 0.07444000701856249
Position 13187: 0.06828415753685728
Position 4626: 0.06328977334371406
Position 13699: 0.05514071772023505
Position 849: 0.05320620342050505
Position 13507: 0.04301939353348049
Position 915: 0.03916786499671277
Position 18122: 0.03832834787317161
Position 10567: 0.03467613147703558
Position 13975: 0.03241592315110959
Position 15952: 0.03232472911547951
Position 3915: 0.02768497845130509
Position 15557: 0.027563874342154137
Position 519: 0.024441303725500612
Position 13078: 0.02409690047642949
Position 13050: 0.02372526906834454
Position 1771: 0.018802849719998526
Position 17475: 0.01691474782541087
Position 13222: 0.014203683773132022
Position 6151: 0.012198831524861781
Position 18508: 0.01075134738968666
Position 14293: 0.009975793250585965
Position 16940: 0.008930402083469086
Position 4570: 0.008321867617178217
Position 17813: 0.008119712569005033
Position 13346: 0.008010278354405324
Position 877: 0.006496871925368739
Position 17150: 0.006378392820214973
Position 2433: 0.006335470968667541
Position 919: 0.005463741036102372
Position 1741: 0.005160257427157571
Position 14349: 0.005153191050274696
Position 2318: 0.005131039723710301
Position 14261: 0.004676562934072112
Position 2174: 0.004550676612212492
Position 11969: 0.004427132819322459
Position 554: 0.004395970388674549
