Gene = AT4G01650
index = 615
Annotated 5SS: [ 703 1218]
Annotated 3SS: [1049 1292]
SMsplice 5SS: [ 703 1218]
SMsplice 3SS: [1049 1292]
length: 1701
Partition function (logZ) = -2.4091694283458134
#Exons = 1220
3SS, 5SS, prob
0, 703, 0.9527468539776355
1049, 1218, 0.9418026927740495
1292, -1, 0.8697092016433524
817, 930, 0.35160490206771766
874, 930, 0.08110519204167711
1331, -1, 0.07801735099682285
1642, -1, 0.020244396454453747
0, 930, 0.018420798462475997
1049, -1, 0.014963017614098493
817, 964, 0.01402773095389614
877, 930, 0.01391067723291161
835, 930, 0.01114684799158342
0, 647, 0.010208387029557345
874, 964, 0.010057193366104925
1292, 1480, 0.009764749474550676
817, 1218, 0.009248483210939788
1292, 1526, 0.007904828252687197
1049, 1205, 0.007628545638117508
817, 898, 0.0073611780328149985
1058, 1218, 0.00592874258393494
874, 1218, 0.005042055478688595
1338, -1, 0.00496907439146274
0, 273, 0.00411540260855271
0, 1218, 0.004054993325557114
1302, -1, 0.0036472649921034605
1316, -1, 0.0036464430124443273
0, 19, 0.0028556466248254473
1585, -1, 0.0027281188832662434
978, 1218, 0.0021353962879426423
377, 703, 0.002117031301588238
1061, 1218, 0.0020607135978331914
877, 964, 0.0019450126286339109
0, 688, 0.0016807941049217477
1049, 1150, 0.0016780095597041164
1331, 1480, 0.001627589323442359
478, 703, 0.0014989709472602048
837, 930, 0.0014253411855600882
0, 964, 0.0011067474754239545
1331, 1526, 0.0010948667570230737
877, 1218, 0.000997994347209487
0, 769, 0.0009090430470771106
817, 916, 0.0009040007129419902
0, 607, 0.0008765313853279171
131, 703, 0.0007701590791896931
1292, 1470, 0.0007592948312103259
526, 703, 0.0007367319858809033
404, 703, 0.0006285284599576583
817, 840, 0.0005493435417775757
817, -1, 0.000538913606714833
1693, -1, 0.0005016438551220441
835, 964, 0.00048757824355910925
0, 587, 0.00047891923839704984
141, 703, 0.0004788124639994337
1104, 1218, 0.0004673688123798037
646, 703, 0.0004415315995810179
1049, 1128, 0.00039667950549467947
0, 898, 0.0003542979265648768
1082, 1218, 0.0003054953445427058
874, 898, 0.0003018879806438508
0, 840, 0.00028291913902884564
835, 1218, 0.00027939385815871034
1292, 1447, 0.0002750952811252766
1049, 1222, 0.0002656398539688289
1095, 1218, 0.00023972344434325114
0, 712, 0.00022328889967847547
874, -1, 0.00022107397336198716
0, 563, 0.0002062665807410029
702, 930, 0.00020365655505501825
1382, -1, 0.00019278306820694972
1049, 1170, 0.00016904662899791303
490, 703, 0.000167711786259971
0, 404, 0.00016559556616492225
1007, 1218, 0.0001570864530919097
1668, -1, 0.0001474427636477208
817, 978, 0.00014626870383418854
151, 703, 0.00014026980739073247
835, 898, 0.0001361049548469799
0, 731, 0.00013434821464153584
0, 37, 0.00012722692061176418
1331, 1470, 0.0001268623912756191
874, 978, 0.00011881558974240856
1338, 1480, 0.00011682474349420292
0, 11, 0.000106308326491671
1292, 1395, 0.00010246609173797998
1404, -1, 0.000101548993587586
0, 60, 9.983461196594562e-05
0, 380, 9.849303131350833e-05
874, 916, 9.543889494044134e-05
1659, -1, 9.272998070227061e-05
0, 655, 9.074879597792072e-05
235, 703, 8.524032969010276e-05
0, 499, 8.493954969519501e-05
1058, -1, 8.448972284876935e-05
0, 667, 8.108450868204123e-05
1338, 1526, 7.834854889311323e-05
364, 703, 7.83026180138532e-05
196, 703, 7.038486787735269e-05
528, 703, 6.91800474260888e-05
0, 755, 6.807762270619908e-05
817, 1205, 6.76303139543038e-05
731, 930, 6.623227576202193e-05
837, 964, 6.313654776065666e-05
0, 803, 6.283683755864701e-05
1049, 1187, 6.235959681043284e-05
1316, 1480, 5.952486494034776e-05
978, -1, 5.87616972889574e-05
1292, 1371, 5.796877530487063e-05
0, 554, 5.71104480353683e-05
898, 930, 5.3878496068856594e-05
1292, 1500, 5.364136829323508e-05
0, 692, 5.1362314629107226e-05
934, 1218, 5.042768985200803e-05
877, 898, 4.991261712347745e-05
1049, 1480, 4.863558572620835e-05
1058, 1205, 4.807908308741445e-05
1302, 1480, 4.777401750965221e-05
1049, 1526, 4.681631832999392e-05
1331, 1447, 4.526986333142114e-05
877, -1, 4.2840839727062614e-05
1292, 1482, 4.253456648728313e-05
1049, 1190, 4.2515839412788676e-05
0, 374, 4.2451163108755103e-05
0, 652, 4.228685483386253e-05
0, 916, 4.194673796965587e-05
1009, 1218, 4.1371715037303856e-05
1316, 1526, 4.0525826865915665e-05
990, 1218, 3.842149352625443e-05
505, 703, 3.79265095938643e-05
1292, 1531, 3.698924563506212e-05
874, 1205, 3.6870824585909785e-05
837, 1218, 3.588542005421895e-05
131, 273, 3.5842410703707114e-05
1302, 1526, 3.5799876798836885e-05
0, 598, 3.227554648528868e-05
702, 769, 2.9700015172747966e-05
377, 647, 2.955724047768656e-05
478, 647, 2.8842369196597355e-05
1061, -1, 2.7898258373101037e-05
0, 1205, 2.7724475496099693e-05
1119, 1218, 2.6784437828681757e-05
679, 703, 2.4782457347183654e-05
835, 916, 2.41817987125768e-05
141, 273, 2.4087048280321613e-05
877, 978, 2.3514104909611016e-05
460, 703, 2.0123019020538075e-05
1561, -1, 1.7226869370342806e-05
1068, 1218, 1.6874093786344076e-05
1061, 1205, 1.6718971421288046e-05
1166, 1218, 1.660070376191987e-05
837, 898, 1.6166472876819432e-05
877, 916, 1.589879965173266e-05
526, 647, 1.5862059615378665e-05
978, 1205, 1.560526996621562e-05
534, 703, 1.5376516502947494e-05
898, 964, 1.5318267734720575e-05
835, -1, 1.4590420772753751e-05
377, 930, 1.3774979118398352e-05
0, 502, 1.3516315647245692e-05
0, 978, 1.3487733928517988e-05
898, 1218, 1.2441614602350943e-05
1121, 1218, 1.239078019619427e-05
155, 703, 1.2144796324497069e-05
924, 1218, 1.1960577856666735e-05
1292, 1561, 1.1959219867156272e-05
659, 703, 1.1945719902168914e-05
702, 1218, 1.1208349152201976e-05
924, 930, 1.1154239713601645e-05
1292, 1365, 1.0792333021469802e-05
131, 647, 1.0760090955726825e-05
184, 703, 1.064898995576837e-05
763, 930, 1.0369215654155407e-05
817, 1150, 1.031435598947006e-05
702, 964, 1.0251910692412905e-05
1049, 1235, 1.024493115162343e-05
1058, 1150, 9.744876032821453e-06
934, 964, 9.697347753011592e-06
1382, 1480, 9.680547029155003e-06
478, 930, 9.648105429861772e-06
162, 703, 9.262205394752163e-06
1338, 1470, 9.08975760285182e-06
0, 686, 9.003937948377212e-06
1331, 1500, 8.835816972332452e-06
404, 647, 8.776296442496857e-06
1292, 1418, 8.76964967387415e-06
702, 840, 8.493380309100885e-06
676, 703, 8.090765347186326e-06
1176, 1218, 7.798584603353975e-06
151, 273, 7.583756798841784e-06
877, 1205, 7.297907800775153e-06
1331, 1395, 7.129548765243044e-06
1382, 1526, 7.085393076719672e-06
1331, 1482, 7.0845011883228154e-06
884, 930, 6.901554722961953e-06
141, 647, 6.689612318522847e-06
817, 848, 6.151236948519789e-06
1404, 1526, 6.110893020758464e-06
992, 1218, 6.09222455697786e-06
835, 840, 5.758446983739078e-06
1404, 1480, 5.688836478704083e-06
874, 1150, 5.6232123926331375e-06
0, 817, 5.519215631647604e-06
1144, 1218, 5.273157157725275e-06
1197, 1218, 5.21286846983745e-06
835, 978, 5.062413132923766e-06
702, 898, 5.055813418358875e-06
0, 515, 5.047987434816983e-06
131, 930, 5.0090389847754855e-06
1331, 1531, 4.938168241412224e-06
1540, -1, 4.9230921285487975e-06
1292, 1591, 4.700480209174228e-06
1316, 1470, 4.6368709580757674e-06
1147, 1218, 4.37627251674243e-06
1187, 1218, 4.181594472319231e-06
924, 964, 4.16656785763998e-06
404, 930, 4.034815798167842e-06
0, 470, 3.964074784826094e-06
1104, -1, 3.961404241946722e-06
377, 688, 3.8970030572733304e-06
478, 607, 3.7251744287315374e-06
1302, 1470, 3.7176947628203817e-06
1007, -1, 3.70044660106573e-06
526, 930, 3.661399106967165e-06
817, 837, 3.6057254903773006e-06
