Gene = Spn28Dc
index = 1515
Annotated 5SS: [779]
Annotated 3SS: [1649]
SMsplice 5SS: [779]
SMsplice 3SS: [1649]
Partition function (log Z): -9.843324151161857

Sorted 5' Splice Sites (High to Low Probability):
Position 779: 0.7865778901369785
Position 454: 0.0941834465668429
Position 720: 0.036003228891285995
Position 108: 0.02380047840182692
Position 1580: 0.023630479435235142
Position 947: 0.022861858047899253
Position 1346: 0.015702514050627312
Position 1177: 0.01186377078887153
Position 884: 0.010537733000112742
Position 1039: 0.010387560200969042
Position 1181: 0.009300141161831154
Position 1350: 0.009132326517316948
Position 1173: 0.00873078002651512
Position 1231: 0.006252330500458091
Position 960: 0.003609713826003534
Position 409: 0.0030232113771128336
Position 252: 0.0016875503194979215
Position 923: 0.0016363861319464747
Position 1021: 0.0015714361702803606
Position 333: 0.0015158905030145686
Position 835: 0.0015018868788748917
Position 30: 0.001240582181604985
Position 1114: 0.0011042854187048557
Position 709: 0.0005051363027226001
Position 411: 0.0003952350998227823
Position 587: 0.00035509547015924274
Position 1502: 0.0003181391452475638
Position 2053: 0.0003070798847305029
Position 967: 0.00029056306561414945
Position 1946: 0.0002545672241308054
Position 1338: 0.0002348122925195272
Position 276: 0.00022849227362608656
Position 1024: 0.00022095868588338293
Position 1192: 0.0002153349667917149
Position 846: 0.0002060245881160028
Position 549: 0.00016036423322870994
Position 2173: 0.00015258050844311444
Position 39: 0.00014899199914433659
Position 1260: 0.00013765399953633326
Position 117: 0.00010563205014430492
Position 1827: 8.819457303987589e-05
Position 1583: 8.725908306893572e-05
Position 486: 8.041253815816539e-05
Position 1185: 7.507670366150933e-05
Position 2025: 7.220110308496742e-05
Position 529: 7.02235162939103e-05
Position 2169: 6.756974100284055e-05
Position 124: 6.087641347410327e-05
Position 1308: 6.0343389505001916e-05
Position 375: 5.92588291608365e-05
Position 894: 5.751278592998025e-05
Position 1244: 4.0505087229247384e-05
Position 1943: 3.7181949845682144e-05
Position 308: 3.289694646665906e-05
Position 1010: 3.043186842110852e-05
Position 2121: 2.897521173142276e-05
Position 740: 2.7931275434600933e-05
Position 1924: 2.5564125035685325e-05
Position 1100: 2.5481291299662616e-05
Position 1956: 1.910087910989633e-05
Position 2559: 1.617925575912011e-05
Position 523: 1.4379229826754227e-05
Position 2049: 1.427714052525275e-05
Position 2001: 1.3493356438512909e-05
Position 1252: 1.1341614512862757e-05
Position 1003: 9.787588509405477e-06
Position 142: 9.748839885267939e-06
Position 112: 9.390410355424415e-06
Position 539: 7.754263331424924e-06
Position 1008: 7.556389043923364e-06
Position 1863: 6.221720227097071e-06
Position 1098: 5.7173164857559674e-06
Position 1666: 5.489987195925095e-06
Position 1547: 4.996334386234885e-06
Position 1915: 4.938149801455274e-06
Position 48: 4.7816344548638965e-06
Position 2140: 4.4335276247850024e-06
Position 569: 4.140153324750545e-06
Position 1608: 3.755880029862388e-06
Position 2333: 3.1443880488635863e-06
Position 1112: 3.1348336174198233e-06
Position 1706: 3.133130057727132e-06
Position 119: 2.956920219101477e-06
Position 2046: 2.1613899000967396e-06
Position 2353: 2.0011306958417935e-06
Position 1741: 1.9192186730750828e-06
Position 1654: 1.498352530529949e-06
Position 1660: 1.270835533196016e-06
Position 542: 1.2172296635641052e-06
Position 2356: 1.1046022146586873e-06
Position 1874: 6.780569128315237e-07
