Gene = CCL19
index = 313
Annotated 5SS: [ 187 1068 1348]
Annotated 3SS: [ 934 1253 1437]
SMsplice 5SS: [ 187  493 1068 1348]
SMsplice 3SS: [ 404  934 1253 1437]
Partition function (log Z): -3.1121220394523172

Sorted 5' Splice Sites (High to Low Probability):
Position 187: 0.9564667571814169
Position 1068: 0.7817239364507923
Position 493: 0.5967915037650974
Position 1600: 0.04676635327783433
Position 1012: 0.020156340593183428
Position 1005: 0.01466360471305388
Position 285: 0.01410973138595886
Position 321: 0.01363544673634529
Position 1054: 0.006025592879242646
Position 1254: 0.0025200695421362983
Position 352: 0.0023767650334441588
Position 643: 0.0022685042223365803
Position 1187: 0.002135680710105659
Position 1606: 0.001673293354331329
Position 1306: 0.0015103112647772375
Position 273: 0.0010461283963580756
Position 210: 0.00100778046540507
Position 1602: 0.0009736709933920003
Position 238: 0.0007802451242246243
Position 1612: 0.0006243007700742211
Position 1063: 0.0005992286322553321
Position 307: 0.0005729744138080378
Position 1072: 0.00045725380044800824
Position 392: 0.00035124957645617493
Position 1084: 0.0002398651782416003
Position 334: 0.00014081593281437373
Position 1502: 0.0001258324040666311
Position 854: 0.00011723700817780251
Position 782: 0.00010947857236685244
Position 649: 9.121737936890621e-05
Position 716: 8.447221511793001e-05
Position 597: 6.57443115685271e-05
Position 1200: 6.276637734656625e-05
Position 234: 5.834825855587002e-05
Position 1618: 2.4328237262396668e-05
Position 1372: 2.3224516954100675e-05
Position 358: 1.4457142946074225e-05
Position 982: 1.1188236042737956e-05
Position 760: 1.028968100769903e-05
Position 204: 9.307499750793864e-06
Position 1492: 8.259044801113836e-06
Position 1066: 6.690390362082769e-06
Position 168: 6.51499066348823e-06
Position 1486: 6.3735583973239605e-06
Position 289: 6.207826598097318e-06
Position 1115: 5.982616632615436e-06
Position 1075: 5.756500020031739e-06
Position 344: 5.4973530890918316e-06
Position 668: 5.327675069403009e-06
Position 708: 5.311920809530874e-06
Position 1454: 4.181575330762953e-06
Position 978: 3.0613076572186666e-06
Position 740: 2.8344009114619543e-06
Position 1086: 2.65843717880661e-06
Position 693: 2.2163179772916696e-06
Position 220: 1.6177683316728133e-06
Position 311: 1.3600441118361587e-06
Position 1283: 1.2382522633817427e-06
Position 426: 1.1359667565042621e-06
Position 1604: 7.851241874885711e-07
Position 1468: 6.69332381340493e-07
Position 675: 5.944330102863515e-07
Position 629: 5.228511894083323e-07
Position 127: 4.68112497258909e-07
Position 899: 3.912599468892988e-07
Position 905: 3.5698848961009273e-07
Position 463: 3.5663939197050336e-07
Position 1610: 2.9849714995743185e-07
Position 113: 2.562999704274679e-07
Position 356: 1.5246180198047153e-07
Position 362: 1.2825009174611777e-07
Position 394: 1.1745624513827554e-07
Position 690: 1.1116218924388588e-07
Position 1616: 9.565106547149902e-08
Position 432: 6.056868162518181e-08
Position 243: 4.115348183325984e-08
Position 370: 3.9839582024774235e-08
Position 907: 2.925771957854886e-08
Position 346: 2.5040612274196067e-08
Position 856: 1.0823827216792757e-08
Position 50: 3.605637554745698e-09
Position 947: 2.340533439241524e-09
Position 912: 9.400412806451933e-10
Position 396: 9.087840356467588e-10
Position 364: 8.227466061212977e-10
Position 1393: 8.118440263255205e-11
Position 1103: 5.1249024603722555e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 934: 0.7820851166656104
Position 1437: 0.7489140497178519
Position 404: 0.5713069255024998
Position 1294: 0.07974956380662447
Position 1253: 0.07670252425781789
Position 1665: 0.0646412112879332
Position 990: 0.0404500045649878
Position 1155: 0.019671979201913912
Position 1109: 0.01952638665701752
Position 471: 0.015969115206170007
Position 1170: 0.012534068911648407
Position 897: 0.006471485192083285
Position 853: 0.005744151112542672
Position 807: 0.0036838519038858504
Position 967: 0.0035057206720516387
Position 1686: 0.003167447584313277
Position 333: 0.002570437090099247
Position 947: 0.0015278729822195867
Position 1186: 0.001479391789303105
Position 356: 0.0014412672976572439
Position 442: 0.001131040490685929
Position 1207: 0.0010049944286171085
Position 708: 0.0009745015081553094
Position 1299: 0.0008847454144129412
Position 277: 0.0008428470105269369
Position 1473: 0.0007806890461361486
Position 1278: 0.0006982527083857652
Position 542: 0.00044579279154646697
Position 873: 0.0002685869762795994
Position 1194: 0.00022270964887556298
Position 733: 0.0002224140606937033
Position 475: 0.00022100536976046262
Position 1443: 0.00018981580099956312
Position 1399: 0.00018157393903066047
Position 1572: 0.00017874184883208036
Position 685: 0.00014553156367048256
Position 1387: 0.00014081676179623172
Position 1041: 0.0001202428515841887
Position 1406: 0.00010146752889614552
Position 306: 7.448763721668265e-05
Position 1309: 7.166790712677259e-05
Position 255: 5.3053561619859724e-05
Position 294: 4.095876774205752e-05
Position 1454: 3.128184675319028e-05
Position 869: 3.036546976934711e-05
Position 1531: 2.87017898530064e-05
Position 642: 2.7635881461955583e-05
Position 567: 2.640486241079124e-05
Position 1451: 1.7414446032418404e-05
Position 1323: 1.6185201866266455e-05
Position 1091: 1.4983459466275838e-05
Position 1052: 1.4968827915259076e-05
Position 1475: 1.4792808716098232e-05
Position 1268: 1.2759072606588465e-05
Position 713: 1.1696246111541297e-05
Position 740: 1.0289706130734928e-05
Position 325: 1.0094753655464742e-05
Position 1120: 8.981617930301845e-06
Position 478: 8.290876590444404e-06
Position 743: 7.559913694101995e-06
Position 1066: 7.130879991360432e-06
Position 781: 6.528834356524438e-06
Position 1586: 5.8993841001435045e-06
Position 1650: 5.766678675199837e-06
Position 1643: 5.70349315061703e-06
Position 492: 4.409279291006012e-06
Position 289: 4.2343193662922895e-06
Position 690: 4.010827417857411e-06
Position 1537: 3.7840123686975804e-06
Position 1479: 3.759558952327862e-06
Position 1332: 3.0750446732244493e-06
Position 1550: 2.9011566153879353e-06
Position 1325: 2.6239356594464925e-06
Position 496: 2.4164775903737396e-06
Position 1540: 2.3198499533323987e-06
Position 1497: 1.8162202701016521e-06
Position 553: 1.7915309340055647e-06
Position 1582: 1.5928843447099362e-06
Position 1591: 1.524920773857202e-06
Position 1558: 1.3320121208207326e-06
Position 1016: 1.2096468999144741e-06
Position 656: 1.1902941686135368e-06
Position 716: 1.1262031676180408e-06
Position 1544: 9.402586392115396e-07
Position 1486: 8.71624406670461e-07
Position 664: 8.012904391681796e-07
Position 638: 5.932544074573209e-07
Position 1628: 5.607923131212381e-07
Position 661: 5.474574060437683e-07
Position 749: 3.4264532100770375e-07
Position 640: 2.001219481507224e-07
Position 1616: 1.9789382894901923e-07
Position 481: 1.745180947996265e-07
Position 745: 1.0600170361780509e-07
Position 1342: 8.884850259414137e-08
Position 1645: 7.847989403756845e-08
Position 508: 7.413806371213742e-08
Position 1610: 6.733160833390909e-08
Position 1492: 5.760483815289894e-08
Position 1634: 5.04409057331739e-08
Position 1352: 4.288973647625866e-08
Position 521: 3.116528989353644e-08
Position 1347: 3.002933703627792e-08
Position 1626: 2.8071063910999976e-08
Position 1334: 2.198069055651043e-08
Position 248: 1.8132908906355665e-08
Position 186: 1.456741537954259e-08
Position 1082: 1.0148424706858572e-08
Position 500: 1.0081443576518649e-08
Position 668: 5.393140721412793e-09
Position 1622: 5.121265828930913e-09
Position 516: 3.6005461419538462e-09
