Gene = Snorc
index = 997
Annotated 5SS: [ 141 4935]
Annotated 3SS: [4751 5057]
SMsplice 5SS: [ 141 4935]
SMsplice 3SS: [4751 5057]
top_k =  500
Partition function (log Z): -3.3916318423936906

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.9557169970748387
Position 4935: 0.547352328905469
Position 3680: 0.3529826517950344
Position 2512: 0.3222654241701775
Position 4981: 0.2760204394648339
Position 1819: 0.25851878797266775
Position 1689: 0.08117870127744636
Position 3689: 0.07816547177818088
Position 1235: 0.0749951460123562
Position 310: 0.029316279221346307
Position 249: 0.0216078607695433
Position 4364: 0.020735877089700747
Position 1396: 0.02060876645447265
Position 4220: 0.01912854947075887
Position 1442: 0.015481548448786825
Position 1700: 0.014827822410894446
Position 2503: 0.010822241781810897
Position 2532: 0.006786485389838616
Position 4037: 0.0057095045641148805
Position 2751: 0.005531781580428792
Position 4572: 0.005075396565372605
Position 4818: 0.0035233142664718034
Position 320: 0.00342344328970903
Position 4812: 0.0023937381082544795
Position 4080: 0.0019885286026072916
Position 1140: 0.0014646904889563084
Position 403: 0.0006072963968925617
Position 1407: 0.0005891584428665213
Position 3306: 0.0004342826681488477
Position 229: 0.0003841819387261995
Position 1029: 0.00037768570757474364
Position 571: 0.00037539230821813244
Position 1651: 0.0003597031787001309
Position 375: 0.00031225778952696234
Position 1471: 0.00026650955469922986
Position 1836: 0.00024446882198314113
Position 1467: 0.00024207491135884782
Position 2112: 0.00024012596587914988
Position 3937: 0.0002132913092403561
Position 913: 0.00020602441456155446
Position 267: 0.00016382336666429756
Position 922: 0.00016201337305267496
Position 1402: 0.00015777598101683504
Position 362: 0.00013524799713901148
Position 299: 0.00011321341002443034
Position 1337: 0.00010045501662803761
Position 1390: 9.775833471820127e-05
Position 2491: 6.227473829213421e-05
Position 1693: 5.674292642238427e-05
Position 131: 5.4242716318930705e-05
Position 1240: 5.114632272916761e-05
Position 1767: 4.391019988870069e-05
Position 1381: 3.155072717291001e-05
Position 919: 2.5273213782330566e-05
Position 218: 2.8722662447271405e-06
Position 116: 1.4705870203671272e-06
Position 370: 1.2901619061495858e-06
Position 1932: 2.5861679609948184e-07
Position 1149: 1.321560351210676e-07
Position 1250: 1.1639488927070027e-07
Position 619: 7.099386739088603e-08
Position 36: 6.493125200190298e-08
Position 92: 3.8945136004028455e-08
Position 324: 3.131028936742928e-08
Position 29: 2.600127910670605e-08
Position 38: 9.911721076032432e-09
Position 340: 9.640065454391537e-09
Position 78: 2.163639875176894e-09
Position 264: 7.785684123020037e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5057: 0.9697076302881124
Position 4751: 0.5429813776036392
Position 3605: 0.3232360010625304
Position 2382: 0.2862295191171618
Position 4714: 0.2411907611690736
Position 1562: 0.19750847903067706
Position 1729: 0.10619200715080654
Position 3464: 0.08743293749346946
Position 1491: 0.039100749647860276
Position 1058: 0.03355098473122783
Position 1300: 0.03267885122832746
Position 2324: 0.0303103421238254
Position 4817: 0.026073316483823952
Position 3920: 0.025689533997332394
Position 4754: 0.022588886771232417
Position 1092: 0.017546144703430116
Position 3414: 0.01537127869338501
Position 4211: 0.015341958662216887
Position 4889: 0.012001254750492763
Position 209: 0.009985675966791663
Position 957: 0.008224284217637235
Position 4061: 0.00736695544282221
Position 1025: 0.0071284210764732394
Position 1337: 0.006611390722021068
Position 2665: 0.006159444864926718
Position 2111: 0.005638973536404847
Position 4457: 0.005311506267762268
Position 1797: 0.005192220829420573
Position 908: 0.004794649476971661
Position 2052: 0.004734800112056348
Position 2278: 0.0045084904762827125
Position 2211: 0.0035562509957651005
Position 2262: 0.0029671172197877895
Position 1678: 0.002384407377640216
Position 3340: 0.0022865254638030613
Position 3526: 0.0022235394150489107
Position 1494: 0.0020487576272569686
Position 2429: 0.0018679254386246105
Position 3382: 0.0018560866578119736
