Gene = LOC101742561
index = 531
Annotated 5SS: [159 779]
Annotated 3SS: [ 624 3963]
SMsplice 5SS: [159]
SMsplice 3SS: [3963]
length: 4382
Partition function (logZ) = -11.63816699678425
#Exons = 763
3SS, 5SS, prob
0, 159, 0.7763129059452484
3963, -1, 0.4963052672231228
3376, 3448, 0.17480981370992327
624, 840, 0.16558980514561147
4374, -1, 0.1351102101248092
0, 428, 0.10531997576772593
624, -1, 0.09801220827971407
3376, 3526, 0.09595319593201872
3376, -1, 0.07142048469746586
839, -1, 0.06988336776716819
0, 840, 0.0645500044260957
624, 779, 0.037421997150002086
636, 840, 0.03556568324162495
3963, 4072, 0.02326121833349821
1994, -1, 0.01969025814838385
636, -1, 0.016969821746151897
1504, -1, 0.01565649198577762
1090, -1, 0.00943227056760211
405, -1, 0.009428891476874148
0, 495, 0.009234043215495506
3376, 3625, 0.008919681977464903
0, 68, 0.007388644689157825
0, 779, 0.006660099150684567
636, 779, 0.006606627153570566
285, 428, 0.005744532366372456
2494, -1, 0.005270031561955313
0, 235, 0.004611238739537823
0, 265, 0.004474335423447148
0, 122, 0.004462299783477346
0, 1308, 0.003875369348369195
3406, 3526, 0.0038444358707825296
1090, 1227, 0.003730780538198135
3406, -1, 0.003465308755740718
1994, 2177, 0.0034518556228890305
3406, 3448, 0.0032343724122580074
1840, -1, 0.003192405307495703
0, 246, 0.0029001825807328037
1090, 1308, 0.002868551107698206
285, -1, 0.002801199755618598
3624, -1, 0.0026950878895802017
564, -1, 0.002583714968174466
1994, 2117, 0.0025588162577824198
663, 840, 0.00243335264078387
0, 1227, 0.0024261057174064897
1331, -1, 0.002306750109944803
3046, 3180, 0.0021711591556796707
3207, 3448, 0.002074587971314426
564, 840, 0.0018109971307039216
1311, -1, 0.0017683234326675268
4052, -1, 0.0016930052659274468
1994, 2101, 0.0016748866594582092
2261, -1, 0.0016151683109747413
2688, -1, 0.0015322003404324043
1056, -1, 0.0014870206314974146
4086, -1, 0.001474735383384402
0, 280, 0.001440779796194474
0, 535, 0.0014271526578371798
2476, -1, 0.001353915953454424
1117, -1, 0.0013343806205728568
1752, -1, 0.0012580920580666482
699, 840, 0.001215160891884906
2494, 2651, 0.0012006546731237768
624, 747, 0.0012004145283074287
0, 191, 0.0011802898064019517
2519, -1, 0.0011486713479693534
405, 428, 0.0010617944102075038
2800, -1, 0.0010486606300455345
1532, -1, 0.0010481687118989538
839, 989, 0.0010266114735922162
672, 840, 0.0010241385291908814
891, -1, 0.0010114347803408619
405, 495, 0.0009986836956806845
2757, -1, 0.0009128592230038728
839, 1227, 0.0009096950547927618
624, 710, 0.0009072398861863512
3098, 3180, 0.0008958297362263257
1278, -1, 0.0008229228399768372
476, -1, 0.0008144655975605202
