Gene = ENSDARG00000105617
index = 812
Annotated 5SS: [113]
Annotated 3SS: [4732]
SMsplice 5SS: [113]
SMsplice 3SS: [4732]
length: 5387
Partition function (logZ) = -8.846325166768791
#Exons = 1041
3SS, 5SS, prob
0, 113, 0.985884379981493
4732, -1, 0.3562976468328277
4913, -1, 0.22964514432458633
4781, -1, 0.12942631769851043
584, 653, 0.09055124022844091
968, -1, 0.05520418524051845
584, 614, 0.04995411511868351
968, 1051, 0.043602600632717314
584, -1, 0.030716873559738504
968, 1114, 0.02275819266178583
1902, -1, 0.02232606215642274
5014, -1, 0.022172545942980453
4164, -1, 0.019293721183450466
3802, 3876, 0.01853524973433355
4732, 4811, 0.01569602427813011
2892, 2990, 0.015336652061951533
3802, -1, 0.01325090696329488
3158, -1, 0.012716124148135444
485, 614, 0.010976040426588164
1445, -1, 0.010792422825616535
0, 614, 0.008826227110046693
1724, -1, 0.008496809035788531
4732, 4836, 0.008276718286850993
3759, 3876, 0.007316719549965007
4732, 4829, 0.006788422703269682
968, 1004, 0.006633027224892778
771, -1, 0.006576019943626373
5296, -1, 0.006056725092600282
2934, 2990, 0.005847513044299805
2790, 2990, 0.00568972797557223
3653, -1, 0.004809071495866214
584, 676, 0.004746625999863526
280, -1, 0.0042059752858232624
2820, 2990, 0.004096552727014414
191, -1, 0.003946877060088473
3158, 3381, 0.0037801886052637296
4933, -1, 0.00377230978706591
2790, -1, 0.0036256167653691235
0, 653, 0.0036096159090103002
968, 1155, 0.00357254766078581
4130, -1, 0.0035480916095270818
2892, -1, 0.0035008680378004345
2934, -1, 0.0034235683280169063
609, 653, 0.0032752044203865527
485, 653, 0.003164523582567296
3224, -1, 0.003129952250926516
3759, -1, 0.002979041381858045
3224, 3381, 0.0029609810667055704
3653, 3876, 0.002861210401429264
2828, 2990, 0.0027649400624987636
3209, -1, 0.0026905454586564274
609, -1, 0.0025256681076426023
3969, -1, 0.002369473600857495
4732, 4881, 0.0023401652296874387
3158, 3398, 0.002085081836829303
4732, 4819, 0.0020585591821710193
2065, -1, 0.0019701108025141642
280, 614, 0.001964268243321591
4545, -1, 0.001944997753751708
3209, 3381, 0.0019342703350447605
4078, -1, 0.0017502337479604264
4002, -1, 0.0017467343485619426
609, 614, 0.0016085755265274314
2535, 2597, 0.0016012397070998751
3224, 3398, 0.0015447634387890804
869, -1, 0.0015182944312235852
4732, 4834, 0.0015133902043510848
2820, -1, 0.001501515076144833
2447, 2597, 0.0014878611176542445
3919, -1, 0.0014719543171944469
3091, -1, 0.0013709367832074743
2535, -1, 0.0013492080220199006
942, 1051, 0.0013315328585248088
632, -1, 0.0012534465673714535
942, -1, 0.001249533129906662
4752, -1, 0.0012257542647435154
4781, 4811, 0.0010383229810786844
3209, 3398, 0.0010054934667079653
869, 1004, 0.0009853039899418584
1221, -1, 0.0009702374538155005
4781, 4836, 0.0009622615534636508
485, -1, 0.000961562835796975
4781, 4881, 0.0009346189333607239
4313, -1, 0.0009332694285746907
519, 614, 0.0008933574440829425
771, 1004, 0.0008663492131229352
2828, -1, 0.0008565846751640401
2892, 2973, 0.0008072091683258914
4965, -1, 0.0007703982415847502
3158, 3445, 0.0007680650918872074
0, 562, 0.000760014678516872
191, 342, 0.0007435603559429138
4545, 4660, 0.0007186123846550089
869, 1051, 0.0007146347717596617
632, 653, 0.0006765005898819144
2447, -1, 0.0006633566562362257
4164, 4409, 0.0006584569993279398
771, 1051, 0.0006419024028865227
2900, 2990, 0.0006170251311065002
3848, -1, 0.0006130187207765563
918, 1051, 0.0006040706821336941
2790, 2901, 0.0005994678849124867
918, -1, 0.0005897734110601629
4732, 4841, 0.0005884574390417882
968, 1035, 0.000566415135750938
3224, 3445, 0.0005434221842205941
485, 562, 0.0005374295181363464
5184, -1, 0.0005207020073510029
2390, -1, 0.0005179138522818158
1902, 2040, 0.0005079760310391058
2790, 2973, 0.0005078277820794794
280, 653, 0.0004990370440054216
0, 342, 0.00048146253994517044
4781, 4829, 0.00045446244400630003
191, 614, 0.00045075525086751687
519, 653, 0.0004436457846058959
4748, -1, 0.0004393755769297123
280, 342, 0.00043461882619016403
2390, 2597, 0.0004342239571603051
1868, -1, 0.00041072341386190345
942, 1004, 0.0003777671614754242
2820, 2973, 0.00037563771399839595
3209, 3445, 0.00037151697713760896
2484, 2597, 0.0003633060809335879
4810, -1, 0.0003438541299400682
942, 1114, 0.00033704636420571737
1601, -1, 0.0003362339390904249
4238, -1, 0.00032980843182147204
280, 562, 0.0003259513475495513
333, 614, 0.00032582282234940035
918, 1004, 0.0003238607574938547
333, -1, 0.0003013078789936753
1724, 1806, 0.0002820304999333384
3194, -1, 0.00026459128442313126
3605, -1, 0.0002583758584602404
2828, 2973, 0.00024084867222648554
3653, 3760, 0.00023452241769496686
609, 676, 0.00022891792138587182
584, 1004, 0.0002203650390834871
2934, 2973, 0.00021761764681178303
4789, -1, 0.00021554174447427964
1773, -1, 0.0002093846892856563
1724, 1829, 0.00020778954291795958
2402, 2597, 0.00019100835976233144
4313, 4409, 0.0001878172203997508
2584, -1, 0.00018558061664868537
2402, -1, 0.00018327680337556907
3848, 3876, 0.00018196085872411888
