Gene = WIPF3
index = 1572
Annotated 5SS: [  125 28261 69409 72587 78040 81664 82854 97809]
Annotated 3SS: [ 28113  69275  72454  77295  81513  82751  97731 107938]
SMsplice 5SS: [  125 28261 59932 69409 72587 81664 82854 89519 97809]
SMsplice 3SS: [ 28113  59821  69275  72454  81546  82751  89438  97731 107938]
top_k =  1000
Partition function (log Z): -45.538595934344954

Sorted 5' Splice Sites (High to Low Probability):
Position 28261: 0.9735353875434081
Position 125: 0.9587219179207263
Position 5182: 0.4759246918013278
Position 8696: 0.4329985017906639
Position 3224: 0.13151623798190992
Position 8358: 0.1282952229129738
Position 7494: 0.08910601449162872
Position 7362: 0.021432247558105477
Position 144: 0.01788786333351429
Position 150: 0.015643997026203903
Position 7468: 0.012045037950967681
Position 8169: 0.00755846665807986
Position 452: 0.005737832585796971
Position 3962: 0.004071011914758382
Position 2780: 0.0036723934147609447
Position 200: 0.0031752489402851725
Position 2666: 0.0023026619874920605
Position 3892: 0.0022430253160829875
Position 3847: 0.001798669474670195
Position 2979: 0.0015170729154719447
Position 7780: 0.0013920387256972744
Position 3916: 0.001369120137090141
Position 2269: 0.0013501655158397418
Position 1013: 0.0012763580783339784
Position 1996: 0.0011815636738903388
Position 2137: 0.0011262461961808422
Position 3487: 0.0011040748518578987
Position 2079: 0.0009317110724693697
Position 4847: 0.0008505916387469017
Position 1435: 0.0007589337017821912
Position 3514: 0.0007437453289760235
Position 2139: 0.000626828599830248
Position 1482: 0.0006242954179285887
Position 1287: 0.000534707520408824
Position 3409: 0.0003835086992520247
Position 12873: 0.00037133934689370207
Position 8601: 0.0003466184099241503
Position 5967: 0.00032629962550746847
Position 6672: 0.00029408751343184067
Position 2975: 0.0002761995313877595
Position 2745: 0.00023453082905556245
Position 1763: 0.00021774519610000815
Position 1755: 0.00018600918859794344
Position 2347: 0.00018525252999469882
Position 6281: 0.00018336101789216946
Position 2145: 0.00015928723598748298
Position 2141: 0.0001546330060415734
Position 2143: 0.00015441997627827945
Position 2147: 0.00015282728128324883
Position 1612: 0.0001517981896752545
Position 2149: 0.00014821453549430875
Position 2151: 0.0001466816419864026
Position 6843: 0.00014151452321881368
Position 1017: 0.00013901928532076267
Position 2153: 0.00013323613466804582
Position 840: 0.00012959809951105142
Position 844: 0.00012109855639477281
Position 2159: 0.0001154561996900276
Position 2157: 0.00011544690600755268
Position 2155: 0.00011527208075780393
Position 2161: 0.00011207376483254803
Position 1589: 0.0001081932657537913
Position 2163: 0.00010696806383626
Position 2165: 0.00010556716977348054
Position 761: 9.59169267029996e-05
Position 3867: 8.609194391870889e-05
Position 6996: 8.583350655317551e-05
Position 3332: 8.472122351080331e-05
Position 5368: 8.21024317618792e-05
Position 3239: 7.788364860194566e-05
Position 4169: 6.428234714556837e-05
Position 2002: 5.303485530612365e-05
Position 2903: 5.226063248949101e-05
Position 2564: 4.89043806854454e-05
Position 180: 4.62687970223193e-05
Position 2357: 3.730872728671876e-05
Position 1054: 3.657405800841431e-05
Position 1447: 1.5360445343119128e-05
Position 1058: 1.527398679935956e-05
Position 2015: 1.363242427770123e-05
Position 1649: 1.2713059239315539e-05
Position 154: 3.274030807267582e-06
Position 204: 2.9378510877440507e-06
Position 719: 2.5330743460107885e-06
Position 836: 2.1442192757125867e-06
Position 690: 1.8636105531561885e-06
Position 92: 1.7286299871425867e-06
Position 541: 1.1999874220626676e-06
Position 395: 6.445738670371906e-07
Position 298: 6.002507334193538e-07
Position 789: 4.4844362663991114e-07
Position 7008: 4.437063895629804e-07
Position 3426: 3.531251126622894e-07
Position 6745: 3.288093528101975e-07
Position 76: 3.237536016872888e-07
Position 648: 2.747276629994581e-07
Position 488: 2.645121374034762e-07
Position 407: 1.6712182040796883e-07
Position 1203: 4.001214401576698e-08
